Date,AUSTRIA VALUE Standard (Large+Mid Cap)
2001-01-01,880.658
2001-01-02,889.361
2001-01-03,877.308
2001-01-04,901.589
2001-01-05,926.92
2001-01-08,915.17
2001-01-09,900.522
2001-01-10,906.036
2001-01-11,907.095
2001-01-12,918.084
2001-01-15,916.424
2001-01-16,908.303
2001-01-17,908.778
2001-01-18,905.404
2001-01-19,898.478
2001-01-22,902.148
2001-01-23,899.822
2001-01-24,878.142
2001-01-25,874.228
2001-01-26,877.805
2001-01-29,887.266
2001-01-30,904.399
2001-01-31,918.868
2001-02-01,932.726
2001-02-02,922.004
2001-02-05,934.014
2001-02-06,924.293
2001-02-07,923.913
2001-02-08,914.313
2001-02-09,915.062
2001-02-12,926.06
2001-02-13,916.144
2001-02-14,907.368
2001-02-15,903.219
2001-02-16,924.18
2001-02-19,932.076
2001-02-20,942.067
2001-02-21,936.484
2001-02-22,931.793
2001-02-23,927.423
2001-02-26,929.711
2001-02-27,948.472
2001-02-28,941.696
2001-03-01,951.736
2001-03-02,951.091
2001-03-05,942.646
2001-03-06,952.101
2001-03-07,957.923
2001-03-08,955.563
2001-03-09,947.649
2001-03-12,944.115
2001-03-13,926.123
2001-03-14,906.641
2001-03-15,891.598
2001-03-16,866.721
2001-03-19,866.821
2001-03-20,872.754
2001-03-21,860.622
2001-03-22,828.327
2001-03-23,847.502
2001-03-26,861.916
2001-03-27,873.068
2001-03-28,870.258
2001-03-29,869.06
2001-03-30,884.265
2001-04-02,877.906
2001-04-03,876.035
2001-04-04,899.053
2001-04-05,909.093
2001-04-06,906.991
2001-04-09,912.666
2001-04-10,908.028
2001-04-11,901.059
2001-04-12,908.175
2001-04-13,908.175
2001-04-16,898.874
2001-04-17,899.166
2001-04-18,898.4
2001-04-19,905.861
2001-04-20,916.695
2001-04-23,911.656
2001-04-24,911.774
2001-04-25,910.031
2001-04-26,921.72
2001-04-27,918.801
2001-04-30,915.074
2001-05-01,919.925
2001-05-02,922.621
2001-05-03,906.4
2001-05-04,897.343
2001-05-07,895.104
2001-05-08,893.129
2001-05-09,900.614
2001-05-10,912.503
2001-05-11,911.524
2001-05-14,900.039
2001-05-15,903.61
2001-05-16,922.655
2001-05-17,947.245
2001-05-18,947.826
2001-05-21,927.49
2001-05-22,931.478
2001-05-23,917.79
2001-05-24,914.325
2001-05-25,912.947
2001-05-28,916.263
2001-05-29,913.827
2001-05-30,925.891
2001-05-31,931.359
2001-06-01,944.267
2001-06-04,945.55
2001-06-05,967.969
2001-06-06,964.073
2001-06-07,963.658
2001-06-08,963.73
2001-06-11,938.332
2001-06-12,948.719
2001-06-13,967.717
2001-06-14,976.013
2001-06-15,971.087
2001-06-18,967.902
2001-06-19,964.3
2001-06-20,948.727
2001-06-21,932.942
2001-06-22,943.15
2001-06-25,958.113
2001-06-26,953.048
2001-06-27,937.415
2001-06-28,913.523
2001-06-29,903.024
2001-07-02,907.048
2001-07-03,907.055
2001-07-04,914.503
2001-07-05,907.054
2001-07-06,900.977
2001-07-09,921.774
2001-07-10,934.813
2001-07-11,936.55
2001-07-12,924.778
2001-07-13,930.294
2001-07-16,935.282
2001-07-17,922.896
2001-07-18,944.55
2001-07-19,958.593
2001-07-20,976.625
2001-07-23,980.381
2001-07-24,984.656
2001-07-25,979.897
2001-07-26,973.521
2001-07-27,975.673
2001-07-30,975.789
2001-07-31,964.065
2001-08-01,974.196
2001-08-02,964.364
2001-08-03,955.818
2001-08-06,952.24
2001-08-07,954.617
2001-08-08,949.567
2001-08-09,950.023
2001-08-10,970.146
2001-08-13,987.383
2001-08-14,972.233
2001-08-15,987.075
2001-08-16,985.517
2001-08-17,985.034
2001-08-20,963.719
2001-08-21,973.466
2001-08-22,989.364
2001-08-23,984.979
2001-08-24,981.04
2001-08-27,967.334
2001-08-28,969.442
2001-08-29,978.812
2001-08-30,968.744
2001-08-31,968.841
2001-09-03,963.037
2001-09-04,949.783
2001-09-05,938.942
2001-09-06,939.7
2001-09-07,938.926
2001-09-10,916.514
2001-09-11,907.926
2001-09-12,903.213
2001-09-13,900.543
2001-09-14,884.775
2001-09-17,881.0
2001-09-18,870.513
2001-09-19,876.073
2001-09-20,851.579
2001-09-21,829.541
2001-09-24,825.994
2001-09-25,820.762
2001-09-26,839.784
2001-09-27,847.957
2001-09-28,838.514
2001-10-01,854.332
2001-10-02,858.876
2001-10-03,860.855
2001-10-04,859.259
2001-10-05,837.415
2001-10-08,839.418
2001-10-09,835.896
2001-10-10,822.658
2001-10-11,831.511
2001-10-12,849.095
2001-10-15,835.181
2001-10-16,848.817
2001-10-17,850.258
2001-10-18,842.043
2001-10-19,809.852
2001-10-22,798.878
2001-10-23,809.266
2001-10-24,814.91
2001-10-25,810.323
2001-10-26,806.751
2001-10-29,807.227
2001-10-30,815.735
2001-10-31,820.534
2001-11-01,825.773
2001-11-02,814.893
2001-11-05,807.065
2001-11-06,816.404
2001-11-07,814.242
2001-11-08,818.967
2001-11-09,818.563
2001-11-12,813.164
2001-11-13,793.685
2001-11-14,803.967
2001-11-15,803.345
2001-11-16,814.7
2001-11-19,802.207
2001-11-20,823.706
2001-11-21,818.687
2001-11-22,820.023
2001-11-23,818.428
2001-11-26,817.021
2001-11-27,821.736
2001-11-28,822.198
2001-11-29,829.427
2001-11-30,857.452
2001-12-03,832.662
2001-12-04,846.062
2001-12-05,849.214
2001-12-06,849.559
2001-12-07,846.293
2001-12-10,847.943
2001-12-11,852.834
2001-12-12,862.538
2001-12-13,865.64
2001-12-14,868.739
2001-12-17,872.217
2001-12-18,866.614
2001-12-19,857.184
2001-12-20,848.944
2001-12-21,846.711
2001-12-24,838.262
2001-12-25,838.262
2001-12-26,838.978
2001-12-27,856.894
2001-12-28,850.49
2001-12-31,858.785
2002-01-01,858.785
2002-01-02,865.823
2002-01-03,874.162
2002-01-04,873.888
2002-01-07,862.376
2002-01-08,852.687
2002-01-09,855.87
2002-01-10,869.667
2002-01-11,871.512
