Date,AUSTRIA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,103.108
1975-02-28,111.185
1975-03-31,111.139
1975-04-30,108.348
1975-05-30,106.16
1975-06-30,104.74
1975-07-31,95.114
1975-08-29,94.067
1975-09-30,90.853
1975-10-31,95.402
1975-11-28,93.482
1975-12-31,95.905
1976-01-30,97.857
1976-02-27,100.951
1976-03-31,103.354
1976-04-30,101.314
1976-05-31,99.687
1976-06-30,98.796
1976-07-30,101.811
1976-08-31,105.803
1976-09-30,110.425
1976-10-29,109.87
1976-11-30,107.354
1976-12-31,114.53
1977-01-31,111.516
1977-02-28,116.716
1977-03-31,115.26
1977-04-29,117.057
1977-05-31,116.279
1977-06-30,115.047
1977-07-29,117.824
1977-08-31,116.528
1977-09-30,115.255
1977-10-31,117.734
1977-11-30,115.467
1977-12-30,124.374
1978-01-31,125.753
1978-02-28,129.194
1978-03-31,132.115
1978-04-28,127.378
1978-05-31,128.08
1978-06-30,128.142
1978-07-31,139.383
1978-08-31,141.876
1978-09-29,146.346
1978-10-31,163.18
1978-11-30,140.066
1978-12-29,148.694
1979-01-31,145.912
1979-02-28,146.409
1979-03-30,156.059
1979-04-30,153.515
1979-05-31,152.509
1979-06-29,156.866
1979-07-31,157.765
1979-08-31,165.963
1979-09-28,174.247
1979-10-31,177.721
1979-11-30,191.714
1979-12-31,201.617
1980-01-31,200.34
1980-02-29,201.513
1980-03-31,187.016
1980-04-30,199.023
1980-05-30,203.359
1980-06-30,201.031
1980-07-31,203.479
1980-08-29,200.844
1980-09-30,196.328
1980-10-31,190.698
1980-11-28,188.422
1980-12-31,186.64
1981-01-30,167.102
1981-02-27,162.47
1981-03-31,160.526
1981-04-30,146.512
1981-05-29,135.436
1981-06-30,130.08
1981-07-31,127.995
1981-08-31,121.799
1981-09-30,123.266
1981-10-30,126.913
1981-11-30,128.64
1981-12-31,132.32
1982-01-29,125.977
1982-02-26,120.624
1982-03-31,115.909
1982-04-30,119.048
1982-05-31,118.8
1982-06-30,109.39
1982-07-30,106.596
1982-08-31,104.011
1982-09-30,102.813
1982-10-29,101.407
1982-11-30,105.986
1982-12-31,122.705
1983-01-31,114.533
1983-02-28,116.21
1983-03-31,124.486
1983-04-29,136.352
1983-05-31,129.483
1983-06-30,124.582
1983-07-29,118.894
1983-08-31,115.983
1983-09-30,119.581
1983-10-31,118.328
1983-11-30,115.747
1983-12-30,121.095
1984-01-31,113.51
1984-02-29,123.377
1984-03-30,124.793
1984-04-30,116.735
1984-05-31,113.722
1984-06-29,110.91
1984-07-31,105.84
1984-08-31,106.641
1984-09-28,107.292
1984-10-31,108.936
1984-11-30,111.138
1984-12-31,112.969
1985-01-31,114.599
1985-02-28,121.022
1985-03-29,138.039
1985-04-30,148.914
1985-05-31,162.465
1985-06-28,159.0
1985-07-31,159.443
1985-08-30,162.378
1985-09-30,163.835
1985-10-31,161.265
1985-11-29,193.655
1985-12-31,208.343
1986-01-31,219.557
1986-02-28,230.587
1986-03-31,226.314
1986-04-30,272.351
1986-05-30,238.99
1986-06-30,249.82
1986-07-31,259.179
1986-08-29,274.077
1986-09-30,276.808
1986-10-31,267.015
1986-11-28,278.556
1986-12-31,279.749
1987-01-30,276.446
1987-02-27,273.826
1987-03-31,270.473
1987-04-30,270.432
1987-05-29,259.36
1987-06-30,256.283
1987-07-31,291.755
1987-08-31,294.278
1987-09-30,302.539
1987-10-30,287.729
1987-11-30,300.527
1987-12-31,331.659
1988-01-29,290.584
1988-02-29,286.77
1988-03-31,302.113
1988-04-29,301.32
1988-05-31,288.34
1988-06-30,279.416
1988-07-29,284.269
1988-08-31,287.32
1988-09-30,284.941
1988-10-31,310.519
1988-11-30,318.709
1988-12-30,314.531
1989-01-31,300.286
1989-02-28,311.43
1989-03-31,346.224
1989-04-28,379.636
1989-05-31,358.026
1989-06-30,361.923
1989-07-31,387.302
1989-08-31,470.657
1989-09-29,513.962
1989-10-31,479.231
1989-11-30,476.252
1989-12-29,589.916
1990-01-31,744.354
1990-02-28,992.04
1990-03-30,1041.141
1990-04-30,908.654
1990-05-31,875.703
1990-06-29,957.91
1990-07-31,1046.125
1990-08-31,860.528
1990-09-28,645.152
1990-10-31,691.148
1990-11-30,671.707
1990-12-31,675.616
1991-01-31,643.338
1991-02-28,762.763
1991-03-29,673.952
1991-04-30,693.476
1991-05-31,695.359
1991-06-28,622.337
1991-07-31,621.654
1991-08-30,626.771
1991-09-30,655.424
1991-10-31,569.761
1991-11-29,596.646
1991-12-31,607.66
1992-01-31,624.649
1992-02-28,667.73
1992-03-31,620.19
1992-04-30,579.556
1992-05-29,609.688
1992-06-30,608.072
1992-07-31,519.825
1992-08-31,527.951
1992-09-30,550.481
1992-10-30,505.221
1992-11-30,469.905
1992-12-31,456.378
1993-01-29,467.297
1993-02-26,511.452
1993-03-31,493.469
1993-04-30,500.038
1993-05-31,515.664
1993-06-30,538.505
1993-07-30,577.439
1993-08-31,654.818
1993-09-30,639.435
1993-10-29,679.399
1993-11-30,634.646
1993-12-31,666.594
1994-01-31,714.604
1994-02-28,689.968
1994-03-31,675.005
1994-04-29,682.451
1994-05-31,668.204
1994-06-30,707.767
1994-07-29,708.042
1994-08-31,740.88
1994-09-30,696.583
1994-10-31,705.324
1994-11-30,675.335
1994-12-30,684.199
1995-01-31,669.375
