Date,AUSTRIA VALUE Standard (Large+Mid Cap)
2001-01-01,767.716
2001-01-02,775.303
2001-01-03,764.796
2001-01-04,785.964
2001-01-05,808.045
2001-01-08,797.803
2001-01-09,785.034
2001-01-10,789.84
2001-01-11,790.763
2001-01-12,800.343
2001-01-15,798.896
2001-01-16,791.816
2001-01-17,792.23
2001-01-18,789.289
2001-01-19,783.251
2001-01-22,786.451
2001-01-23,784.423
2001-01-24,765.524
2001-01-25,762.111
2001-01-26,765.229
2001-01-29,773.477
2001-01-30,788.413
2001-01-31,801.026
2001-02-01,813.108
2001-02-02,803.761
2001-02-05,814.23
2001-02-06,805.755
2001-02-07,805.424
2001-02-08,797.055
2001-02-09,797.708
2001-02-12,807.296
2001-02-13,798.652
2001-02-14,791.001
2001-02-15,787.385
2001-02-16,805.657
2001-02-19,812.541
2001-02-20,821.25
2001-02-21,816.383
2001-02-22,812.294
2001-02-23,808.484
2001-02-26,810.479
2001-02-27,826.834
2001-02-28,820.927
2001-03-01,829.679
2001-03-02,829.117
2001-03-05,821.755
2001-03-06,829.997
2001-03-07,835.073
2001-03-08,833.015
2001-03-09,826.116
2001-03-12,823.035
2001-03-13,807.351
2001-03-14,790.367
2001-03-15,777.254
2001-03-16,755.567
2001-03-19,755.654
2001-03-20,760.827
2001-03-21,750.251
2001-03-22,722.097
2001-03-23,738.813
2001-03-26,751.378
2001-03-27,761.1
2001-03-28,758.65
2001-03-29,757.606
2001-03-30,770.861
2001-04-02,765.318
2001-04-03,763.686
2001-04-04,783.752
2001-04-05,792.505
2001-04-06,790.673
2001-04-09,795.62
2001-04-10,791.577
2001-04-11,785.501
2001-04-12,791.705
2001-04-13,791.705
2001-04-16,783.597
2001-04-17,783.851
2001-04-18,783.183
2001-04-19,789.687
2001-04-20,799.132
2001-04-23,794.74
2001-04-24,794.842
2001-04-25,793.323
2001-04-26,803.512
2001-04-27,800.968
2001-04-30,797.719
2001-05-01,801.948
2001-05-02,803.919
2001-05-03,789.785
2001-05-04,781.893
2001-05-07,779.943
2001-05-08,778.221
2001-05-09,784.743
2001-05-10,795.103
2001-05-11,794.25
2001-05-14,784.032
2001-05-15,785.986
2001-05-16,801.625
2001-05-17,822.41
2001-05-18,822.915
2001-05-21,805.259
2001-05-22,808.42
2001-05-23,796.54
2001-05-24,793.533
2001-05-25,792.338
2001-05-28,794.808
2001-05-29,790.316
2001-05-30,800.75
2001-05-31,805.479
2001-06-01,816.643
2001-06-04,817.752
2001-06-05,837.141
2001-06-06,833.771
2001-06-07,833.413
2001-06-08,833.475
2001-06-11,811.509
2001-06-12,820.492
2001-06-13,836.923
2001-06-14,844.098
2001-06-15,839.837
2001-06-18,837.083
2001-06-19,833.968
2001-06-20,820.499
2001-06-21,806.848
2001-06-22,815.676
2001-06-25,828.365
2001-06-26,823.985
2001-06-27,810.47
2001-06-28,789.813
2001-06-29,780.736
2001-07-02,784.215
2001-07-03,784.221
2001-07-04,790.66
2001-07-05,784.22
2001-07-06,778.967
2001-07-09,796.947
2001-07-10,808.22
2001-07-11,809.722
2001-07-12,799.544
2001-07-13,804.313
2001-07-16,808.625
2001-07-17,797.917
2001-07-18,816.638
2001-07-19,828.78
2001-07-20,844.37
2001-07-23,847.504
2001-07-24,851.2
2001-07-25,847.086
2001-07-26,841.574
2001-07-27,843.434
2001-07-30,843.535
2001-07-31,833.4
2001-08-01,842.158
2001-08-02,833.659
2001-08-03,826.271
2001-08-06,823.177
2001-08-07,825.232
2001-08-08,820.867
2001-08-09,821.261
2001-08-10,838.657
2001-08-13,853.558
2001-08-14,840.461
2001-08-15,853.292
2001-08-16,851.944
2001-08-17,851.527
2001-08-20,833.101
2001-08-21,841.526
2001-08-22,855.27
2001-08-23,851.479
2001-08-24,848.074
2001-08-27,836.226
2001-08-28,838.048
2001-08-29,846.148
2001-08-30,837.444
2001-08-31,837.528
2001-09-03,832.511
2001-09-04,821.054
2001-09-05,811.682
2001-09-06,812.337
2001-09-07,811.668
2001-09-10,792.293
2001-09-11,784.869
2001-09-12,780.795
2001-09-13,778.487
2001-09-14,764.856
2001-09-17,761.593
2001-09-18,752.528
2001-09-19,757.334
2001-09-20,736.16
2001-09-21,717.108
2001-09-24,714.042
2001-09-25,709.519
2001-09-26,725.963
2001-09-27,733.029
2001-09-28,724.865
2001-10-01,738.539
2001-10-02,742.467
2001-10-03,744.178
2001-10-04,742.799
2001-10-05,723.916
2001-10-08,725.647
2001-10-09,722.602
2001-10-10,711.158
2001-10-11,718.812
2001-10-12,734.012
2001-10-15,721.984
2001-10-16,733.772
2001-10-17,735.018
2001-10-18,727.916
2001-10-19,700.088
2001-10-22,690.602
2001-10-23,699.581
2001-10-24,704.461
2001-10-25,700.495
2001-10-26,697.408
2001-10-29,697.819
2001-10-30,705.174
2001-10-31,709.323
2001-11-01,713.851
2001-11-02,704.446
2001-11-05,697.679
2001-11-06,705.752
2001-11-07,703.883
2001-11-08,707.968
2001-11-09,707.618
2001-11-12,702.951
2001-11-13,686.112
2001-11-14,695.001
2001-11-15,694.463
2001-11-16,704.279
2001-11-19,693.479
2001-11-20,712.064
2001-11-21,707.726
2001-11-22,708.881
2001-11-23,707.502
2001-11-26,706.285
2001-11-27,710.361
2001-11-28,710.761
2001-11-29,717.01
2001-11-30,741.236
2001-12-03,719.807
2001-12-04,731.391
2001-12-05,734.115
2001-12-06,734.414
2001-12-07,731.591
2001-12-10,733.017
2001-12-11,737.244
2001-12-12,745.634
2001-12-13,748.315
2001-12-14,750.994
2001-12-17,754.001
2001-12-18,749.157
2001-12-19,741.005
2001-12-20,733.882
2001-12-21,731.951
2001-12-24,724.648
2001-12-25,724.648
2001-12-26,725.267
2001-12-27,740.754
2001-12-28,735.218
2001-12-31,742.389
2002-01-01,742.389
2002-01-02,748.473
2002-01-03,755.682
2002-01-04,755.445
2002-01-07,745.493
2002-01-08,737.118
2002-01-09,739.869
2002-01-10,751.796
2002-01-11,753.391
2002-01-14,757.12
2002-01-15,756.08
2002-01-16,746.798
2002-01-17,753.093
2002-01-18,755.234
2002-01-21,758.525
2002-01-22,755.641
2002-01-23,759.105
2002-01-24,765.106
2002-01-25,754.402
2002-01-28,750.597
2002-01-29,752.508
2002-01-30,753.995
2002-01-31,751.453
2002-02-01,759.975
2002-02-04,765.733
2002-02-05,769.814
2002-02-06,774.464
2002-02-07,783.367
2002-02-08,787.546
2002-02-11,795.27
2002-02-12,797.008
2002-02-13,792.496
2002-02-14,784.063
2002-02-15,781.742
2002-02-18,785.321
2002-02-19,801.952
2002-02-20,792.288
2002-02-21,798.994
2002-02-22,800.584
2002-02-25,796.998
2002-02-26,789.866
2002-02-27,793.399
2002-02-28,780.575
2002-03-01,781.48
2002-03-04,793.237
2002-03-05,786.38
2002-03-06,780.917
2002-03-07,785.461
2002-03-08,803.431
2002-03-11,798.002
2002-03-12,788.726
2002-03-13,788.404
2002-03-14,793.568
2002-03-15,797.786
2002-03-18,798.984
2002-03-19,800.043
2002-03-20,801.333
2002-03-21,797.906
2002-03-22,799.647
2002-03-25,802.828
2002-03-26,801.446
2002-03-27,803.547
2002-03-28,806.417
2002-03-29,806.417
2002-04-01,813.026
2002-04-02,828.768
2002-04-03,828.007
2002-04-04,828.025
2002-04-05,832.633
2002-04-08,820.983
2002-04-09,827.645
2002-04-10,828.723
2002-04-11,839.665
2002-04-12,843.45
2002-04-15,847.564
2002-04-16,847.472
2002-04-17,847.333
2002-04-18,853.162
2002-04-19,857.819
2002-04-22,854.295
2002-04-23,851.593
2002-04-24,848.062
2002-04-25,852.44
2002-04-26,852.503
2002-04-29,855.593
2002-04-30,856.625
2002-05-01,861.473
2002-05-02,860.866
2002-05-03,871.738
2002-05-06,877.054
2002-05-07,872.44
2002-05-08,868.33
2002-05-09,868.139
2002-05-10,881.177
2002-05-13,884.965
2002-05-14,878.771
2002-05-15,881.658
2002-05-16,873.451
2002-05-17,895.415
2002-05-20,895.707
2002-05-21,905.197
2002-05-22,905.832
2002-05-23,895.568
2002-05-24,896.203
2002-05-27,892.297
2002-05-28,904.215
2002-05-29,905.285
2002-05-30,910.675
2002-05-31,898.52
2002-06-03,901.982
2002-06-04,903.722
2002-06-05,905.108
2002-06-06,922.466
2002-06-07,921.498
2002-06-10,920.35
2002-06-11,911.58
2002-06-12,909.083
2002-06-13,907.777
2002-06-14,900.591
2002-06-17,896.391
2002-06-18,898.449
2002-06-19,914.593
2002-06-20,914.093
2002-06-21,919.735
2002-06-24,910.04
2002-06-25,915.914
2002-06-26,924.272
2002-06-27,929.237
2002-06-28,930.749
2002-07-01,943.119
2002-07-02,908.106
2002-07-03,907.63
2002-07-04,906.976
2002-07-05,901.422
2002-07-08,919.25
2002-07-09,926.978
2002-07-10,908.468
2002-07-11,906.587
2002-07-12,908.664
2002-07-15,913.909
2002-07-16,890.368
2002-07-17,901.288
2002-07-18,900.022
2002-07-19,882.097
2002-07-22,866.413
2002-07-23,846.803
2002-07-24,817.865
2002-07-25,840.637
2002-07-26,826.593
2002-07-29,813.651
2002-07-30,829.605
2002-07-31,801.13
2002-08-01,801.83
2002-08-02,804.847
2002-08-05,800.157
2002-08-06,782.812
2002-08-07,784.362
2002-08-08,788.918
2002-08-09,801.026
2002-08-12,802.416
2002-08-13,808.106
2002-08-14,820.389
2002-08-15,814.279
2002-08-16,836.805
2002-08-19,826.116
2002-08-20,820.42
2002-08-21,830.531
2002-08-22,827.543
2002-08-23,831.709
2002-08-26,829.349
2002-08-27,835.729
2002-08-28,826.303
2002-08-29,822.928
2002-08-30,830.086
2002-09-02,827.862
2002-09-03,831.394
2002-09-04,831.414
2002-09-05,823.964
2002-09-06,804.946
2002-09-09,813.454
2002-09-10,808.204
2002-09-11,796.146
2002-09-12,793.476
2002-09-13,790.117
2002-09-16,781.547
2002-09-17,779.17
2002-09-18,770.797
2002-09-19,777.743
2002-09-20,772.519
2002-09-23,774.384
2002-09-24,754.633
2002-09-25,764.153
2002-09-26,770.394
2002-09-27,766.7
2002-09-30,787.7
2002-10-01,766.024
2002-10-02,778.415
2002-10-03,775.891
2002-10-04,760.705
2002-10-07,744.732
2002-10-08,724.615
2002-10-09,729.759
2002-10-10,735.446
2002-10-11,749.905
2002-10-14,752.954
2002-10-15,761.98
2002-10-16,764.645
2002-10-17,762.046
2002-10-18,766.576
2002-10-21,769.757
2002-10-22,775.409
2002-10-23,770.759
2002-10-24,776.946
2002-10-25,781.127
2002-10-28,806.195
2002-10-29,809.509
2002-10-30,817.026
2002-10-31,841.695
2002-11-01,846.923
2002-11-04,838.339
2002-11-05,835.286
2002-11-06,835.852
2002-11-07,854.926
2002-11-08,849.288
2002-11-11,840.854
2002-11-12,850.152
2002-11-13,847.791
2002-11-14,841.719
2002-11-15,839.341
2002-11-18,842.158
2002-11-19,850.268
2002-11-20,842.883
2002-11-21,839.883
2002-11-22,841.58
2002-11-25,843.282
2002-11-26,843.199
2002-11-27,835.873
2002-11-28,833.779
2002-11-29,822.404
2002-12-02,828.851
2002-12-03,818.324
2002-12-04,835.974
2002-12-05,835.259
2002-12-06,846.267
2002-12-09,833.679
2002-12-10,839.09
2002-12-11,843.924
2002-12-12,846.099
2002-12-13,852.013
2002-12-16,850.752
2002-12-17,856.588
2002-12-18,855.365
2002-12-19,850.228
2002-12-20,863.203
2002-12-23,876.51
2002-12-24,880.138
2002-12-25,880.138
2002-12-26,882.357
2002-12-27,869.812
2002-12-30,875.8
2002-12-31,879.235
2003-01-01,879.235
2003-01-02,872.316
2003-01-03,876.951
2003-01-06,882.339
2003-01-07,876.359
2003-01-08,873.925
2003-01-09,878.732
2003-01-10,868.943
2003-01-13,884.332
2003-01-14,887.758
2003-01-15,896.637
