Date,AUSTRIA VALUE Standard (Large+Mid Cap)
1974-12-31,100.0
1975-01-31,103.156
1975-02-28,111.285
1975-03-31,111.279
1975-04-30,108.528
1975-05-30,106.375
1975-06-30,104.987
1975-07-31,95.371
1975-08-29,94.352
1975-09-30,91.168
1975-10-31,95.771
1975-11-28,93.882
1975-12-31,96.354
1976-01-30,98.355
1976-02-27,101.502
1976-03-31,103.959
1976-04-30,101.947
1976-05-31,100.351
1976-06-30,99.496
1976-07-30,102.575
1976-08-31,106.64
1976-09-30,111.334
1976-10-29,110.812
1976-11-30,108.313
1976-12-31,115.59
1977-01-31,112.586
1977-02-28,117.872
1977-03-31,116.441
1977-04-29,118.295
1977-05-31,117.556
1977-06-30,116.359
1977-07-29,119.217
1977-08-31,117.955
1977-09-30,116.715
1977-10-31,119.275
1977-11-30,117.032
1977-12-30,126.112
1978-01-31,127.564
1978-02-28,131.113
1978-03-31,134.143
1978-04-28,129.399
1978-05-31,130.175
1978-06-30,130.298
1978-07-31,141.785
1978-08-31,144.384
1978-09-29,148.996
1978-10-31,166.206
1978-11-30,142.73
1978-12-29,151.59
1979-01-31,148.82
1979-02-28,149.394
1979-03-30,159.304
1979-04-30,156.773
1979-05-31,155.817
1979-06-29,160.349
1979-07-31,161.349
1979-08-31,169.812
1979-09-28,178.374
1979-10-31,182.002
1979-11-30,196.409
1979-12-31,206.631
1980-01-31,205.402
1980-02-29,206.683
1980-03-31,191.901
1980-04-30,204.319
1980-05-30,208.873
1980-06-30,206.592
1980-07-31,209.212
1980-08-29,206.61
1980-09-30,202.071
1980-10-31,196.374
1980-11-28,194.132
1980-12-31,192.393
1981-01-30,172.347
1981-02-27,167.664
1981-03-31,165.745
1981-04-30,151.357
1981-05-29,139.994
1981-06-30,134.532
1981-07-31,132.438
1981-08-31,126.093
1981-09-30,127.7
1981-10-30,131.567
1981-11-30,133.448
1981-12-31,137.352
1982-01-29,130.887
1982-02-26,125.44
1982-03-31,120.658
1982-04-30,124.048
1982-05-31,123.909
1982-06-30,114.195
1982-07-30,111.377
