Date,SINGAPORE LARGE VALUE Large Cap
2001-01-01,364.032
2001-01-02,356.841
2001-01-03,351.079
2001-01-04,360.162
2001-01-05,373.601
2001-01-08,366.928
2001-01-09,369.039
2001-01-10,367.838
2001-01-11,357.691
2001-01-12,357.32
2001-01-15,359.122
2001-01-16,354.957
2001-01-17,353.636
2001-01-18,345.117
2001-01-19,347.99
2001-01-22,347.796
2001-01-23,346.885
2001-01-24,346.885
2001-01-25,347.204
2001-01-26,340.892
2001-01-29,346.337
2001-01-30,352.86
2001-01-31,362.978
2001-02-01,361.491
2001-02-02,359.192
2001-02-05,352.691
2001-02-06,349.671
2001-02-07,347.826
2001-02-08,356.632
2001-02-09,356.62
2001-02-12,359.12
2001-02-13,359.102
2001-02-14,357.648
2001-02-15,361.267
2001-02-16,361.34
2001-02-19,356.518
2001-02-20,359.406
2001-02-21,356.581
2001-02-22,353.263
2001-02-23,351.766
2001-02-26,357.595
2001-02-27,353.628
2001-02-28,353.202
2001-03-01,345.774
2001-03-02,344.986
2001-03-05,341.839
2001-03-06,342.131
2001-03-07,346.436
2001-03-08,346.663
2001-03-09,347.001
2001-03-12,336.121
2001-03-13,327.214
2001-03-14,325.493
2001-03-15,323.019
2001-03-16,316.02
2001-03-19,305.834
2001-03-20,306.472
2001-03-21,302.697
2001-03-22,292.162
2001-03-23,303.36
2001-03-26,307.026
2001-03-27,302.43
2001-03-28,295.769
2001-03-29,289.773
2001-03-30,301.298
2001-04-02,295.577
2001-04-03,292.972
2001-04-04,289.995
2001-04-05,300.104
2001-04-06,293.523
2001-04-09,275.913
2001-04-10,276.937
2001-04-11,279.665
2001-04-12,273.853
2001-04-13,273.853
2001-04-16,273.711
2001-04-17,270.05
2001-04-18,277.322
2001-04-19,286.856
2001-04-20,288.692
2001-04-23,298.536
2001-04-24,296.585
2001-04-25,293.505
2001-04-26,294.526
2001-04-27,299.38
2001-04-30,307.9
2001-05-01,309.173
2001-05-02,309.419
2001-05-03,308.556
2001-05-04,302.946
2001-05-07,302.531
2001-05-08,300.251
2001-05-09,293.435
2001-05-10,296.587
2001-05-11,302.95
2001-05-14,296.638
2001-05-15,296.354
2001-05-16,293.01
2001-05-17,296.167
2001-05-18,293.82
2001-05-21,296.027
2001-05-22,297.515
2001-05-23,298.716
2001-05-24,300.531
2001-05-25,295.008
2001-05-28,292.546
2001-05-29,298.466
2001-05-30,292.78
2001-05-31,292.631
2001-06-01,293.325
2001-06-04,300.516
2001-06-05,312.44
2001-06-06,311.434
2001-06-07,309.278
2001-06-08,317.031
2001-06-11,313.479
2001-06-12,308.894
2001-06-13,305.491
2001-06-14,305.695
2001-06-15,307.273
2001-06-18,310.208
2001-06-19,306.339
2001-06-20,300.779
2001-06-21,296.938
2001-06-22,300.209
2001-06-25,292.448
2001-06-26,295.086
2001-06-27,292.859
2001-06-28,299.919
2001-06-29,302.301
2001-07-02,298.421
2001-07-03,297.984
2001-07-04,296.988
2001-07-05,296.724
2001-07-06,290.069
2001-07-09,286.004
2001-07-10,290.555
2001-07-11,289.316
2001-07-12,287.322
2001-07-13,284.789
2001-07-16,283.914
2001-07-17,281.469
2001-07-18,279.06
2001-07-19,281.203
2001-07-20,285.895
2001-07-23,284.811
2001-07-24,288.335
2001-07-25,286.553
2001-07-26,288.564
2001-07-27,291.265
2001-07-30,294.038
2001-07-31,299.247
2001-08-01,301.634
2001-08-02,303.506
2001-08-03,302.519
2001-08-06,303.763
2001-08-07,306.488
2001-08-08,306.335
2001-08-09,306.352
2001-08-10,310.852
2001-08-13,309.708
2001-08-14,312.538
2001-08-15,314.012
