Date,SINGAPORE LARGE VALUE Large Cap
1994-05-31,399.253
1994-06-30,385.1
1994-07-29,394.805
1994-08-31,421.82
1994-09-30,437.881
1994-10-31,457.406
1994-11-30,439.444
1994-12-30,437.227
1995-01-31,406.518
1995-02-28,426.316
1995-03-31,438.741
1995-04-28,440.557
1995-05-31,477.326
1995-06-30,453.754
1995-07-31,460.901
1995-08-31,433.538
1995-09-29,446.46
1995-10-31,447.237
1995-11-30,457.083
1995-12-29,479.741
1996-01-31,535.806
1996-02-29,530.809
1996-03-29,510.338
1996-04-30,516.846
1996-05-31,491.983
1996-06-28,496.871
1996-07-31,461.147
1996-08-30,487.4
1996-09-30,488.276
1996-10-31,460.518
1996-11-29,493.509
1996-12-31,499.022
1997-01-31,523.604
1997-02-28,499.113
1997-03-31,449.24
1997-04-30,437.311
1997-05-30,456.68
1997-06-30,447.124
1997-07-31,456.517
1997-08-29,350.859
1997-09-30,349.997
1997-10-31,293.345
1997-11-28,291.456
1997-12-31,274.904
1998-01-30,217.753
1998-02-27,279.454
1998-03-31,280.141
1998-04-30,257.422
1998-05-29,211.601
1998-06-30,177.366
1998-07-31,175.083
1998-08-31,133.518
1998-09-30,160.18
1998-10-30,224.335
1998-11-30,274.696
1998-12-31,283.947
1999-01-29,267.866
1999-02-26,272.352
1999-03-31,272.692
1999-04-30,358.145
1999-05-31,327.68
1999-06-30,351.396
1999-07-30,354.203
1999-08-31,350.279
1999-09-30,360.287
1999-10-29,381.027
1999-11-30,396.897
1999-12-31,452.012
2000-01-31,387.338
2000-02-29,359.06
2000-03-31,354.255
2000-04-28,382.256
2000-05-31,304.498
2000-06-30,368.954
2000-07-31,374.342
2000-08-31,373.035
2000-09-29,347.768
2000-10-31,362.165
2000-11-30,357.972
2000-12-29,364.032
2001-01-31,362.978
2001-02-28,353.202
2001-03-30,301.298
2001-04-30,307.9
2001-05-31,292.631
2001-06-29,302.301
2001-07-31,299.247
2001-08-31,324.435
2001-09-28,255.407
2001-10-31,266.98
2001-11-30,287.697
2001-12-31,327.448
2002-01-31,374.411
2002-02-28,359.762
2002-03-29,387.781
2002-04-30,375.967
2002-05-31,376.426
2002-06-28,331.952
2002-07-31,331.595
2002-08-30,343.528
2002-09-30,314.871
2002-10-31,348.309
2002-11-29,313.919
2002-12-31,312.355
2003-01-31,293.956
2003-02-28,287.549
2003-03-31,280.495
2003-04-30,285.369
2003-05-30,312.712
2003-06-30,324.912
2003-07-31,352.907
2003-08-29,374.979
2003-09-30,385.786
2003-10-31,411.017
2003-11-28,412.928
2003-12-31,430.599
2004-01-30,443.517
2004-02-27,475.778
2004-03-31,471.234
2004-04-30,464.635
2004-05-31,448.688
2004-06-30,456.773
2004-07-30,467.355
2004-08-31,475.067
2004-09-30,495.53
2004-10-29,493.338
2004-11-30,503.099
2004-12-31,514.118
2005-01-31,514.917
2005-02-28,507.586
2005-03-31,512.023
2005-04-29,503.269
2005-05-31,503.375
2005-06-30,500.799
2005-07-29,556.224
2005-08-31,533.666
2005-09-30,532.221
2005-10-31,518.631
2005-11-30,550.536
2005-12-30,569.518
2006-01-31,593.776
2006-02-28,604.848
2006-03-31,606.154
2006-04-28,655.798
2006-05-31,618.661
2006-06-30,643.576
2006-07-31,642.825
2006-08-31,656.632
2006-09-29,686.891
2006-10-31,747.466
2006-11-30,787.097
2006-12-29,849.594
2007-01-31,850.628
2007-02-28,867.06
2007-03-30,904.93
2007-04-30,925.485
2007-05-31,1000.0
2007-06-29,955.187
2007-07-31,973.056
2007-08-31,904.592
2007-09-28,979.173
2007-10-31,1017.539
2007-11-30,931.153
2007-12-31,935.949
2008-01-31,828.555
2008-02-29,857.197
2008-03-31,909.456
2008-04-30,999.303
2008-05-30,994.275
2008-06-30,939.255
2008-07-31,967.723
2008-08-29,913.416
2008-09-30,815.877
2008-10-31,562.466
2008-11-28,536.924
2008-12-31,577.701
2009-01-30,533.395
2009-02-27,464.573
2009-03-31,491.238
2009-04-30,570.795
2009-05-29,735.705
2009-06-30,742.533
2009-07-31,851.723
2009-08-31,814.548
2009-09-30,856.49
2009-10-30,864.157
2009-11-30,923.825
2009-12-31,967.741
2010-01-29,910.869
2010-02-26,917.079
2010-03-31,954.611
2010-04-30,1019.885
2010-05-31,922.288
2010-06-30,959.77
2010-07-30,1020.825
2010-08-31,1001.223
2010-09-30,1054.0
2010-10-29,1066.331
2010-11-30,1064.56
2010-12-31,1097.847
2011-01-31,1128.062
2011-02-28,1063.82
2011-03-31,1107.274
2011-04-29,1170.684
2011-05-31,1168.593
2011-06-30,1163.124
2011-07-29,1240.812
