Date,KOKUSAI INDEX (WORLD ex JP) MID CAP Mid Cap
1994-05-31,208.595
1994-06-30,203.05
1994-07-29,210.696
1994-08-31,218.805
1994-09-30,213.741
1994-10-31,215.904
1994-11-30,205.76
1994-12-30,208.212
1995-01-31,207.951
1995-02-28,215.219
1995-03-31,220.543
1995-04-28,225.806
1995-05-31,231.04
1995-06-30,236.968
1995-07-31,248.73
1995-08-31,246.659
1995-09-29,252.113
1995-10-31,247.358
1995-11-30,252.424
1995-12-29,256.36
1996-01-31,261.679
1996-02-29,268.814
1996-03-29,272.942
1996-04-30,280.469
1996-05-31,285.013
1996-06-28,281.125
1996-07-31,268.746
1996-08-30,280.173
1996-09-30,288.501
1996-10-31,291.355
1996-11-29,305.48
1996-12-31,307.823
1997-01-31,314.042
1997-02-28,314.497
1997-03-31,306.005
1997-04-30,307.09
1997-05-30,327.342
1997-06-30,338.124
1997-07-31,355.378
1997-08-29,350.655
1997-09-30,371.617
1997-10-31,353.963
1997-11-28,355.915
1997-12-31,363.376
1998-01-30,361.461
1998-02-27,390.421
1998-03-31,414.151
1998-04-30,420.16
1998-05-29,413.025
1998-06-30,409.228
1998-07-31,399.184
1998-08-31,333.524
1998-09-30,340.292
1998-10-30,366.432
1998-11-30,382.126
1998-12-31,398.444
1999-01-29,400.322
1999-02-26,384.748
1999-03-31,392.831
1999-04-30,420.485
1999-05-31,417.105
1999-06-30,430.711
1999-07-30,428.147
1999-08-31,425.242
1999-09-30,416.079
1999-10-29,427.157
1999-11-30,449.623
1999-12-31,501.359
2000-01-31,480.631
2000-02-29,537.958
2000-03-31,536.298
2000-04-28,498.85
2000-05-31,482.237
2000-06-30,502.671
2000-07-31,498.192
2000-08-31,527.933
2000-09-29,507.726
2000-10-31,485.179
2000-11-30,441.564
2000-12-29,472.402
2001-01-31,486.505
2001-02-28,454.709
2001-03-30,418.62
2001-04-30,453.902
2001-05-31,456.222
2001-06-29,449.594
2001-07-31,439.417
2001-08-31,424.14
2001-09-28,366.778
2001-10-31,383.494
2001-11-30,411.139
2001-12-31,425.474
2002-01-31,420.207
2002-02-28,415.934
2002-03-29,442.056
2002-04-30,437.926
2002-05-31,436.756
2002-06-28,409.036
2002-07-31,366.951
2002-08-30,367.746
2002-09-30,331.797
2002-10-31,351.891
2002-11-29,373.839
2002-12-31,358.467
2003-01-31,350.252
2003-02-28,342.27
2003-03-31,344.272
2003-04-30,374.008
2003-05-30,406.948
2003-06-30,408.987
2003-07-31,420.699
2003-08-29,435.004
2003-09-30,434.098
2003-10-31,467.852
2003-11-28,480.09
2003-12-31,501.71
2004-01-30,514.614
2004-02-27,528.941
2004-03-31,525.059
2004-04-30,510.991
2004-05-31,523.138
2004-06-30,536.083
2004-07-30,517.181
2004-08-31,518.513
2004-09-30,540.284
2004-10-29,558.652
2004-11-30,598.276
2004-12-31,623.711
2005-01-31,609.745
2005-02-28,633.623
2005-03-31,624.027
2005-04-29,602.587
2005-05-31,622.501
2005-06-30,637.858
2005-07-29,668.809
2005-08-31,672.319
2005-09-30,686.746
2005-10-31,663.264
2005-11-30,692.95
2005-12-30,710.214
2006-01-31,756.188
2006-02-28,754.955
2006-03-31,777.707
2006-04-28,800.651
2006-05-31,772.888
2006-06-30,774.363
2006-07-31,766.66
2006-08-31,788.881
2006-09-29,801.197
2006-10-31,836.172
2006-11-30,870.404
2006-12-29,884.269
2007-01-31,902.838
2007-02-28,905.456
2007-03-30,926.42
2007-04-30,968.115
2007-05-31,1000.0
2007-06-29,985.814
2007-07-31,955.33
2007-08-31,946.169
2007-09-28,979.453
2007-10-31,1008.465
2007-11-30,946.551
2007-12-31,938.472
2008-01-31,861.28
2008-02-29,864.05
2008-03-31,853.949
2008-04-30,898.877
2008-05-30,930.832
2008-06-30,851.129
2008-07-31,807.942
2008-08-29,807.047
2008-09-30,685.977
2008-10-31,518.756
2008-11-28,479.188
2008-12-31,500.823
2009-01-30,464.555
2009-02-27,420.393
2009-03-31,453.298
2009-04-30,523.518
2009-05-29,565.809
2009-06-30,558.379
2009-07-31,613.31
2009-08-31,646.34
2009-09-30,688.1
2009-10-30,665.506
2009-11-30,692.592
2009-12-31,721.323
2010-01-29,691.143
2010-02-26,707.641
2010-03-31,758.31
2010-04-30,772.389
2010-05-31,698.386
2010-06-30,672.545
2010-07-30,732.431
2010-08-31,704.481
2010-09-30,786.119
2010-10-29,817.261
2010-11-30,807.43
2010-12-31,871.197
2011-01-31,888.481
2011-02-28,921.258
2011-03-31,930.565
2011-04-29,971.102
2011-05-31,956.065
2011-06-30,931.497
2011-07-29,903.245
2011-08-31,837.462
2011-09-30,740.74
2011-10-31,835.867
2011-11-30,814.265
2011-12-30,803.597
2012-01-31,855.361
2012-02-29,899.514
2012-03-30,907.037
2012-04-30,898.514
2012-05-31,812.489
2012-06-29,844.323
2012-07-31,854.333
2012-08-31,883.177
2012-09-28,908.814
2012-10-31,905.441
2012-11-30,921.164
2012-12-31,945.202
2013-01-31,998.858
2013-02-28,1003.248
2013-03-29,1028.066
2013-04-30,1050.131
2013-05-31,1060.172
2013-06-28,1031.183
2013-07-31,1096.582
2013-08-30,1075.233
2013-09-30,1133.463
2013-10-31,1171.624
2013-11-29,1178.647
2013-12-31,1211.475
2014-01-31,1179.923
2014-02-28,1258.28
2014-03-31,1253.16
2014-04-30,1257.56
2014-05-30,1281.174
2014-06-30,1305.388
2014-07-31,1267.989
2014-08-29,1305.73
2014-09-30,1246.884
2014-10-31,1264.341
2014-11-28,1291.425
2014-12-31,1281.578
2015-01-30,1261.585
2015-02-27,1338.507
2015-03-31,1324.078
2015-04-30,1348.097
2015-05-29,1352.89
2015-06-30,1320.981
2015-07-31,1333.055
2015-08-31,1258.542
2015-09-30,1210.399
2015-10-30,1291.856
2015-11-30,1289.431
2015-12-31,1258.763
2016-01-29,1168.232
2016-02-29,1179.784
2016-03-31,1279.987
2016-04-29,1301.163
2016-05-31,1307.25
2016-06-30,1281.014
2016-07-29,1348.287
2016-08-31,1346.413
2016-09-30,1356.177
2016-10-31,1311.392
2016-11-30,1345.378
2016-12-30,1362.118
2017-01-31,1407.086
2017-02-28,1439.027
2017-03-31,1454.533
2017-04-28,1483.096
2017-05-31,1508.921
2017-06-30,1517.206
2017-07-31,1553.008
2017-08-31,1551.987
2017-09-29,1589.717
2017-10-31,1611.251
2017-11-30,1647.646
2017-12-29,1674.446
2018-01-31,1752.003
2018-02-28,1674.008
2018-03-30,1661.141
2018-04-30,1676.448
2018-05-31,1690.032
2018-06-29,1687.503
2018-07-31,1728.265
2018-08-31,1746.694
2018-09-28,1733.793
2018-10-31,1574.277
2018-11-30,1579.464
2018-12-31,1456.185
2019-01-31,1600.022
2019-02-28,1660.74
2019-03-29,1669.838
2019-04-30,1731.109
2019-05-31,1633.37
2019-06-28,1744.344
2019-07-31,1748.861
2019-08-30,1700.64
2019-09-30,1736.222
2019-10-31,1775.44
2019-11-29,1829.42
2019-12-31,1874.581
2020-01-31,1856.189
2020-02-28,1691.774
2020-03-31,1367.586
2020-04-30,1545.467
2020-05-29,1652.111
2020-06-30,1696.461
2020-07-31,1798.998
2020-08-31,1875.082
2020-09-30,1827.978
2020-10-30,1812.74
2020-11-30,2078.303
2020-12-31,2187.038
2021-01-29,2174.054
2021-02-26,2265.012
2021-03-31,2315.568
2021-04-30,2439.051
2021-05-31,2479.582
2021-06-30,2491.249
2021-07-30,2525.357
2021-08-31,2588.157
2021-09-30,2472.282
2021-10-29,2609.538
2021-11-30,2520.499
2021-12-31,2629.032
2022-01-31,2433.285
2022-02-28,2409.887
2022-03-31,2449.419
2022-04-29,2266.446
2022-05-31,2258.413
2022-06-30,2025.087
2022-07-29,2197.713
2022-08-31,2115.743
2022-09-30,1898.594
2022-10-31,2042.462
2022-11-30,2193.709
2022-12-30,2117.867
2023-01-31,2304.278
2023-02-28,2244.659
2023-03-31,2211.355
2023-04-28,2220.679
2023-05-31,2138.458
2023-06-30,2281.357
2023-07-31,2378.61
2023-08-31,2287.818
2023-09-29,2173.905
2023-10-31,2057.931
2023-11-30,2272.188
2023-12-29,2442.061
2024-01-31,2400.32
2024-02-29,2502.128
2024-03-29,2605.935
2024-04-30,2492.815
2024-05-31,2571.212
2024-06-28,2533.177
2024-07-31,2644.451
2024-08-30,2716.347
2024-09-30,2786.91
2024-10-31,2726.542
2024-11-29,2905.526
2024-12-31,2729.608
2025-01-31,2850.307
2025-02-28,2805.864
2025-03-31,2710.952
2025-04-30,2731.161
2025-05-30,2890.399
2025-06-30,3002.304
2025-07-31,3035.289
2025-08-29,3106.102
2025-09-30,3132.636
