Date,KOKUSAI INDEX (WORLD ex JP) MID CAP Mid Cap
2001-01-01,460.412
2001-01-02,447.94
2001-01-03,456.048
2001-01-04,453.691
2001-01-05,446.748
2001-01-08,444.425
2001-01-09,444.002
2001-01-10,449.986
2001-01-11,456.427
2001-01-12,457.67
2001-01-15,456.756
2001-01-16,455.982
2001-01-17,459.596
2001-01-18,462.482
2001-01-19,460.289
2001-01-22,461.174
2001-01-23,467.874
2001-01-24,466.93
2001-01-25,465.737
2001-01-26,466.326
2001-01-29,471.102
2001-01-30,474.013
2001-01-31,474.202
2001-02-01,475.525
2001-02-02,468.633
2001-02-05,468.627
2001-02-06,470.387
2001-02-07,467.562
2001-02-08,464.705
2001-02-09,462.085
2001-02-12,464.567
2001-02-13,461.842
2001-02-14,461.344
2001-02-15,463.093
2001-02-16,458.716
2001-02-19,458.774
2001-02-20,451.467
2001-02-21,446.945
2001-02-22,443.362
2001-02-23,442.35
2001-02-26,449.738
2001-02-27,447.318
2001-02-28,443.28
2001-03-01,442.317
2001-03-02,444.034
2001-03-05,444.163
2001-03-06,449.612
2001-03-07,451.159
2001-03-08,449.933
2001-03-09,442.865
2001-03-12,429.77
2001-03-13,427.094
2001-03-14,418.486
2001-03-15,418.095
2001-03-16,409.298
2001-03-19,414.039
2001-03-20,411.111
2001-03-21,402.18
2001-03-22,392.668
2001-03-23,401.955
2001-03-26,409.143
2001-03-27,413.932
2001-03-28,406.377
2001-03-29,404.712
2001-03-30,408.21
2001-04-02,402.805
2001-04-03,391.362
2001-04-04,392.596
2001-04-05,404.749
2001-04-06,400.636
2001-04-09,404.795
2001-04-10,413.212
2001-04-11,412.655
2001-04-12,418.882
2001-04-13,418.882
2001-04-16,416.03
2001-04-17,417.818
2001-04-18,429.602
2001-04-19,436.114
2001-04-20,435.293
2001-04-23,428.571
2001-04-24,426.611
2001-04-25,431.606
2001-04-26,435.358
2001-04-27,438.909
2001-04-30,442.78
2001-05-01,445.202
2001-05-02,446.918
2001-05-03,440.857
2001-05-04,444.587
2001-05-07,443.318
2001-05-08,443.253
2001-05-09,441.46
2001-05-10,442.623
2001-05-11,439.894
2001-05-14,437.924
2001-05-15,440.425
2001-05-16,448.966
2001-05-17,454.315
2001-05-18,455.088
2001-05-21,462.391
2001-05-22,462.592
2001-05-23,455.473
2001-05-24,455.664
2001-05-25,454.238
2001-05-28,454.783
2001-05-29,449.357
2001-05-30,442.704
2001-05-31,445.297
2001-06-01,447.607
2001-06-04,448.98
2001-06-05,454.71
2001-06-06,451.656
2001-06-07,453.811
2001-06-08,451.032
2001-06-11,444.548
2001-06-12,443.343
2001-06-13,442.133
2001-06-14,434.343
2001-06-15,433.865
2001-06-18,430.714
2001-06-19,430.507
2001-06-20,431.276
2001-06-21,433.015
2001-06-22,430.537
2001-06-25,430.361
2001-06-26,430.111
2001-06-27,431.075
2001-06-28,433.674
2001-06-29,438.976
2001-07-02,438.666
2001-07-03,437.434
2001-07-04,436.646
2001-07-05,431.463
2001-07-06,424.173
2001-07-09,424.412
2001-07-10,421.953
2001-07-11,420.641
2001-07-12,426.391
2001-07-13,427.64
2001-07-16,423.553
2001-07-17,424.575
2001-07-18,424.801
2001-07-19,426.554
2001-07-20,425.322
2001-07-23,421.649
2001-07-24,416.375
2001-07-25,419.429
2001-07-26,423.515
2001-07-27,426.245
2001-07-30,427.049
2001-07-31,429.109
2001-08-01,432.526
2001-08-02,434.779
2001-08-03,433.722
2001-08-06,429.8
2001-08-07,428.256
2001-08-08,422.965
2001-08-09,422.324
2001-08-10,423.668
2001-08-13,426.207
2001-08-14,426.563
2001-08-15,426.463
2001-08-16,425.2
2001-08-17,421.367
2001-08-20,420.568
2001-08-21,418.854
2001-08-22,421.706
2001-08-23,420.617
2001-08-24,425.062
2001-08-27,424.544
2001-08-28,420.949
