Date,KOKUSAI INDEX (WORLD ex JP) MID CAP Mid Cap
1994-05-31,200.888
1994-06-30,195.632
1994-07-29,203.054
1994-08-31,210.881
1994-09-30,206.016
1994-10-31,208.126
1994-11-30,198.36
1994-12-30,200.737
1995-01-31,200.499
1995-02-28,207.519
1995-03-31,212.68
1995-04-28,217.798
1995-05-31,222.94
1995-06-30,228.765
1995-07-31,240.187
1995-08-31,238.206
1995-09-29,243.497
1995-10-31,238.927
1995-11-30,243.838
1995-12-29,247.655
1996-01-31,252.811
1996-02-29,259.727
1996-03-29,263.741
1996-04-30,271.078
1996-05-31,275.565
1996-06-28,271.9
1996-07-31,259.997
1996-08-30,271.069
1996-09-30,279.155
1996-10-31,281.941
1996-11-29,295.62
1996-12-31,297.904
1997-01-31,303.937
1997-02-28,304.407
1997-03-31,296.212
1997-04-30,297.339
1997-05-30,317.048
1997-06-30,327.598
1997-07-31,344.381
1997-08-29,339.813
1997-09-30,360.163
1997-10-31,343.073
1997-11-28,344.978
1997-12-31,352.225
1998-01-30,350.386
1998-02-27,378.473
1998-03-31,401.526
1998-04-30,407.444
1998-05-29,400.634
1998-06-30,397.08
1998-07-31,387.391
1998-08-31,323.685
1998-09-30,330.28
1998-10-30,355.668
1998-11-30,370.917
1998-12-31,386.777
1999-01-29,388.629
1999-02-26,373.559
1999-03-31,381.49
1999-04-30,408.425
1999-05-31,405.247
1999-06-30,418.568
1999-07-30,416.122
1999-08-31,413.369
1999-09-30,404.525
1999-10-29,415.327
1999-11-30,437.233
1999-12-31,487.604
2000-01-31,467.478
2000-02-29,523.302
2000-03-31,521.793
2000-04-28,485.473
2000-05-31,469.445
2000-06-30,489.444
2000-07-31,485.173
2000-08-31,514.223
2000-09-29,494.62
2000-10-31,472.705
2000-11-30,430.286
2000-12-29,460.404
2001-01-31,474.202
2001-02-28,443.28
2001-03-30,408.21
2001-04-30,442.78
2001-05-31,445.297
2001-06-29,438.976
2001-07-31,429.109
2001-08-31,414.274
2001-09-28,358.326
2001-10-31,374.705
2001-11-30,401.795
2001-12-31,415.876
2002-01-31,410.78
2002-02-28,406.67
2002-03-29,432.33
2002-04-30,428.415
2002-05-31,427.507
2002-06-28,400.527
2002-07-31,359.366
2002-08-30,360.275
2002-09-30,325.186
2002-10-31,344.953
2002-11-29,366.601
2002-12-31,351.673
