Date,DENMARK LARGE GROWTH Large Cap
2001-01-01,420.28
2001-01-02,434.539
2001-01-03,431.043
2001-01-04,434.896
2001-01-05,448.571
2001-01-08,458.302
2001-01-09,452.728
2001-01-10,455.916
2001-01-11,456.271
2001-01-12,456.057
2001-01-15,451.433
2001-01-16,457.254
2001-01-17,469.499
2001-01-18,478.294
2001-01-19,475.364
2001-01-22,488.86
2001-01-23,490.344
2001-01-24,491.202
2001-01-25,487.293
2001-01-26,491.063
2001-01-29,490.353
2001-01-30,485.235
2001-01-31,487.097
2001-02-01,483.397
2001-02-02,466.793
2001-02-05,474.426
2001-02-06,477.476
2001-02-07,481.43
2001-02-08,470.992
2001-02-09,477.699
2001-02-12,477.475
2001-02-13,472.158
2001-02-14,468.856
2001-02-15,475.459
2001-02-16,486.647
2001-02-19,486.671
2001-02-20,480.888
2001-02-21,487.586
2001-02-22,470.774
2001-02-23,469.395
2001-02-26,473.343
2001-02-27,479.208
2001-02-28,479.635
2001-03-01,486.96
2001-03-02,480.385
2001-03-05,475.912
2001-03-06,481.365
2001-03-07,484.054
2001-03-08,486.952
2001-03-09,480.124
2001-03-12,476.805
2001-03-13,461.571
2001-03-14,439.276
2001-03-15,443.102
2001-03-16,433.867
2001-03-19,425.357
2001-03-20,421.99
2001-03-21,423.42
2001-03-22,415.556
2001-03-23,420.886
2001-03-26,440.46
2001-03-27,437.131
2001-03-28,432.442
2001-03-29,423.226
2001-03-30,432.422
2001-04-02,426.197
2001-04-03,414.485
2001-04-04,409.305
2001-04-05,416.563
2001-04-06,429.715
2001-04-09,426.336
2001-04-10,419.226
2001-04-11,419.528
2001-04-12,420.89
2001-04-13,420.89
2001-04-16,421.442
2001-04-17,426.481
2001-04-18,426.801
2001-04-19,432.217
2001-04-20,433.715
2001-04-23,433.735
2001-04-24,431.505
2001-04-25,429.928
2001-04-26,424.891
2001-04-27,420.445
2001-04-30,422.183
2001-05-01,421.721
2001-05-02,413.353
2001-05-03,415.759
2001-05-04,403.291
2001-05-07,408.151
2001-05-08,416.93
2001-05-09,409.669
2001-05-10,410.463
2001-05-11,407.187
2001-05-14,400.173
2001-05-15,405.904
2001-05-16,412.387
2001-05-17,418.759
2001-05-18,424.205
2001-05-21,413.039
2001-05-22,419.725
2001-05-23,420.44
2001-05-24,418.888
2001-05-25,414.157
2001-05-28,413.382
2001-05-29,409.245
2001-05-30,409.406
2001-05-31,407.879
2001-06-01,413.758
2001-06-04,414.332
2001-06-05,414.49
2001-06-06,413.195
2001-06-07,410.514
2001-06-08,410.163
2001-06-11,407.627
2001-06-12,413.709
2001-06-13,422.262
2001-06-14,418.262
2001-06-15,410.068
2001-06-18,418.293
2001-06-19,416.707
2001-06-20,419.927
2001-06-21,413.21
2001-06-22,412.031
2001-06-25,409.846
2001-06-26,406.55
2001-06-27,403.008
2001-06-28,400.16
2001-06-29,398.755
2001-07-02,401.55
2001-07-03,411.59
2001-07-04,420.914
2001-07-05,418.127
2001-07-06,421.25
2001-07-09,427.547
2001-07-10,433.1
2001-07-11,432.715
2001-07-12,422.85
2001-07-13,420.489
2001-07-16,415.754
2001-07-17,416.825
2001-07-18,425.164
2001-07-19,435.005
2001-07-20,428.78
2001-07-23,424.14
2001-07-24,429.063
2001-07-25,421.141
2001-07-26,421.135
2001-07-27,428.013
2001-07-30,435.354
2001-07-31,438.649
2001-08-01,439.095
2001-08-02,442.537
2001-08-03,437.118
2001-08-06,435.917
2001-08-07,429.79
2001-08-08,426.49
2001-08-09,427.367
2001-08-10,433.978
2001-08-13,437.295
2001-08-14,432.368
2001-08-15,441.629
2001-08-16,437.772
2001-08-17,442.183
2001-08-20,438.7
2001-08-21,437.004
2001-08-22,433.879
2001-08-23,432.979
2001-08-24,436.605
2001-08-27,434.803
2001-08-28,416.658
2001-08-29,407.407
2001-08-30,400.061
2001-08-31,410.863
2001-09-03,403.133
2001-09-04,391.465
2001-09-05,393.985
2001-09-06,403.488
2001-09-07,407.055
2001-09-10,394.504
2001-09-11,393.249
2001-09-12,395.818
2001-09-13,404.429
2001-09-14,391.937
2001-09-17,386.67
2001-09-18,374.775
2001-09-19,380.067
2001-09-20,364.147
2001-09-21,350.116
2001-09-24,352.16
2001-09-25,344.435
2001-09-26,350.699
2001-09-27,350.089
2001-09-28,353.941
2001-10-01,343.567
2001-10-02,357.56
2001-10-03,360.326
2001-10-04,365.068
2001-10-05,372.557
2001-10-08,362.653
2001-10-09,369.345
2001-10-10,378.062
2001-10-11,385.863
2001-10-12,377.769
2001-10-15,373.592
2001-10-16,368.429
2001-10-17,366.746
2001-10-18,368.304
2001-10-19,363.397
2001-10-22,363.767
2001-10-23,362.057
2001-10-24,372.075
2001-10-25,372.991
2001-10-26,388.699
2001-10-29,379.986
2001-10-30,374.459
2001-10-31,380.675
2001-11-01,384.417
2001-11-02,384.929
2001-11-05,387.266
2001-11-06,383.348
2001-11-07,372.014
2001-11-08,365.462
2001-11-09,354.662
2001-11-12,345.742
2001-11-13,341.681
2001-11-14,350.852
2001-11-15,349.499
2001-11-16,346.363
2001-11-19,339.837
2001-11-20,351.089
2001-11-21,350.182
2001-11-22,356.027
2001-11-23,351.621
2001-11-26,340.999
2001-11-27,343.917
2001-11-28,349.278
2001-11-29,351.786
2001-11-30,371.357
2001-12-03,367.24
2001-12-04,371.12
2001-12-05,372.69
2001-12-06,372.777
2001-12-07,372.382
2001-12-10,365.102
2001-12-11,367.619
2001-12-12,368.272
2001-12-13,366.409
2001-12-14,362.329
2001-12-17,355.655
2001-12-18,362.934
2001-12-19,359.901
2001-12-20,361.841
2001-12-21,362.307
2001-12-24,358.787
2001-12-25,358.787
2001-12-26,359.086
2001-12-27,374.296
2001-12-28,377.674
2001-12-31,381.371
2002-01-01,381.371
2002-01-02,387.733
2002-01-03,391.565
2002-01-04,386.68
2002-01-07,388.235
2002-01-08,381.589
2002-01-09,386.672
2002-01-10,383.228
2002-01-11,376.161
2002-01-14,375.037
2002-01-15,371.064
2002-01-16,365.589
2002-01-17,370.168
2002-01-18,368.861
2002-01-21,369.623
2002-01-22,371.401
2002-01-23,369.38
2002-01-24,372.012
2002-01-25,365.528
2002-01-28,363.64
2002-01-29,362.84
2002-01-30,363.103
2002-01-31,373.889
2002-02-01,378.135
2002-02-04,377.995
2002-02-05,374.956
2002-02-06,371.48
2002-02-07,370.534
2002-02-08,370.232
2002-02-11,375.111
2002-02-12,375.237
2002-02-13,376.345
2002-02-14,381.884
2002-02-15,381.804
2002-02-18,374.768
2002-02-19,375.412
2002-02-20,378.67
2002-02-21,377.161
2002-02-22,375.555
2002-02-25,383.729
2002-02-26,384.266
2002-02-27,389.727
2002-02-28,385.713
2002-03-01,386.047
2002-03-04,393.666
2002-03-05,397.072
2002-03-06,395.788
2002-03-07,396.148
2002-03-08,401.308
2002-03-11,398.472
2002-03-12,391.124
2002-03-13,390.848
2002-03-14,393.637
2002-03-15,393.662
2002-03-18,399.798
2002-03-19,400.533
2002-03-20,397.89
2002-03-21,396.107
2002-03-22,395.751
2002-03-25,397.397
2002-03-26,388.19
2002-03-27,385.685
2002-03-28,385.497
2002-03-29,385.497
2002-04-01,388.672
2002-04-02,391.215
2002-04-03,391.631
2002-04-04,390.496
2002-04-05,391.176
2002-04-08,384.598
2002-04-09,387.41
2002-04-10,361.461
2002-04-11,350.458
2002-04-12,349.083
2002-04-15,345.424
2002-04-16,346.324
2002-04-17,352.818
2002-04-18,348.241
2002-04-19,344.184
2002-04-22,343.607
2002-04-23,334.596
2002-04-24,331.329
2002-04-25,333.495
2002-04-26,333.493
2002-04-29,327.361
2002-04-30,335.777
2002-05-01,342.276
2002-05-02,351.459
2002-05-03,353.786
2002-05-06,356.719
2002-05-07,353.836
2002-05-08,355.061
2002-05-09,354.983
2002-05-10,355.266
2002-05-13,349.085
2002-05-14,345.998
2002-05-15,345.359
2002-05-16,343.458
2002-05-17,354.802
2002-05-20,354.921
2002-05-21,349.94
2002-05-22,343.926
2002-05-23,338.623
2002-05-24,333.136
2002-05-27,330.343
2002-05-28,330.914
2002-05-29,329.993
2002-05-30,334.685
2002-05-31,334.184
2002-06-03,334.112
2002-06-04,333.968
2002-06-05,331.872
2002-06-06,339.898
2002-06-07,320.863
2002-06-10,320.108
2002-06-11,318.661
2002-06-12,322.506
2002-06-13,321.937
2002-06-14,318.283
2002-06-17,321.939
2002-06-18,322.271
2002-06-19,319.098
2002-06-20,317.958
2002-06-21,318.1
2002-06-24,319.157
2002-06-25,318.907
2002-06-26,322.177
2002-06-27,335.161
2002-06-28,348.694
2002-07-01,340.385
2002-07-02,335.698
2002-07-03,326.351
2002-07-04,340.749
2002-07-05,339.057
2002-07-08,341.577
2002-07-09,336.361
2002-07-10,329.997
2002-07-11,310.562
2002-07-12,309.069
2002-07-15,313.003
2002-07-16,303.707
2002-07-17,308.472
2002-07-18,313.51
2002-07-19,308.395
2002-07-22,267.135
2002-07-23,246.226
2002-07-24,243.824
2002-07-25,252.652
2002-07-26,242.801
2002-07-29,247.014
2002-07-30,253.127
2002-07-31,254.667
2002-08-01,259.49
2002-08-02,260.897
2002-08-05,248.744
2002-08-06,280.941
2002-08-07,282.601
2002-08-08,279.452
2002-08-09,289.939
2002-08-12,295.976
2002-08-13,297.898
