Date,DENMARK LARGE GROWTH Large Cap
2001-01-01,410.844
2001-01-02,424.783
2001-01-03,421.365
2001-01-04,425.132
2001-01-05,438.5
2001-01-08,448.013
2001-01-09,442.564
2001-01-10,445.68
2001-01-11,446.027
2001-01-12,445.818
2001-01-15,441.297
2001-01-16,446.988
2001-01-17,458.958
2001-01-18,467.555
2001-01-19,464.692
2001-01-22,477.884
2001-01-23,479.335
2001-01-24,480.174
2001-01-25,476.353
2001-01-26,480.038
2001-01-29,479.344
2001-01-30,474.341
2001-01-31,476.161
2001-02-01,472.544
2001-02-02,456.313
2001-02-05,463.775
2001-02-06,466.756
2001-02-07,470.621
2001-02-08,460.417
2001-02-09,466.974
2001-02-12,466.755
2001-02-13,461.558
2001-02-14,458.329
2001-02-15,464.785
2001-02-16,475.722
2001-02-19,475.745
2001-02-20,470.092
2001-02-21,476.639
2001-02-22,460.204
2001-02-23,458.857
2001-02-26,462.716
2001-02-27,468.45
2001-02-28,468.867
2001-03-01,476.027
2001-03-02,469.599
2001-03-05,465.228
2001-03-06,470.558
2001-03-07,473.186
2001-03-08,476.02
2001-03-09,469.345
2001-03-12,466.1
2001-03-13,451.208
2001-03-14,429.414
2001-03-15,433.154
2001-03-16,424.126
2001-03-19,415.807
2001-03-20,412.515
2001-03-21,414.225
2001-03-22,406.532
2001-03-23,411.745
2001-03-26,430.895
2001-03-27,427.637
2001-03-28,423.05
2001-03-29,414.035
2001-03-30,423.031
2001-04-02,416.941
2001-04-03,405.483
2001-04-04,400.416
2001-04-05,407.516
2001-04-06,420.382
2001-04-09,417.077
2001-04-10,410.122
2001-04-11,410.417
2001-04-12,411.75
2001-04-13,411.75
2001-04-16,412.289
2001-04-17,417.219
2001-04-18,417.532
2001-04-19,422.831
2001-04-20,424.296
2001-04-23,424.316
2001-04-24,422.134
2001-04-25,420.591
2001-04-26,415.663
2001-04-27,411.314
2001-04-30,413.014
2001-05-01,412.562
2001-05-02,404.376
