Date,DENMARK LARGE GROWTH Large Cap
1994-05-31,168.705
1994-06-30,175.712
1994-07-29,183.779
1994-08-31,171.06
1994-09-30,166.793
1994-10-31,166.113
1994-11-30,161.19
1994-12-30,166.692
1995-01-31,166.541
1995-02-28,169.761
1995-03-31,168.044
1995-04-28,178.103
1995-05-31,184.332
1995-06-30,179.237
1995-07-31,189.319
1995-08-31,184.51
1995-09-29,188.336
1995-10-31,187.209
1995-11-30,187.298
1995-12-29,193.587
1996-01-31,204.845
1996-02-29,208.576
1996-03-29,207.239
1996-04-30,207.536
1996-05-31,216.481
1996-06-28,219.8
1996-07-31,229.079
1996-08-30,238.736
1996-09-30,233.306
1996-10-31,242.741
1996-11-29,250.908
1996-12-31,257.704
1997-01-31,272.096
1997-02-28,273.248
1997-03-31,288.197
1997-04-30,287.897
1997-05-30,319.725
1997-06-30,318.465
1997-07-31,353.161
1997-08-29,339.953
1997-09-30,399.403
1997-10-31,355.956
1997-11-28,356.681
1997-12-31,397.728
1998-01-30,385.719
1998-02-27,403.374
1998-03-31,439.486
1998-04-30,421.547
1998-05-29,433.741
1998-06-30,404.647
1998-07-31,392.682
1998-08-31,327.732
1998-09-30,323.113
1998-10-30,345.579
1998-11-30,320.857
1998-12-31,350.323
1999-01-29,332.178
1999-02-26,313.846
1999-03-31,342.482
1999-04-30,376.141
1999-05-31,346.172
1999-06-30,364.254
1999-07-30,386.679
1999-08-31,402.226
1999-09-30,419.039
1999-10-29,414.043
1999-11-30,436.245
1999-12-31,474.766
2000-01-31,435.601
2000-02-29,428.506
2000-03-31,463.556
2000-04-28,417.482
2000-05-31,465.215
2000-06-30,462.215
2000-07-31,470.372
2000-08-31,521.675
2000-09-29,494.885
2000-10-31,451.944
2000-11-30,424.927
2000-12-29,410.844
2001-01-31,476.161
2001-02-28,468.867
2001-03-30,423.031
2001-04-30,413.014
2001-05-31,399.357
2001-06-29,390.423
2001-07-31,429.484
2001-08-31,402.279
2001-09-28,346.546
2001-10-31,372.721
2001-11-30,363.598
2001-12-31,373.403
2002-01-31,366.077
2002-02-28,377.654
2002-03-29,377.78
2002-04-30,329.766
2002-05-31,328.485
2002-06-28,342.747
2002-07-31,250.324
2002-08-30,314.894
2002-09-30,279.756
2002-10-31,283.631
2002-11-29,312.365
2002-12-31,292.908
2003-01-31,277.303
2003-02-28,291.243
2003-03-31,339.608
2003-04-30,372.95
2003-05-30,359.61
2003-06-30,368.169
2003-07-31,358.857
2003-08-29,406.267
2003-09-30,425.632
2003-10-31,451.746
2003-11-28,438.74
2003-12-31,452.954
2004-01-30,473.858
2004-02-27,523.517
2004-03-31,481.393
2004-04-30,456.782
2004-05-31,457.215
2004-06-30,497.047
2004-07-30,498.065
2004-08-31,502.335
2004-09-30,543.528
2004-10-29,508.889
2004-11-30,557.34
2004-12-31,567.192
2005-01-31,558.16
2005-02-28,613.89
2005-03-31,615.032
2005-04-29,573.357
2005-05-31,588.828
2005-06-30,606.925
2005-07-29,619.077
2005-08-31,654.539
2005-09-30,626.693
2005-10-31,588.211
2005-11-30,614.85
2005-12-30,659.365
2006-01-31,647.086
2006-02-28,631.699
2006-03-31,630.873
2006-04-28,647.694
2006-05-31,616.064
2006-06-30,612.808
2006-07-31,592.677
2006-08-31,684.71
2006-09-29,694.791
2006-10-31,720.031
2006-11-30,738.957
2006-12-29,770.743
2007-01-31,808.308
2007-02-28,817.077
2007-03-30,853.385
2007-04-30,931.687
2007-05-31,1000.0
2007-06-29,1015.278
2007-07-31,1045.349
2007-08-31,1065.072
2007-09-28,1136.023
2007-10-31,1157.563
2007-11-30,1109.05
2007-12-31,1085.507
2008-01-31,1012.054
2008-02-29,1107.77
2008-03-31,1146.21
2008-04-30,1122.975
2008-05-30,1159.013
2008-06-30,1132.693
2008-07-31,1098.191
2008-08-29,1059.78
2008-09-30,814.258
2008-10-31,614.332
2008-11-28,586.976
2008-12-31,620.658
2009-01-30,609.856
2009-02-27,562.29
2009-03-31,552.476
2009-04-30,651.922
2009-05-29,708.428
2009-06-30,711.858
2009-07-31,741.033
2009-08-31,786.321
2009-09-30,789.831
2009-10-30,786.692
2009-11-30,824.031
2009-12-31,785.489
2010-01-29,814.919
2010-02-26,805.513
2010-03-31,873.498
2010-04-30,944.074
2010-05-31,829.465
2010-06-30,840.041
2010-07-30,914.579
2010-08-31,862.113
2010-09-30,964.199
2010-10-29,1000.63
2010-11-30,938.388
2010-12-31,1041.199
2011-01-31,1044.926
2011-02-28,1115.647
2011-03-31,1132.324
2011-04-29,1171.484
2011-05-31,1130.677
2011-06-30,1098.125
2011-07-29,1072.17
2011-08-31,900.437
2011-09-30,829.65
2011-10-31,887.116
2011-11-30,930.056
2011-12-30,924.357
2012-01-31,968.25
2012-02-29,1141.185
2012-03-30,1136.818
2012-04-30,1192.706
2012-05-31,1057.559
2012-06-29,1142.518
2012-07-31,1215.906
2012-08-31,1268.8
2012-09-28,1280.206
2012-10-31,1270.542
2012-11-30,1289.091
2012-12-31,1306.532
2013-01-31,1476.925
2013-02-28,1410.357
2013-03-29,1341.392
2013-04-30,1423.177
2013-05-31,1342.785
2013-06-28,1275.8
2013-07-31,1386.052
2013-08-30,1384.847
2013-09-30,1430.762
2013-10-31,1424.069
2013-11-29,1512.572
2013-12-31,1544.693
2014-01-31,1605.203
2014-02-28,1901.082
2014-03-31,1871.871
2014-04-30,1863.002
2014-05-30,1795.931
2014-06-30,1907.315
2014-07-31,1897.914
2014-08-29,1874.487
2014-09-30,1917.241
2014-10-31,1838.242
2014-11-28,1850.378
2014-12-31,1724.641
2015-01-30,1766.901
2015-02-27,1896.883
2015-03-31,2061.978
