Date,SINGAPORE Standard (Large+Mid Cap)
2001-01-01,3974.864
2001-01-02,3906.089
2001-01-03,3844.647
2001-01-04,3947.927
2001-01-05,4073.24
2001-01-08,4014.599
2001-01-09,4057.722
2001-01-10,4017.474
2001-01-11,3920.896
2001-01-12,3944.956
2001-01-15,3961.624
2001-01-16,3931.482
2001-01-17,3913.6
2001-01-18,3828.237
2001-01-19,3860.682
2001-01-22,3861.318
2001-01-23,3849.222
2001-01-24,3849.222
2001-01-25,3852.76
2001-01-26,3816.529
2001-01-29,3874.042
2001-01-30,3921.848
2001-01-31,3986.821
2001-02-01,3976.229
2001-02-02,3953.229
2001-02-05,3902.01
2001-02-06,3896.314
2001-02-07,3889.563
2001-02-08,3978.93
2001-02-09,3964.699
2001-02-12,4005.125
2001-02-13,3998.538
2001-02-14,3953.977
2001-02-15,3961.566
2001-02-16,3957.768
2001-02-19,3904.122
2001-02-20,3956.354
2001-02-21,3924.435
2001-02-22,3888.42
2001-02-23,3894.896
2001-02-26,3942.494
2001-02-27,3888.243
2001-02-28,3893.704
2001-03-01,3830.793
2001-03-02,3829.71
2001-03-05,3795.392
2001-03-06,3798.636
2001-03-07,3799.978
2001-03-08,3800.157
2001-03-09,3804.514
2001-03-12,3702.156
2001-03-13,3579.187
2001-03-14,3558.004
2001-03-15,3548.277
2001-03-16,3474.788
2001-03-19,3390.696
2001-03-20,3393.465
2001-03-21,3355.571
2001-03-22,3263.49
2001-03-23,3352.719
2001-03-26,3344.29
2001-03-27,3262.186
2001-03-28,3205.815
2001-03-29,3146.163
2001-03-30,3237.268
2001-04-02,3160.834
2001-04-03,3162.125
2001-04-04,3134.516
2001-04-05,3237.307
2001-04-06,3216.079
2001-04-09,3044.311
2001-04-10,3079.279
2001-04-11,3097.104
2001-04-12,3040.698
2001-04-13,3040.698
2001-04-16,3040.482
2001-04-17,2998.764
2001-04-18,3088.831
2001-04-19,3148.08
2001-04-20,3156.107
2001-04-23,3226.444
2001-04-24,3204.146
2001-04-25,3167.14
2001-04-26,3165.825
2001-04-27,3204.915
2001-04-30,3275.035
2001-05-01,3288.576
2001-05-02,3292.147
2001-05-03,3281.793
2001-05-04,3227.897
2001-05-07,3223.476
2001-05-08,3201.101
2001-05-09,3158.154
2001-05-10,3188.221
2001-05-11,3236.093
2001-05-14,3178.914
2001-05-15,3188.178
2001-05-16,3153.151
2001-05-17,3197.483
2001-05-18,3173.192
2001-05-21,3171.891
2001-05-22,3189.34
2001-05-23,3199.085
2001-05-24,3217.571
2001-05-25,3185.371
2001-05-28,3162.871
2001-05-29,3197.92
2001-05-30,3150.256
2001-05-31,3139.067
2001-06-01,3126.162
2001-06-04,3150.817
2001-06-05,3174.161
2001-06-06,3172.517
2001-06-07,3194.437
2001-06-08,3250.254
2001-06-11,3203.661
2001-06-12,3178.324
2001-06-13,3199.596
2001-06-14,3191.132
2001-06-15,3228.223
2001-06-18,3224.36
2001-06-19,3196.786
2001-06-20,3158.957
2001-06-21,3146.799
2001-06-22,3207.349
2001-06-25,3175.18
2001-06-26,3180.071
2001-06-27,3149.527
2001-06-28,3164.551
2001-06-29,3191.635
2001-07-02,3146.147
2001-07-03,3145.23
2001-07-04,3128.938
2001-07-05,3116.053
2001-07-06,3060.251
2001-07-09,3043.406
2001-07-10,3088.808
2001-07-11,3059.707
2001-07-12,3076.401
2001-07-13,3025.262
2001-07-16,3026.758
2001-07-17,2993.005
2001-07-18,2972.903
2001-07-19,2979.095
2001-07-20,3016.516
2001-07-23,2999.238
2001-07-24,3012.449
2001-07-25,3020.729
2001-07-26,3050.088
2001-07-27,3066.664
2001-07-30,3104.864
2001-07-31,3152.509
2001-08-01,3164.353
2001-08-02,3171.718
2001-08-03,3138.313
2001-08-06,3147.164
2001-08-07,3160.642
2001-08-08,3135.878
2001-08-09,3136.054
2001-08-10,3183.32
2001-08-13,3153.693
2001-08-14,3195.082
2001-08-15,3213.99
2001-08-16,3202.165
2001-08-17,3178.749
2001-08-20,3149.597
2001-08-21,3167.102
2001-08-22,3173.972
2001-08-23,3181.881
2001-08-24,3163.463
2001-08-27,3201.774
2001-08-28,3189.079
2001-08-29,3199.514
2001-08-30,3152.618
2001-08-31,3184.335
2001-09-03,3180.132
2001-09-04,3180.664
2001-09-05,3175.659
2001-09-06,3131.028
2001-09-07,3075.815
2001-09-10,3030.944
2001-09-11,3059.397
2001-09-12,2911.397
2001-09-13,2878.456
2001-09-14,2799.436
2001-09-17,2648.798
2001-09-18,2614.523
2001-09-19,2630.139
2001-09-20,2569.937
2001-09-21,2399.35
2001-09-24,2487.059
2001-09-25,2453.506
2001-09-26,2441.387
2001-09-27,2504.839
2001-09-28,2533.637
2001-10-01,2552.604
2001-10-02,2565.794
2001-10-03,2546.483
2001-10-04,2645.319
2001-10-05,2644.428
2001-10-08,2560.543
2001-10-09,2619.045
2001-10-10,2569.41
2001-10-11,2627.976
2001-10-12,2662.644
2001-10-15,2685.047
2001-10-16,2686.159
2001-10-17,2711.329
2001-10-18,2640.134
2001-10-19,2600.931
2001-10-22,2596.703
2001-10-23,2636.819
2001-10-24,2663.029
2001-10-25,2644.426
2001-10-26,2645.177
2001-10-29,2600.95
2001-10-30,2594.957
2001-10-31,2555.938
2001-11-01,2524.748
2001-11-02,2512.942
2001-11-05,2513.079
2001-11-06,2506.876
2001-11-07,2496.918
2001-11-08,2510.742
2001-11-09,2575.216
2001-11-12,2591.678
2001-11-13,2570.633
2001-11-14,2570.633
2001-11-15,2694.17
2001-11-16,2664.896
2001-11-19,2732.052
2001-11-20,2715.09
2001-11-21,2744.382
2001-11-22,2708.102
2001-11-23,2727.617
2001-11-26,2761.656
2001-11-27,2809.206
2001-11-28,2771.538
2001-11-29,2722.369
2001-11-30,2750.587
2001-12-03,2781.123
2001-12-04,2886.088
2001-12-05,2987.978
2001-12-06,3057.678
2001-12-07,3081.512
2001-12-10,3057.373
2001-12-11,3030.669
2001-12-12,3030.06
2001-12-13,2982.986
2001-12-14,2947.345
2001-12-17,2944.792
2001-12-18,2987.564
2001-12-19,3025.661
2001-12-20,3007.673
2001-12-21,2972.691
2001-12-24,2979.433
2001-12-25,2979.433
2001-12-26,2969.156
2001-12-27,3008.827
2001-12-28,3039.446
2001-12-31,3044.022
2002-01-01,3044.022
2002-01-02,3046.019
2002-01-03,3114.966
2002-01-04,3178.33
2002-01-07,3214.271
2002-01-08,3227.221
2002-01-09,3193.048
2002-01-10,3235.688
2002-01-11,3232.875
2002-01-14,3289.663
2002-01-15,3232.495
2002-01-16,3181.706
2002-01-17,3146.865
2002-01-18,3153.192
2002-01-21,3177.673
2002-01-22,3147.662
2002-01-23,3158.011
2002-01-24,3155.124
2002-01-25,3305.93
2002-01-28,3389.038
2002-01-29,3384.746
2002-01-30,3354.394
2002-01-31,3415.419
2002-02-01,3404.018
2002-02-04,3363.862
2002-02-05,3300.641
2002-02-06,3345.261
2002-02-07,3288.311
2002-02-08,3316.297
2002-02-11,3325.217
2002-02-12,3328.113
2002-02-13,3329.2
2002-02-14,3416.002
2002-02-15,3403.266
2002-02-18,3380.689
2002-02-19,3341.764
2002-02-20,3318.264
2002-02-21,3312.808
2002-02-22,3230.452
2002-02-25,3185.983
2002-02-26,3207.576
2002-02-27,3245.492
2002-02-28,3284.205
2002-03-01,3290.444
2002-03-04,3483.341
2002-03-05,3497.017
2002-03-06,3480.787
2002-03-07,3487.471
2002-03-08,3486.208
2002-03-11,3496.831
2002-03-12,3448.914
2002-03-13,3443.971
2002-03-14,3445.687
2002-03-15,3452.316
2002-03-18,3458.932
2002-03-19,3505.733
2002-03-20,3491.05
2002-03-21,3468.308
2002-03-22,3471.974
2002-03-25,3452.86
2002-03-26,3422.302
2002-03-27,3439.589
2002-03-28,3450.118
2002-03-29,3450.118
2002-04-01,3415.378
2002-04-02,3425.679
2002-04-03,3404.388
2002-04-04,3398.124
2002-04-05,3410.577
2002-04-08,3375.177
2002-04-09,3347.315
2002-04-10,3274.57
2002-04-11,3319.101
2002-04-12,3345.582
2002-04-15,3357.163
2002-04-16,3389.444
2002-04-17,3406.775
2002-04-18,3368.887
2002-04-19,3339.27
2002-04-22,3346.989
2002-04-23,3369.452
2002-04-24,3358.747
2002-04-25,3355.033
2002-04-26,3381.081
2002-04-29,3335.249
2002-04-30,3350.307
2002-05-01,3353.904
2002-05-02,3372.895
2002-05-03,3401.015
2002-05-06,3359.247
2002-05-07,3343.923
2002-05-08,3375.009
2002-05-09,3367.464
2002-05-10,3378.667
2002-05-13,3379.227
2002-05-14,3386.019
2002-05-15,3405.372
2002-05-16,3387.399
2002-05-17,3409.391
2002-05-20,3398.863
2002-05-21,3413.282
2002-05-22,3426.099
2002-05-23,3366.105
2002-05-24,3388.954
2002-05-27,3391.399
2002-05-28,3367.512
2002-05-29,3319.978
2002-05-30,3331.374
2002-05-31,3287.211
2002-06-03,3293.993
2002-06-04,3242.468
2002-06-05,3233.066
2002-06-06,3229.978
2002-06-07,3238.762
2002-06-10,3265.028
2002-06-11,3249.993
2002-06-12,3230.551
2002-06-13,3230.963
2002-06-14,3156.017
2002-06-17,3135.994
2002-06-18,3133.106
2002-06-19,3068.308
2002-06-20,3104.989
2002-06-21,3057.343
2002-06-24,3044.651
2002-06-25,3093.954
2002-06-26,3035.213
2002-06-27,3035.447
2002-06-28,3081.875
2002-07-01,3069.796
2002-07-02,3073.254
2002-07-03,3145.959
2002-07-04,3177.671
2002-07-05,3270.458
2002-07-08,3244.973
2002-07-09,3305.21
2002-07-10,3292.317
2002-07-11,3248.414
2002-07-12,3269.091
2002-07-15,3277.82
2002-07-16,3227.355
2002-07-17,3217.856
2002-07-18,3205.261
2002-07-19,3188.28
2002-07-22,3134.744
2002-07-23,3182.499
2002-07-24,3093.572
2002-07-25,3082.291
2002-07-26,2998.155
2002-07-29,3013.384
2002-07-30,3041.02
2002-07-31,3019.358
2002-08-01,3037.881
2002-08-02,3040.089
2002-08-05,2976.885
2002-08-06,2911.597
2002-08-07,2982.253
2002-08-08,2960.133
2002-08-09,2965.221
