Date,SINGAPORE Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,98.938
1970-02-27,100.495
1970-03-31,97.934
1970-04-30,91.793
1970-05-29,91.488
1970-06-30,92.15
1970-07-31,93.066
1970-08-31,92.138
1970-09-30,92.958
1970-10-30,93.804
1970-11-30,92.734
1970-12-31,95.634
1971-01-29,101.807
1971-02-26,100.81
1971-03-31,103.078
1971-04-30,105.57
1971-05-31,115.994
1971-06-30,120.068
1971-07-30,126.212
1971-08-31,130.174
1971-09-30,141.462
1971-10-29,145.989
1971-11-30,151.258
1971-12-31,155.854
1972-01-31,166.376
1972-02-29,177.902
1972-03-31,212.902
1972-04-28,217.456
1972-05-31,214.437
1972-06-30,223.132
1972-07-31,254.971
1972-08-31,265.66
1972-09-29,254.841
1972-10-31,270.255
1972-11-30,354.521
1972-12-29,494.928
1973-01-31,575.101
1973-02-28,506.73
1973-03-30,518.474
1973-04-30,401.751
1973-05-31,494.382
1973-06-29,516.343
1973-07-31,484.386
1973-08-31,398.086
1973-09-28,428.474
1973-10-31,448.673
1973-11-30,371.706
1973-12-31,331.202
1974-01-31,340.378
1974-02-28,338.762
1974-03-29,317.655
1974-04-30,283.538
1974-05-31,316.488
1974-06-28,293.812
1974-07-31,252.842
1974-08-30,221.765
1974-09-30,197.046
1974-10-31,206.042
1974-11-29,170.746
1974-12-31,170.388
1975-01-31,261.046
1975-02-28,319.087
1975-03-31,343.026
1975-04-30,337.813
1975-05-30,314.632
1975-06-30,280.664
1975-07-31,259.075
1975-08-29,249.795
1975-09-30,245.761
1975-10-31,271.514
1975-11-28,262.737
1975-12-31,277.775
1976-01-30,343.382
1976-02-27,334.197
1976-03-31,306.463
1976-04-30,326.103
1976-05-31,313.714
1976-06-30,320.304
1976-07-30,311.539
1976-08-31,324.654
1976-09-30,325.982
1976-10-29,307.712
1976-11-30,297.128
1976-12-31,315.148
1977-01-31,312.885
1977-02-28,309.817
1977-03-31,302.079
1977-04-29,296.072
1977-05-31,296.272
1977-06-30,309.677
1977-07-29,319.107
1977-08-31,323.406
1977-09-30,315.707
1977-10-31,318.111
1977-11-30,325.894
1977-12-30,332.226
1978-01-31,327.303
1978-02-28,330.441
1978-03-31,360.559
1978-04-28,378.893
1978-05-31,401.944
1978-06-30,450.621
1978-07-31,468.259
1978-08-31,545.369
1978-09-29,483.923
1978-10-31,557.284
1978-11-30,462.643
1978-12-29,480.14
1979-01-31,525.133
1979-02-28,492.461
1979-03-30,524.195
1979-04-30,537.887
1979-05-31,563.139
1979-06-29,541.506
1979-07-31,555.89
1979-08-31,579.039
1979-09-28,615.929
1979-10-31,568.198
1979-11-30,579.518
1979-12-31,614.983
1980-01-31,687.477
1980-02-29,713.708
1980-03-31,627.622
1980-04-30,672.83
1980-05-30,764.176
1980-06-30,830.671
1980-07-31,869.46
1980-08-29,913.726
1980-09-30,861.304
1980-10-31,964.332
1980-11-28,1012.872
1980-12-31,997.886
1981-01-30,1131.302
1981-02-27,1242.515
1981-03-31,1235.04
1981-04-30,1321.439
1981-05-29,1262.294
1981-06-30,1377.078
1981-07-31,1170.15
1981-08-31,919.16
1981-09-30,935.438
1981-10-30,957.986
1981-11-30,1157.095
1981-12-31,1177.886
1982-01-29,1151.172
1982-02-26,1045.403
1982-03-31,1009.277
1982-04-30,1079.272
1982-05-31,1078.008
1982-06-30,962.857
1982-07-30,876.913
1982-08-31,835.889
1982-09-30,856.159
1982-10-29,915.013
1982-11-30,927.497
1982-12-31,981.135
1983-01-31,1064.805
1983-02-28,1133.169
1983-03-31,1166.28
1983-04-29,1277.875
1983-05-31,1249.728
1983-06-30,1267.846
1983-07-29,1204.23
1983-08-31,1237.592
1983-09-30,1224.714
1983-10-31,1190.598
1983-11-30,1196.81
1983-12-30,1292.641
1984-01-31,1324.596
1984-02-29,1278.94
1984-03-30,1252.3
1984-04-30,1248.272
1984-05-31,1163.479
1984-06-29,1079.88
1984-07-31,1105.285
1984-08-31,1098.451
1984-09-28,1056.582
1984-10-31,986.901
1984-11-30,952.854
1984-12-31,944.656
1985-01-31,967.964
1985-02-28,948.471
1985-03-29,947.807
1985-04-30,925.155
1985-05-31,951.804
1985-06-28,902.282
1985-07-31,897.675
1985-08-30,833.537
1985-09-30,915.501
1985-10-31,906.87
1985-11-29,837.118
1985-12-31,735.013
1986-01-31,724.343
1986-02-28,741.707
1986-03-31,677.592
1986-04-30,645.19
1986-05-30,709.785
1986-06-30,834.48
1986-07-31,834.835
1986-08-29,939.85
1986-09-30,910.942
1986-10-31,1113.87
1986-11-28,1030.537
1986-12-31,1067.037
1987-01-30,1180.247
1987-02-27,1343.698
