Date,SINGAPORE Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,98.978
1970-02-27,100.575
1970-03-31,98.053
1970-04-30,91.945
1970-05-29,91.681
1970-06-30,92.387
1970-07-31,93.348
1970-08-31,92.459
1970-09-30,93.325
1970-10-30,94.218
1970-11-30,93.188
1970-12-31,96.148
1971-01-29,102.399
1971-02-26,101.441
1971-03-31,103.769
1971-04-30,106.325
1971-05-31,116.87
1971-06-30,121.023
1971-07-30,127.265
1971-08-31,131.31
1971-09-30,142.749
1971-10-29,147.369
1971-11-30,152.739
1971-12-31,157.439
1972-01-31,168.126
1972-02-29,179.833
1972-03-31,215.271
1972-04-28,219.933
1972-05-31,216.938
1972-06-30,225.793
1972-07-31,258.07
1972-08-31,268.951
1972-09-29,258.058
1972-10-31,273.73
1972-11-30,359.144
1972-12-29,501.442
1973-01-31,582.733
1973-02-28,513.532
1973-03-30,525.512
1973-04-30,407.286
1973-05-31,501.274
1973-06-29,523.624
1973-07-31,491.31
1973-08-31,403.897
1973-09-28,434.816
1973-10-31,455.4
1973-11-30,377.366
1973-12-31,336.333
1974-01-31,345.737
1974-02-28,344.185
1974-03-29,322.836
1974-04-30,288.261
1974-05-31,321.856
1974-06-28,298.909
1974-07-31,257.359
1974-08-30,225.826
1974-09-30,200.753
1974-10-31,210.023
1974-11-29,174.157
1974-12-31,173.907
1975-01-31,266.549
1975-02-28,325.928
1975-03-31,350.496
1975-04-30,345.287
1975-05-30,321.712
1975-06-30,287.094
1975-07-31,265.121
1975-08-29,255.737
1975-09-30,251.722
1975-10-31,278.222
1975-11-28,269.349
1975-12-31,284.885
1976-01-30,352.28
1976-02-27,342.97
1976-03-31,314.618
1976-04-30,334.891
1976-05-31,322.278
1976-06-30,329.156
1976-07-30,320.258
1976-08-31,333.85
1976-09-30,335.325
1976-10-29,316.641
1976-11-30,305.862
1976-12-31,324.525
1977-01-31,322.304
1977-02-28,319.261
1977-03-31,311.406
1977-04-29,305.33
1977-05-31,305.652
1977-06-30,319.602
1977-07-29,329.459
1977-08-31,334.021
1977-09-30,326.197
1977-10-31,328.817
1977-11-30,337.0
1977-12-30,343.689
1978-01-31,338.738
1978-02-28,342.129
1978-03-31,373.465
1978-04-28,392.604
