Date,SINGAPORE Standard (Large+Mid Cap)
2001-11-20,2588.357
2001-11-21,2616.281
2001-11-22,2581.695
2001-11-23,2600.299
2001-11-26,2632.749
2001-11-27,2678.08
2001-11-28,2642.169
2001-11-29,2595.296
2001-11-30,2622.197
2001-12-03,2651.307
2001-12-04,2751.373
2001-12-05,2848.507
2001-12-06,2914.954
2001-12-07,2937.675
2001-12-10,2914.663
2001-12-11,2889.206
2001-12-12,2888.624
2001-12-13,2843.748
2001-12-14,2809.77
2001-12-17,2807.337
2001-12-18,2848.113
2001-12-19,2884.431
2001-12-20,2867.283
2001-12-21,2833.934
2001-12-24,2840.361
2001-12-25,2840.361
2001-12-26,2830.563
2001-12-27,2868.383
2001-12-28,2897.573
2001-12-31,2901.935
2002-01-01,2901.935
2002-01-02,2903.838
2002-01-03,2969.567
2002-01-04,3029.974
2002-01-07,3064.237
2002-01-08,3076.583
2002-01-09,3044.005
2002-01-10,3084.654
2002-01-11,3081.973
2002-01-14,3136.11
2002-01-15,3081.611
2002-01-16,3033.192
2002-01-17,2999.977
2002-01-18,3006.009
2002-01-21,3029.347
2002-01-22,3000.737
2002-01-23,3010.603
2002-01-24,3007.851
2002-01-25,3151.618
2002-01-28,3230.846
2002-01-29,3226.755
2002-01-30,3197.819
2002-01-31,3255.996
2002-02-01,3245.127
2002-02-04,3206.846
2002-02-05,3146.576
2002-02-06,3189.113
2002-02-07,3134.821
2002-02-08,3161.501
2002-02-11,3170.005
2002-02-12,3172.765
2002-02-13,3173.802
2002-02-14,3256.552
2002-02-15,3244.41
2002-02-18,3222.887
2002-02-19,3185.779
2002-02-20,3163.376
2002-02-21,3158.175
2002-02-22,3079.663
2002-02-25,3037.27
2002-02-26,3057.855
2002-02-27,3094.001
2002-02-28,3130.907
2002-03-01,3136.855
2002-03-04,3320.748
2002-03-05,3333.786
2002-03-06,3318.313
2002-03-07,3324.685
2002-03-08,3323.481
2002-03-11,3333.608
2002-03-12,3287.928
2002-03-13,3283.215
2002-03-14,3284.851
2002-03-15,3291.171
2002-03-18,3297.478
2002-03-19,3342.095
2002-03-20,3328.096
2002-03-21,3306.416
2002-03-22,3309.911
2002-03-25,3291.689
2002-03-26,3262.558
2002-03-27,3279.038
2002-03-28,3289.076
2002-03-29,3289.076
2002-04-01,3255.957
2002-04-02,3265.777
2002-04-03,3245.48
2002-04-04,3239.508
2002-04-05,3251.38
2002-04-08,3217.633
2002-04-09,3191.071
2002-04-10,3121.721
2002-04-11,3164.174
2002-04-12,3189.419
2002-04-15,3200.46
2002-04-16,3231.234
2002-04-17,3247.756
2002-04-18,3211.636
2002-04-19,3183.401
2002-04-22,3190.76
2002-04-23,3212.175
2002-04-24,3201.969
2002-04-25,3198.429
2002-04-26,3223.261
2002-04-29,3179.568
2002-04-30,3193.923
2002-05-01,3197.352
2002-05-02,3215.457
2002-05-03,3242.265
2002-05-06,3202.446
2002-05-07,3187.838
2002-05-08,3217.473
2002-05-09,3210.28
2002-05-10,3220.96
2002-05-13,3221.493
2002-05-14,3227.969
2002-05-15,3246.418
2002-05-16,3229.284
2002-05-17,3250.249
2002-05-20,3240.212
2002-05-21,3253.959
2002-05-22,3266.178
2002-05-23,3208.984
2002-05-24,3230.767
2002-05-27,3233.097
2002-05-28,3210.326
2002-05-29,3165.01
2002-05-30,3175.874
2002-05-31,3133.773
2002-06-03,3140.238
2002-06-04,3091.118
2002-06-05,3082.154
2002-06-06,3079.211
2002-06-07,3087.585
2002-06-10,3112.625
2002-06-11,3098.291
2002-06-12,3079.757
2002-06-13,3080.15
2002-06-14,3008.702
2002-06-17,2989.614
2002-06-18,2986.861
2002-06-19,2925.087
2002-06-20,2960.056
2002-06-21,2914.634
2002-06-24,2902.534
2002-06-25,2949.536
2002-06-26,2893.537
2002-06-27,2893.761
2002-06-28,2938.021
2002-07-01,2926.506
2002-07-02,2929.802
2002-07-03,2999.114
2002-07-04,3029.345
2002-07-05,3117.802
2002-07-08,3093.506
2002-07-09,3150.931
2002-07-10,3138.64
2002-07-11,3096.787
2002-07-12,3116.498
2002-07-15,3124.82
2002-07-16,3076.71
2002-07-17,3067.655
2002-07-18,3055.647
2002-07-19,3039.459
2002-07-22,2988.423
2002-07-23,3033.948
2002-07-24,2949.172
2002-07-25,2938.418
2002-07-26,2858.209
2002-07-29,2872.727
2002-07-30,2899.073
2002-07-31,2878.423
2002-08-01,2896.081
2002-08-02,2898.185
2002-08-05,2837.931
2002-08-06,2775.691
2002-08-07,2843.049
2002-08-08,2821.962
2002-08-09,2826.812
2002-08-12,2841.057
2002-08-13,2930.534
2002-08-14,2951.449
2002-08-15,2956.423
2002-08-16,2944.624
2002-08-19,2962.088
2002-08-20,2970.845
2002-08-21,2979.186
2002-08-22,2982.61
2002-08-23,2960.315
2002-08-26,2921.919
2002-08-27,2923.362
2002-08-28,2915.282
2002-08-29,2881.523
2002-08-30,2872.151
2002-09-02,2809.736
2002-09-03,2807.013
2002-09-04,2812.778
2002-09-05,2790.492
2002-09-06,2775.819
2002-09-09,2736.787
2002-09-10,2777.103
2002-09-11,2774.966
2002-09-12,2741.746
2002-09-13,2719.422
2002-09-16,2730.265
2002-09-17,2767.281
2002-09-18,2715.608
2002-09-19,2741.956
2002-09-20,2688.651
2002-09-23,2673.334
2002-09-24,2593.46
2002-09-25,2517.189
2002-09-26,2544.663
2002-09-27,2586.047
2002-09-30,2545.305
2002-10-01,2534.556
2002-10-02,2534.921
2002-10-03,2536.024
2002-10-04,2573.181
2002-10-07,2578.436
2002-10-08,2617.277
2002-10-09,2574.485
2002-10-10,2529.179
2002-10-11,2565.328
2002-10-14,2565.81
2002-10-15,2668.172
2002-10-16,2705.498
2002-10-17,2775.955
2002-10-18,2749.94
2002-10-21,2751.467
2002-10-22,2749.042
2002-10-23,2771.804
2002-10-24,2759.236
2002-10-25,2798.89
2002-10-28,2801.404
2002-10-29,2760.506
2002-10-30,2774.046
2002-10-31,2789.96
2002-11-01,2716.812
2002-11-04,2719.346
2002-11-05,2740.327
2002-11-06,2753.512
2002-11-07,2712.986
2002-11-08,2719.227
2002-11-11,2674.372
2002-11-12,2674.416
2002-11-13,2649.088
2002-11-14,2649.431
2002-11-15,2699.577
2002-11-18,2663.421
2002-11-19,2648.147
2002-11-20,2614.385
2002-11-21,2651.34
2002-11-22,2703.926
2002-11-25,2696.741
2002-11-26,2668.113
2002-11-27,2656.28
2002-11-28,2678.274
2002-11-29,2642.664
2002-12-02,2644.785
2002-12-03,2623.252
2002-12-04,2586.45
2002-12-05,2579.211
2002-12-06,2591.493
2002-12-09,2559.551
2002-12-10,2589.349
2002-12-11,2602.927
2002-12-12,2621.965
2002-12-13,2615.201
2002-12-16,2601.905
2002-12-17,2569.243
2002-12-18,2556.155
2002-12-19,2597.525
2002-12-20,2558.335
2002-12-23,2563.244
2002-12-24,2564.642
2002-12-25,2564.642
2002-12-26,2553.833
2002-12-27,2578.153
2002-12-30,2558.514
2002-12-31,2581.368
2003-01-01,2581.368
2003-01-02,2559.813
2003-01-03,2561.548
2003-01-06,2557.726
2003-01-07,2523.153
2003-01-08,2558.276
2003-01-09,2568.365
2003-01-10,2592.447
2003-01-13,2676.022
2003-01-14,2721.345
2003-01-15,2690.398
2003-01-16,2676.063
2003-01-17,2646.363
2003-01-20,2640.92
2003-01-21,2638.77
2003-01-22,2648.933
2003-01-23,2642.285
2003-01-24,2627.663
2003-01-27,2566.412
2003-01-28,2584.194
2003-01-29,2511.748
