Date,WORLD LARGE VALUE Large Cap
1994-05-31,270.509
1994-06-30,271.155
1994-07-29,275.954
1994-08-31,283.055
1994-09-30,274.638
1994-10-31,283.469
1994-11-30,270.872
1994-12-30,273.164
1995-01-31,269.076
1995-02-28,272.045
1995-03-31,286.945
1995-04-28,296.516
1995-05-31,299.418
1995-06-30,297.627
1995-07-31,311.771
1995-08-31,306.158
1995-09-29,315.806
1995-10-31,310.963
1995-11-30,322.405
1995-12-29,334.129
1996-01-31,340.045
1996-02-29,341.276
1996-03-29,345.779
1996-04-30,352.816
1996-05-31,352.716
1996-06-28,354.964
1996-07-31,345.126
1996-08-30,348.113
1996-09-30,360.571
1996-10-31,365.958
1996-11-29,387.643
1996-12-31,384.35
1997-01-31,386.054
1997-02-28,392.133
1997-03-31,385.219
1997-04-30,393.741
1997-05-30,420.197
1997-06-30,438.816
1997-07-31,457.802
1997-08-29,432.106
1997-09-30,454.721
1997-10-31,434.503
1997-11-28,440.209
1997-12-31,447.36
1998-01-30,455.212
1998-02-27,484.393
1998-03-31,507.454
1998-04-30,509.682
1998-05-29,505.683
1998-06-30,511.563
1998-07-31,506.679
1998-08-31,438.888
1998-09-30,447.327
1998-10-30,486.66
1998-11-30,508.569
1998-12-31,521.199
1999-01-29,521.873
1999-02-26,513.518
1999-03-31,532.106
1999-04-30,574.347
1999-05-31,553.802
1999-06-30,569.477
1999-07-30,566.65
1999-08-31,557.46
1999-09-30,547.662
1999-10-29,570.839
1999-11-30,568.628
1999-12-31,582.206
2000-01-31,548.649
2000-02-29,522.298
2000-03-31,570.065
2000-04-28,557.638
2000-05-31,561.433
2000-06-30,563.463
2000-07-31,555.636
2000-08-31,575.794
2000-09-29,571.996
2000-10-31,580.132
2000-11-30,560.744
2000-12-29,587.663
2001-01-31,590.852
2001-02-28,565.418
2001-03-30,539.232
2001-04-30,566.867
2001-05-31,567.962
2001-06-29,553.625
2001-07-31,550.199
2001-08-31,536.044
2001-09-28,494.315
2001-10-31,494.117
2001-11-30,512.676
2001-12-31,518.131
2002-01-31,505.67
2002-02-28,507.255
2002-03-29,532.561
2002-04-30,524.241
2002-05-31,532.335
2002-06-28,500.463
2002-07-31,460.463
2002-08-30,464.474
2002-09-30,409.915
2002-10-31,438.427
2002-11-29,461.488
2002-12-31,442.419
2003-01-31,427.868
2003-02-28,418.55
2003-03-31,413.444
2003-04-30,452.935
2003-05-30,479.051
2003-06-30,488.804
2003-07-31,493.96
2003-08-29,501.297
2003-09-30,503.996
2003-10-31,530.653
2003-11-28,538.236
2003-12-31,582.409
2004-01-30,587.762
2004-02-27,598.314
2004-03-31,593.358
2004-04-30,582.725
2004-05-31,586.695
2004-06-30,601.051
2004-07-30,591.825
2004-08-31,598.068
2004-09-30,607.682
2004-10-29,621.544
2004-11-30,652.75
2004-12-31,674.576
2005-01-31,661.245
2005-02-28,687.483
2005-03-31,672.655
2005-04-29,660.121
2005-05-31,665.3
2005-06-30,672.723
2005-07-29,690.524
2005-08-31,694.722
2005-09-30,714.482
2005-10-31,696.569
2005-11-30,716.872
2005-12-30,731.627
2006-01-31,761.388
2006-02-28,767.459
2006-03-31,781.354
2006-04-28,811.205
2006-05-31,789.455
2006-06-30,791.048
2006-07-31,810.562
2006-08-31,829.152
2006-09-29,840.161
2006-10-31,871.198
2006-11-30,890.356
2006-12-29,918.983
2007-01-31,923.048
2007-02-28,915.723
2007-03-30,931.199
2007-04-30,973.625
2007-05-31,1000.0
2007-06-29,990.381
2007-07-31,958.282
2007-08-31,954.654
2007-09-28,995.695
2007-10-31,1017.822
2007-11-30,970.837
2007-12-31,954.906
2008-01-31,888.947
2008-02-29,868.595
2008-03-31,861.562
2008-04-30,906.695
2008-05-30,901.838
2008-06-30,817.671
2008-07-31,804.181
2008-08-29,794.429
2008-09-30,715.43
2008-10-31,586.939
2008-11-28,555.068
2008-12-31,568.546
2009-01-30,502.25
2009-02-27,440.458
2009-03-31,476.001
2009-04-30,539.152
2009-05-29,591.407
2009-06-30,584.385
2009-07-31,636.54
2009-08-31,673.561
2009-09-30,694.977
2009-10-30,677.839
2009-11-30,706.056
2009-12-31,711.079
2010-01-29,685.258
2010-02-26,689.255
2010-03-31,731.39
2010-04-30,727.645
2010-05-31,656.925
2010-06-30,632.528
2010-07-30,686.441
2010-08-31,659.893
2010-09-30,712.053
2010-10-29,734.664
2010-11-30,709.342
2010-12-31,765.315
2011-01-31,792.725
2011-02-28,824.477
2011-03-31,811.578
2011-04-29,845.769
2011-05-31,823.065
2011-06-30,811.182
2011-07-29,786.572
2011-08-31,728.556
2011-09-30,673.662
2011-10-31,738.483
2011-11-30,717.952
2011-12-30,726.417
2012-01-31,754.594
2012-02-29,789.32
2012-03-30,796.82
2012-04-30,783.073
2012-05-31,716.564
2012-06-29,762.222
2012-07-31,770.226
2012-08-31,787.355
2012-09-28,811.81
2012-10-31,812.924
2012-11-30,815.524
2012-12-31,836.371
2013-01-31,885.703
2013-02-28,881.61
2013-03-29,898.627
2013-04-30,933.073
2013-05-31,934.475
2013-06-28,913.232
2013-07-31,959.753
2013-08-30,934.498
2013-09-30,975.837
2013-10-31,1019.172
2013-11-29,1037.416
2013-12-31,1056.162
2014-01-31,1015.704
2014-02-28,1061.762
2014-03-31,1075.821
2014-04-30,1094.774
2014-05-30,1108.152
2014-06-30,1128.034
2014-07-31,1111.697
2014-08-29,1129.755
2014-09-30,1099.623
2014-10-31,1099.158
2014-11-28,1110.92
2014-12-31,1091.742
2015-01-30,1056.198
2015-02-27,1114.082
2015-03-31,1088.391
2015-04-30,1124.348
2015-05-29,1121.87
2015-06-30,1090.86
2015-07-31,1100.793
2015-08-31,1028.282
2015-09-30,988.666
2015-10-30,1066.068
2015-11-30,1057.152
2015-12-31,1037.626
2016-01-29,979.06
2016-02-29,970.372
2016-03-31,1034.296
2016-04-29,1058.623
2016-05-31,1062.115
2016-06-30,1050.384
2016-07-29,1087.249
2016-08-31,1098.205
2016-09-30,1099.112
2016-10-31,1092.716
2016-11-30,1121.814
2016-12-30,1162.262
2017-01-31,1174.957
2017-02-28,1202.501
2017-03-31,1208.973
2017-04-28,1213.783
2017-05-31,1223.492
2017-06-30,1240.397
2017-07-31,1267.743
2017-08-31,1257.131
2017-09-29,1296.706
2017-10-31,1309.667
2017-11-30,1335.896
2017-12-29,1354.414
2018-01-31,1414.019
2018-02-28,1340.828
2018-03-30,1308.579
2018-04-30,1325.207
2018-05-31,1306.675
2018-06-29,1305.485
2018-07-31,1356.302
2018-08-31,1347.816
2018-09-28,1362.878
2018-10-31,1293.174
2018-11-30,1315.301
2018-12-31,1213.595
2019-01-31,1296.171
2019-02-28,1329.812
2019-03-29,1333.761
2019-04-30,1372.183
2019-05-31,1286.205
2019-06-28,1367.905
2019-07-31,1365.017
2019-08-30,1322.825
2019-09-30,1372.731
2019-10-31,1400.99
2019-11-29,1430.804
2019-12-31,1474.864
2020-01-31,1431.321
2020-02-28,1295.1
2020-03-31,1092.57
2020-04-30,1184.221
2020-05-29,1215.76
2020-06-30,1221.324
2020-07-31,1250.364
2020-08-31,1306.883
2020-09-30,1263.776
2020-10-30,1223.506
2020-11-30,1404.781
2020-12-31,1451.747
2021-01-29,1433.314
2021-02-26,1497.51
2021-03-31,1586.852
2021-04-30,1633.891
2021-05-31,1684.117
2021-06-30,1662.381
2021-07-30,1672.261
2021-08-31,1696.867
2021-09-30,1647.061
2021-10-29,1724.408
2021-11-30,1658.802
2021-12-31,1770.636
2022-01-31,1756.747
2022-02-28,1723.639
2022-03-31,1766.958
2022-04-29,1681.324
2022-05-31,1720.098
2022-06-30,1575.28
2022-07-29,1640.166
2022-08-31,1589.012
2022-09-30,1460.885
2022-10-31,1607.132
2022-11-30,1723.709
2022-12-30,1682.541
2023-01-31,1749.34
2023-02-28,1697.922
2023-03-31,1695.698
2023-04-28,1730.325
2023-05-31,1652.631
2023-06-30,1748.776
2023-07-31,1812.651
2023-08-31,1764.832
2023-09-29,1719.755
2023-10-31,1665.66
2023-11-30,1782.958
2023-12-29,1872.309
2024-01-31,1883.519
2024-02-29,1929.054
2024-03-29,2017.769
2024-04-30,1950.258
2024-05-31,2011.187
2024-06-28,2001.371
2024-07-31,2092.524
2024-08-30,2152.85
2024-09-30,2187.31
