Date,WORLD LARGE VALUE Large Cap
2001-01-01,587.663
2001-01-02,584.166
2001-01-03,589.723
2001-01-04,587.527
2001-01-05,583.8
2001-01-08,583.559
2001-01-09,579.225
2001-01-10,579.25
2001-01-11,579.729
2001-01-12,577.422
2001-01-15,577.073
2001-01-16,579.225
2001-01-17,579.306
2001-01-18,582.082
2001-01-19,577.499
2001-01-22,579.681
2001-01-23,582.973
2001-01-24,581.079
2001-01-25,583.5
2001-01-26,582.755
2001-01-29,585.179
2001-01-30,589.76
2001-01-31,590.852
2001-02-01,594.271
2001-02-02,589.435
2001-02-05,592.358
2001-02-06,590.468
2001-02-07,587.339
2001-02-08,584.423
2001-02-09,583.205
2001-02-12,588.125
2001-02-13,585.149
2001-02-14,581.152
2001-02-15,579.526
2001-02-16,578.186
2001-02-19,578.279
2001-02-20,572.337
2001-02-21,565.245
2001-02-22,564.613
2001-02-23,561.557
2001-02-26,567.814
2001-02-27,569.597
2001-02-28,565.418
2001-03-01,564.455
2001-03-02,565.244
2001-03-05,566.352
2001-03-06,569.228
2001-03-07,571.789
2001-03-08,575.189
2001-03-09,569.483
2001-03-12,554.111
2001-03-13,550.239
2001-03-14,536.481
2001-03-15,542.335
2001-03-16,531.462
2001-03-19,535.616
2001-03-20,531.873
2001-03-21,525.375
2001-03-22,510.669
2001-03-23,520.568
2001-03-26,532.681
2001-03-27,544.007
2001-03-28,537.435
2001-03-29,534.84
2001-03-30,539.232
2001-04-02,535.381
2001-04-03,525.633
2001-04-04,529.402
2001-04-05,540.768
2001-04-06,536.369
2001-04-09,539.586
2001-04-10,546.3
2001-04-11,543.908
2001-04-12,548.882
2001-04-13,548.437
2001-04-16,547.528
2001-04-17,549.556
2001-04-18,559.592
2001-04-19,563.21
2001-04-20,560.478
2001-04-23,557.785
2001-04-24,555.594
2001-04-25,561.037
2001-04-26,565.764
2001-04-27,569.771
2001-04-30,566.867
2001-05-01,573.032
2001-05-02,571.428
2001-05-03,566.828
2001-05-04,571.929
2001-05-07,572.393
2001-05-08,567.209
2001-05-09,566.131
2001-05-10,568.498
2001-05-11,564.842
2001-05-14,562.562
2001-05-15,566.344
2001-05-16,575.142
2001-05-17,577.235
2001-05-18,577.9
2001-05-21,581.508
2001-05-22,579.768
2001-05-23,575.674
2001-05-24,575.883
2001-05-25,571.988
2001-05-28,571.974
2001-05-29,571.583
2001-05-30,566.775
2001-05-31,567.962
2001-06-01,567.717
2001-06-04,570.337
2001-06-05,573.288
2001-06-06,568.079
2001-06-07,568.431
2001-06-08,565.615
2001-06-11,561.105
2001-06-12,558.838
2001-06-13,558.45
2001-06-14,553.253
2001-06-15,551.167
2001-06-18,547.783
2001-06-19,548.58
2001-06-20,548.659
2001-06-21,554.348
2001-06-22,554.32
2001-06-25,553.285
2001-06-26,550.397
2001-06-27,548.383
2001-06-28,550.61
2001-06-29,553.625
2001-07-02,558.241
2001-07-03,556.078
2001-07-04,554.955
2001-07-05,551.102
2001-07-06,542.899
2001-07-09,544.553
2001-07-10,542.74
2001-07-11,541.456
2001-07-12,546.742
2001-07-13,548.313
2001-07-16,546.293
2001-07-17,546.532
2001-07-18,546.385
2001-07-19,548.531
2001-07-20,547.105
2001-07-23,541.449
2001-07-24,535.46
2001-07-25,539.558
2001-07-26,542.611
2001-07-27,545.119
2001-07-30,545.862
2001-07-31,550.199
2001-08-01,552.923
2001-08-02,555.206
2001-08-03,552.394
2001-08-06,548.944
2001-08-07,550.633
2001-08-08,544.975
2001-08-09,542.844
2001-08-10,545.667
2001-08-13,545.965
2001-08-14,549.983
2001-08-15,551.257
2001-08-16,549.577
2001-08-17,544.058
2001-08-20,545.372
2001-08-21,545.617
2001-08-22,549.327
2001-08-23,547.289
2001-08-24,553.023
2001-08-27,551.331
2001-08-28,545.899
2001-08-29,542.618
2001-08-30,535.805
2001-08-31,536.044
2001-09-03,532.597
2001-09-04,535.965
2001-09-05,532.445
2001-09-06,524.41
2001-09-07,517.507
2001-09-10,515.075
2001-09-11,508.238
2001-09-12,504.306
2001-09-13,506.998
2001-09-14,502.869
2001-09-17,492.288
2001-09-18,490.801
2001-09-19,485.236
2001-09-20,470.065
2001-09-21,457.453
2001-09-24,471.79
2001-09-25,477.731
2001-09-26,478.239
2001-09-27,483.802
2001-09-28,494.315
2001-10-01,492.128
2001-10-02,497.576
2001-10-03,500.986
2001-10-04,505.28
2001-10-05,503.974
2001-10-08,501.391
2001-10-09,499.202
2001-10-10,506.392
2001-10-11,508.841
2001-10-12,507.062
2001-10-15,502.89
2001-10-16,506.914
2001-10-17,507.326
2001-10-18,500.125
2001-10-19,496.474
2001-10-22,500.712
2001-10-23,503.277
2001-10-24,503.307
2001-10-25,504.676
2001-10-26,509.044
2001-10-29,502.617
2001-10-30,494.552
2001-10-31,494.117
2001-11-01,500.942
2001-11-02,501.544
2001-11-05,506.386
2001-11-06,509.442
2001-11-07,509.546
2001-11-08,512.774
2001-11-09,511.816
2001-11-12,507.167
2001-11-13,513.131
2001-11-14,513.246
2001-11-15,512.768
2001-11-16,514.378
2001-11-19,518.805
2001-11-20,517.54
2001-11-21,514.883
2001-11-22,515.9
2001-11-23,518.082
2001-11-26,519.609
2001-11-27,515.806
2001-11-28,508.42
2001-11-29,511.282
2001-11-30,512.676
2001-12-03,508.026
2001-12-04,511.873
2001-12-05,521.402
2001-12-06,522.002
2001-12-07,517.965
2001-12-10,510.546
2001-12-11,508.414
2001-12-12,508.873
2001-12-13,502.652
2001-12-14,501.785
2001-12-17,507.214
2001-12-18,508.927
2001-12-19,510.874
2001-12-20,509.506
2001-12-21,510.374
2001-12-24,509.892
2001-12-25,509.833
2001-12-26,510.903
2001-12-27,517.074
2001-12-28,519.51
2001-12-31,518.131
2002-01-01,518.131
2002-01-02,519.151
2002-01-03,523.214
2002-01-04,526.804
2002-01-07,523.933
2002-01-08,519.385
2002-01-09,517.033
2002-01-10,516.076
2002-01-11,513.369
2002-01-14,509.222
2002-01-15,511.901
2002-01-16,505.551
2002-01-17,508.778
2002-01-18,507.759
2002-01-21,507.534
2002-01-22,504.944
2002-01-23,507.945
2002-01-24,509.819
2002-01-25,508.515
2002-01-28,510.403
2002-01-29,498.834
2002-01-30,499.1
2002-01-31,505.67
2002-02-01,503.701
2002-02-04,495.891
2002-02-05,490.782
2002-02-06,486.732
2002-02-07,489.23
2002-02-08,494.319
2002-02-11,500.128
2002-02-12,499.836
2002-02-13,503.114
2002-02-14,505.103
2002-02-15,501.928
2002-02-18,500.752
2002-02-19,491.904
2002-02-20,493.951
2002-02-21,494.011
2002-02-22,496.817
2002-02-25,503.13
2002-02-26,503.672
2002-02-27,506.477
2002-02-28,507.255
2002-03-01,515.82
2002-03-04,528.282
2002-03-05,525.091
2002-03-06,531.687
2002-03-07,534.545
2002-03-08,534.46
2002-03-11,536.53
2002-03-12,533.881
2002-03-13,531.141
2002-03-14,532.649
2002-03-15,538.353
2002-03-18,536.989
2002-03-19,540.926
2002-03-20,536.079
2002-03-21,534.947
2002-03-22,532.569
2002-03-25,527.145
2002-03-26,529.148
2002-03-27,531.363
2002-03-28,533.822
2002-03-29,532.561
2002-04-01,532.536
2002-04-02,532.222
2002-04-03,530.042
2002-04-04,528.925
2002-04-05,528.333
2002-04-08,526.267
2002-04-09,525.069
2002-04-10,530.769
2002-04-11,522.407
2002-04-12,523.261
2002-04-15,523.203
2002-04-16,533.644
2002-04-17,535.03
2002-04-18,535.351
2002-04-19,536.276
2002-04-22,531.817
2002-04-23,530.28
2002-04-24,528.038
2002-04-25,526.861
2002-04-26,523.184
2002-04-29,519.863
2002-04-30,524.241
2002-05-01,528.402
2002-05-02,529.372
2002-05-03,529.691
2002-05-06,523.764
2002-05-07,520.044
2002-05-08,529.815
2002-05-09,526.767
2002-05-10,523.043
2002-05-13,529.055
2002-05-14,533.031
2002-05-15,534.156
2002-05-16,536.402
2002-05-17,539.656
2002-05-20,535.781
2002-05-21,534.155
2002-05-22,536.049
2002-05-23,538.521
2002-05-24,536.574
2002-05-27,535.987
2002-05-28,533.748
2002-05-29,532.404
2002-05-30,530.419
2002-05-31,532.335
2002-06-03,524.389
2002-06-04,520.901
2002-06-05,519.795
2002-06-06,513.562
2002-06-07,512.403
2002-06-10,512.132
2002-06-11,508.262
2002-06-12,508.168
2002-06-13,502.864
2002-06-14,497.469
2002-06-17,508.111
2002-06-18,510.204
2002-06-19,502.507
2002-06-20,497.636
2002-06-21,493.828
2002-06-24,491.509
2002-06-25,489.922
2002-06-26,486.53
2002-06-27,491.85
2002-06-28,500.463
2002-07-01,496.16
2002-07-02,486.525
2002-07-03,482.734
2002-07-04,484.678
2002-07-05,499.068
2002-07-08,498.624
2002-07-09,491.862
2002-07-10,477.09
2002-07-11,471.558
2002-07-12,468.559
2002-07-15,460.421
2002-07-16,455.768
2002-07-17,461.112
2002-07-18,456.905
2002-07-19,441.223
2002-07-22,423.114
2002-07-23,411.784
2002-07-24,422.589
2002-07-25,428.281
2002-07-26,431.827
2002-07-29,451.927
2002-07-30,455.184
2002-07-31,460.463
2002-08-01,446.407
2002-08-02,440.89
2002-08-05,428.642
2002-08-06,436.624
2002-08-07,442.518
2002-08-08,456.358
2002-08-09,462.031
2002-08-12,457.911
2002-08-13,453.501
2002-08-14,461.091
2002-08-15,467.076
2002-08-16,466.571
2002-08-19,475.431
2002-08-20,469.2
2002-08-21,474.839
2002-08-22,480.304
2002-08-23,471.942
2002-08-26,474.863
2002-08-27,477.251
2002-08-28,466.291
2002-08-29,463.362
2002-08-30,464.474
2002-09-02,462.38
2002-09-03,444.93
2002-09-04,447.324
2002-09-05,443.695
2002-09-06,450.021
2002-09-09,451.017
2002-09-10,454.725
2002-09-11,457.209
2002-09-12,446.837
2002-09-13,443.722
2002-09-16,443.461
2002-09-17,437.422
