Date,WORLD LARGE VALUE Large Cap
1994-05-31,255.114
1994-06-30,255.812
1994-07-29,260.389
1994-08-31,267.104
1994-09-30,259.223
1994-10-31,267.575
1994-11-30,255.696
1994-12-30,257.89
1995-01-31,254.041
1995-02-28,256.862
1995-03-31,271.002
1995-04-28,280.088
1995-05-31,282.989
1995-06-30,281.419
1995-07-31,294.843
1995-08-31,289.556
1995-09-29,298.75
1995-10-31,294.19
1995-11-30,305.029
1995-12-29,316.156
1996-01-31,321.77
1996-02-29,322.958
1996-03-29,327.291
1996-04-30,334.012
1996-05-31,334.129
1996-06-28,336.388
1996-07-31,327.107
1996-08-30,329.965
1996-09-30,341.844
1996-10-31,346.968
1996-11-29,367.543
1996-12-31,364.46
1997-01-31,366.094
1997-02-28,371.883
1997-03-31,365.398
1997-04-30,373.546
1997-05-30,398.842
1997-06-30,416.658
1997-07-31,434.722
1997-08-29,410.346
1997-09-30,431.902
1997-10-31,412.709
1997-11-28,418.152
1997-12-31,424.97
1998-01-30,432.443
1998-02-27,460.185
1998-03-31,482.16
1998-04-30,484.352
1998-05-29,480.769
1998-06-30,486.551
1998-07-31,481.965
1998-08-31,417.496
1998-09-30,425.561
1998-10-30,462.985
1998-11-30,483.85
1998-12-31,495.882
1999-01-29,496.625
1999-02-26,488.822
1999-03-31,506.728
1999-04-30,547.136
1999-05-31,527.896
1999-06-30,543.083
1999-07-30,540.505
1999-08-31,531.928
1999-09-30,522.754
1999-10-29,544.975
1999-11-30,543.041
1999-12-31,556.14
2000-01-31,524.181
2000-02-29,499.154
2000-03-31,545.02
2000-04-28,533.345
2000-05-31,537.346
2000-06-30,539.489
2000-07-31,532.152
2000-08-31,551.672
2000-09-29,548.201
2000-10-31,556.141
2000-11-30,537.768
2000-12-29,563.698
2001-01-31,566.898
2001-02-28,542.677
2001-03-30,517.729
2001-04-30,544.512
2001-05-31,546.016
2001-06-29,532.515
2001-07-31,529.359
2001-08-31,515.988
2001-09-28,475.987
2001-10-31,475.928
2001-11-30,494.026
2001-12-31,499.431
2002-01-31,487.578
2002-02-28,489.293
2002-03-29,513.895
2002-04-30,506.124
2002-05-31,514.438
2002-06-28,483.922
2002-07-31,445.436
2002-08-30,449.568
2002-09-30,396.964
2002-10-31,424.802
2002-11-29,447.372
2002-12-31,429.112
2003-01-31,415.16
2003-02-28,406.363
2003-03-31,401.626
2003-04-30,440.336
2003-05-30,466.119
2003-06-30,475.993
2003-07-31,481.279
2003-08-29,488.677
2003-09-30,491.554
2003-10-31,517.788
2003-11-28,525.452
2003-12-31,568.84
2004-01-30,574.294
2004-02-27,584.882
2004-03-31,580.303
2004-04-30,570.307
2004-05-31,574.691
2004-06-30,589.189
2004-07-30,580.419
2004-08-31,586.818
2004-09-30,596.541
2004-10-29,610.388
2004-11-30,641.409
2004-12-31,663.135
2005-01-31,650.219
2005-02-28,676.467
2005-03-31,662.172
2005-04-29,650.385
2005-05-31,656.163
2005-06-30,663.943
2005-07-29,681.77
2005-08-31,686.361
2005-09-30,706.146
2005-10-31,688.679
2005-11-30,709.305
2005-12-30,724.139
2006-01-31,753.815
