Date,WORLD LARGE VALUE Large Cap
2001-01-01,563.698
2001-01-02,560.35
2001-01-03,565.698
2001-01-04,563.593
2001-01-05,560.018
2001-01-08,559.809
2001-01-09,555.657
2001-01-10,555.691
2001-01-11,556.159
2001-01-12,553.945
2001-01-15,553.611
2001-01-16,555.689
2001-01-17,555.776
2001-01-18,558.442
2001-01-19,554.046
2001-01-22,556.14
2001-01-23,559.299
2001-01-24,557.482
2001-01-25,559.804
2001-01-26,559.091
2001-01-29,561.427
2001-01-30,565.834
2001-01-31,566.898
2001-02-01,570.193
2001-02-02,565.554
2001-02-05,568.358
2001-02-06,566.553
2001-02-07,563.583
2001-02-08,560.789
2001-02-09,559.626
2001-02-12,564.349
2001-02-13,561.504
2001-02-14,557.689
2001-02-15,556.14
2001-02-16,554.859
2001-02-19,554.954
2001-02-20,549.254
2001-02-21,542.456
2001-02-22,541.859
2001-02-23,538.929
2001-02-26,544.942
2001-02-27,546.663
2001-02-28,542.677
2001-03-01,541.754
2001-03-02,542.512
2001-03-05,543.581
2001-03-06,546.343
2001-03-07,548.829
2001-03-08,552.096
2001-03-09,546.622
2001-03-12,531.867
2001-03-13,528.181
2001-03-14,514.977
2001-03-15,520.598
2001-03-16,510.16
2001-03-19,514.15
2001-03-20,510.558
2001-03-21,504.325
2001-03-22,490.211
2001-03-23,499.718
2001-03-26,511.348
2001-03-27,522.284
2001-03-28,516.001
2001-03-29,513.51
2001-03-30,517.729
2001-04-02,514.031
2001-04-03,504.68
2001-04-04,508.322
2001-04-05,519.239
2001-04-06,515.057
2001-04-09,518.149
2001-04-10,524.612
2001-04-11,522.325
2001-04-12,527.131
2001-04-13,526.703
2001-04-16,525.83
2001-04-17,527.788
2001-04-18,537.436
2001-04-19,540.929
2001-04-20,538.308
2001-04-23,535.727
2001-04-24,533.622
2001-04-25,538.859
2001-04-26,543.416
2001-04-27,547.288
2001-04-30,544.512
2001-05-01,550.434
2001-05-02,548.92
2001-05-03,544.52
2001-05-04,549.432
2001-05-07,549.883
2001-05-08,544.912
2001-05-09,543.906
2001-05-10,546.208
2001-05-11,542.725
2001-05-14,540.569
2001-05-15,544.203
2001-05-16,552.675
2001-05-17,554.696
2001-05-18,555.375
2001-05-21,558.88
2001-05-22,557.209
2001-05-23,553.298
2001-05-24,553.502
2001-05-25,549.761
2001-05-28,549.758
2001-05-29,549.421
2001-05-30,544.855
2001-05-31,546.016
2001-06-01,545.794
2001-06-04,548.32
2001-06-05,551.165
2001-06-06,546.184
2001-06-07,546.53
2001-06-08,543.85
2001-06-11,539.53
2001-06-12,537.352
2001-06-13,537.018
2001-06-14,532.038
2001-06-15,530.032
2001-06-18,526.861
2001-06-19,527.627
2001-06-20,527.704
2001-06-21,533.182
2001-06-22,533.156
2001-06-25,532.16
2001-06-26,529.387
2001-06-27,527.471
2001-06-28,529.615
2001-06-29,532.515
2001-07-02,536.967
2001-07-03,534.913
2001-07-04,533.833
2001-07-05,530.132
2001-07-06,522.278
2001-07-09,523.87
2001-07-10,522.135
2001-07-11,520.906
2001-07-12,525.996
2001-07-13,527.508
2001-07-16,525.564
2001-07-17,525.794
2001-07-18,525.666
2001-07-19,527.732
2001-07-20,526.36
2001-07-23,520.921
2001-07-24,515.159
2001-07-25,519.102
2001-07-26,522.041
2001-07-27,524.465
2001-07-30,525.186
2001-07-31,529.359
2001-08-01,531.998
2001-08-02,534.214
2001-08-03,531.526
2001-08-06,528.211
2001-08-07,529.841
2001-08-08,524.416
2001-08-09,522.399
2001-08-10,525.117
2001-08-13,525.416
2001-08-14,529.287
2001-08-15,530.543
2001-08-16,528.931
2001-08-17,523.635
2001-08-20,524.9
2001-08-21,525.136
2001-08-22,528.719
2001-08-23,526.759
2001-08-24,532.28
2001-08-27,530.672
2001-08-28,525.445
2001-08-29,522.311
2001-08-30,515.758
2001-08-31,515.988
2001-09-03,512.673
2001-09-04,515.916
2001-09-05,512.559
2001-09-06,504.83
2001-09-07,498.185
2001-09-10,495.846
2001-09-11,489.264
2001-09-12,485.478
2001-09-13,488.072
2001-09-14,484.097
2001-09-17,473.934
2001-09-18,472.504
2001-09-19,467.149
2001-09-20,452.543
2001-09-21,440.402
2001-09-24,454.204
