Date,HONG KONG SMID CAP SMID (Small+Mid Cap)
1994-05-31,401.206
1994-06-30,378.883
1994-07-29,396.573
1994-08-31,405.929
1994-09-30,410.003
1994-10-31,403.547
1994-11-30,352.674
1994-12-30,340.285
1995-01-31,304.242
1995-02-28,329.855
1995-03-31,331.821
1995-04-28,331.056
1995-05-31,364.817
1995-06-30,367.223
1995-07-31,388.594
1995-08-31,375.0
1995-09-29,390.375
1995-10-31,392.96
1995-11-30,391.241
1995-12-29,396.86
1996-01-31,455.153
1996-02-29,460.071
1996-03-29,454.385
1996-04-30,455.508
1996-05-31,463.933
1996-06-28,468.213
1996-07-31,458.547
1996-08-30,476.303
1996-09-30,494.699
1996-10-31,519.487
1996-11-29,578.812
1996-12-31,577.256
1997-01-31,586.829
1997-02-28,597.821
1997-03-31,565.5
1997-04-30,571.671
1997-05-30,615.153
1997-06-30,619.847
1997-07-31,633.234
1997-08-29,606.992
1997-09-30,593.638
1997-10-31,398.653
1997-11-28,390.918
1997-12-31,385.485
1998-01-30,283.815
1998-02-27,368.275
1998-03-31,362.228
1998-04-30,334.729
1998-05-29,287.473
1998-06-30,253.868
1998-07-31,239.82
1998-08-31,202.093
1998-09-30,218.6
1998-10-30,274.849
1998-11-30,302.256
1998-12-31,289.859
1999-01-29,257.984
1999-02-26,258.64
1999-03-31,288.194
1999-04-30,344.436
1999-05-31,335.029
1999-06-30,376.13
1999-07-30,377.258
1999-08-31,371.12
1999-09-30,360.952
1999-10-29,362.514
1999-11-30,395.126
1999-12-31,416.367
2000-01-31,391.609
2000-02-29,381.43
2000-03-31,393.012
2000-04-28,360.027
2000-05-31,319.924
2000-06-30,351.867
2000-07-31,354.947
2000-08-31,365.547
2000-09-29,340.032
2000-10-31,312.262
2000-11-30,306.44
2000-12-29,317.652
2001-01-31,338.622
2001-02-28,341.106
2001-03-30,302.407
2001-04-30,328.864
2001-05-31,337.391
2001-06-29,327.586
2001-07-31,316.438
2001-08-31,297.206
2001-09-28,256.657
2001-10-31,269.093
2001-11-30,289.781
2001-12-31,299.046
2002-01-31,302.865
2002-02-28,308.294
2002-03-29,324.826
2002-04-30,345.796
2002-05-31,348.089
2002-06-28,330.649
2002-07-31,300.915
2002-08-30,286.512
2002-09-30,259.251
2002-10-31,267.259
2002-11-29,285.063
2002-12-31,270.23
2003-01-31,276.825
2003-02-28,273.46
2003-03-31,263.895
2003-04-30,266.789
2003-05-30,294.039
2003-06-30,306.867
2003-07-31,327.265
2003-08-29,367.436
2003-09-30,396.082
2003-10-31,414.962
2003-11-28,415.38
2003-12-31,425.313
2004-01-30,467.331
2004-02-27,482.037
2004-03-31,457.957
2004-04-30,435.855
2004-05-31,432.572
2004-06-30,430.513
2004-07-30,437.504
2004-08-31,447.239
2004-09-30,464.671
2004-10-29,469.465
2004-11-30,517.888
2004-12-31,529.228
2005-01-31,510.574
2005-02-28,536.511
2005-03-31,523.218
2005-04-29,535.497
2005-05-31,538.172
2005-06-30,558.17
2005-07-29,591.748
