Date,ISRAEL IMI IMI (Large+Mid+Small Cap)
1994-05-31,297.604
1994-06-30,259.425
1994-07-29,289.132
1994-08-31,297.002
1994-09-30,307.371
1994-10-31,318.004
1994-11-30,282.909
1994-12-30,285.814
1995-01-31,290.675
1995-02-28,251.823
1995-03-31,288.692
1995-04-28,299.953
1995-05-31,305.107
1995-06-30,320.871
1995-07-31,324.798
1995-08-31,341.33
1995-09-29,346.241
1995-10-31,329.144
1995-11-30,328.577
1995-12-29,342.231
1996-01-31,341.128
1996-02-29,355.357
1996-03-29,326.539
1996-04-30,344.095
1996-05-31,336.576
1996-06-28,328.469
1996-07-31,298.903
1996-08-30,310.215
1996-09-30,315.38
1996-10-31,307.371
1996-11-29,329.032
1996-12-31,346.854
1997-01-31,392.035
1997-02-28,396.626
1997-03-31,378.023
1997-04-30,387.663
1997-05-30,414.57
1997-06-30,420.233
1997-07-31,458.502
1997-08-29,434.006
1997-09-30,451.713
1997-10-31,418.012
1997-11-28,425.865
1997-12-31,411.24
1998-01-30,372.149
1998-02-27,397.835
1998-03-31,425.876
1998-04-30,418.084
1998-05-29,442.832
1998-06-30,440.198
1998-07-31,433.001
1998-08-31,377.46
1998-09-30,361.123
1998-10-30,338.5
1998-11-30,369.079
1998-12-31,379.139
1999-01-29,379.414
1999-02-26,392.376
1999-03-31,438.573
1999-04-30,447.378
1999-05-31,469.464
1999-06-30,505.807
1999-07-30,501.268
1999-08-31,462.963
1999-09-30,474.749
1999-10-29,490.822
1999-11-30,555.476
1999-12-31,647.964
2000-01-31,670.382
2000-02-29,842.24
2000-03-31,760.141
2000-04-28,712.139
2000-05-31,736.415
2000-06-30,792.16
2000-07-31,778.99
2000-08-31,878.603
2000-09-29,876.861
2000-10-31,746.914
2000-11-30,664.916
2000-12-29,721.444
2001-01-31,698.291
2001-02-28,622.094
2001-03-30,505.36
2001-04-30,575.997
2001-05-31,553.906
2001-06-29,543.633
2001-07-31,545.925
2001-08-31,500.139
2001-09-28,409.776
2001-10-31,439.934
2001-11-30,486.947
2001-12-31,523.954
2002-01-31,489.691
2002-02-28,440.726
2002-03-29,435.398
2002-04-30,364.705
2002-05-31,375.364
2002-06-28,357.818
2002-07-31,373.143
2002-08-30,373.213
2002-09-30,343.791
2002-10-31,353.491
