Date,ISRAEL IMI IMI (Large+Mid+Small Cap)
2004-10-29,563.365
2004-11-30,613.951
2004-12-31,666.34
2005-01-31,661.024
2005-02-28,681.658
2005-03-31,680.236
2005-04-29,681.447
2005-05-31,718.325
2005-06-30,660.29
2005-07-29,696.341
2005-08-31,710.534
2005-09-30,741.343
2005-10-31,762.062
2005-11-30,804.002
2005-12-30,838.989
2006-01-31,842.304
2006-02-28,822.501
2006-03-31,814.901
2006-04-28,852.372
2006-05-31,800.303
2006-06-30,730.325
2006-07-31,743.948
2006-08-31,775.069
2006-09-29,782.161
2006-10-31,810.377
2006-11-30,829.928
2006-12-29,816.8
2007-01-31,860.693
2007-02-28,876.475
2007-03-30,903.392
2007-04-30,968.74
2007-05-31,1000.0
2007-06-29,987.051
2007-07-31,1001.373
2007-08-31,988.138
2007-09-28,1060.62
2007-10-31,1109.365
2007-11-30,1081.196
2007-12-31,1118.387
2008-01-31,1069.208
2008-02-29,1118.994
2008-03-31,1054.776
2008-04-30,1144.837
2008-05-30,1208.004
2008-06-30,1163.806
2008-07-31,1081.951
2008-08-29,1070.173
2008-09-30,980.817
2008-10-31,793.382
2008-11-28,728.575
2008-12-31,752.234
2009-01-30,739.001
2009-02-27,785.933
2009-03-31,798.79
2009-04-30,841.784
2009-05-29,926.906
2009-06-30,945.77
2009-07-31,1063.582
2009-08-31,1048.428
2009-09-30,1055.876
2009-10-30,1081.678
2009-11-30,1140.366
2009-12-31,1204.0
2010-01-29,1216.268
2010-02-26,1240.131
2010-03-31,1333.19
2010-04-30,1244.711
2010-05-31,1101.602
2010-06-30,1085.645
2010-07-30,1085.273
2010-08-31,1110.213
2010-09-30,1224.612
2010-10-29,1233.575
2010-11-30,1206.737
2010-12-31,1300.897
2011-01-31,1259.075
2011-02-28,1234.846
2011-03-31,1273.738
2011-04-29,1245.674
2011-05-31,1254.443
2011-06-30,1198.352
2011-07-29,1176.041
2011-08-31,1018.585
2011-09-30,894.67
2011-10-31,1010.021
2011-11-30,936.174
2011-12-30,927.904
2012-01-31,1009.937
2012-02-29,984.923
2012-03-30,1011.008
2012-04-30,1031.21
2012-05-31,909.775
2012-06-29,879.805
2012-07-31,915.516
2012-08-31,906.368
2012-09-28,958.521
2012-10-31,980.553
2012-11-30,1008.016
2012-12-31,963.6
2013-01-31,968.928
2013-02-28,994.354
2013-03-29,1034.426
2013-04-30,1028.635
2013-05-31,1021.117
2013-06-28,1005.35
2013-07-31,1035.705
2013-08-30,1007.006
2013-09-30,1056.738
2013-10-31,1061.02
2013-11-29,1118.091
2013-12-31,1124.725
2014-01-31,1145.949
2014-02-28,1225.1
2014-03-31,1287.796
2014-04-30,1264.262
2014-05-30,1274.04
2014-06-30,1306.873
2014-07-31,1313.278
2014-08-29,1279.087
2014-09-30,1298.795
2014-10-31,1266.617
2014-11-28,1287.536
2014-12-31,1278.777
2015-01-30,1263.163
2015-02-27,1279.48
2015-03-31,1393.728
2015-04-30,1397.807
2015-05-29,1393.377
2015-06-30,1388.921
2015-07-31,1546.918
2015-08-31,1429.917
2015-09-30,1315.161
2015-10-30,1405.067
2015-11-30,1398.606
2015-12-31,1420.706
2016-01-29,1318.957
2016-02-29,1295.527
2016-03-31,1310.474
2016-04-29,1345.938
2016-05-31,1295.194
2016-06-30,1271.867
2016-07-29,1352.03
2016-08-31,1325.496
2016-09-30,1285.218
2016-10-31,1212.597
2016-11-30,1185.688
2016-12-30,1185.792
2017-01-31,1212.723
2017-02-28,1271.336
2017-03-31,1286.921
2017-04-28,1304.398
2017-05-31,1312.186
2017-06-30,1368.845
2017-07-31,1346.622
2017-08-31,1211.235
2017-09-29,1257.752
2017-10-31,1247.857
2017-11-30,1251.081
2017-12-29,1315.276
2018-01-31,1371.545
2018-02-28,1324.375
2018-03-30,1268.321
2018-04-30,1267.959
2018-05-31,1345.421
2018-06-29,1351.211
2018-07-31,1394.733
2018-08-31,1480.046
2018-09-28,1467.383
2018-10-31,1369.571
2018-11-30,1419.917
2018-12-31,1272.168
2019-01-31,1412.399
2019-02-28,1432.163
2019-03-29,1419.06
2019-04-30,1481.496
2019-05-31,1381.858
2019-06-28,1439.222
2019-07-31,1476.426
2019-08-30,1410.931
2019-09-30,1444.617
2019-10-31,1485.171
2019-11-29,1563.073
2019-12-31,1551.444
2020-01-31,1599.292
2020-02-28,1498.001
2020-03-31,1228.509
2020-04-30,1369.969
2020-05-29,1447.902
2020-06-30,1413.558
2020-07-31,1508.832
2020-08-31,1561.434
2020-09-30,1443.186
2020-10-30,1458.983
2020-11-30,1630.015
2020-12-31,1759.313
2021-01-29,1778.754
2021-02-26,1786.542
2021-03-31,1779.942
2021-04-30,1896.442
2021-05-31,1897.56
2021-06-30,1931.749
2021-07-30,1978.689
2021-08-31,2011.781
2021-09-30,1996.623
2021-10-29,2113.583
2021-11-30,2099.117
2021-12-31,2201.565
2022-01-31,2075.911
2022-02-28,2089.825
2022-03-31,2111.006
2022-04-29,1969.898
2022-05-31,1839.615
2022-06-30,1681.872
2022-07-29,1807.807
2022-08-31,1914.333
2022-09-30,1653.51
2022-10-31,1754.976
2022-11-30,1731.749
2022-12-30,1620.832
2023-01-31,1689.361
2023-02-28,1566.942
2023-03-31,1577.976
2023-04-28,1554.281
2023-05-31,1519.869
2023-06-30,1561.082
2023-07-31,1685.796
2023-08-31,1621.523
2023-09-29,1598.729
2023-10-31,1367.513
2023-11-30,1601.095
2023-12-29,1728.706
2024-01-31,1742.092
2024-02-29,1882.67
2024-03-29,1893.811
2024-04-30,1767.413
2024-05-31,1832.167
2024-06-28,1817.982
2024-07-31,1871.383
2024-08-30,2016.546
2024-09-30,2025.51
2024-10-31,2056.343
2024-11-29,2220.399
2024-12-31,2330.491
2025-01-31,2441.774
2025-02-28,2416.055
2025-03-31,2260.161
2025-04-30,2391.839
2025-05-30,2596.125
2025-06-30,2903.47
2025-07-31,2841.774
2025-08-29,2932.366
