Date,ISRAEL IMI IMI (Large+Mid+Small Cap)
2001-01-01,714.726
2001-01-02,660.969
2001-01-03,698.016
2001-01-04,697.722
2001-01-05,666.27
2001-01-08,639.848
2001-01-09,649.395
2001-01-10,660.168
2001-01-11,671.377
2001-01-12,672.46
2001-01-15,679.02
2001-01-16,675.046
2001-01-17,692.072
2001-01-18,705.089
2001-01-19,719.982
2001-01-22,698.901
2001-01-23,700.274
2001-01-24,696.5
2001-01-25,695.714
2001-01-26,711.11
2001-01-29,711.961
2001-01-30,710.218
2001-01-31,698.291
2001-02-01,702.54
2001-02-02,680.483
2001-02-05,691.492
2001-02-06,693.138
2001-02-07,683.008
2001-02-08,680.938
2001-02-09,668.124
2001-02-12,676.546
2001-02-13,674.317
2001-02-14,685.66
2001-02-15,697.282
2001-02-16,685.079
2001-02-19,676.639
2001-02-20,674.834
2001-02-21,658.571
2001-02-22,632.91
2001-02-23,643.65
2001-02-26,656.638
2001-02-27,643.273
2001-02-28,622.094
2001-03-01,630.541
2001-03-02,617.126
2001-03-05,602.678
2001-03-06,618.07
2001-03-07,621.118
2001-03-08,606.917
2001-03-09,606.129
2001-03-12,582.825
2001-03-13,589.063
2001-03-14,570.478
2001-03-15,559.626
2001-03-16,546.766
2001-03-19,543.07
2001-03-20,528.078
2001-03-21,523.792
2001-03-22,519.676
2001-03-23,523.275
2001-03-26,534.011
2001-03-27,534.355
2001-03-28,521.315
2001-03-29,498.749
2001-03-30,505.36
2001-04-02,496.572
2001-04-03,475.883
2001-04-04,480.38
2001-04-05,507.249
2001-04-06,502.986
2001-04-09,511.236
2001-04-10,536.52
2001-04-11,548.961
2001-04-12,552.164
2001-04-13,552.317
2001-04-16,548.623
2001-04-17,545.675
2001-04-18,573.182
2001-04-19,593.082
2001-04-20,583.378
2001-04-23,582.14
2001-04-24,562.111
2001-04-25,567.006
2001-04-26,559.581
2001-04-27,564.863
2001-04-30,575.997
2001-05-01,581.263
2001-05-02,597.807
2001-05-03,586.663
2001-05-04,585.665
2001-05-07,581.998
2001-05-08,588.684
2001-05-09,573.13
2001-05-10,571.661
2001-05-11,563.838
2001-05-14,553.382
2001-05-15,554.672
2001-05-16,549.988
2001-05-17,564.864
2001-05-18,563.743
2001-05-21,578.153
2001-05-22,585.509
2001-05-23,577.999
2001-05-24,583.457
2001-05-25,580.32
2001-05-28,579.608
2001-05-29,574.35
2001-05-30,557.112
2001-05-31,553.906
2001-06-01,556.238
2001-06-04,542.052
2001-06-05,543.658
2001-06-06,550.592
2001-06-07,554.514
2001-06-08,551.809
2001-06-11,537.968
2001-06-12,529.464
2001-06-13,531.124
2001-06-14,529.604
2001-06-15,529.714
2001-06-18,523.377
2001-06-19,527.376
2001-06-20,528.819
2001-06-21,526.556
2001-06-22,526.459
2001-06-25,527.763
2001-06-26,531.982
2001-06-27,541.578
2001-06-28,541.573
2001-06-29,543.633
2001-07-02,550.372
2001-07-03,534.301
2001-07-04,534.434
2001-07-05,532.191
2001-07-06,527.901
2001-07-09,525.896
2001-07-10,527.342
2001-07-11,516.755
2001-07-12,536.011
2001-07-13,531.362
2001-07-16,530.493
2001-07-17,534.573
2001-07-18,522.704
2001-07-19,528.877
2001-07-20,519.899
2001-07-23,524.802
2001-07-24,524.642
2001-07-25,529.327
2001-07-26,542.246
2001-07-27,547.087
2001-07-30,545.752
2001-07-31,545.925
2001-08-01,553.07
2001-08-02,553.931
2001-08-03,549.805
2001-08-06,549.775
2001-08-07,544.171
2001-08-08,542.288
2001-08-09,537.766
2001-08-10,535.443
2001-08-13,541.108
2001-08-14,537.158
2001-08-15,529.716
2001-08-16,528.042
2001-08-17,523.312
2001-08-20,519.091
2001-08-21,519.495
2001-08-22,521.003
2001-08-23,514.99
2001-08-24,519.482
2001-08-27,520.477
2001-08-28,512.17
2001-08-29,507.172
2001-08-30,499.902
2001-08-31,500.139
2001-09-03,494.589
2001-09-04,487.701
2001-09-05,486.261
2001-09-06,482.592
2001-09-07,483.557
2001-09-10,479.081
2001-09-11,463.783
2001-09-12,458.133
2001-09-13,462.936
2001-09-14,462.807
2001-09-17,451.944
2001-09-18,448.314
2001-09-19,444.467
2001-09-20,421.105
2001-09-21,414.637
2001-09-24,418.723
2001-09-25,413.225
2001-09-26,408.259
2001-09-27,406.038
2001-09-28,409.776
2001-10-01,409.118
2001-10-02,412.939
2001-10-03,417.772
2001-10-04,422.434
2001-10-05,422.525
2001-10-08,428.153
2001-10-09,424.948
2001-10-10,435.65
2001-10-11,451.498
2001-10-12,450.698
2001-10-15,442.327
2001-10-16,456.08
2001-10-17,446.042
2001-10-18,448.403
2001-10-19,444.864
2001-10-22,450.767
2001-10-23,450.483
2001-10-24,451.201
2001-10-25,450.563
2001-10-26,449.566
2001-10-29,446.744
2001-10-30,439.262
2001-10-31,439.934
2001-11-01,440.61
2001-11-02,440.782
2001-11-05,455.992
2001-11-06,457.186
2001-11-07,456.265
2001-11-08,459.821
2001-11-09,464.833
2001-11-12,467.248
2001-11-13,483.089
2001-11-14,480.357
2001-11-15,478.386
2001-11-16,476.244
2001-11-19,486.887
2001-11-20,477.438
2001-11-21,478.234
2001-11-22,482.028
2001-11-23,481.798
2001-11-26,488.643
2001-11-27,489.045
2001-11-28,484.939
2001-11-29,490.976
2001-11-30,486.947
2001-12-03,473.358
2001-12-04,478.573
2001-12-05,489.856
2001-12-06,494.055
2001-12-07,491.649
2001-12-10,494.466
2001-12-11,498.991
2001-12-12,503.043
2001-12-13,493.779
2001-12-14,489.374
2001-12-17,498.911
2001-12-18,499.982
2001-12-19,494.229
2001-12-20,485.485
2001-12-21,483.821
2001-12-24,503.074
2001-12-25,510.694
2001-12-26,516.909
2001-12-27,522.029
2001-12-28,522.686
2001-12-31,523.954
2002-01-01,527.495
2002-01-02,537.606
2002-01-03,542.592
2002-01-04,546.696
2002-01-07,549.639
2002-01-08,545.863
2002-01-09,544.859
2002-01-10,536.316
2002-01-11,535.65
2002-01-14,532.852
2002-01-15,515.911
2002-01-16,502.941
2002-01-17,504.286
2002-01-18,506.267
2002-01-21,497.442
2002-01-22,494.731
2002-01-23,486.563
2002-01-24,494.952
2002-01-25,490.993
2002-01-28,482.46
2002-01-29,480.21
2002-01-30,475.889
2002-01-31,489.691
2002-02-01,488.833
2002-02-04,487.355
2002-02-05,477.653
2002-02-06,475.901
2002-02-07,467.419
2002-02-08,470.611
2002-02-11,451.49
2002-02-12,453.161
2002-02-13,461.195
2002-02-14,459.115
2002-02-15,458.144
2002-02-18,445.438
2002-02-19,433.367
2002-02-20,435.354
2002-02-21,431.881
2002-02-22,433.329
2002-02-25,440.655
2002-02-26,444.329
2002-02-27,450.128
2002-02-28,440.726
2002-03-01,442.923
2002-03-04,451.956
2002-03-05,445.298
2002-03-06,438.302
2002-03-07,443.082
2002-03-08,446.002
2002-03-11,455.017
2002-03-12,444.672
2002-03-13,441.071
2002-03-14,445.282
2002-03-15,442.482
2002-03-18,460.055
2002-03-19,458.763
2002-03-20,451.189
2002-03-21,452.507
2002-03-22,450.014
2002-03-25,446.795
2002-03-26,440.26
2002-03-27,438.531
2002-03-28,435.674
2002-03-29,435.398
2002-04-01,408.751
2002-04-02,406.069
2002-04-03,404.721
2002-04-04,392.759
2002-04-05,394.067
2002-04-08,394.964
2002-04-09,389.125
2002-04-10,393.491
2002-04-11,392.771
2002-04-12,391.288
2002-04-15,390.419
2002-04-16,391.223
2002-04-17,389.764
2002-04-18,394.456
2002-04-19,394.082
2002-04-22,395.154
2002-04-23,387.895
2002-04-24,375.909
2002-04-25,373.425
2002-04-26,370.465
2002-04-29,365.138
2002-04-30,364.705
2002-05-01,368.276
2002-05-02,374.859
2002-05-03,374.749
2002-05-06,372.538
2002-05-07,374.829
2002-05-08,376.914
2002-05-09,368.751
2002-05-10,367.2
2002-05-13,372.27
2002-05-14,384.629
2002-05-15,384.501
2002-05-16,385.672
2002-05-17,386.855
2002-05-20,386.483
2002-05-21,386.693
2002-05-22,384.018
2002-05-23,382.942
2002-05-24,382.559
2002-05-27,383.016
2002-05-28,378.767
2002-05-29,374.24
2002-05-30,374.853
2002-05-31,375.364
2002-06-03,376.329
2002-06-04,379.61
2002-06-05,375.924
2002-06-06,371.672
2002-06-07,369.853
2002-06-10,365.427
2002-06-11,358.635
2002-06-12,354.677
2002-06-13,356.937
2002-06-14,356.425
2002-06-17,361.277
2002-06-18,361.863
2002-06-19,356.245
2002-06-20,347.249
2002-06-21,345.892
2002-06-24,339.614
2002-06-25,344.805
2002-06-26,341.374
2002-06-27,353.262
2002-06-28,357.818
2002-07-01,352.615
2002-07-02,348.864
2002-07-03,354.0
2002-07-04,353.827
2002-07-05,354.356
2002-07-08,355.813
2002-07-09,357.319
2002-07-10,355.391
2002-07-11,342.27
2002-07-12,344.26
2002-07-15,359.242
2002-07-16,358.535
2002-07-17,367.06
2002-07-18,366.143
2002-07-19,365.17
2002-07-22,362.693
2002-07-23,351.914
2002-07-24,349.056
2002-07-25,346.465
2002-07-26,348.239
2002-07-29,368.166
2002-07-30,373.272
2002-07-31,373.143
2002-08-01,369.218
2002-08-02,368.235
2002-08-05,357.514
2002-08-06,363.08
2002-08-07,365.495
2002-08-08,370.838
2002-08-09,371.08
2002-08-12,369.66
2002-08-13,366.487
2002-08-14,373.221
2002-08-15,377.525
2002-08-16,378.509
2002-08-19,387.658
2002-08-20,384.681
2002-08-21,389.371
2002-08-22,385.86
2002-08-23,384.611
2002-08-26,387.218
2002-08-27,384.225
2002-08-28,377.39
2002-08-29,375.684
2002-08-30,373.213
2002-09-02,371.659
2002-09-03,364.122
2002-09-04,367.122
2002-09-05,365.027
2002-09-06,369.049
2002-09-09,374.153
2002-09-10,376.945
2002-09-11,379.024
2002-09-12,374.404
2002-09-13,374.973
2002-09-16,372.831
2002-09-17,378.463
2002-09-18,369.889
2002-09-19,363.442
2002-09-20,360.303
2002-09-23,353.795
2002-09-24,351.272
2002-09-25,353.938
2002-09-26,355.243
2002-09-27,352.308
2002-09-30,343.791
2002-10-01,345.846
2002-10-02,345.263
2002-10-03,344.143
2002-10-04,343.931
2002-10-07,335.269
2002-10-08,333.769
2002-10-09,333.091
2002-10-10,338.604
2002-10-11,343.577
2002-10-14,342.5
2002-10-15,350.446
2002-10-16,344.127
2002-10-17,353.826
2002-10-18,343.042
2002-10-21,345.49
2002-10-22,343.755
2002-10-23,346.624
2002-10-24,349.743
2002-10-25,351.051
2002-10-28,344.029
2002-10-29,342.451
2002-10-30,356.793
2002-10-31,353.491
2002-11-01,357.257
2002-11-04,366.222
2002-11-05,367.16
2002-11-06,374.845
2002-11-07,369.894
2002-11-08,368.976
2002-11-11,363.249
2002-11-12,359.579
2002-11-13,359.517
2002-11-14,367.331
2002-11-15,370.257
2002-11-18,375.378
2002-11-19,370.857
2002-11-20,377.103
2002-11-21,387.755
2002-11-22,387.011
2002-11-25,387.678
2002-11-26,390.06
2002-11-27,398.803
2002-11-28,401.235
2002-11-29,401.596
2002-12-02,407.238
2002-12-03,397.055
2002-12-04,392.288
2002-12-05,390.715
2002-12-06,387.542
2002-12-09,382.003
2002-12-10,385.987
2002-12-11,386.466
2002-12-12,387.914
2002-12-13,385.497
2002-12-16,388.492
2002-12-17,384.098
2002-12-18,380.402
2002-12-19,378.884
2002-12-20,380.246
2002-12-23,369.167
2002-12-24,365.408
2002-12-25,362.875
2002-12-26,365.436
2002-12-27,362.477
2002-12-30,361.463
2002-12-31,362.03
2003-01-01,364.096
2003-01-02,367.691
2003-01-03,369.225
2003-01-06,373.861
2003-01-07,370.041
2003-01-08,369.176
2003-01-09,371.769
2003-01-10,372.286
2003-01-13,365.809
2003-01-14,366.607
2003-01-15,365.835
2003-01-16,366.545
2003-01-17,360.745
2003-01-20,359.087
2003-01-21,357.312
2003-01-22,356.202
2003-01-23,360.948
2003-01-24,357.291
2003-01-27,356.825
2003-01-28,357.25
2003-01-29,360.453
2003-01-30,359.982
2003-01-31,358.678
2003-02-03,356.927
2003-02-04,349.374
2003-02-05,345.43
2003-02-06,343.745
2003-02-07,342.381
2003-02-10,341.027
2003-02-11,346.381
2003-02-12,345.123
2003-02-13,333.977
2003-02-14,337.663
2003-02-17,353.449
2003-02-18,360.864
2003-02-19,356.817
2003-02-20,356.1
2003-02-21,357.157
2003-02-24,355.235
2003-02-25,353.239
2003-02-26,352.498
2003-02-27,360.82
2003-02-28,362.399
2003-03-03,363.049
2003-03-04,360.517
2003-03-05,355.189
2003-03-06,358.679
2003-03-07,358.485
2003-03-10,353.313
2003-03-11,352.899
2003-03-12,353.852
2003-03-13,361.742
2003-03-14,360.579
2003-03-17,371.929
2003-03-18,373.876
2003-03-19,384.632
2003-03-20,384.351
2003-03-21,386.045
2003-03-24,384.989
2003-03-25,389.602
2003-03-26,401.587
2003-03-27,399.447
2003-03-28,397.023
2003-03-31,390.66
2003-04-01,396.408
2003-04-02,408.998
2003-04-03,415.373
2003-04-04,413.998
2003-04-07,419.985
2003-04-08,419.519
2003-04-09,422.655
2003-04-10,420.652
2003-04-11,420.53
2003-04-14,430.043
2003-04-15,438.3
2003-04-16,438.639
2003-04-17,440.89
2003-04-18,440.913
2003-04-21,443.509
2003-04-22,442.936
2003-04-23,443.126
2003-04-24,444.555
2003-04-25,441.14
2003-04-28,443.154
2003-04-29,450.367
2003-04-30,449.44
2003-05-01,450.554
2003-05-02,459.07
2003-05-05,463.232
2003-05-06,465.639
2003-05-07,466.747
2003-05-08,464.179
2003-05-09,467.561
2003-05-12,477.483
2003-05-13,471.049
2003-05-14,472.584
2003-05-15,472.996
2003-05-16,472.276
2003-05-19,457.406
2003-05-20,448.739
2003-05-21,441.936
2003-05-22,452.571
2003-05-23,457.607
2003-05-26,475.442
2003-05-27,480.25
2003-05-28,496.292
2003-05-29,497.295
2003-05-30,499.366
2003-06-02,502.671
2003-06-03,502.775
2003-06-04,497.285
2003-06-05,497.831
2003-06-06,498.849
2003-06-09,498.607
2003-06-10,495.87
2003-06-11,502.679
2003-06-12,511.187
2003-06-13,509.325
2003-06-16,536.37
2003-06-17,541.748
2003-06-18,537.127
2003-06-19,540.813
2003-06-20,540.24
2003-06-23,529.201
2003-06-24,523.951
2003-06-25,530.161
2003-06-26,538.643
2003-06-27,537.914
2003-06-30,546.852
2003-07-01,547.575
2003-07-02,555.963
2003-07-03,553.905
2003-07-04,554.132
2003-07-07,558.617
2003-07-08,545.829
2003-07-09,551.643
2003-07-10,543.591
2003-07-11,544.007
2003-07-14,542.894
2003-07-15,539.617
2003-07-16,538.325
2003-07-17,533.22
2003-07-18,533.899
2003-07-21,517.443
2003-07-22,517.159
2003-07-23,512.86
2003-07-24,510.052
2003-07-25,513.052
2003-07-28,527.175
2003-07-29,532.531
2003-07-30,525.653
2003-07-31,520.222
2003-08-01,517.187
2003-08-04,509.005
2003-08-05,510.002
2003-08-06,501.189
2003-08-07,501.347
2003-08-08,500.251
2003-08-11,496.625
2003-08-12,497.103
2003-08-13,506.035
2003-08-14,506.075
2003-08-15,506.355
2003-08-18,512.902
2003-08-19,517.126
2003-08-20,511.424
2003-08-21,511.255
2003-08-22,508.914
2003-08-25,516.234
2003-08-26,515.389
2003-08-27,518.391
2003-08-28,523.944
2003-08-29,527.259
2003-09-01,523.76
2003-09-02,531.365
2003-09-03,545.492
2003-09-04,549.133
2003-09-05,547.705
2003-09-08,546.553
2003-09-09,546.129
2003-09-10,537.032
2003-09-11,531.67
2003-09-12,529.308
2003-09-15,534.513
2003-09-16,535.762
2003-09-17,538.143
2003-09-18,542.843
2003-09-19,542.099
2003-09-22,541.407
2003-09-23,543.275
2003-09-24,542.085
2003-09-25,533.472
2003-09-26,531.055
2003-09-29,528.236
2003-09-30,525.681
2003-10-01,535.045
2003-10-02,539.911
2003-10-03,545.331
2003-10-06,546.342
2003-10-07,535.79
2003-10-08,534.557
2003-10-09,540.244
2003-10-10,541.338
2003-10-13,546.457
2003-10-14,548.038
2003-10-15,554.761
2003-10-16,554.981
2003-10-17,552.015
2003-10-20,548.42
2003-10-21,551.638
2003-10-22,542.684
2003-10-23,535.938
2003-10-24,533.881
2003-10-27,539.347
2003-10-28,553.21
2003-10-29,561.628
2003-10-30,554.434
2003-10-31,554.155
2003-11-03,565.803
2003-11-04,565.991
2003-11-05,568.824
2003-11-06,567.609
2003-11-07,567.954
2003-11-10,564.741
2003-11-11,556.043
2003-11-12,564.019
2003-11-13,567.624
2003-11-14,564.509
2003-11-17,561.709
2003-11-18,567.118
2003-11-19,567.291
2003-11-20,561.058
2003-11-21,561.372
2003-11-24,565.377
2003-11-25,571.859
2003-11-26,578.077
2003-11-27,585.436
2003-11-28,587.181
2003-12-01,592.064
2003-12-02,591.227
2003-12-03,590.754
2003-12-04,579.349
2003-12-05,576.795
2003-12-08,567.541
2003-12-09,577.69
2003-12-10,568.871
2003-12-11,580.914
2003-12-12,580.463
2003-12-15,582.438
2003-12-16,582.327
2003-12-17,578.375
2003-12-18,578.247
2003-12-19,577.544
2003-12-22,575.935
2003-12-23,573.936
2003-12-24,575.308
2003-12-25,574.733
2003-12-26,574.201
2003-12-29,584.833
2003-12-30,583.717
2003-12-31,584.795
2004-01-01,585.354
2004-01-02,585.107
