Date,NETHERLANDS LARGE VALUE Large Cap
1994-05-31,160.505
1994-06-30,160.477
1994-07-29,169.696
1994-08-31,174.099
1994-09-30,169.05
1994-10-31,181.54
1994-11-30,172.164
1994-12-30,175.609
1995-01-31,177.075
1995-02-28,181.949
1995-03-31,189.892
1995-04-28,196.314
1995-05-31,203.434
1995-06-30,202.643
1995-07-31,212.216
1995-08-31,200.063
1995-09-29,210.771
1995-10-31,211.93
1995-11-30,221.618
1995-12-29,231.723
1996-01-31,230.472
1996-02-29,234.404
1996-03-29,239.174
1996-04-30,241.803
1996-05-31,257.291
1996-06-28,255.248
1996-07-31,249.968
1996-08-30,252.803
1996-09-30,263.267
1996-10-31,270.3
1996-11-29,288.434
1996-12-31,296.29
1997-01-31,297.023
1997-02-28,305.196
1997-03-31,313.799
1997-04-30,311.421
1997-05-30,336.473
1997-06-30,358.454
1997-07-31,391.287
1997-08-29,351.673
1997-09-30,382.566
1997-10-31,365.44
1997-11-28,362.481
1997-12-31,376.901
1998-01-30,378.149
1998-02-27,412.636
1998-03-31,430.2
1998-04-30,441.286
1998-05-29,462.474
1998-06-30,455.556
1998-07-31,469.613
1998-08-31,398.129
1998-09-30,368.673
1998-10-30,383.785
1998-11-30,407.928
1998-12-31,431.998
1999-01-29,397.66
1999-02-26,402.276
1999-03-31,429.869
1999-04-30,470.825
1999-05-31,450.428
1999-06-30,460.355
1999-07-30,473.416
1999-08-31,485.837
1999-09-30,461.647
1999-10-29,487.211
1999-11-30,483.522
1999-12-31,542.923
2000-01-31,470.807
2000-02-29,503.721
2000-03-31,517.286
2000-04-28,496.495
2000-05-31,513.996
2000-06-30,546.507
2000-07-31,521.622
2000-08-31,524.351
2000-09-29,508.89
2000-10-31,509.448
2000-11-30,506.769
2000-12-29,529.558
2001-01-31,532.861
2001-02-28,495.822
2001-03-30,455.395
2001-04-30,489.623
2001-05-31,481.902
2001-06-29,466.244
2001-07-31,464.745
2001-08-31,460.665
2001-09-28,406.361
2001-10-31,399.583
2001-11-30,403.187
2001-12-31,412.894
2002-01-31,405.631
2002-02-28,413.131
2002-03-29,441.715
2002-04-30,441.56
2002-05-31,456.97
2002-06-28,449.887
2002-07-31,365.392
2002-08-30,379.994
2002-09-30,315.55
2002-10-31,358.148
2002-11-29,375.645
2002-12-31,357.303
2003-01-31,336.509
2003-02-28,309.988
2003-03-31,298.294
2003-04-30,333.74
2003-05-30,358.632
2003-06-30,367.787
2003-07-31,378.865
2003-08-29,381.705
2003-09-30,375.253
2003-10-31,399.579
2003-11-28,410.872
2003-12-31,461.262
2004-01-30,448.389
2004-02-27,450.207
2004-03-31,424.238
2004-04-30,433.861
2004-05-31,443.65
2004-06-30,452.196
2004-07-30,437.235
2004-08-31,443.127
2004-09-30,454.913
2004-10-29,476.276
2004-11-30,505.843
2004-12-31,529.356
2005-01-31,526.902
