Date,NETHERLANDS LARGE VALUE Large Cap
2001-12-19,395.295
2001-12-20,391.961
2001-12-21,400.471
2001-12-24,396.029
2001-12-25,396.029
2001-12-26,396.367
2001-12-27,407.688
2001-12-28,408.906
2001-12-31,412.894
2002-01-01,412.894
2002-01-02,406.554
2002-01-03,409.909
2002-01-04,405.744
2002-01-07,403.86
2002-01-08,400.943
2002-01-09,404.15
2002-01-10,401.899
2002-01-11,406.443
2002-01-14,398.117
2002-01-15,402.769
2002-01-16,397.199
2002-01-17,401.999
2002-01-18,402.537
2002-01-21,402.519
2002-01-22,403.406
2002-01-23,407.09
2002-01-24,412.573
2002-01-25,408.88
2002-01-28,410.663
2002-01-29,404.052
2002-01-30,399.578
2002-01-31,405.631
2002-02-01,408.755
2002-02-04,407.013
2002-02-05,398.364
2002-02-06,396.869
2002-02-07,398.171
2002-02-08,396.992
2002-02-11,403.979
2002-02-12,405.002
2002-02-13,404.31
2002-02-14,407.989
2002-02-15,409.208
2002-02-18,405.172
2002-02-19,398.956
2002-02-20,395.296
2002-02-21,402.764
2002-02-22,402.988
2002-02-25,405.572
2002-02-26,406.256
2002-02-27,409.83
2002-02-28,413.131
2002-03-01,416.462
2002-03-04,425.858
2002-03-05,423.726
2002-03-06,427.015
2002-03-07,433.608
2002-03-08,431.163
2002-03-11,433.093
2002-03-12,432.963
2002-03-13,431.049
2002-03-14,432.231
2002-03-15,438.566
2002-03-18,439.222
2002-03-19,443.341
2002-03-20,444.136
2002-03-21,439.718
2002-03-22,440.295
2002-03-25,435.471
2002-03-26,436.179
2002-03-27,435.947
2002-03-28,441.715
2002-03-29,441.715
2002-04-01,445.335
2002-04-02,444.625
2002-04-03,440.874
2002-04-04,435.249
2002-04-05,432.888
2002-04-08,425.676
2002-04-09,428.384
2002-04-10,434.353
2002-04-11,432.069
2002-04-12,429.964
2002-04-15,432.16
2002-04-16,442.144
2002-04-17,444.398
2002-04-18,447.57
2002-04-19,447.711
2002-04-22,446.285
2002-04-23,443.246
2002-04-24,437.631
2002-04-25,437.172
2002-04-26,436.596
2002-04-29,433.72
2002-04-30,441.56
2002-05-01,444.059
2002-05-02,437.999
2002-05-03,444.732
2002-05-06,439.274
2002-05-07,435.968
2002-05-08,439.174
2002-05-09,441.062
2002-05-10,439.563
2002-05-13,442.333
2002-05-14,444.735
2002-05-15,448.919
2002-05-16,449.041
2002-05-17,451.754
2002-05-20,449.156
2002-05-21,447.222
2002-05-22,446.592
2002-05-23,450.442
2002-05-24,454.417
2002-05-27,453.648
2002-05-28,453.782
2002-05-29,453.052
2002-05-30,449.855
2002-05-31,456.97
2002-06-03,452.335
2002-06-04,440.076
2002-06-05,439.778
2002-06-06,446.383
2002-06-07,436.825
2002-06-10,432.171
2002-06-11,438.714
2002-06-12,427.587
2002-06-13,425.402
2002-06-14,414.231
2002-06-17,427.844
2002-06-18,431.541
2002-06-19,428.52
2002-06-20,422.543
2002-06-21,420.506
2002-06-24,413.669
2002-06-25,425.846
2002-06-26,423.778
2002-06-27,426.63
2002-06-28,449.887
2002-07-01,450.542
2002-07-02,435.737
2002-07-03,425.175
2002-07-04,439.287
2002-07-05,452.056
2002-07-08,454.645
2002-07-09,453.098
2002-07-10,420.544
2002-07-11,403.24
2002-07-12,399.308
2002-07-15,375.086
2002-07-16,371.274
2002-07-17,385.743
2002-07-18,389.207
2002-07-19,377.224
2002-07-22,338.763
2002-07-23,329.677
2002-07-24,322.652
2002-07-25,345.135
2002-07-26,341.106
2002-07-29,360.342
2002-07-30,357.454
2002-07-31,365.392
2002-08-01,342.466
2002-08-02,345.022
2002-08-05,336.231
2002-08-06,344.568
2002-08-07,346.436
2002-08-08,364.845
2002-08-09,374.976
2002-08-12,366.02
2002-08-13,370.63
2002-08-14,362.76
2002-08-15,376.331
2002-08-16,381.297
2002-08-19,389.167
2002-08-20,382.558
2002-08-21,384.598
2002-08-22,395.312
2002-08-23,391.281
2002-08-26,382.558
2002-08-27,400.05
2002-08-28,382.62
2002-08-29,373.431
2002-08-30,379.994
2002-09-02,374.675
2002-09-03,360.562
2002-09-04,358.211
2002-09-05,354.714
2002-09-06,365.921
2002-09-09,356.573
2002-09-10,364.288
2002-09-11,372.693
2002-09-12,355.93
2002-09-13,346.724
2002-09-16,346.563
2002-09-17,339.543
2002-09-18,327.607
2002-09-19,325.219
2002-09-20,322.583
2002-09-23,314.089
2002-09-24,310.154
2002-09-25,312.008
2002-09-26,333.774
2002-09-27,331.815
2002-09-30,315.55
2002-10-01,327.788
2002-10-02,341.021
2002-10-03,335.941
2002-10-04,326.821
2002-10-07,324.212
2002-10-08,315.665
2002-10-09,316.429
2002-10-10,325.892
2002-10-11,340.983
2002-10-14,338.145
2002-10-15,359.41
2002-10-16,352.996
2002-10-17,360.221
2002-10-18,361.265
2002-10-21,360.741
2002-10-22,353.817
2002-10-23,340.798
2002-10-24,348.268
2002-10-25,343.007
