Date,NETHERLANDS LARGE VALUE Large Cap
1994-05-31,178.532
1994-06-30,178.465
1994-07-29,188.717
1994-08-31,193.458
1994-09-30,187.361
1994-10-31,201.204
1994-11-30,190.787
1994-12-30,194.605
1995-01-31,196.23
1995-02-28,201.631
1995-03-31,210.433
1995-04-28,217.448
1995-05-31,224.289
1995-06-30,223.417
1995-07-31,233.972
1995-08-31,220.264
1995-09-29,231.437
1995-10-31,232.71
1995-11-30,243.338
1995-12-29,254.433
1996-01-31,253.06
1996-02-29,257.377
1996-03-29,262.533
1996-04-30,265.293
1996-05-31,281.079
1996-06-28,278.847
1996-07-31,273.078
1996-08-30,275.851
1996-09-30,286.611
1996-10-31,294.268
1996-11-29,313.945
1996-12-31,322.496
1997-01-31,323.294
1997-02-28,332.19
1997-03-31,341.279
1997-04-30,338.594
1997-05-30,364.681
1997-06-30,388.505
1997-07-31,424.072
1997-08-29,380.978
1997-09-30,413.489
1997-10-31,394.939
1997-11-28,391.706
1997-12-31,407.288
1998-01-30,408.637
1998-02-27,445.904
1998-03-31,464.885
1998-04-30,476.547
1998-05-29,498.024
1998-06-30,490.574
1998-07-31,505.713
1998-08-31,428.733
1998-09-30,397.013
1998-10-30,413.286
1998-11-30,439.286
1998-12-31,465.205
1999-01-29,428.228
1999-02-26,433.199
1999-03-31,462.753
1999-04-30,506.661
1999-05-31,483.43
1999-06-30,494.084
1999-07-30,508.103
1999-08-31,519.998
1999-09-30,494.107
1999-10-29,521.424
1999-11-30,517.476
1999-12-31,581.048
2000-01-31,503.868
2000-02-29,539.093
2000-03-31,553.611
2000-04-28,531.252
2000-05-31,548.329
2000-06-30,583.011
2000-07-31,556.464
2000-08-31,558.232
2000-09-29,541.722
2000-10-31,542.283
2000-11-30,539.432
2000-12-29,563.689
2001-01-31,567.205
2001-02-28,527.779
2001-03-30,484.746
2001-04-30,520.569
2001-05-31,510.877
2001-06-29,494.147
2001-07-31,492.558
2001-08-31,486.972
2001-09-28,429.567
2001-10-31,422.401
2001-11-30,426.099
2001-12-31,436.35
2002-01-31,428.674
2002-02-28,436.599
2002-03-29,466.808
2002-04-30,466.158
2002-05-31,481.005
2002-06-28,473.548
2002-07-31,384.61
2002-08-30,398.322
2002-09-30,330.769
2002-10-31,375.316
2002-11-29,393.652
2002-12-31,374.431
2003-01-31,352.64
2003-02-28,324.847
2003-03-31,312.476
2003-04-30,348.098
2003-05-30,373.556
2003-06-30,383.093
2003-07-31,393.686
2003-08-29,395.755
2003-09-30,389.064
2003-10-31,414.236
2003-11-28,425.943
2003-12-31,478.181
2004-01-30,464.836
2004-02-27,466.72
2004-03-31,439.799
2004-04-30,447.413
2004-05-31,456.998
2004-06-30,465.802
2004-07-30,449.529
2004-08-31,454.422
2004-09-30,466.508
2004-10-29,488.366
2004-11-30,518.684
2004-12-31,542.794
2005-01-31,540.278
2005-02-28,579.885
2005-03-31,552.808
2005-04-29,527.194
2005-05-31,528.138
2005-06-30,561.823
2005-07-29,568.672
2005-08-31,560.445
2005-09-30,569.36
2005-10-31,561.42
2005-11-30,597.631
2005-12-30,623.008
2006-01-31,641.03
2006-02-28,669.479
2006-03-31,703.106
2006-04-28,725.071
2006-05-31,692.77
2006-06-30,692.315
2006-07-31,708.784
2006-08-31,749.762
2006-09-29,773.506
2006-10-31,773.82
2006-11-30,782.238
2006-12-29,820.298
2007-01-31,819.312
2007-02-28,842.132
2007-03-30,909.823
2007-04-30,1018.522
2007-05-31,1000.0
2007-06-29,982.706
2007-07-31,971.759
2007-08-31,945.466
2007-09-28,1041.445
2007-10-31,1053.84
2007-11-30,997.261
2007-12-31,1008.426
2008-01-31,883.669
2008-02-29,910.154
2008-03-31,938.467
2008-04-30,983.155
2008-05-30,976.286
2008-06-30,838.27
2008-07-31,828.809
2008-08-29,825.006
2008-09-30,636.866
2008-10-31,384.923
2008-11-28,366.479
2008-12-31,428.423
2009-01-30,377.822
2009-02-27,302.448
2009-03-31,314.705
2009-04-30,396.433
2009-05-29,447.239
2009-06-30,432.062
2009-07-31,526.402
2009-08-31,563.366
2009-09-30,629.952
2009-10-30,564.727
2009-11-30,571.575
2009-12-31,610.355
2010-01-29,593.197
2010-02-26,551.405
2010-03-31,617.076
2010-04-30,610.58
2010-05-31,536.169
2010-06-30,523.039
2010-07-30,628.513
2010-08-31,592.625
2010-09-30,678.591
2010-10-29,693.98
2010-11-30,591.156
2010-12-31,653.484
2011-01-31,732.058
2011-02-28,785.096
2011-03-31,790.413
2011-04-29,830.215
2011-05-31,761.119
2011-06-30,747.786
2011-07-29,675.232
2011-08-31,557.685
2011-09-30,479.601
2011-10-31,566.028
2011-11-30,511.493
2011-12-30,499.786
2012-01-31,538.189
2012-02-29,549.486
2012-03-30,538.467
2012-04-30,482.578
2012-05-31,435.729
2012-06-29,476.165
2012-07-31,488.986
2012-08-31,534.467
2012-09-28,535.632
2012-10-31,560.754
2012-11-30,571.176
2012-12-31,586.18
2013-01-31,656.953
2013-02-28,556.09
2013-03-29,541.278
2013-04-30,568.662
2013-05-31,612.212
2013-06-28,579.787
2013-07-31,658.348
2013-08-30,647.049
2013-09-30,686.174
2013-10-31,757.811
2013-11-29,770.883
2013-12-31,800.543
2014-01-31,749.028
2014-02-28,825.124
2014-03-31,829.238
2014-04-30,814.843
2014-05-30,795.049
2014-06-30,801.766
2014-07-31,751.672
2014-08-29,758.204
2014-09-30,759.659
2014-10-31,758.319
2014-11-28,780.052
2014-12-31,747.804
2015-01-30,729.473
2015-02-27,798.107
2015-03-31,794.684
2015-04-30,812.339
2015-05-29,831.739
2015-06-30,817.205
2015-07-31,861.454
2015-08-31,771.803
2015-09-30,711.881
2015-10-30,762.598
2015-11-30,734.525
2015-12-31,716.537
2016-01-29,624.218
2016-02-29,628.34
2016-03-31,650.531
2016-04-29,678.556
2016-05-31,678.16
2016-06-30,550.826
2016-07-29,597.876
2016-08-31,672.149
2016-09-30,664.248
2016-10-31,712.661
2016-11-30,741.651
2016-12-30,766.794
2017-01-31,787.364
2017-02-28,766.517
2017-03-31,847.417
2017-04-28,902.775
2017-05-31,923.25
2017-06-30,950.227
2017-07-31,1028.109
2017-08-31,1004.613
2017-09-29,1047.473
2017-10-31,1054.816
2017-11-30,1038.075
2017-12-29,1067.049
2018-01-31,1128.322
2018-02-28,1053.605
2018-03-30,1030.766
2018-04-30,1072.68
2018-05-31,947.584
2018-06-29,948.502
2018-07-31,1006.09
2018-08-31,950.031
2018-09-28,942.453
2018-10-31,848.632
2018-11-30,855.601
2018-12-31,775.053
2019-01-31,845.223
2019-02-28,907.839
2019-03-29,855.547
2019-04-30,908.067
2019-05-31,819.208
2019-06-28,875.053
2019-07-31,845.229
2019-08-30,733.951
2019-09-30,791.037
2019-10-31,846.991
2019-11-29,848.119
2019-12-31,862.636
2020-01-31,806.073
2020-02-28,712.676
2020-03-31,519.757
2020-04-30,541.219
2020-05-29,592.823
2020-06-30,632.155
2020-07-31,657.492
2020-08-31,720.307
2020-09-30,669.995
2020-10-30,630.1
2020-11-30,776.567
2020-12-31,775.384
2021-01-29,749.69
2021-02-26,794.654
2021-03-31,852.333
2021-04-30,893.853
2021-05-31,948.236
2021-06-30,934.664
2021-07-30,929.076
2021-08-31,986.816
2021-09-30,981.495
2021-10-29,1030.085
2021-11-30,976.244
2021-12-31,1000.732
2022-01-31,988.649
2022-02-28,876.329
2022-03-31,833.424
2022-04-29,769.467
2022-05-31,820.107
2022-06-30,733.597
2022-07-29,740.479
2022-08-31,699.872
2022-09-30,670.288
2022-10-31,722.124
2022-11-30,816.764
2022-12-30,827.105
2023-01-31,922.191
2023-02-28,920.356
2023-03-31,893.525
2023-04-28,958.384
2023-05-31,910.666
2023-06-30,983.079
2023-07-31,1003.316
2023-08-31,993.944
2023-09-29,921.265
2023-10-31,890.806
2023-11-30,936.269
2023-12-29,996.047
2024-01-31,976.9
2024-02-29,957.977
2024-03-29,1038.708
2024-04-30,1090.763
2024-05-31,1155.768
2024-06-28,1118.622
2024-07-31,1178.563
2024-08-30,1241.892
2024-09-30,1285.189
2024-10-31,1184.519
2024-11-29,1146.463
2024-12-31,1115.938
2025-01-31,1168.216
2025-02-28,1235.614
2025-03-31,1287.22
2025-04-30,1355.102
2025-05-30,1441.096
2025-06-30,1468.653
2025-07-31,1483.801
2025-08-29,1542.03
2025-09-30,1617.695
