Date,FINLAND LARGE GROWTH Large Cap
2001-01-01,1443.908
2001-01-02,1403.8
2001-01-03,1285.575
2001-01-04,1431.269
2001-01-05,1448.4
2001-01-08,1397.552
2001-01-09,1270.13
2001-01-10,1256.335
2001-01-11,1346.432
2001-01-12,1375.929
2001-01-15,1364.642
2001-01-16,1288.285
2001-01-17,1336.081
2001-01-18,1350.752
2001-01-19,1328.524
2001-01-22,1297.091
2001-01-23,1278.012
2001-01-24,1270.752
2001-01-25,1232.23
2001-01-26,1223.868
2001-01-29,1204.109
2001-01-30,1140.382
2001-01-31,1169.477
2001-02-01,1127.757
2001-02-02,1103.42
2001-02-05,1082.459
2001-02-06,1114.187
2001-02-07,1049.896
2001-02-08,1016.189
2001-02-09,928.467
2001-02-12,971.144
2001-02-13,952.831
2001-02-14,877.013
2001-02-15,948.438
2001-02-16,887.759
2001-02-19,866.853
2001-02-20,856.588
2001-02-21,817.985
2001-02-22,752.922
2001-02-23,700.772
2001-02-26,724.629
2001-02-27,748.382
2001-02-28,740.417
2001-03-01,736.407
2001-03-02,797.899
2001-03-05,835.055
2001-03-06,877.964
2001-03-07,851.459
2001-03-08,806.982
2001-03-09,786.403
2001-03-12,713.374
2001-03-13,736.72
2001-03-14,731.177
2001-03-15,816.621
2001-03-16,793.182
2001-03-19,823.992
2001-03-20,870.995
2001-03-21,823.671
2001-03-22,772.88
2001-03-23,849.601
2001-03-26,893.983
2001-03-27,855.488
2001-03-28,829.526
2001-03-29,776.284
2001-03-30,774.592
2001-04-02,769.547
2001-04-03,720.52
2001-04-04,732.471
2001-04-05,782.75
2001-04-06,775.709
2001-04-09,781.103
2001-04-10,825.601
2001-04-11,863.496
2001-04-12,872.085
2001-04-13,872.085
2001-04-16,863.154
2001-04-17,822.543
2001-04-18,925.158
2001-04-19,965.52
2001-04-20,1006.611
2001-04-23,985.327
2001-04-24,973.477
2001-04-25,960.951
2001-04-26,980.022
2001-04-27,1026.915
2001-04-30,1070.19
2001-05-01,1075.864
2001-05-02,1082.986
2001-05-03,1051.01
2001-05-04,1063.195
2001-05-07,1066.55
2001-05-08,1043.671
2001-05-09,1021.251
2001-05-10,1065.458
2001-05-11,1024.664
2001-05-14,986.913
2001-05-15,996.261
2001-05-16,995.668
2001-05-17,1054.012
2001-05-18,1080.652
2001-05-21,1089.051
2001-05-22,1095.595
2001-05-23,1057.209
2001-05-24,1053.218
2001-05-25,1019.417
2001-05-28,1017.713
2001-05-29,993.401
2001-05-30,949.491
2001-05-31,932.612
2001-06-01,931.147
2001-06-04,938.23
2001-06-05,976.498
2001-06-06,980.493
2001-06-07,980.834
2001-06-08,972.308
2001-06-11,930.339
2001-06-12,730.503
2001-06-13,776.325
2001-06-14,729.763
2001-06-15,728.02
2001-06-18,726.309
2001-06-19,741.871
2001-06-20,720.0
2001-06-21,733.55
2001-06-22,734.28
2001-06-25,733.131
2001-06-26,718.457
2001-06-27,713.657
2001-06-28,702.768
2001-06-29,734.487
2001-07-02,746.465
2001-07-03,730.522
2001-07-04,706.989
2001-07-05,665.945
2001-07-06,632.754
2001-07-09,611.338
2001-07-10,604.158
2001-07-11,581.002
2001-07-12,608.277
2001-07-13,591.38
2001-07-16,572.582
2001-07-17,552.018
2001-07-18,567.432
2001-07-19,641.568
2001-07-20,614.053
2001-07-23,616.919
2001-07-24,625.644
2001-07-25,624.544
2001-07-26,635.893
2001-07-27,668.795
2001-07-30,693.293
2001-07-31,706.581
2001-08-01,696.917
2001-08-02,720.3
2001-08-03,714.401
2001-08-06,690.286
2001-08-07,693.977
2001-08-08,667.387
2001-08-09,628.225
2001-08-10,598.265
2001-08-13,611.692
2001-08-14,632.155
2001-08-15,615.231
2001-08-16,587.344
2001-08-17,562.903
2001-08-20,552.825
2001-08-21,567.073
2001-08-22,566.361
2001-08-23,572.933
2001-08-24,572.473
2001-08-27,556.699
2001-08-28,538.202
2001-08-29,518.075
2001-08-30,488.341
2001-08-31,500.73
2001-09-03,497.561
2001-09-04,490.583
2001-09-05,456.758
2001-09-06,431.541
2001-09-07,412.807
2001-09-10,435.448
2001-09-11,420.466
2001-09-12,464.377
2001-09-13,486.207
2001-09-14,459.069
2001-09-17,493.292
