Date,FINLAND LARGE GROWTH Large Cap
2018-01-31,1488.027
2018-02-28,1632.412
2018-03-30,1547.045
2018-04-30,1638.878
2018-05-31,1617.383
2018-06-29,1667.77
2018-07-31,1791.16
2018-08-31,1770.474
2018-09-28,1748.81
2018-10-31,1594.764
2018-11-30,1621.05
2018-12-31,1587.759
2019-01-31,1629.688
2019-02-28,1662.177
2019-03-29,1687.578
2019-04-30,1811.613
2019-05-31,1802.153
2019-06-28,1893.08
2019-07-31,1865.056
2019-08-30,1823.135
2019-09-30,1856.338
2019-10-31,2041.439
2019-11-29,1988.562
2019-12-31,2070.705
2020-01-31,2159.811
2020-02-28,2023.776
2020-03-31,1782.932
2020-04-30,1962.455
2020-05-29,2189.377
2020-06-30,2264.206
2020-07-31,2561.716
2020-08-31,2754.389
2020-09-30,2553.491
2020-10-30,2352.077
2020-11-30,2797.683
2020-12-31,2827.099
2021-01-29,2996.643
2021-02-26,2744.609
2021-03-31,2558.982
2021-04-30,2828.72
2021-05-31,2982.019
2021-06-30,2914.717
2021-07-30,2973.695
2021-08-31,3026.072
2021-09-30,2744.87
2021-10-29,2761.398
2021-11-30,2518.024
2021-12-31,2732.68
2022-01-31,2481.051
2022-02-28,2244.69
2022-03-31,2391.983
2022-04-29,2229.732
2022-05-31,2299.854
2022-06-30,2181.887
2022-07-29,2429.67
2022-08-31,2325.74
2022-09-30,2076.907
2022-10-31,2109.238
2022-11-30,2409.625
2022-12-30,2254.711
2023-01-31,2347.096
2023-02-28,2355.597
2023-03-31,2423.096
2023-04-28,2443.452
2023-05-31,1965.775
2023-06-30,2014.296
2023-07-31,1953.793
2023-08-31,1853.353
2023-09-29,1735.173
2023-10-31,1735.135
2023-11-30,1896.351
2023-12-29,2125.588
2024-01-31,2126.284
2024-02-29,2085.059
2024-03-29,2036.674
2024-04-30,2140.733
2024-05-31,2220.448
2024-11-29,1015.703
2024-12-31,953.984
2025-01-31,1018.846
2025-02-28,1104.907
2025-03-31,1099.987
2025-04-30,1240.907
2025-05-30,1247.001
2025-06-30,1313.853
2025-07-31,1236.584
2025-08-29,1259.463
2025-09-30,1365.035
