Date,FINLAND LARGE GROWTH Large Cap
1994-05-31,52.925
1994-06-30,56.328
1994-07-29,64.451
1994-08-31,73.027
1994-09-30,76.561
1994-10-31,91.45
1994-11-30,82.069
1994-12-30,89.451
1995-01-31,87.463
1995-02-28,85.692
1995-03-31,88.186
1995-04-28,99.194
1995-05-31,107.849
1995-06-30,131.988
1995-07-31,149.06
1995-08-31,149.09
1995-09-29,152.906
1995-10-31,127.406
1995-11-30,121.505
1995-12-29,91.286
1996-01-31,89.121
1996-02-29,82.679
1996-03-29,83.232
1996-04-30,86.339
1996-05-31,98.919
1996-06-28,85.127
1996-07-31,82.257
1996-08-30,97.181
1996-09-30,101.51
1996-10-31,108.39
1996-11-29,127.58
1996-12-31,132.303
1997-01-31,150.694
1997-02-28,139.655
1997-03-31,138.315
1997-04-30,141.913
1997-05-30,149.069
1997-06-30,167.995
1997-07-31,192.971
1997-08-29,174.252
1997-09-30,212.899
1997-10-31,193.416
1997-11-28,178.818
1997-12-31,158.36
1998-01-30,174.466
1998-02-27,222.413
1998-03-31,238.855
1998-04-30,297.947
1998-05-29,292.008
1998-06-30,327.189
1998-07-31,390.311
1998-08-31,317.994
1998-09-30,353.005
1998-10-30,404.633
1998-11-30,436.805
1998-12-31,543.818
1999-01-29,631.453
1999-02-26,592.728
1999-03-31,683.752
1999-04-30,679.548
1999-05-31,639.169
1999-06-30,769.138
1999-07-30,775.751
1999-08-31,747.783
1999-09-30,816.019
1999-10-29,1010.267
1999-11-30,1269.443
1999-12-31,1688.669
2000-01-31,1699.277
2000-02-29,1873.31
2000-03-31,1932.28
2000-04-28,2014.429
2000-05-31,1816.396
2000-06-30,1779.274
2000-07-31,1537.563
2000-08-31,1496.389
2000-09-29,1355.191
2000-10-31,1356.32
2000-11-30,1367.293
2000-12-29,1443.908
2001-01-31,1169.477
2001-02-28,740.417
2001-03-30,774.592
2001-04-30,1070.19
2001-05-31,932.612
2001-06-29,734.487
2001-07-31,706.581
2001-08-31,500.73
2001-09-28,515.697
2001-10-31,670.812
2001-11-30,749.882
2001-12-31,822.739
2002-01-31,735.786
2002-02-28,681.689
2002-03-29,687.491
2002-04-30,531.207
2002-05-31,467.584
2002-06-28,478.778
2002-07-31,407.298
2002-08-30,436.936
2002-09-30,434.805
2002-10-31,555.566
2002-11-29,631.278
2002-12-31,520.066
2003-01-31,459.319
2003-02-28,437.185
2003-03-31,461.191
2003-04-30,564.815
2003-05-30,600.754
2003-06-30,549.751
2003-07-31,511.781
2003-08-29,546.858
2003-09-30,513.963
2003-10-31,567.004
2003-11-28,601.467
2003-12-31,577.319
2004-01-30,688.872
2004-02-27,731.293
2004-03-31,696.971
2004-04-30,478.518
2004-05-31,474.588
2004-06-30,490.628
2004-07-30,390.124
