Date,FINLAND LARGE GROWTH Large Cap
2001-12-11,847.878
2001-12-12,841.846
2001-12-13,801.847
2001-12-14,798.615
2001-12-17,839.416
2001-12-18,840.959
2001-12-19,813.379
2001-12-20,792.721
2001-12-21,811.011
2001-12-24,802.919
2001-12-25,802.919
2001-12-26,803.604
2001-12-27,827.534
2001-12-28,843.196
2001-12-31,851.419
2002-01-01,851.419
2002-01-02,833.667
2002-01-03,877.791
2002-01-04,870.191
2002-01-07,854.372
2002-01-08,801.659
2002-01-09,785.407
2002-01-10,768.94
2002-01-11,786.443
2002-01-14,737.928
2002-01-15,750.259
2002-01-16,735.586
2002-01-17,751.973
2002-01-18,747.081
2002-01-21,705.013
2002-01-22,702.54
2002-01-23,721.589
2002-01-24,787.348
2002-01-25,758.209
2002-01-28,776.594
2002-01-29,768.479
2002-01-30,740.645
2002-01-31,761.436
2002-02-01,776.611
2002-02-04,767.739
2002-02-05,725.581
2002-02-06,707.218
2002-02-07,726.932
2002-02-08,720.198
2002-02-11,750.523
2002-02-12,756.075
2002-02-13,759.843
2002-02-14,760.855
2002-02-15,733.41
2002-02-18,721.665
2002-02-19,689.322
2002-02-20,665.35
2002-02-21,676.824
2002-02-22,652.574
2002-02-25,672.234
2002-02-26,687.221
2002-02-27,702.705
2002-02-28,705.453
2002-03-01,702.158
2002-03-04,759.242
2002-03-05,755.411
2002-03-06,770.922
2002-03-07,796.84
2002-03-08,803.159
2002-03-11,784.688
2002-03-12,732.965
2002-03-13,735.479
2002-03-14,733.422
2002-03-15,734.508
2002-03-18,750.028
2002-03-19,730.41
2002-03-20,705.839
2002-03-21,700.6
2002-03-22,713.213
2002-03-25,709.611
2002-03-26,701.815
2002-03-27,709.581
2002-03-28,709.296
2002-03-29,709.296
2002-04-01,715.11
2002-04-02,690.658
2002-04-03,692.29
2002-04-04,680.12
2002-04-05,678.853
2002-04-08,645.449
2002-04-09,659.324
2002-04-10,644.133
2002-04-11,623.385
2002-04-12,631.4
2002-04-15,647.647
2002-04-16,681.237
2002-04-17,698.922
2002-04-18,616.417
2002-04-19,589.701
2002-04-22,567.108
2002-04-23,565.842
2002-04-24,535.247
2002-04-25,555.779
2002-04-26,556.096
2002-04-29,542.603
2002-04-30,548.055
2002-05-01,551.157
2002-05-02,558.069
2002-05-03,521.472
2002-05-06,516.242
2002-05-07,516.755
2002-05-08,546.012
2002-05-09,545.892
2002-05-10,527.174
2002-05-13,533.227
2002-05-14,550.293
2002-05-15,558.927
2002-05-16,547.32
2002-05-17,548.723
2002-05-20,542.509
2002-05-21,533.677
2002-05-22,500.082
2002-05-23,483.612
2002-05-24,482.648
2002-05-27,478.704
2002-05-28,479.956
2002-05-29,471.305
2002-05-30,458.992
2002-05-31,482.414
2002-06-03,464.407
2002-06-04,448.39
2002-06-05,459.17
2002-06-06,451.583
2002-06-07,415.953
2002-06-10,424.183
2002-06-11,448.528
2002-06-12,424.83
2002-06-13,419.089
2002-06-14,424.722
2002-06-17,450.89
2002-06-18,449.96
2002-06-19,430.182
2002-06-20,439.374
2002-06-21,441.515
2002-06-24,409.82
2002-06-25,424.03
2002-06-26,438.475
2002-06-27,463.153
2002-06-28,493.964
2002-07-01,487.149
2002-07-02,459.221
2002-07-03,455.098
2002-07-04,479.567
2002-07-05,511.474
2002-07-08,512.625
2002-07-09,498.441
2002-07-10,482.558
2002-07-11,463.763
2002-07-12,472.277
2002-07-15,455.702
2002-07-16,461.492
2002-07-17,488.252
2002-07-18,466.065
2002-07-19,444.783
2002-07-22,431.489
2002-07-23,390.015
2002-07-24,376.055
2002-07-25,384.606
2002-07-26,385.42
2002-07-29,412.46
2002-07-30,423.668
2002-07-31,420.216
2002-08-01,401.139
2002-08-02,388.319
2002-08-05,369.504
2002-08-06,382.398
2002-08-07,389.81
2002-08-08,404.413
2002-08-09,434.181
2002-08-12,434.634
2002-08-13,435.205
2002-08-14,412.323
2002-08-15,433.053
2002-08-16,452.266
2002-08-19,477.438
2002-08-20,474.791
2002-08-21,480.632
2002-08-22,493.581
2002-08-23,479.921
2002-08-26,466.814
2002-08-27,479.86
2002-08-28,456.701
2002-08-29,453.331
2002-08-30,450.795
2002-09-02,439.206
2002-09-03,423.481
2002-09-04,426.944
2002-09-05,442.173
2002-09-06,473.026
2002-09-09,469.098
2002-09-10,463.117
2002-09-11,497.515
2002-09-12,475.791
2002-09-13,469.622
2002-09-16,450.076
2002-09-17,451.046
2002-09-18,428.188
2002-09-19,429.515
2002-09-20,435.795
2002-09-23,421.652
2002-09-24,413.084
2002-09-25,434.904
2002-09-26,477.182
2002-09-27,477.401
2002-09-30,448.595
2002-10-01,458.546
2002-10-02,485.817
2002-10-03,476.656
2002-10-04,447.221
2002-10-07,445.322
2002-10-08,441.22
2002-10-09,444.562
2002-10-10,458.16
2002-10-11,487.407
2002-10-14,482.671
2002-10-15,523.935
2002-10-16,497.612
2002-10-17,543.82
2002-10-18,544.385
2002-10-21,544.163
2002-10-22,554.966
2002-10-23,530.735
2002-10-24,554.877
2002-10-25,553.402
2002-10-28,576.651
2002-10-29,543.053
2002-10-30,555.063
2002-10-31,573.187
2002-11-01,555.56
2002-11-04,597.124
2002-11-05,605.736
2002-11-06,580.605
2002-11-07,568.719
2002-11-08,559.891
2002-11-11,540.337
2002-11-12,557.716
2002-11-13,572.546
2002-11-14,604.309
2002-11-15,605.663
2002-11-18,625.71
2002-11-19,603.879
2002-11-20,608.442
2002-11-21,643.617
2002-11-22,639.987
2002-11-25,648.022
2002-11-26,627.574
2002-11-27,648.629
2002-11-28,666.878
2002-11-29,651.3
2002-12-02,670.066
2002-12-03,620.658
2002-12-04,634.488
2002-12-05,623.356
2002-12-06,627.935
2002-12-09,609.974
2002-12-10,587.279
2002-12-11,574.305
2002-12-12,584.118
2002-12-13,573.515
2002-12-16,591.954
2002-12-17,588.204
2002-12-18,553.984
2002-12-19,551.283
2002-12-20,547.584
2002-12-23,550.65
2002-12-24,552.929
2002-12-25,552.929
2002-12-26,554.323
2002-12-27,528.55
2002-12-30,534.465
2002-12-31,536.561
2003-01-01,536.561
2003-01-02,563.228
2003-01-03,568.105
2003-01-06,571.596
2003-01-07,557.903
2003-01-08,527.011
2003-01-09,557.368
2003-01-10,561.582
2003-01-13,553.112
2003-01-14,564.701
2003-01-15,551.399
2003-01-16,528.975
2003-01-17,512.526
2003-01-20,504.916
2003-01-21,507.817
2003-01-22,515.171
2003-01-23,493.397
2003-01-24,494.506
2003-01-27,477.196
2003-01-28,471.785
2003-01-29,487.738
2003-01-30,503.738
2003-01-31,473.888
