Date,UNITED KINGDOM SMALL VALUE Small Cap
2001-01-01,295.219
2001-01-02,296.664
2001-01-03,295.641
2001-01-04,297.07
2001-01-05,298.851
2001-01-08,298.801
2001-01-09,298.149
2001-01-10,298.725
2001-01-11,299.42
2001-01-12,296.923
2001-01-15,298.022
2001-01-16,296.114
2001-01-17,297.851
2001-01-18,299.359
2001-01-19,300.09
2001-01-22,298.457
2001-01-23,300.148
2001-01-24,298.435
2001-01-25,299.631
2001-01-26,299.716
2001-01-29,299.996
2001-01-30,301.182
2001-01-31,301.756
2001-02-01,306.037
2001-02-02,304.44
2001-02-05,306.051
2001-02-06,304.199
2001-02-07,304.543
2001-02-08,301.263
2001-02-09,300.974
2001-02-12,301.686
2001-02-13,301.535
2001-02-14,301.149
2001-02-15,299.454
2001-02-16,299.487
2001-02-19,298.903
2001-02-20,298.885
2001-02-21,297.359
2001-02-22,297.469
2001-02-23,297.562
2001-02-26,296.557
2001-02-27,297.776
2001-02-28,297.567
2001-03-01,299.733
2001-03-02,303.408
2001-03-05,302.509
2001-03-06,303.82
2001-03-07,302.768
2001-03-08,302.91
2001-03-09,301.297
2001-03-12,297.819
2001-03-13,290.381
2001-03-14,285.436
2001-03-15,285.058
2001-03-16,281.845
2001-03-19,280.09
2001-03-20,279.986
2001-03-21,275.924
2001-03-22,266.357
2001-03-23,268.28
2001-03-26,271.534
2001-03-27,273.705
2001-03-28,274.082
2001-03-29,276.331
2001-03-30,274.885
2001-04-02,275.143
2001-04-03,272.957
2001-04-04,272.163
2001-04-05,274.48
2001-04-06,277.297
2001-04-09,278.982
2001-04-10,278.516
2001-04-11,279.939
2001-04-12,282.054
2001-04-13,282.033
2001-04-16,280.869
2001-04-17,280.146
2001-04-18,281.224
2001-04-19,286.425
2001-04-20,288.623
2001-04-23,289.068
2001-04-24,289.478
2001-04-25,290.106
2001-04-26,290.085
2001-04-27,290.546
2001-04-30,292.233
2001-05-01,293.484
2001-05-02,294.429
2001-05-03,295.198
2001-05-04,296.9
2001-05-07,297.468
2001-05-08,297.239
2001-05-09,294.607
2001-05-10,295.189
2001-05-11,295.143
2001-05-14,295.45
2001-05-15,296.252
2001-05-16,296.837
2001-05-17,299.074
2001-05-18,299.709
2001-05-21,302.912
2001-05-22,302.498
2001-05-23,302.281
2001-05-24,298.855
2001-05-25,301.267
2001-05-28,301.114
2001-05-29,301.246
2001-05-30,301.521
2001-05-31,300.457
2001-06-01,299.79
2001-06-04,301.342
2001-06-05,301.205
2001-06-06,298.237
2001-06-07,297.325
2001-06-08,296.377
2001-06-11,293.897
2001-06-12,291.569
2001-06-13,292.919
2001-06-14,293.318
2001-06-15,290.919
2001-06-18,290.779
2001-06-19,291.222
2001-06-20,288.323
2001-06-21,292.209
2001-06-22,291.214
2001-06-25,291.601
2001-06-26,287.968
2001-06-27,287.462
2001-06-28,285.478
2001-06-29,285.217
2001-07-02,286.931
2001-07-03,285.012
2001-07-04,284.196
2001-07-05,280.09
2001-07-06,278.716
2001-07-09,278.474
2001-07-10,279.478
2001-07-11,278.914
2001-07-12,278.496
2001-07-13,277.403
2001-07-16,277.723
2001-07-17,275.854
2001-07-18,277.562
2001-07-19,277.768
2001-07-20,279.971
2001-07-23,277.969
2001-07-24,275.68
2001-07-25,274.425
2001-07-26,273.953
2001-07-27,273.728
2001-07-30,274.339
2001-07-31,276.211
2001-08-01,279.302
