Date,UNITED KINGDOM SMALL VALUE Small Cap
1994-05-31,147.88
1994-06-30,143.146
1994-07-29,148.431
1994-08-31,152.493
1994-09-30,147.028
1994-10-31,150.95
1994-11-30,143.838
1994-12-30,143.816
1995-01-31,143.052
1995-02-28,141.823
1995-03-31,151.501
1995-04-28,154.643
1995-05-31,160.561
1995-06-30,157.527
1995-07-31,167.195
1995-08-31,164.524
1995-09-29,169.128
1995-10-31,167.172
1995-11-30,164.789
1995-12-29,168.756
1996-01-31,171.504
1996-02-29,176.081
1996-03-29,180.087
1996-04-30,190.352
1996-05-31,195.631
1996-06-28,193.032
1996-07-31,183.958
1996-08-30,192.042
1996-09-30,193.406
1996-10-31,202.845
1996-11-29,209.833
1996-12-31,218.587
1997-01-31,214.361
1997-02-28,222.39
1997-03-31,222.755
1997-04-30,223.204
1997-05-30,225.296
1997-06-30,226.888
1997-07-31,222.656
1997-08-29,225.464
1997-09-30,233.28
1997-10-31,238.292
1997-11-28,237.484
1997-12-31,235.581
1998-01-30,236.892
1998-02-27,253.538
1998-03-31,275.793
1998-04-30,277.58
1998-05-29,285.646
1998-06-30,270.465
1998-07-31,249.841
1998-08-31,221.477
1998-09-30,212.326
1998-10-30,217.089
1998-11-30,218.388
1998-12-31,218.81
1999-01-29,219.574
1999-02-26,229.878
1999-03-31,246.885
1999-04-30,268.066
1999-05-31,264.573
1999-06-30,270.511
1999-07-30,286.238
1999-08-31,291.785
1999-09-30,278.55
1999-10-29,268.651
1999-11-30,279.212
1999-12-31,291.499
2000-01-31,284.647
2000-02-29,275.917
2000-03-31,283.038
2000-04-28,269.986
2000-05-31,261.626
2000-06-30,281.423
2000-07-31,281.367
2000-08-31,287.068
2000-09-29,283.038
2000-10-31,276.533
2000-11-30,271.494
2000-12-29,295.167
2001-01-31,301.756
2001-02-28,297.567
2001-03-30,274.885
2001-04-30,292.233
2001-05-31,300.457
2001-06-29,285.217
2001-07-31,276.211
2001-08-31,286.727
2001-09-28,239.633
2001-10-31,248.234
2001-11-30,265.226
2001-12-31,276.639
2002-01-31,265.567
2002-02-28,271.787
2002-03-29,286.881
2002-04-30,305.531
2002-05-31,307.98
2002-06-28,296.037
2002-07-31,266.349
2002-08-30,269.72
2002-09-30,246.154
2002-10-31,251.011
2002-11-29,257.764
2002-12-31,254.368
2003-01-31,241.464
2003-02-28,233.999
2003-03-31,231.495
2003-04-30,263.018
2003-05-30,298.722
2003-06-30,308.305
2003-07-31,323.87
2003-08-29,333.8
2003-09-30,342.706
2003-10-31,366.159
2003-11-28,371.267
2003-12-31,395.62
2004-01-30,417.663
2004-02-27,443.558
2004-03-31,443.029
2004-04-30,426.504
2004-05-31,431.903
2004-06-30,443.44
2004-07-30,432.673
2004-08-31,437.716
2004-09-30,454.135
2004-10-29,461.612
2004-11-30,503.108
2004-12-31,537.531
2005-01-31,548.179
2005-02-28,568.2
2005-03-31,554.553
2005-04-29,534.141
2005-05-31,535.139
2005-06-30,542.586
2005-07-29,546.632
2005-08-31,566.418
2005-09-30,571.237
2005-10-31,555.161
2005-11-30,586.304
2005-12-30,613.294
2006-01-31,656.359
2006-02-28,669.156
2006-03-31,690.404
2006-04-28,717.043
2006-05-31,699.635
2006-06-30,703.283
2006-07-31,709.86
2006-08-31,743.107
2006-09-29,762.252
2006-10-31,812.041
2006-11-30,871.717
2006-12-29,909.613
2007-01-31,909.355
2007-02-28,908.611
2007-03-30,955.056
2007-04-30,992.61
2007-05-31,1000.0
2007-06-29,954.255
2007-07-31,946.72
2007-08-31,927.514
2007-09-28,886.962
2007-10-31,946.216
2007-11-30,848.845
2007-12-31,800.317
2008-01-31,747.768
2008-02-29,752.375
2008-03-31,739.048
2008-04-30,739.822
2008-05-30,723.754
2008-06-30,637.45
2008-07-31,614.5
2008-08-29,613.626
2008-09-30,501.536
2008-10-31,361.038
2008-11-28,327.886
2008-12-31,325.397
2009-01-30,314.647
2009-02-27,301.315
2009-03-31,321.0
2009-04-30,415.004
2009-05-29,455.1
2009-06-30,453.186
2009-07-31,509.197
2009-08-31,575.841
2009-09-30,584.158
2009-10-30,576.999
2009-11-30,564.743
2009-12-31,577.81
2010-01-29,575.921
2010-02-26,547.397
2010-03-31,599.152
2010-04-30,623.204
2010-05-31,544.064
2010-06-30,543.276
2010-07-30,595.737
2010-08-31,574.306
2010-09-30,631.883
2010-10-29,656.578
2010-11-30,620.967
2010-12-31,691.551
2011-01-31,704.485
2011-02-28,727.369
2011-03-31,707.725
2011-04-29,773.566
2011-05-31,773.588
2011-06-30,750.956
