Date,EM (EMERGING MARKETS) SMALL GROWTH Small Cap
2001-01-01,297.974
2001-01-02,298.704
2001-01-03,298.011
2001-01-04,305.721
2001-01-05,308.433
2001-01-08,310.883
2001-01-09,314.139
2001-01-10,314.576
2001-01-11,313.534
2001-01-12,315.617
2001-01-15,316.64
2001-01-16,318.415
2001-01-17,319.744
2001-01-18,320.816
2001-01-19,325.384
2001-01-22,328.453
2001-01-23,329.214
2001-01-24,329.277
2001-01-25,329.144
2001-01-26,328.105
2001-01-29,327.286
2001-01-30,328.614
2001-01-31,331.969
2001-02-01,331.995
2001-02-02,334.831
2001-02-05,330.893
2001-02-06,330.007
2001-02-07,324.731
2001-02-08,326.27
2001-02-09,328.599
2001-02-12,329.296
2001-02-13,331.438
2001-02-14,331.433
2001-02-15,334.081
2001-02-16,332.164
2001-02-19,329.608
2001-02-20,330.261
2001-02-21,324.944
2001-02-22,317.793
2001-02-23,316.518
2001-02-26,319.643
2001-02-27,318.436
2001-02-28,317.973
2001-03-01,315.912
2001-03-02,312.704
2001-03-05,314.426
2001-03-06,315.404
2001-03-07,317.538
2001-03-08,317.432
2001-03-09,315.308
2001-03-12,308.146
2001-03-13,304.604
2001-03-14,305.259
2001-03-15,306.846
2001-03-16,305.293
2001-03-19,300.95
2001-03-20,302.983
2001-03-21,302.323
2001-03-22,300.119
2001-03-23,301.131
2001-03-26,305.5
2001-03-27,303.91
2001-03-28,302.875
2001-03-29,300.612
2001-03-30,300.581
2001-04-02,295.109
2001-04-03,289.845
2001-04-04,287.365
2001-04-05,288.774
2001-04-06,290.935
2001-04-09,288.156
2001-04-10,288.123
2001-04-11,289.93
2001-04-12,292.505
2001-04-13,293.055
2001-04-16,292.473
2001-04-17,291.865
2001-04-18,299.024
2001-04-19,303.174
2001-04-20,300.794
2001-04-23,301.546
2001-04-24,302.904
2001-04-25,301.6
2001-04-26,303.124
2001-04-27,302.768
2001-04-30,303.671
2001-05-01,303.5
2001-05-02,303.654
2001-05-03,304.495
2001-05-04,302.995
2001-05-07,302.791
2001-05-08,300.99
2001-05-09,301.095
2001-05-10,299.998
2001-05-11,300.257
2001-05-14,299.437
2001-05-15,299.516
2001-05-16,300.372
