Date,EM (EMERGING MARKETS) SMALL GROWTH Small Cap
2001-01-01,294.597
2001-01-02,295.346
2001-01-03,294.661
2001-01-04,302.284
2001-01-05,304.968
2001-01-08,307.389
2001-01-09,310.61
2001-01-10,311.042
2001-01-11,310.012
2001-01-12,312.072
2001-01-15,313.092
2001-01-16,314.847
2001-01-17,316.161
2001-01-18,317.221
2001-01-19,321.738
2001-01-22,324.773
2001-01-23,325.525
2001-01-24,325.587
2001-01-25,325.456
2001-01-26,324.43
2001-01-29,323.62
2001-01-30,324.933
2001-01-31,328.251
2001-02-01,328.276
2001-02-02,331.081
2001-02-05,327.187
2001-02-06,326.311
2001-02-07,321.095
2001-02-08,322.616
2001-02-09,324.919
2001-02-12,325.608
2001-02-13,327.727
2001-02-14,327.721
2001-02-15,330.34
2001-02-16,328.444
2001-02-19,325.917
2001-02-20,326.563
2001-02-21,321.305
2001-02-22,314.247
2001-02-23,312.986
2001-02-26,316.077
2001-02-27,314.884
2001-02-28,314.426
2001-03-01,312.388
2001-03-02,309.216
2001-03-05,310.925
2001-03-06,311.891
2001-03-07,314.002
2001-03-08,313.897
2001-03-09,311.797
2001-03-12,304.731
2001-03-13,301.229
2001-03-14,301.876
2001-03-15,303.446
2001-03-16,301.911
2001-03-19,297.625
2001-03-20,299.636
2001-03-21,298.991
2001-03-22,296.811
2001-03-23,297.811
2001-03-26,302.136
2001-03-27,300.564
2001-03-28,299.544
2001-03-29,297.31
2001-03-30,297.291
2001-04-02,291.879
2001-04-03,286.675
2001-04-04,284.222
2001-04-05,285.618
2001-04-06,287.759
2001-04-09,285.011
2001-04-10,284.979
2001-04-11,286.767
2001-04-12,289.314
2001-04-13,289.859
2001-04-16,289.282
2001-04-17,288.682
2001-04-18,295.763
2001-04-19,299.872
2001-04-20,297.518
2001-04-23,298.274
2001-04-24,299.617
2001-04-25,298.329
2001-04-26,299.836
2001-04-27,299.485
2001-04-30,300.384
2001-05-01,300.215
2001-05-02,300.37
2001-05-03,301.203
2001-05-04,299.726
2001-05-07,299.533
2001-05-08,297.759
2001-05-09,297.863
2001-05-10,296.779
2001-05-11,297.037
2001-05-14,296.23
2001-05-15,296.309
2001-05-16,297.156
2001-05-17,300.46
2001-05-18,300.279
2001-05-21,298.926
2001-05-22,299.472
2001-05-23,302.489
2001-05-24,304.497
2001-05-25,304.239
2001-05-28,303.276
2001-05-29,303.009
2001-05-30,301.638
2001-05-31,302.319
2001-06-01,300.043
2001-06-04,299.892
2001-06-05,299.133
2001-06-06,301.61
2001-06-07,301.824
2001-06-08,305.693
2001-06-11,304.388
2001-06-12,304.685
2001-06-13,304.567
2001-06-14,302.968
2001-06-15,302.542
2001-06-18,297.96
2001-06-19,296.353
2001-06-20,294.92
2001-06-21,295.778
2001-06-22,295.774
2001-06-25,295.848
2001-06-26,293.696
2001-06-27,293.831
2001-06-28,291.955
2001-06-29,294.82
2001-07-02,293.248
2001-07-03,291.175
2001-07-04,288.127
2001-07-05,286.561
2001-07-06,283.69
2001-07-09,281.484
2001-07-10,279.549
2001-07-11,273.566
2001-07-12,277.907
2001-07-13,275.374
2001-07-16,274.211
2001-07-17,274.269
2001-07-18,273.926
