Date,EM (EMERGING MARKETS) SMALL GROWTH Small Cap
1994-05-31,631.363
1994-06-30,641.972
1994-07-29,668.144
1994-08-31,739.412
1994-09-30,759.11
1994-10-31,768.075
1994-11-30,750.013
1994-12-30,728.139
1995-01-31,660.192
1995-02-28,641.62
1995-03-31,640.948
1995-04-28,636.365
1995-05-31,679.688
1995-06-30,677.053
1995-07-31,693.054
1995-08-31,651.646
1995-09-29,651.533
1995-10-31,619.783
1995-11-30,576.751
1995-12-29,583.097
1996-01-31,608.077
1996-02-29,629.794
1996-03-29,619.412
1996-04-30,633.086
1996-05-31,626.208
1996-06-28,625.491
1996-07-31,582.527
1996-08-30,572.952
1996-09-30,576.855
1996-10-31,561.404
1996-11-29,558.503
1996-12-31,553.308
1997-01-31,595.243
1997-02-28,617.674
1997-03-31,608.066
1997-04-30,612.452
1997-05-30,599.255
1997-06-30,625.143
1997-07-31,636.925
1997-08-29,603.22
1997-09-30,595.197
1997-10-31,501.897
1997-11-28,462.171
1997-12-31,443.629
1998-01-30,408.242
1998-02-27,442.327
1998-03-31,467.627
1998-04-30,460.575
1998-05-29,410.812
1998-06-30,369.501
1998-07-31,372.99
1998-08-31,301.332
1998-09-30,297.337
1998-10-30,314.572
1998-11-30,353.096
1998-12-31,365.352
1999-01-29,346.424
1999-02-26,337.317
1999-03-31,384.466
1999-04-30,424.429
1999-05-31,421.845
1999-06-30,444.758
1999-07-30,433.762
1999-08-31,427.988
1999-09-30,407.627
1999-10-29,411.82
1999-11-30,441.869
1999-12-31,490.851
2000-01-31,523.013
2000-02-29,514.047
2000-03-31,504.776
2000-04-28,461.229
2000-05-31,428.323
2000-06-30,418.692
2000-07-31,406.279
2000-08-31,404.716
2000-09-29,360.586
2000-10-31,328.106
2000-11-30,305.337
2000-12-29,294.614
2001-01-31,328.251
2001-02-28,314.426
2001-03-30,297.291
2001-04-30,300.384
2001-05-31,302.319
2001-06-29,294.82
2001-07-31,273.037
2001-08-31,273.965
2001-09-28,236.039
2001-10-31,245.35
2001-11-30,272.194
2001-12-31,289.049
2002-01-31,306.108
2002-02-28,305.32
2002-03-29,327.909
2002-04-30,328.272
2002-05-31,318.185
2002-06-28,292.187
2002-07-31,284.443
2002-08-30,283.594
2002-09-30,251.371
2002-10-31,263.941
2002-11-29,279.347
2002-12-31,270.048
2003-01-31,272.446
2003-02-28,265.501
2003-03-31,252.802
2003-04-30,270.619
2003-05-30,294.478
2003-06-30,311.464
2003-07-31,332.608
2003-08-29,346.927
2003-09-30,348.632
2003-10-31,368.159
2003-11-28,377.29
2003-12-31,401.928
2004-01-30,411.543
2004-02-27,425.08
2004-03-31,428.68
2004-04-30,401.431
2004-05-31,380.907
2004-06-30,377.386
2004-07-30,363.871
2004-08-31,377.131
2004-09-30,400.365
2004-10-29,408.709
2004-11-30,447.078
2004-12-31,474.53
2005-01-31,475.33
2005-02-28,511.619
2005-03-31,484.431
2005-04-29,467.609
2005-05-31,480.09
2005-06-30,496.155
2005-07-29,523.804
2005-08-31,522.004
2005-09-30,555.664
2005-10-31,523.01
2005-11-30,573.54
2005-12-30,614.09
2006-01-31,660.522
2006-02-28,667.114
2006-03-31,683.623
2006-04-28,728.681
2006-05-31,662.343
2006-06-30,623.383
2006-07-31,632.338
2006-08-31,655.051
2006-09-29,673.067
2006-10-31,712.044
2006-11-30,771.765
2006-12-29,802.525
2007-01-31,800.318
2007-02-28,822.972
2007-03-30,866.53
2007-04-30,919.027
2007-05-31,1000.0
2007-06-29,1048.736
2007-07-31,1133.556
2007-08-31,1075.783
2007-09-28,1156.689
2007-10-31,1246.83
2007-11-30,1135.933
2007-12-31,1146.538
2008-01-31,971.584
2008-02-29,1044.014
2008-03-31,970.017
2008-04-30,1021.203
2008-05-30,997.931
2008-06-30,873.979
2008-07-31,849.216
2008-08-29,785.859
2008-09-30,616.274
2008-10-31,421.968
2008-11-28,393.226
2008-12-31,440.71
2009-01-30,416.321
2009-02-27,402.523
2009-03-31,459.296
2009-04-30,564.314
2009-05-29,688.838
2009-06-30,686.013
2009-07-31,767.194
2009-08-31,769.611
2009-09-30,832.257
2009-10-30,838.022
2009-11-30,878.899
2009-12-31,940.25
2010-01-29,902.876
2010-02-26,903.242
2010-03-31,981.851
2010-04-30,1001.958
2010-05-31,897.426
2010-06-30,910.976
2010-07-30,972.095
2010-08-31,972.951
2010-09-30,1093.461
2010-10-29,1131.431
2010-11-30,1110.674
2010-12-31,1163.432
2011-01-31,1120.479
2011-02-28,1078.41
2011-03-31,1128.97
2011-04-29,1178.175
2011-05-31,1137.035
2011-06-30,1110.122
2011-07-29,1132.403
2011-08-31,1003.655
2011-09-30,843.451
2011-10-31,929.072
2011-11-30,855.725
2011-12-30,842.595
2012-01-31,922.911
2012-02-29,998.666
2012-03-30,972.523
2012-04-30,956.187
2012-05-31,875.567
2012-06-29,898.861
2012-07-31,902.002
2012-08-31,928.274
2012-09-28,983.018
2012-10-31,970.112
2012-11-30,987.269
2012-12-31,1030.042
2013-01-31,1056.136
2013-02-28,1075.622
2013-03-29,1087.391
2013-04-30,1110.353
2013-05-31,1106.319
2013-06-28,1008.819
2013-07-31,1016.449
2013-08-30,977.214
2013-09-30,1047.297
2013-10-31,1088.501
2013-11-29,1069.939
2013-12-31,1059.843
2014-01-31,1041.391
2014-02-28,1086.854
2014-03-31,1107.506
2014-04-30,1109.415
2014-05-30,1141.115
2014-06-30,1162.048
2014-07-31,1163.392
2014-08-29,1197.031
