Date,EM (EMERGING MARKETS) SMALL GROWTH Small Cap
1994-05-31,646.446
1994-06-30,657.266
1994-07-29,683.954
1994-08-31,756.733
1994-09-30,776.837
1994-10-31,785.964
1994-11-30,767.422
1994-12-30,744.989
1995-01-31,675.295
1995-02-28,656.277
1995-03-31,655.445
1995-04-28,650.439
1995-05-31,694.341
1995-06-30,691.531
1995-07-31,707.702
1995-08-31,665.29
1995-09-29,665.081
1995-10-31,632.546
1995-11-30,588.489
1995-12-29,594.933
1996-01-31,620.288
1996-02-29,642.404
1996-03-29,631.778
1996-04-30,645.356
1996-05-31,637.863
1996-06-28,637.046
1996-07-31,593.132
1996-08-30,583.25
1996-09-30,587.131
1996-10-31,571.376
1996-11-29,568.349
1996-12-31,563.027
1997-01-31,605.53
1997-02-28,628.336
1997-03-31,618.503
1997-04-30,622.791
1997-05-30,609.253
1997-06-30,635.511
1997-07-31,647.352
1997-08-29,613.032
1997-09-30,604.839
1997-10-31,510.014
1997-11-28,469.537
1997-12-31,450.67
1998-01-30,414.675
1998-02-27,449.28
1998-03-31,474.931
1998-04-30,467.69
1998-05-29,417.041
1998-06-30,375.058
1998-07-31,378.558
1998-08-31,305.786
1998-09-30,301.722
1998-10-30,319.197
1998-11-30,358.226
1998-12-31,370.617
1999-01-29,351.277
1999-02-26,342.029
1999-03-31,389.723
1999-04-30,430.108
1999-05-31,427.347
1999-06-30,450.516
1999-07-30,439.347
1999-08-31,433.474
1999-09-30,412.836
1999-10-29,417.066
1999-11-30,447.471
1999-12-31,497.057
2000-01-31,529.469
2000-02-29,520.377
2000-03-31,510.93
2000-04-28,466.797
2000-05-31,433.442
2000-06-30,423.675
2000-07-31,411.078
2000-08-31,409.449
2000-09-29,364.782
2000-10-31,331.906
2000-11-30,308.851
2000-12-29,297.991
2001-01-31,331.969
2001-02-28,317.973
2001-03-30,300.581
2001-04-30,303.671
2001-05-31,305.556
2001-06-29,297.916
2001-07-31,275.836
2001-08-31,276.736
2001-09-28,238.414
2001-10-31,247.811
2001-11-30,274.914
2001-12-31,291.905
2002-01-31,309.12
2002-02-28,308.309
2002-03-29,331.035
2002-04-30,331.374
2002-05-31,321.126
2002-06-28,294.854
2002-07-31,286.962
2002-08-30,286.062
2002-09-30,253.539
2002-10-31,266.206
2002-11-29,281.742
2002-12-31,272.279
2003-01-31,274.68
2003-02-28,267.617
2003-03-31,254.772
2003-04-30,272.694
2003-05-30,296.687
2003-06-30,313.746
2003-07-31,334.889
2003-08-29,349.219
2003-09-30,350.902
2003-10-31,370.546
2003-11-28,379.731
2003-12-31,404.422
2004-01-30,414.013
2004-02-27,427.616
2004-03-31,431.212
2004-04-30,403.704
2004-05-31,383.025
2004-06-30,379.345
2004-07-30,365.619
2004-08-31,378.811
2004-09-30,402.101
2004-10-29,410.467
2004-11-30,448.994
2004-12-31,476.525
2005-01-31,477.224
2005-02-28,513.587
2005-03-31,486.243
2005-04-29,469.273
2005-05-31,481.735
2005-06-30,497.771
2005-07-29,525.297
2005-08-31,523.257
2005-09-30,556.947
2005-10-31,524.201
2005-11-30,574.838
2005-12-30,615.329
2006-01-31,661.797
2006-02-28,668.354
2006-03-31,684.857
2006-04-28,729.971
2006-05-31,663.462
2006-06-30,624.387
2006-07-31,633.138
2006-08-31,655.609
2006-09-29,673.538
2006-10-31,712.503
2006-11-30,772.254
2006-12-29,803.008
2007-01-31,800.683
2007-02-28,823.26
2007-03-30,866.711
2007-04-30,919.141
2007-05-31,1000.0
2007-06-29,1048.698
2007-07-31,1133.122
2007-08-31,1074.872
2007-09-28,1155.564
2007-10-31,1245.592
2007-11-30,1134.78
2007-12-31,1145.353
2008-01-31,970.508
2008-02-29,1042.68
2008-03-31,968.683
2008-04-30,1019.711
2008-05-30,996.166
2008-06-30,872.372
2008-07-31,847.107
2008-08-29,783.413
2008-09-30,614.233
2008-10-31,420.544
2008-11-28,391.884
2008-12-31,439.156
2009-01-30,414.831
2009-02-27,400.971
2009-03-31,457.481
2009-04-30,561.937
2009-05-29,685.739
2009-06-30,682.798
2009-07-31,763.379
2009-08-31,765.439
2009-09-30,827.665
2009-10-30,833.374
2009-11-30,873.999
2009-12-31,934.964
2010-01-29,897.743
2010-02-26,898.017
2010-03-31,976.075
2010-04-30,995.949
2010-05-31,891.875
2010-06-30,905.177
2010-07-30,965.259
2010-08-31,965.824
2010-09-30,1085.38
2010-10-29,1123.013
2010-11-30,1102.352
2010-12-31,1154.666
2011-01-31,1111.991
2011-02-28,1070.132
2011-03-31,1120.16
2011-04-29,1168.862
2011-05-31,1127.864
2011-06-30,1100.945
2011-07-29,1122.178
2011-08-31,993.91
2011-09-30,835.093
2011-10-31,919.812
2011-11-30,847.177
2011-12-30,834.153
2012-01-31,913.628
2012-02-29,988.485
2012-03-30,962.514
