Date,SPAIN SMID GROWTH SMID (Small+Mid Cap)
2001-01-01,224.339
2001-01-02,228.752
2001-01-03,228.023
2001-01-04,233.749
2001-01-05,234.752
2001-01-08,232.666
2001-01-09,229.056
2001-01-10,228.557
2001-01-11,234.995
2001-01-12,238.386
2001-01-15,237.071
2001-01-16,235.456
2001-01-17,236.994
2001-01-18,239.638
2001-01-19,237.071
2001-01-22,238.036
2001-01-23,240.79
2001-01-24,238.951
2001-01-25,240.058
2001-01-26,240.435
2001-01-29,239.098
2001-01-30,243.894
2001-01-31,245.439
2001-02-01,249.341
2001-02-02,242.613
2001-02-05,242.608
2001-02-06,240.773
2001-02-07,239.865
2001-02-08,240.607
2001-02-09,241.196
2001-02-12,246.647
2001-02-13,243.58
2001-02-14,238.169
2001-02-15,234.719
2001-02-16,234.579
2001-02-19,236.721
2001-02-20,231.572
2001-02-21,229.022
2001-02-22,226.321
2001-02-23,224.426
2001-02-26,226.463
2001-02-27,229.47
2001-02-28,229.427
2001-03-01,229.387
2001-03-02,233.168
2001-03-05,233.756
2001-03-06,239.355
2001-03-07,238.015
2001-03-08,236.415
2001-03-09,235.369
2001-03-12,230.368
2001-03-13,226.369
2001-03-14,222.238
2001-03-15,221.015
2001-03-16,216.283
2001-03-19,215.988
2001-03-20,219.32
2001-03-21,210.531
2001-03-22,198.199
2001-03-23,207.731
2001-03-26,211.351
2001-03-27,210.291
2001-03-28,207.105
2001-03-29,204.216
2001-03-30,205.376
2001-04-02,204.63
2001-04-03,199.704
2001-04-04,205.851
2001-04-05,207.23
2001-04-06,207.116
2001-04-09,209.795
2001-04-10,208.41
2001-04-11,208.078
2001-04-12,209.447
2001-04-13,209.447
2001-04-16,207.302
2001-04-17,207.121
2001-04-18,209.853
2001-04-19,213.775
2001-04-20,214.269
2001-04-23,211.933
2001-04-24,214.75
2001-04-25,216.19
2001-04-26,218.522
2001-04-27,216.924
2001-04-30,218.016
2001-05-01,219.171
2001-05-02,220.168
2001-05-03,219.378
2001-05-04,218.956
2001-05-07,218.281
2001-05-08,218.263
2001-05-09,219.001
2001-05-10,220.565
2001-05-11,219.018
2001-05-14,216.88
2001-05-15,216.447
2001-05-16,216.319
2001-05-17,217.467
2001-05-18,216.765
2001-05-21,216.317
2001-05-22,212.819
2001-05-23,212.303
2001-05-24,211.71
2001-05-25,210.511
2001-05-28,211.913
2001-05-29,210.339
2001-05-30,210.219
2001-05-31,208.499
2001-06-01,207.229
2001-06-04,209.286
2001-06-05,211.723
2001-06-06,211.085
2001-06-07,212.128
2001-06-08,213.092
2001-06-11,212.185
2001-06-12,211.065
2001-06-13,211.326
2001-06-14,212.66
2001-06-15,212.497
2001-06-18,208.998
2001-06-19,208.377
2001-06-20,206.856
2001-06-21,207.489
2001-06-22,205.884
2001-06-25,208.054
2001-06-26,206.199
2001-06-27,208.266
2001-06-28,205.596
2001-06-29,204.489
2001-07-02,204.612
2001-07-03,203.199
2001-07-04,202.935
2001-07-05,199.016
2001-07-06,197.648
2001-07-09,198.303
2001-07-10,201.022
2001-07-11,198.262
2001-07-12,193.638
2001-07-13,194.438
2001-07-16,194.77
2001-07-17,195.932
2001-07-18,198.253
2001-07-19,199.034
2001-07-20,199.537
2001-07-23,200.016
2001-07-24,202.723
2001-07-25,200.056
2001-07-26,200.529
2001-07-27,201.198
2001-07-30,204.259
2001-07-31,204.319
2001-08-01,206.422
2001-08-02,209.27
2001-08-03,211.297
2001-08-06,210.938
2001-08-07,208.487
2001-08-08,207.143
2001-08-09,208.421
2001-08-10,209.604
2001-08-13,211.846
2001-08-14,212.631
2001-08-15,215.878
2001-08-16,215.371
2001-08-17,214.889
2001-08-20,213.894
2001-08-21,214.712
2001-08-22,216.447
2001-08-23,213.795
2001-08-24,215.386
2001-08-27,214.307
2001-08-28,212.349
2001-08-29,213.192
2001-08-30,210.419
2001-08-31,211.296
2001-09-03,208.201
2001-09-04,204.75
2001-09-05,201.457
2001-09-06,199.265
2001-09-07,198.695
2001-09-10,195.391
2001-09-11,184.717
2001-09-12,183.134
2001-09-13,182.484
2001-09-14,177.957
2001-09-17,175.196
2001-09-18,174.55
2001-09-19,175.824
2001-09-20,169.556
2001-09-21,162.515
2001-09-24,168.244
2001-09-25,173.159
2001-09-26,174.974
2001-09-27,176.656
2001-09-28,178.195
2001-10-01,177.656
2001-10-02,179.872
2001-10-03,181.08
2001-10-04,182.384
2001-10-05,181.513
2001-10-08,180.822
2001-10-09,180.244
2001-10-10,181.751
2001-10-11,181.535
2001-10-12,182.34
2001-10-15,183.031
2001-10-16,186.267
2001-10-17,188.428
2001-10-18,185.016
2001-10-19,182.034
2001-10-22,182.306
2001-10-23,183.09
2001-10-24,184.099
2001-10-25,181.878
2001-10-26,183.008
2001-10-29,185.492
2001-10-30,184.329
2001-10-31,185.335
2001-11-01,186.464
2001-11-02,186.045
2001-11-05,186.447
2001-11-06,187.008
2001-11-07,186.931
2001-11-08,188.057
2001-11-09,188.086
2001-11-12,184.818
2001-11-13,186.713
2001-11-14,188.404
2001-11-15,189.089
2001-11-16,190.641
2001-11-19,193.614
2001-11-20,192.695
2001-11-21,189.507
2001-11-22,192.883
2001-11-23,192.448
2001-11-26,193.988
2001-11-27,194.045
2001-11-28,193.43
2001-11-29,192.94
2001-11-30,195.477
2001-12-03,193.567
2001-12-04,197.003
2001-12-05,198.474
2001-12-06,199.156
2001-12-07,197.967
2001-12-10,196.621
2001-12-11,198.026
2001-12-12,198.053
2001-12-13,196.055
2001-12-14,196.141
2001-12-17,200.907
2001-12-18,198.872
2001-12-19,197.476
2001-12-20,195.424
2001-12-21,194.24
2001-12-24,192.302
2001-12-25,192.302
2001-12-26,192.466
2001-12-27,195.892
2001-12-28,193.143
2001-12-31,195.026
2002-01-01,195.026
2002-01-02,197.87
2002-01-03,199.71
2002-01-04,198.99
2002-01-07,195.588
2002-01-08,196.669
2002-01-09,194.942
2002-01-10,194.636
2002-01-11,193.996
2002-01-14,194.202
2002-01-15,194.416
2002-01-16,191.826
2002-01-17,193.79
2002-01-18,195.29
2002-01-21,193.479
2002-01-22,194.267
2002-01-23,195.339
2002-01-24,195.92
2002-01-25,191.897
2002-01-28,192.867
2002-01-29,193.255
2002-01-30,191.806
2002-01-31,193.077
2002-02-01,193.311
2002-02-04,194.094
2002-02-05,192.853
2002-02-06,190.522
2002-02-07,191.652
2002-02-08,192.506
2002-02-11,193.574
2002-02-12,193.301
2002-02-13,193.653
2002-02-14,195.604
2002-02-15,196.13
2002-02-18,194.717
2002-02-19,194.794
2002-02-20,193.294
2002-02-21,192.767
2002-02-22,193.897
2002-02-25,193.734
2002-02-26,194.74
2002-02-27,196.053
2002-02-28,196.031
2002-03-01,197.538
2002-03-04,200.241
2002-03-05,200.079
2002-03-06,202.428
2002-03-07,205.278
2002-03-08,205.738
2002-03-11,206.0
2002-03-12,204.025
2002-03-13,204.529
2002-03-14,207.612
2002-03-15,209.166
2002-03-18,211.236
2002-03-19,212.148
2002-03-20,211.467
2002-03-21,211.289
2002-03-22,210.967
2002-03-25,207.521
2002-03-26,207.903
2002-03-27,207.747
2002-03-28,209.121
2002-03-29,209.121
2002-04-01,210.835
2002-04-02,210.321
2002-04-03,210.24
2002-04-04,209.197
2002-04-05,209.028
2002-04-08,205.533
2002-04-09,206.962
2002-04-10,208.726
2002-04-11,208.349
2002-04-12,208.511
2002-04-15,209.389
2002-04-16,212.426
2002-04-17,213.546
2002-04-18,213.728
2002-04-19,215.88
2002-04-22,215.269
2002-04-23,215.829
2002-04-24,216.137
2002-04-25,217.248
2002-04-26,218.539
2002-04-29,219.067
2002-04-30,218.91
2002-05-01,220.149
2002-05-02,216.828
2002-05-03,218.925
2002-05-06,219.737
2002-05-07,219.198
2002-05-08,219.883
2002-05-09,221.806
2002-05-10,221.45
2002-05-13,222.039
2002-05-14,221.487
2002-05-15,222.808
2002-05-16,221.662
2002-05-17,224.895
2002-05-20,223.96
2002-05-21,223.768
2002-05-22,225.634
2002-05-23,225.367
2002-05-24,226.845
2002-05-27,225.765
2002-05-28,227.905
2002-05-29,229.185
2002-05-30,228.28
2002-05-31,228.441
2002-06-03,228.957
2002-06-04,226.227
2002-06-05,224.162
2002-06-06,227.507
2002-06-07,228.419
2002-06-10,227.519
2002-06-11,228.533
2002-06-12,229.991
2002-06-13,228.827
2002-06-14,225.397
2002-06-17,225.481
2002-06-18,225.185
2002-06-19,226.149
2002-06-20,224.133
2002-06-21,224.128
2002-06-24,221.492
2002-06-25,221.643
2002-06-26,222.829
2002-06-27,220.031
2002-06-28,225.793
2002-07-01,225.992
2002-07-02,224.696
2002-07-03,221.471
2002-07-04,221.405
2002-07-05,224.516
2002-07-08,226.989
2002-07-09,226.949
2002-07-10,223.012
2002-07-11,215.806
2002-07-12,217.143
2002-07-15,215.221
2002-07-16,214.502
2002-07-17,213.712
2002-07-18,215.931
2002-07-19,211.568
2002-07-22,205.561
2002-07-23,200.421
2002-07-24,198.134
2002-07-25,202.17
2002-07-26,200.818
2002-07-29,204.996
2002-07-30,205.89
2002-07-31,205.646
2002-08-01,204.961
2002-08-02,204.317
2002-08-05,201.7
2002-08-06,200.776
2002-08-07,199.479
2002-08-08,201.956
