Date,NETHERLANDS IMI IMI (Large+Mid+Small Cap)
2001-01-01,590.903
2001-01-02,593.598
2001-01-03,589.442
2001-01-04,594.954
2001-01-05,595.261
2001-01-08,590.216
2001-01-09,584.778
2001-01-10,581.354
2001-01-11,594.712
2001-01-12,596.332
2001-01-15,595.381
2001-01-16,586.734
2001-01-17,588.718
2001-01-18,590.621
2001-01-19,581.157
2001-01-22,581.866
2001-01-23,584.004
2001-01-24,579.503
2001-01-25,579.481
2001-01-26,577.797
2001-01-29,579.65
2001-01-30,581.066
2001-01-31,589.655
2001-02-01,590.457
2001-02-02,584.97
2001-02-05,589.497
2001-02-06,586.348
2001-02-07,581.74
2001-02-08,574.68
2001-02-09,576.769
2001-02-12,580.624
2001-02-13,576.514
2001-02-14,570.418
2001-02-15,563.32
2001-02-16,566.678
2001-02-19,565.285
2001-02-20,557.169
2001-02-21,552.426
2001-02-22,542.501
2001-02-23,536.01
2001-02-26,544.089
2001-02-27,552.437
2001-02-28,552.027
2001-03-01,551.895
2001-03-02,555.154
2001-03-05,553.149
2001-03-06,560.756
2001-03-07,557.873
2001-03-08,558.478
2001-03-09,558.361
2001-03-12,546.287
2001-03-13,532.859
2001-03-14,522.839
2001-03-15,522.593
2001-03-16,505.064
2001-03-19,500.534
2001-03-20,507.648
2001-03-21,496.595
2001-03-22,469.361
2001-03-23,481.932
2001-03-26,499.48
2001-03-27,508.177
2001-03-28,498.555
2001-03-29,495.354
2001-03-30,501.062
2001-04-02,499.225
2001-04-03,487.092
2001-04-04,493.208
2001-04-05,501.23
2001-04-06,503.356
2001-04-09,510.005
2001-04-10,514.239
2001-04-11,513.793
2001-04-12,518.921
2001-04-13,518.921
2001-04-16,513.607
2001-04-17,509.577
2001-04-18,515.764
2001-04-19,519.83
2001-04-20,523.896
2001-04-23,517.097
2001-04-24,522.269
2001-04-25,525.298
2001-04-26,534.883
2001-04-27,536.522
2001-04-30,532.925
2001-05-01,536.292
2001-05-02,536.67
2001-05-03,528.197
2001-05-04,526.504
2001-05-07,528.615
2001-05-08,525.157
2001-05-09,522.364
2001-05-10,534.811
2001-05-11,528.775
2001-05-14,525.278
2001-05-15,531.389
2001-05-16,530.496
2001-05-17,534.394
2001-05-18,539.676
2001-05-21,537.766
2001-05-22,537.794
2001-05-23,529.907
2001-05-24,527.38
2001-05-25,522.381
2001-05-28,528.057
2001-05-29,522.983
2001-05-30,518.892
2001-05-31,515.126
2001-06-01,511.519
2001-06-04,512.205
2001-06-05,519.622
2001-06-06,518.023
2001-06-07,518.762
2001-06-08,516.864
2001-06-11,508.478
2001-06-12,505.821
2001-06-13,510.725
2001-06-14,508.087
2001-06-15,502.556
2001-06-18,502.082
2001-06-19,497.427
2001-06-20,491.59
2001-06-21,494.744
2001-06-22,499.724
2001-06-25,505.708
2001-06-26,501.352
2001-06-27,497.699
2001-06-28,491.495
2001-06-29,499.244
2001-07-02,505.371
2001-07-03,500.719
2001-07-04,499.178
2001-07-05,494.397
2001-07-06,490.176
2001-07-09,491.275
2001-07-10,492.913
2001-07-11,489.088
2001-07-12,486.755
2001-07-13,485.758
2001-07-16,482.594
2001-07-17,480.324
2001-07-18,483.132
2001-07-19,484.464
2001-07-20,483.398
2001-07-23,483.575
2001-07-24,484.649
2001-07-25,479.131
2001-07-26,480.569
2001-07-27,485.567
2001-07-30,493.18
2001-07-31,496.69
2001-08-01,501.682
2001-08-02,499.799
2001-08-03,495.985
2001-08-06,495.376
2001-08-07,494.491
2001-08-08,489.776
2001-08-09,490.297
2001-08-10,490.509
2001-08-13,495.388
2001-08-14,499.711
2001-08-15,502.178
2001-08-16,501.62
2001-08-17,497.275
2001-08-20,495.207
2001-08-21,500.396
2001-08-22,503.371
2001-08-23,504.671
2001-08-24,510.125
2001-08-27,511.39
2001-08-28,503.627
2001-08-29,506.167
2001-08-30,497.767
2001-08-31,494.195
2001-09-03,486.946
2001-09-04,482.545
2001-09-05,474.8
2001-09-06,465.438
2001-09-07,458.23
2001-09-10,452.906
2001-09-11,431.868
2001-09-12,430.814
2001-09-13,436.007
2001-09-14,413.528
2001-09-17,424.955
2001-09-18,426.536
2001-09-19,419.265
2001-09-20,395.224
2001-09-21,374.524
2001-09-24,397.543
2001-09-25,411.484
2001-09-26,416.324
2001-09-27,417.404
2001-09-28,431.381
2001-10-01,419.675
2001-10-02,425.853
2001-10-03,423.072
2001-10-04,438.778
2001-10-05,438.297
2001-10-08,438.85
2001-10-09,439.404
2001-10-10,448.932
2001-10-11,450.115
2001-10-12,449.199
2001-10-15,429.702
2001-10-16,432.173
2001-10-17,441.909
2001-10-18,428.246
2001-10-19,418.316
2001-10-22,423.312
2001-10-23,435.122
2001-10-24,434.789
2001-10-25,429.665
2001-10-26,440.291
2001-10-29,440.019
2001-10-30,430.913
2001-10-31,432.469
2001-11-01,439.831
2001-11-02,439.95
2001-11-05,448.366
2001-11-06,446.543
2001-11-07,453.633
2001-11-08,458.482
2001-11-09,451.573
2001-11-12,441.339
2001-11-13,452.375
2001-11-14,447.749
2001-11-15,443.298
2001-11-16,452.524
2001-11-19,453.566
2001-11-20,452.768
2001-11-21,446.912
2001-11-22,454.424
2001-11-23,453.937
2001-11-26,453.392
2001-11-27,448.117
2001-11-28,443.621
2001-11-29,444.879
2001-11-30,449.891
2001-12-03,445.993
2001-12-04,448.499
2001-12-05,458.333
2001-12-06,459.609
2001-12-07,456.299
2001-12-10,447.039
2001-12-11,447.78
2001-12-12,445.026
2001-12-13,438.125
2001-12-14,438.231
2001-12-17,451.231
2001-12-18,448.795
2001-12-19,446.212
2001-12-20,441.58
2001-12-21,447.936
2001-12-24,443.7
2001-12-25,443.7
2001-12-26,444.079
2001-12-27,456.361
2001-12-28,456.704
2001-12-31,461.158
2002-01-01,461.158
2002-01-02,458.925
2002-01-03,463.057
2002-01-04,458.021
2002-01-07,455.879
2002-01-08,451.846
2002-01-09,454.253
2002-01-10,451.589
2002-01-11,455.781
2002-01-14,447.786
2002-01-15,451.484
2002-01-16,443.372
2002-01-17,447.804
2002-01-18,446.649
2002-01-21,445.459
2002-01-22,446.756
2002-01-23,447.789
2002-01-24,453.97
2002-01-25,448.108
2002-01-28,449.979
2002-01-29,445.98
2002-01-30,440.301
2002-01-31,444.662
2002-02-01,445.834
2002-02-04,445.262
2002-02-05,438.123
2002-02-06,434.665
2002-02-07,436.345
2002-02-08,435.722
2002-02-11,443.378
2002-02-12,443.844
2002-02-13,444.341
2002-02-14,448.997
2002-02-15,448.894
2002-02-18,444.409
2002-02-19,438.352
2002-02-20,434.671
2002-02-21,439.553
2002-02-22,437.034
2002-02-25,439.343
2002-02-26,440.011
2002-02-27,441.993
2002-02-28,444.833
2002-03-01,448.224
2002-03-04,460.045
2002-03-05,460.18
2002-03-06,463.488
2002-03-07,471.765
2002-03-08,470.23
2002-03-11,471.461
2002-03-12,468.645
2002-03-13,466.336
2002-03-14,469.398
2002-03-15,475.826
2002-03-18,478.086
2002-03-19,482.449
2002-03-20,480.14
2002-03-21,476.768
2002-03-22,477.907
2002-03-25,473.881
2002-03-26,475.045
2002-03-27,474.617
2002-03-28,481.487
2002-03-29,481.487
2002-04-01,485.433
2002-04-02,485.832
2002-04-03,483.923
2002-04-04,478.101
2002-04-05,473.127
2002-04-08,464.959
2002-04-09,467.39
2002-04-10,472.154
2002-04-11,469.335
2002-04-12,467.494
2002-04-15,470.192
2002-04-16,481.511
2002-04-17,486.351
2002-04-18,487.59
2002-04-19,487.848
2002-04-22,485.844
2002-04-23,485.507
2002-04-24,481.48
2002-04-25,479.509
2002-04-26,478.345
2002-04-29,477.057
2002-04-30,481.683
2002-05-01,484.41
2002-05-02,477.118
2002-05-03,478.224
2002-05-06,476.592
2002-05-07,471.199
2002-05-08,476.538
2002-05-09,477.414
2002-05-10,474.897
2002-05-13,476.969
2002-05-14,479.843
2002-05-15,484.414
2002-05-16,484.474
2002-05-17,488.124
2002-05-20,485.578
2002-05-21,481.134
2002-05-22,480.595
2002-05-23,483.142
2002-05-24,485.698
