Date,NETHERLANDS IMI IMI (Large+Mid+Small Cap)
1994-05-31,219.308
1994-06-30,217.285
1994-07-29,230.029
1994-08-31,237.319
1994-09-30,232.549
1994-10-31,245.811
1994-11-30,233.627
1994-12-30,240.059
1995-01-31,243.031
1995-02-28,249.833
1995-03-31,261.909
1995-04-28,271.084
1995-05-31,277.118
1995-06-30,280.809
1995-07-31,294.754
1995-08-31,278.159
1995-09-29,292.784
1995-10-31,289.696
1995-11-30,296.558
1995-12-29,306.306
1996-01-31,308.71
1996-02-29,317.29
1996-03-29,328.17
1996-04-30,329.939
1996-05-31,347.406
1996-06-28,346.723
1996-07-31,340.432
1996-08-30,349.256
1996-09-30,357.237
1996-10-31,362.215
1996-11-29,383.128
1996-12-31,392.429
1997-01-31,389.427
1997-02-28,404.375
1997-03-31,415.544
1997-04-30,411.34
1997-05-30,438.781
1997-06-30,466.156
1997-07-31,498.454
1997-08-29,455.919
1997-09-30,494.088
1997-10-31,470.426
1997-11-28,465.667
1997-12-31,474.203
1998-01-30,481.961
1998-02-27,534.076
1998-03-31,554.685
1998-04-30,569.23
1998-05-29,608.163
1998-06-30,599.439
1998-07-31,611.089
1998-08-31,540.678
1998-09-30,504.261
1998-10-30,530.574
1998-11-30,566.875
1998-12-31,612.082
1999-01-29,575.932
1999-02-26,567.609
1999-03-31,571.924
1999-04-30,605.489
1999-05-31,578.456
1999-06-30,583.446
1999-07-30,600.154
1999-08-31,613.261
1999-09-30,593.046
1999-10-29,609.816
1999-11-30,613.451
1999-12-31,674.615
2000-01-31,600.506
2000-02-29,646.119
2000-03-31,650.752
2000-04-28,620.826
2000-05-31,630.87
2000-06-30,664.883
2000-07-31,640.44
2000-08-31,639.018
2000-09-29,612.049
2000-10-31,603.766
2000-11-30,593.261
2000-12-29,622.024
2001-01-31,620.711
2001-02-28,581.09
2001-03-30,527.302
2001-04-30,560.335
2001-05-31,540.335
2001-06-29,523.532
2001-07-31,520.834
2001-08-31,517.354
2001-09-28,451.532
2001-10-31,452.648
2001-11-30,470.819
2001-12-31,482.613
2002-01-31,465.336
2002-02-28,465.515
2002-03-29,503.838
2002-04-30,503.206
2002-05-31,504.935
2002-06-28,489.722
2002-07-31,406.583
2002-08-30,412.415
2002-09-30,341.455
2002-10-31,383.851
2002-11-29,405.471
2002-12-31,386.254
2003-01-31,363.69
2003-02-28,337.783
2003-03-31,329.575
2003-04-30,370.306
2003-05-30,394.351
2003-06-30,397.943
2003-07-31,414.442
2003-08-29,423.516
2003-09-30,419.13
2003-10-31,444.916
2003-11-28,460.719
2003-12-31,501.923
2004-01-30,501.615
2004-02-27,510.646
2004-03-31,486.117
2004-04-30,483.414
2004-05-31,491.918
2004-06-30,501.116
2004-07-30,478.392
2004-08-31,476.837
2004-09-30,487.484
2004-10-29,507.707
2004-11-30,542.543
2004-12-31,568.107
2005-01-31,566.085
2005-02-28,605.002
2005-03-31,582.147
2005-04-29,552.541
2005-05-31,556.795
2005-06-30,582.467
2005-07-29,595.841
2005-08-31,594.085
2005-09-30,602.369
2005-10-31,586.646
2005-11-30,616.025
2005-12-30,645.007
2006-01-31,680.3
2006-02-28,694.948
2006-03-31,725.959
2006-04-28,753.947
2006-05-31,721.876
2006-06-30,720.31
2006-07-31,737.091
2006-08-31,769.414
2006-09-29,791.67
2006-10-31,798.554
2006-11-30,821.033
2006-12-29,853.586
2007-01-31,857.157
2007-02-28,858.797
2007-03-30,918.732
2007-04-30,1001.587
2007-05-31,1000.0
2007-06-29,998.102
2007-07-31,1001.043
2007-08-31,974.513
2007-09-28,1046.625
2007-10-31,1071.193
2007-11-30,1030.693
2007-12-31,1029.672
2008-01-31,909.122
2008-02-29,938.008
2008-03-31,970.476
2008-04-30,1010.501
2008-05-30,1017.472
2008-06-30,888.43
2008-07-31,851.304
2008-08-29,859.446
2008-09-30,697.915
2008-10-31,520.948
2008-11-28,486.515
2008-12-31,533.109
2009-01-30,488.641
2009-02-27,429.148
2009-03-31,448.2
2009-04-30,506.424
2009-05-29,571.747
2009-06-30,565.167
2009-07-31,643.111
2009-08-31,687.428
2009-09-30,742.922
2009-10-30,728.442
2009-11-30,745.198
2009-12-31,770.663
2010-01-29,744.409
2010-02-26,711.841
2010-03-31,764.362
2010-04-30,759.56
2010-05-31,665.754
2010-06-30,660.536
2010-07-30,731.911
2010-08-31,679.419
2010-09-30,772.92
2010-10-29,789.972
2010-11-30,716.124
2010-12-31,796.094
2011-01-31,826.317
2011-02-28,856.464
2011-03-31,875.573
2011-04-29,907.768
2011-05-31,863.675
2011-06-30,836.793
2011-07-29,795.804
2011-08-31,718.847
2011-09-30,647.933
2011-10-31,728.805
2011-11-30,682.96
2011-12-30,683.186
2012-01-31,708.977
2012-02-29,743.068
2012-03-30,750.545
2012-04-30,717.164
2012-05-31,640.461
2012-06-29,691.368
2012-07-31,710.715
2012-08-31,739.801
2012-09-28,750.239
2012-10-31,775.086
2012-11-30,797.494
2012-12-31,822.213
2013-01-31,886.843
2013-02-28,828.154
2013-03-29,838.186
2013-04-30,868.706
2013-05-31,894.218
2013-06-28,860.523
2013-07-31,945.006
2013-08-30,933.343
2013-09-30,989.952
2013-10-31,1038.121
2013-11-29,1051.669
2013-12-31,1074.834
2014-01-31,1016.62
2014-02-28,1074.912
2014-03-31,1087.224
2014-04-30,1070.947
2014-05-30,1081.159
2014-06-30,1089.334
2014-07-31,1029.659
2014-08-29,1048.109
2014-09-30,1030.102
2014-10-31,995.805
2014-11-28,1049.394
2014-12-31,1014.125
2015-01-30,1014.004
2015-02-27,1083.617
2015-03-31,1066.332
2015-04-30,1110.207
2015-05-29,1117.072
2015-06-30,1092.775
2015-07-31,1138.546
2015-08-31,1046.846
2015-09-30,996.942
2015-10-30,1079.102
