Date,NETHERLANDS IMI IMI (Large+Mid+Small Cap)
1994-05-31,201.513
1994-06-30,199.676
1994-07-29,211.388
1994-08-31,218.205
1994-09-30,214.142
1994-10-31,226.379
1994-11-30,215.21
1994-12-30,221.135
1995-01-31,223.873
1995-02-28,230.146
1995-03-31,241.274
1995-04-28,249.946
1995-05-31,256.463
1995-06-30,259.885
1995-07-31,272.792
1995-08-31,257.648
1995-09-29,271.601
1995-10-31,268.743
1995-11-30,275.165
1995-12-29,284.212
1996-01-31,286.442
1996-02-29,294.413
1996-03-29,304.594
1996-04-30,306.482
1996-05-31,323.734
1996-06-28,323.1
1996-07-31,317.238
1996-08-30,325.704
1996-09-30,333.671
1996-10-31,338.327
1996-11-29,357.933
1996-12-31,366.622
1997-01-31,363.818
1997-02-28,377.792
1997-03-31,388.407
1997-04-30,384.71
1997-05-30,411.393
1997-06-30,437.068
1997-07-31,467.367
1997-08-29,427.656
1997-09-30,464.039
1997-10-31,441.845
1997-11-28,437.437
1997-12-31,445.456
1998-01-30,452.745
1998-02-27,501.708
1998-03-31,521.214
1998-04-30,535.207
1998-05-29,573.012
1998-06-30,564.811
1998-07-31,575.814
1998-08-31,509.502
1998-09-30,475.187
1998-10-30,499.983
1998-11-30,534.191
1998-12-31,576.792
1999-01-29,542.726
1999-02-26,534.883
1999-03-31,539.052
1999-04-30,570.895
1999-05-31,546.465
1999-06-30,551.187
1999-07-30,566.972
1999-08-31,580.13
1999-09-30,561.058
1999-10-29,576.948
1999-11-30,580.444
1999-12-31,638.316
2000-01-31,568.195
2000-02-29,611.353
2000-03-31,615.844
2000-04-28,587.684
2000-05-31,598.446
2000-06-30,630.714
2000-07-31,607.527
2000-08-31,606.891
2000-09-29,581.347
2000-10-31,573.499
2000-11-30,563.574
2000-12-29,590.903
2001-01-31,589.655
2001-02-28,552.027
2001-03-30,501.062
2001-04-30,532.925
2001-05-31,515.126
2001-06-29,499.244
2001-07-31,496.69
2001-08-31,494.195
2001-09-28,431.381
2001-10-31,432.469
2001-11-30,449.891
2001-12-31,461.158
2002-01-31,444.662
2002-02-28,444.833
2002-03-29,481.487
2002-04-30,481.683
2002-05-31,484.305
2002-06-28,469.733
2002-07-31,390.003
2002-08-30,396.697
2002-09-30,328.459
2002-10-31,369.384
2002-11-29,390.19
2002-12-31,371.697
2003-01-31,350.002
2003-02-28,325.069
2003-03-31,317.361
2003-04-30,357.93
2003-05-30,381.703
2003-06-30,385.189
2003-07-31,401.716
2003-08-29,411.166
2003-09-30,406.928
2003-10-31,432.134
2003-11-28,447.483
2003-12-31,487.503
2004-01-30,487.204
2004-02-27,495.975
2004-03-31,472.392
2004-04-30,471.486
2004-05-31,480.451
2004-06-30,489.448
2004-07-30,467.84
2004-08-31,467.164
2004-09-30,477.622
2004-10-29,497.632
2004-11-30,531.788
2004-12-31,556.845
2005-01-31,554.863
2005-02-28,593.905
2005-03-31,571.479
2005-04-29,544.303
2005-05-31,549.273
2005-06-30,574.611
2005-07-29,587.827
2005-08-31,587.476
2005-09-30,595.708
2005-10-31,580.235
2005-11-30,609.494
2005-12-30,638.173
2006-01-31,673.092
2006-02-28,687.584
2006-03-31,718.645
2006-04-28,748.117
2006-05-31,717.599
2006-06-30,716.055
2006-07-31,732.809
2006-08-31,766.671
2006-09-29,788.884
2006-10-31,795.84
2006-11-30,818.752
2006-12-29,851.215
2007-01-31,854.776
2007-02-28,856.411
2007-03-30,916.481
2007-04-30,1001.089
2007-05-31,1000.0
2007-06-29,998.112
2007-07-31,1001.554
2007-08-31,975.859
2007-09-28,1048.079
2007-10-31,1072.742
2007-11-30,1032.411
2007-12-31,1031.389
2008-01-31,910.638
2008-02-29,939.572
2008-03-31,972.674
2008-04-30,1015.508
2008-05-30,1023.347
2008-06-30,893.567
2008-07-31,856.349
2008-08-29,865.948
2008-09-30,703.199
2008-10-31,524.953
2008-11-28,490.459
2008-12-31,537.431
2009-01-30,492.603
2009-02-27,432.627
2009-03-31,452.303
2009-04-30,512.313
2009-05-29,579.015
2009-06-30,572.351
2009-07-31,651.342
2009-08-31,696.617
2009-09-30,752.853
2009-10-30,738.22
2009-11-30,755.483
2009-12-31,781.3
2010-01-29,754.684
2010-02-26,721.834
2010-03-31,775.527
2010-04-30,772.046
2010-05-31,677.005
2010-06-30,671.698
2010-07-30,744.522
2010-08-31,691.479
2010-09-30,786.639
2010-10-29,804.033
2010-11-30,729.074
2010-12-31,810.491
2011-01-31,841.26
2011-02-28,872.192
2011-03-31,891.681
2011-04-29,926.507
2011-05-31,882.13
2011-06-30,854.673
2011-07-29,813.062
2011-08-31,734.92
2011-09-30,662.422
2011-10-31,745.144
2011-11-30,698.527
2011-12-30,698.758
2012-01-31,725.137
2012-02-29,760.204
2012-03-30,767.892
2012-04-30,735.399
2012-05-31,657.712
2012-06-29,709.995
2012-07-31,729.948
2012-08-31,760.306
2012-09-28,771.034
2012-10-31,796.614
2012-11-30,819.909
2012-12-31,845.323
2013-01-31,911.769
2013-02-28,851.647
2013-03-29,861.965
2013-04-30,894.629
2013-05-31,921.978
2013-06-28,887.24
2013-07-31,974.389
2013-08-30,962.865
2013-09-30,1021.347
2013-10-31,1071.089
2013-11-29,1085.359
2013-12-31,1109.266
2014-01-31,1049.187
2014-02-28,1109.612
2014-03-31,1122.349
2014-04-30,1106.61
2014-05-30,1117.932
2014-06-30,1126.386
2014-07-31,1064.695
2014-08-29,1084.363
2014-09-30,1065.733
2014-10-31,1030.327
2014-11-28,1086.068
2014-12-31,1049.566
2015-01-30,1049.479
2015-02-27,1121.765
2015-03-31,1103.872
2015-04-30,1150.617
2015-05-29,1158.795
2015-06-30,1133.642
2015-07-31,1181.18
2015-08-31,1087.033
2015-09-30,1035.287
2015-10-30,1120.882
2015-11-30,1098.365
2015-12-31,1071.499
2016-01-29,1039.171
2016-02-29,1024.939
2016-03-31,1106.666
2016-04-29,1109.801
2016-05-31,1121.373
2016-06-30,1049.416
2016-07-29,1100.557
2016-08-31,1133.059
2016-09-30,1147.733
2016-10-31,1121.67
2016-11-30,1083.635
2016-12-30,1125.478
2017-01-31,1147.175
2017-02-28,1186.013
2017-03-31,1250.855
2017-04-28,1307.883
2017-05-31,1375.208
2017-06-30,1356.65
2017-07-31,1447.727
2017-08-31,1445.585
2017-09-29,1484.77
2017-10-31,1499.275
2017-11-30,1492.258
2017-12-29,1508.279
2018-01-31,1603.124
2018-02-28,1522.921
2018-03-30,1520.71
2018-04-30,1541.877
2018-05-31,1495.196
2018-06-29,1493.287
2018-07-31,1549.337
2018-08-31,1521.186
2018-09-28,1472.953
2018-10-31,1357.724
2018-11-30,1386.279
2018-12-31,1301.13
2019-01-31,1395.876
2019-02-28,1463.475
2019-03-29,1475.503
2019-04-30,1565.03
2019-05-31,1468.268
2019-06-28,1569.851
2019-07-31,1581.563
2019-08-30,1560.343
2019-09-30,1600.612
2019-10-31,1625.566
2019-11-29,1664.287
2019-12-31,1726.9
2020-01-31,1678.773
2020-02-28,1546.803
2020-03-31,1354.033
2020-04-30,1477.272
2020-05-29,1581.315
2020-06-30,1698.524
2020-07-31,1772.621
2020-08-31,1830.478
2020-09-30,1806.779
2020-10-30,1761.897
2020-11-30,2021.974
2020-12-31,2156.143
2021-01-29,2210.577
2021-02-26,2298.179
2021-03-31,2410.629
2021-04-30,2533.795
2021-05-31,2602.688
2021-06-30,2582.468
2021-07-30,2694.144
2021-08-31,2876.55
2021-09-30,2670.448
2021-10-29,2839.272
2021-11-30,2679.916
2021-12-31,2765.276
2022-01-31,2465.131
2022-02-28,2349.231
2022-03-31,2318.115
2022-04-29,2089.362
2022-05-31,2107.923
2022-06-30,1880.02
2022-07-29,2067.047
2022-08-31,1863.989
2022-09-30,1677.97
2022-10-31,1779.4
2022-11-30,2081.376
2022-12-30,2031.845
2023-01-31,2323.52
2023-02-28,2254.344
2023-03-31,2358.897
2023-04-28,2337.037
2023-05-31,2352.684
2023-06-30,2458.748
2023-07-31,2531.479
2023-08-31,2321.821
2023-09-29,2136.477
2023-10-31,2103.434
2023-11-30,2386.681
2023-12-29,2554.779
2024-01-31,2697.539
2024-02-29,2832.03
2024-03-29,2935.088
2024-04-30,2827.09
2024-05-31,2993.26
2024-06-28,3073.205
2024-07-31,2933.329
2024-08-30,2991.428
2024-09-30,2951.252
2024-10-31,2627.8
2024-11-29,2607.464
2024-12-31,2587.742
2025-01-31,2717.948
2025-02-28,2713.818
2025-03-31,2641.962
2025-04-30,2766.211
2025-05-30,3012.15
2025-06-30,3134.377
2025-07-31,2950.399
2025-08-29,3042.235
2025-09-30,3422.619
2025-10-31,3513.779
2025-11-28,3455.111
2025-12-31,3544.725
2026-01-30,4064.902
