Date,WORLD ex USA SMID VALUE SMID (Small+Mid Cap)
2001-01-01,324.73
2001-01-02,325.812
2001-01-03,324.01
2001-01-04,323.753
2001-01-05,325.101
2001-01-08,324.84
2001-01-09,321.367
2001-01-10,320.506
2001-01-11,320.161
2001-01-12,319.856
2001-01-15,318.591
2001-01-16,319.253
2001-01-17,319.054
2001-01-18,322.402
2001-01-19,322.208
2001-01-22,322.121
2001-01-23,323.051
2001-01-24,319.56
2001-01-25,321.256
2001-01-26,321.207
2001-01-29,321.794
2001-01-30,323.849
2001-01-31,326.385
2001-02-01,330.351
2001-02-02,328.47
2001-02-05,328.626
2001-02-06,327.542
2001-02-07,326.737
2001-02-08,323.941
2001-02-09,324.3
2001-02-12,325.76
2001-02-13,325.059
2001-02-14,325.259
2001-02-15,324.371
2001-02-16,325.377
2001-02-19,325.525
2001-02-20,324.893
2001-02-21,323.307
2001-02-22,322.225
2001-02-23,323.072
2001-02-26,324.017
2001-02-27,326.909
2001-02-28,325.126
2001-03-01,325.224
2001-03-02,323.855
2001-03-05,323.053
2001-03-06,326.229
2001-03-07,325.268
2001-03-08,326.638
2001-03-09,326.251
2001-03-12,321.239
2001-03-13,314.625
2001-03-14,309.614
2001-03-15,309.746
2001-03-16,305.208
2001-03-19,305.961
2001-03-20,306.378
2001-03-21,306.141
2001-03-22,296.929
2001-03-23,302.092
2001-03-26,308.486
2001-03-27,310.287
2001-03-28,309.759
2001-03-29,306.071
2001-03-30,304.567
2001-04-02,302.783
2001-04-03,303.998
2001-04-04,307.158
2001-04-05,309.51
2001-04-06,311.226
2001-04-09,310.282
2001-04-10,310.108
2001-04-11,310.721
2001-04-12,314.271
2001-04-13,314.454
2001-04-16,312.507
2001-04-17,312.3
2001-04-18,314.407
2001-04-19,318.87
2001-04-20,320.626
2001-04-23,320.079
2001-04-24,320.075
2001-04-25,321.46
2001-04-26,324.022
2001-04-27,322.694
2001-04-30,323.489
2001-05-01,328.174
2001-05-02,328.596
2001-05-03,328.836
2001-05-04,329.215
2001-05-07,328.98
2001-05-08,326.589
2001-05-09,324.94
2001-05-10,325.757
2001-05-11,325.105
2001-05-14,322.582
2001-05-15,324.557
2001-05-16,324.816
2001-05-17,327.822
2001-05-18,327.706
2001-05-21,329.698
2001-05-22,329.033
2001-05-23,329.313
2001-05-24,328.279
2001-05-25,327.313
2001-05-28,327.278
2001-05-29,327.28
2001-05-30,325.765
2001-05-31,324.738
2001-06-01,325.148
2001-06-04,325.5
2001-06-05,325.156
2001-06-06,324.244
2001-06-07,326.058
2001-06-08,325.883
2001-06-11,322.704
2001-06-12,320.107
2001-06-13,321.674
2001-06-14,321.248
2001-06-15,319.257
2001-06-18,318.097
2001-06-19,317.226
2001-06-20,314.581
2001-06-21,316.043
2001-06-22,317.737
2001-06-25,318.777
2001-06-26,318.614
2001-06-27,317.66
2001-06-28,315.091
2001-06-29,317.196
2001-07-02,316.745
2001-07-03,317.147
2001-07-04,315.772
2001-07-05,312.482
2001-07-06,310.433
2001-07-09,309.548
2001-07-10,311.18
2001-07-11,310.446
2001-07-12,311.075
2001-07-13,310.443
2001-07-16,309.925
2001-07-17,307.966
2001-07-18,310.457
2001-07-19,311.568
2001-07-20,312.049
2001-07-23,308.558
2001-07-24,309.374
2001-07-25,309.886
2001-07-26,309.995
2001-07-27,310.679
2001-07-30,309.352
2001-07-31,311.751
2001-08-01,315.084
2001-08-02,319.166
2001-08-03,318.366
2001-08-06,317.373
2001-08-07,316.785
2001-08-08,315.776
2001-08-09,314.758
2001-08-10,316.973
2001-08-13,316.561
2001-08-14,318.514
2001-08-15,323.014
2001-08-16,321.918
2001-08-17,321.532
2001-08-20,318.762
2001-08-21,320.872
2001-08-22,323.069
2001-08-23,321.153
2001-08-24,321.757
2001-08-27,321.43
2001-08-28,320.493
2001-08-29,319.496
2001-08-30,316.159
2001-08-31,315.212
2001-09-03,311.777
2001-09-04,310.625
2001-09-05,307.243
2001-09-06,305.191
2001-09-07,304.648
2001-09-10,298.432
2001-09-11,294.516
2001-09-12,285.522
2001-09-13,288.36
2001-09-14,288.99
2001-09-17,282.097
2001-09-18,281.608
2001-09-19,282.625
2001-09-20,276.057
2001-09-21,267.266
2001-09-24,270.595
2001-09-25,274.899
2001-09-26,276.21
2001-09-27,275.236
2001-09-28,279.716
2001-10-01,281.326
2001-10-02,281.859
2001-10-03,282.484
2001-10-04,285.769
2001-10-05,286.6
2001-10-08,285.724
2001-10-09,284.508
2001-10-10,283.152
2001-10-11,285.524
2001-10-12,287.45
2001-10-15,287.032
2001-10-16,288.551
2001-10-17,290.276
2001-10-18,286.67
2001-10-19,284.773
2001-10-22,283.574
2001-10-23,285.38
2001-10-24,286.766
2001-10-25,288.306
2001-10-26,288.638
2001-10-29,288.919
2001-10-30,287.109
2001-10-31,286.377
2001-11-01,287.167
2001-11-02,286.821
2001-11-05,287.644
2001-11-06,289.137
2001-11-07,289.328
2001-11-08,290.343
2001-11-09,289.465
2001-11-12,287.904
2001-11-13,286.719
2001-11-14,288.05
2001-11-15,289.35
2001-11-16,290.015
2001-11-19,290.993
2001-11-20,290.9
2001-11-21,289.492
2001-11-22,290.148
2001-11-23,289.453
2001-11-26,292.15
2001-11-27,291.799
2001-11-28,290.594
2001-11-29,289.989
2001-11-30,292.24
2001-12-03,288.711
2001-12-04,289.835
2001-12-05,292.719
2001-12-06,294.68
2001-12-07,293.357
2001-12-10,290.42
2001-12-11,288.883
2001-12-12,290.478
2001-12-13,287.962
2001-12-14,286.941
2001-12-17,286.983
2001-12-18,286.751
2001-12-19,284.774
2001-12-20,285.184
2001-12-21,283.872
2001-12-24,282.811
2001-12-25,282.799
2001-12-26,282.112
2001-12-27,285.678
2001-12-28,287.542
2001-12-31,289.342
2002-01-01,289.341
2002-01-02,290.618
2002-01-03,292.594
2002-01-04,294.332
2002-01-07,294.393
2002-01-08,291.44
2002-01-09,290.794
2002-01-10,289.86
2002-01-11,289.555
2002-01-14,289.048
2002-01-15,287.813
2002-01-16,285.637
2002-01-17,285.563
2002-01-18,287.421
2002-01-21,288.268
2002-01-22,286.361
2002-01-23,286.426
2002-01-24,286.12
2002-01-25,283.573
2002-01-28,284.685
2002-01-29,284.054
2002-01-30,282.574
2002-01-31,283.619
2002-02-01,283.343
2002-02-04,283.388
2002-02-05,281.149
2002-02-06,280.43
2002-02-07,280.983
2002-02-08,282.113
2002-02-11,284.454
