Date,WORLD ex USA SMID VALUE SMID (Small+Mid Cap)
1994-05-31,292.566
1994-06-30,301.632
1994-07-29,302.153
1994-08-31,303.495
1994-09-30,295.497
1994-10-31,299.812
1994-11-30,282.32
1994-12-30,286.093
1995-01-31,279.28
1995-02-28,272.02
1995-03-31,285.325
1995-04-28,292.789
1995-05-31,285.423
1995-06-30,279.718
1995-07-31,293.679
1995-08-31,284.203
1995-09-29,284.507
1995-10-31,276.299
1995-11-30,279.59
1995-12-29,290.331
1996-01-31,295.209
1996-02-29,298.345
1996-03-29,303.166
1996-04-30,319.052
1996-05-31,314.917
1996-06-28,316.066
1996-07-31,306.455
1996-08-30,303.467
1996-09-30,304.308
1996-10-31,299.637
1996-11-29,303.483
1996-12-31,296.504
1997-01-31,286.334
1997-02-28,288.239
1997-03-31,284.173
1997-04-30,280.818
1997-05-30,301.71
1997-06-30,309.83
1997-07-31,301.132
1997-08-29,287.248
1997-09-30,289.653
1997-10-31,280.985
1997-11-28,266.365
1997-12-31,256.891
1998-01-30,272.173
1998-02-27,290.683
1998-03-31,301.452
1998-04-30,303.641
1998-05-29,304.953
1998-06-30,294.94
1998-07-31,291.824
1998-08-31,259.847
1998-09-30,254.209
1998-10-30,275.315
1998-11-30,283.63
1998-12-31,288.625
1999-01-29,284.962
1999-02-26,280.784
1999-03-31,294.465
1999-04-30,312.522
1999-05-31,305.182
1999-06-30,316.627
1999-07-30,329.309
1999-08-31,334.952
1999-09-30,336.539
1999-10-29,329.141
1999-11-30,323.062
1999-12-31,330.989
2000-01-31,320.717
2000-02-29,317.277
2000-03-31,328.747
2000-04-28,313.878
2000-05-31,317.806
2000-06-30,340.157
2000-07-31,326.292
2000-08-31,333.797
2000-09-29,323.152
2000-10-31,310.949
2000-11-30,313.538
2000-12-29,324.708
2001-01-31,326.385
2001-02-28,325.126
2001-03-30,304.567
2001-04-30,323.489
2001-05-31,324.738
2001-06-29,317.196
2001-07-31,311.751
2001-08-31,315.212
2001-09-28,279.716
2001-10-31,286.377
2001-11-30,292.24
2001-12-31,289.342
2002-01-31,283.619
2002-02-28,290.863
2002-03-29,306.583
2002-04-30,318.314
2002-05-31,334.22
2002-06-28,324.039
2002-07-31,298.303
2002-08-30,297.862
2002-09-30,274.054
2002-10-31,277.153
2002-11-29,286.559
2002-12-31,284.002
2003-01-31,277.623
2003-02-28,274.816
2003-03-31,271.976
