Date,WORLD ex USA SMID VALUE SMID (Small+Mid Cap)
1994-05-31,279.237
1994-06-30,288.006
1994-07-29,288.59
1994-08-31,289.888
1994-09-30,282.305
1994-10-31,286.461
1994-11-30,269.762
1994-12-30,273.393
1995-01-31,266.904
1995-02-28,259.979
1995-03-31,272.806
1995-04-28,280.01
1995-05-31,273.078
1995-06-30,267.75
1995-07-31,281.218
1995-08-31,272.162
1995-09-29,272.515
1995-10-31,264.685
1995-11-30,267.853
1995-12-29,278.17
1996-01-31,282.869
1996-02-29,285.902
1996-03-29,290.621
1996-04-30,305.942
1996-05-31,302.129
1996-06-28,303.383
1996-07-31,294.279
1996-08-30,291.432
1996-09-30,292.306
1996-10-31,287.844
1996-11-29,291.559
1996-12-31,284.881
1997-01-31,275.135
1997-02-28,276.994
1997-03-31,273.177
1997-04-30,270.073
1997-05-30,290.332
1997-06-30,298.331
1997-07-31,290.059
1997-08-29,276.712
1997-09-30,279.118
1997-10-31,270.793
1997-11-28,256.726
1997-12-31,247.633
1998-01-30,262.392
1998-02-27,280.266
1998-03-31,290.783
1998-04-30,293.033
1998-05-29,294.488
1998-06-30,285.008
1998-07-31,282.091
1998-08-31,251.208
1998-09-30,245.825
1998-10-30,266.26
1998-11-30,274.327
1998-12-31,279.183
1999-01-29,275.655
1999-02-26,271.634
1999-03-31,285.021
1999-04-30,302.589
1999-05-31,295.565
1999-06-30,306.754
1999-07-30,319.078
1999-08-31,324.581
1999-09-30,326.228
1999-10-29,319.079
1999-11-30,313.21
1999-12-31,320.934
2000-01-31,310.989
2000-02-29,307.689
2000-03-31,318.997
2000-04-28,304.653
2000-05-31,308.588
2000-06-30,330.423
2000-07-31,317.022
2000-08-31,324.357
2000-09-29,314.142
2000-10-31,302.306
2000-11-30,304.856
2000-12-29,315.771
2001-01-31,317.423
2001-02-28,316.235
2001-03-30,296.443
2001-04-30,315.052
2001-05-31,316.55
2001-06-29,309.373
2001-07-31,304.11
2001-08-31,307.532
2001-09-28,273.027
2001-10-31,279.549
2001-11-30,285.311
2001-12-31,282.524
2002-01-31,276.961
2002-02-28,284.077
2002-03-29,299.652
2002-04-30,311.31
2002-05-31,327.14
2002-06-28,317.33
2002-07-31,292.155
2002-08-30,291.776
2002-09-30,268.59
2002-10-31,271.652
2002-11-29,280.898
2002-12-31,278.439
2003-01-31,272.202
2003-02-28,269.523
2003-03-31,267.021
2003-04-30,293.733
2003-05-30,316.408
2003-06-30,328.105
2003-07-31,339.16
2003-08-29,354.488
2003-09-30,370.369
2003-10-31,395.687
2003-11-28,400.986
2003-12-31,428.218
2004-01-30,440.676
2004-02-27,456.297
2004-03-31,471.644
2004-04-30,457.077
2004-05-31,459.257
2004-06-30,479.738
2004-07-30,467.099
2004-08-31,471.581
2004-09-30,486.317
2004-10-29,501.543
2004-11-30,541.907
2004-12-31,570.243
2005-01-31,575.025
2005-02-28,598.225
2005-03-31,588.137
2005-04-29,571.672
2005-05-31,573.089
2005-06-30,584.107
2005-07-29,602.012
2005-08-31,620.383
2005-09-30,646.708
2005-10-31,627.551
2005-11-30,646.584
2005-12-30,683.331
2006-01-31,730.19
2006-02-28,733.345
2006-03-31,761.593
2006-04-28,796.129
2006-05-31,767.277
2006-06-30,760.393
2006-07-31,761.006
2006-08-31,783.613
2006-09-29,790.769
2006-10-31,822.563
2006-11-30,854.662
2006-12-29,881.73
2007-01-31,895.876
2007-02-28,913.508
2007-03-30,942.939
2007-04-30,982.801
2007-05-31,1000.0
2007-06-29,985.218
2007-07-31,970.269
2007-08-31,941.515
2007-09-28,962.173
2007-10-31,998.223
2007-11-30,928.786
2007-12-31,899.483
2008-01-31,836.379
2008-02-29,857.842
2008-03-31,855.43
2008-04-30,876.852
2008-05-30,889.518
2008-06-30,802.634
2008-07-31,769.86
2008-08-29,752.277
2008-09-30,641.189
2008-10-31,496.743
2008-11-28,482.537
2008-12-31,511.801
2009-01-30,473.393
2009-02-27,420.764
2009-03-31,455.216
2009-04-30,533.345
2009-05-29,603.939
2009-06-30,606.704
2009-07-31,664.036
2009-08-31,715.825
2009-09-30,751.549
2009-10-30,732.311
2009-11-30,735.929
2009-12-31,745.019
2010-01-29,730.352
2010-02-26,727.26
2010-03-31,778.847
2010-04-30,786.142
2010-05-31,695.915
2010-06-30,689.287
2010-07-30,752.273
2010-08-31,728.452
2010-09-30,804.211
2010-10-29,831.166
2010-11-30,797.17
2010-12-31,877.983
2011-01-31,897.379
2011-02-28,923.787
2011-03-31,911.934
2011-04-29,952.626
2011-05-31,928.006
2011-06-30,909.958
2011-07-29,896.346
2011-08-31,824.076
2011-09-30,741.081
2011-10-31,794.985
2011-11-30,752.875
2011-12-30,743.87
2012-01-31,801.28
2012-02-29,846.958
2012-03-30,846.236
2012-04-30,826.878
2012-05-31,728.07
2012-06-29,768.279
2012-07-31,772.802
2012-08-31,792.81
2012-09-28,826.17
2012-10-31,833.946
2012-11-30,849.597
2012-12-31,893.677
2013-01-31,937.836
2013-02-28,939.532
2013-03-29,953.937
2013-04-30,1006.493
2013-05-31,981.356
2013-06-28,944.514
2013-07-31,1000.408
2013-08-30,992.415
2013-09-30,1073.528
2013-10-31,1111.327
2013-11-29,1107.788
2013-12-31,1128.793
2014-01-31,1107.571
2014-02-28,1166.52
2014-03-31,1165.705
2014-04-30,1177.974
2014-05-30,1195.653
2014-06-30,1220.793
2014-07-31,1194.425
2014-08-29,1191.889
2014-09-30,1124.592
2014-10-31,1101.431
2014-11-28,1109.191
2014-12-31,1093.915
2015-01-30,1095.931
2015-02-27,1162.311
2015-03-31,1138.776
2015-04-30,1195.527
2015-05-29,1190.436
2015-06-30,1160.66
2015-07-31,1157.816
2015-08-31,1095.176
2015-09-30,1053.467
2015-10-30,1124.404
2015-11-30,1100.682
2015-12-31,1087.184
2016-01-29,1009.569
2016-02-29,1013.469
2016-03-31,1099.835
2016-04-29,1148.782
2016-05-31,1127.464
2016-06-30,1073.104
2016-07-29,1142.011
2016-08-31,1146.752
2016-09-30,1172.745
2016-10-31,1152.639
2016-11-30,1140.067
2016-12-30,1180.528
2017-01-31,1220.127
2017-02-28,1238.598
2017-03-31,1260.317
2017-04-28,1298.246
2017-05-31,1333.09
2017-06-30,1344.013
2017-07-31,1393.271
2017-08-31,1398.258
2017-09-29,1430.238
2017-10-31,1444.418
2017-11-30,1461.012
2017-12-29,1502.899
2018-01-31,1564.411
2018-02-28,1496.494
2018-03-30,1473.524
2018-04-30,1515.897
2018-05-31,1482.188
