Date,SPAIN MID GROWTH Mid Cap
1994-05-31,217.906
1994-06-30,207.951
1994-07-29,213.013
1994-08-31,219.11
1994-09-30,210.691
1994-10-31,208.846
1994-11-30,204.562
1994-12-30,194.14
1995-01-31,187.783
1995-02-28,186.954
1995-03-31,181.722
1995-04-28,202.103
1995-05-31,212.844
1995-06-30,215.022
1995-07-31,229.763
1995-08-31,220.628
1995-09-29,215.394
1995-10-31,208.812
1995-11-30,207.969
1995-12-29,212.549
1996-01-31,205.759
1996-02-29,220.522
1996-03-29,225.841
1996-04-30,224.611
1996-05-31,223.648
1996-06-28,232.705
1996-07-31,221.134
1996-08-30,226.953
1996-09-30,224.782
1996-10-31,228.298
1996-11-29,230.628
1996-12-31,251.173
1997-01-31,234.703
1997-02-28,229.595
1997-03-31,236.224
1997-04-30,236.29
1997-05-30,258.337
1997-06-30,288.785
1997-07-31,275.564
1997-08-29,271.889
1997-09-30,293.339
1997-10-31,270.422
1997-11-28,276.406
1997-12-31,277.8
1998-01-30,287.259
1998-02-27,313.045
1998-03-31,346.986
1998-04-30,354.9
1998-05-29,356.839
1998-06-30,357.482
1998-07-31,358.341
1998-08-31,318.955
1998-09-30,315.053
1998-10-30,343.894
1998-11-30,369.141
1998-12-31,428.934
1999-01-29,395.05
1999-02-26,386.051
1999-03-31,346.464
1999-04-30,332.333
1999-05-31,327.263
1999-06-30,326.454
1999-07-30,315.357
1999-08-31,333.312
1999-09-30,323.424
1999-10-29,313.952
1999-11-30,318.894
1999-12-31,388.739
2000-01-31,343.715
2000-02-29,417.849
2000-03-31,379.539
2000-04-28,332.914
2000-05-31,302.632
2000-06-30,298.804
2000-07-31,287.534
2000-08-31,285.288
2000-09-29,268.471
2000-10-31,244.08
2000-11-30,224.663
2000-12-29,221.622
2001-01-31,247.011
2001-02-28,228.047
2001-03-30,198.51
2001-04-30,214.982
2001-05-31,204.958
2001-06-29,201.285
2001-07-31,199.114
2001-08-31,208.86
2001-09-28,169.346
2001-10-31,178.402
2001-11-30,187.534
2001-12-31,187.317
2002-01-31,187.166
2002-02-28,191.879
2002-03-29,201.979
2002-04-30,210.043
2002-05-31,221.53
2002-06-28,222.479
2002-07-31,199.471
2002-08-30,205.899
2002-09-30,202.048
2002-10-31,195.663
2002-11-29,206.081
2002-12-31,210.797
2003-01-31,214.934
2003-02-28,217.383
2003-03-31,216.128
2003-04-30,237.389
2003-05-30,260.145
2003-06-30,253.041
2003-07-31,245.292
2003-08-29,234.077
2003-09-30,251.153
2003-10-31,255.823
2003-11-28,268.171
2003-12-31,295.543
2004-01-30,300.648
2004-02-27,319.565
2004-03-31,316.58
2004-04-30,307.244
2004-05-31,317.146
2004-06-30,323.852
2004-07-30,325.986
2004-08-31,334.471
2004-09-30,351.468
2004-10-29,370.639
2004-11-30,404.999
2004-12-31,437.281
2005-01-31,454.798
2005-02-28,472.058
2005-03-31,463.079
2005-04-29,457.91
2005-05-31,479.197
2005-06-30,509.353
2005-07-29,523.863
2005-08-31,543.167
2005-09-30,576.111
2005-10-31,545.937
2005-11-30,551.808
2005-12-30,554.052
2006-01-31,595.689
2006-02-28,618.214
2006-03-31,657.172
2006-04-28,697.313
2006-05-31,681.601
2006-06-30,675.078
2006-07-31,692.589
2006-08-31,709.866
2006-09-29,739.523
2006-10-31,789.974
2006-11-30,846.757
2006-12-29,874.579
2007-01-31,880.614
2007-02-28,898.701
2007-03-30,948.573
2007-04-30,944.974
2007-05-31,1000.0
2007-06-29,966.219
2007-07-31,955.945
2007-08-31,925.909
2007-09-28,935.838
2007-10-31,1016.232
2007-11-30,993.558
2007-12-31,939.245
2008-01-31,826.166
2008-02-29,866.743
2008-03-31,923.993
2008-04-30,937.704
2008-05-30,944.298
2008-06-30,828.818
2008-07-31,772.569
2008-08-29,764.604
2008-09-30,672.958
2008-10-31,513.374
2008-11-28,488.424
2008-12-31,535.506
2009-01-30,483.642
2009-02-27,435.574
2009-03-31,438.595
2009-04-30,511.661
2009-05-29,577.372
2009-06-30,557.035
2009-07-31,592.219
2009-08-31,615.314
2009-09-30,648.242
2009-10-30,595.321
2009-11-30,616.266
2009-12-31,613.653
2010-01-29,566.392
2010-02-26,527.309
2010-03-31,553.179
2010-04-30,502.05
2010-05-31,408.631
2010-06-30,387.916
2010-07-30,470.07
2010-08-31,447.752
2010-09-30,501.939
2010-10-29,538.149
2010-11-30,450.134
2010-12-31,486.267
2011-01-31,529.981
2011-02-28,532.791
2011-03-31,551.516
2011-04-29,600.706
2011-05-31,573.467
2011-06-30,570.792
2011-07-29,557.928
2011-08-31,532.322
2011-09-30,474.675
2011-10-31,519.843
2011-11-30,487.675
2011-12-30,478.907
2012-01-31,501.662
2012-02-29,520.92
2012-03-30,499.03
2012-04-30,487.541
2012-05-31,399.45
2012-06-29,450.283
2012-07-31,470.194
2012-08-31,481.698
2012-09-28,515.356
2012-10-31,537.347
2012-11-30,514.866
2012-12-31,543.743
2013-01-31,582.323
2013-02-28,593.236
2013-03-29,590.217
2013-04-30,637.958
2013-05-31,632.337
2013-06-28,599.229
2013-07-31,666.212
2013-08-30,646.808
2013-09-30,720.515
2013-10-31,780.126
2013-11-29,787.788
2013-12-31,840.61
2014-01-31,841.427
2014-02-28,915.91
2014-03-31,885.453
2014-04-30,888.207
2014-05-30,902.648
2014-06-30,893.53
2014-07-31,812.858
2014-08-29,820.256
2014-09-30,766.421
2014-10-31,750.236
2014-11-28,772.288
2014-12-31,730.176
2015-01-30,698.712
2015-02-27,757.359
2015-03-31,774.925
2015-04-30,788.48
2015-05-29,769.816
2015-06-30,752.602
2015-07-31,764.87
2015-08-31,738.46
2015-09-30,708.964
2015-10-30,750.465
2015-11-30,734.947
2015-12-31,712.972
2016-01-29,673.089
2016-02-29,655.915
2016-03-31,716.815
2016-04-29,759.023
2016-05-31,729.089
2016-06-30,660.895
2016-07-29,703.366
2016-08-31,693.074
2016-09-30,693.619
2016-10-31,672.62
2016-11-30,622.765
2016-12-30,659.078
2017-01-31,704.456
2017-02-28,694.735
2017-03-31,762.073
2017-04-28,755.147
2017-05-31,785.664
2017-06-30,765.79
2017-07-31,735.764
2017-08-31,712.478
2017-09-29,691.191
2017-10-31,709.332
2017-11-30,655.614
2017-12-29,661.997
2018-01-31,728.533
2018-02-28,621.598
2018-03-30,638.733
2018-04-30,636.761
2018-05-31,663.947
2018-06-29,672.772
2018-07-31,660.847
2018-08-31,647.955
2018-09-28,634.327
2018-10-31,606.002
2018-11-30,616.276
2018-12-31,579.768
2019-01-31,580.027
2019-02-28,594.233
2019-03-29,606.655
2019-04-30,619.568
2019-05-31,581.917
2019-06-28,644.663
2019-07-31,671.029
2019-08-30,675.683
2019-09-30,660.078
2019-10-31,722.134
2019-11-29,751.083
2019-12-31,774.551
2020-01-31,798.702
2020-02-28,770.913
2020-03-31,763.432
2020-04-30,814.329
2020-05-29,836.388
2020-06-30,880.499
2020-07-31,1170.165
2020-08-31,1336.209
2020-09-30,1348.128
2020-10-30,1411.077
2020-11-30,1782.581
2020-12-31,2015.845
2021-01-29,2049.985
2021-02-26,1861.386
2021-03-31,1931.085
2021-04-30,1804.095
2021-05-31,1635.718
2021-06-30,1662.721
2021-07-30,1387.452
2021-08-31,1475.819
2021-09-30,1270.635
2021-10-29,1350.014
2021-11-30,1318.696
2021-12-31,1192.999
2022-01-31,1065.771
2022-02-28,1159.298
2022-03-31,884.989
2022-04-29,804.954
2022-05-31,957.935
2022-06-30,901.049
2022-07-29,871.56
2022-08-31,876.257
2022-09-30,801.586
2022-10-31,865.3
2022-11-30,939.137
2022-12-30,950.813
2023-01-31,1033.502
2023-02-28,984.457
2023-03-31,947.764
2023-04-28,907.102
2023-05-31,870.923
2023-06-30,928.077
2023-07-31,934.8
2023-08-31,880.441
2023-09-29,802.488
2023-10-31,755.119
2023-11-30,887.537
2023-12-29,1025.231
2024-01-31,720.026
2024-02-29,547.329
2024-03-29,600.549
2024-04-30,616.534
2024-05-31,675.337
2024-06-28,561.796
2024-07-31,670.995
2024-08-30,739.671
2024-09-30,761.043
2024-10-31,741.761
2024-11-29,606.896
2024-12-31,631.741
2025-01-31,575.144
2025-02-28,736.581
2025-03-31,590.574
2025-04-30,628.77
2025-05-30,716.975
2025-06-30,769.127
