Date,SPAIN MID GROWTH Mid Cap
1994-05-31,208.156
1994-06-30,198.75
1994-07-29,203.786
1994-08-31,209.619
1994-09-30,201.599
1994-10-31,199.872
1994-11-30,195.799
1994-12-30,185.823
1995-01-31,180.003
1995-02-28,179.209
1995-03-31,174.37
1995-04-28,193.946
1995-05-31,204.276
1995-06-30,206.64
1995-07-31,221.027
1995-08-31,212.24
1995-09-29,207.257
1995-10-31,200.966
1995-11-30,200.154
1995-12-29,204.665
1996-01-31,198.345
1996-02-29,212.576
1996-03-29,217.766
1996-04-30,216.682
1996-05-31,215.753
1996-06-28,224.852
1996-07-31,213.852
1996-08-30,219.48
1996-09-30,217.435
1996-10-31,220.863
1996-11-29,223.137
1996-12-31,243.172
1997-01-31,227.304
1997-02-28,222.357
1997-03-31,228.832
1997-04-30,229.049
1997-05-30,250.421
1997-06-30,280.25
1997-07-31,267.565
1997-08-29,263.997
1997-09-30,284.824
1997-10-31,262.572
1997-11-28,268.41
1997-12-31,269.763
1998-01-30,279.177
1998-02-27,304.238
1998-03-31,337.225
1998-04-30,345.046
1998-05-29,347.031
1998-06-30,347.94
1998-07-31,348.907
1998-08-31,310.558
1998-09-30,306.758
1998-10-30,334.84
1998-11-30,359.422
1998-12-31,417.641
1999-01-29,384.861
1999-02-26,376.093
1999-03-31,337.527
1999-04-30,323.789
1999-05-31,318.85
1999-06-30,318.073
1999-07-30,307.455
1999-08-31,324.959
1999-09-30,315.319
1999-10-29,306.12
1999-11-30,310.95
1999-12-31,379.055
2000-01-31,335.241
2000-02-29,407.547
2000-03-31,370.279
2000-04-28,324.792
2000-05-31,295.249
2000-06-30,291.52
2000-07-31,280.808
2000-08-31,278.614
2000-09-29,262.191
2000-10-31,238.394
2000-11-30,219.444
2000-12-29,216.473
2001-01-31,241.582
2001-02-28,223.035
2001-03-30,194.148
2001-04-30,210.257
2001-05-31,200.498
2001-06-29,196.994
2001-07-31,194.981
2001-08-31,204.525
2001-09-28,165.831
2001-10-31,174.746
2001-11-30,183.692
2001-12-31,183.48
2002-01-31,183.427
2002-02-28,188.061
2002-03-29,197.986
2002-04-30,205.986
2002-05-31,217.296
2002-06-28,218.432
2002-07-31,196.095
2002-08-30,202.414
2002-09-30,198.628
2002-10-31,192.417
2002-11-29,202.662
2002-12-31,207.3
2003-01-31,211.567
2003-02-28,213.978
2003-03-31,212.927
2003-04-30,233.947
2003-05-30,256.373
2003-06-30,249.557
2003-07-31,242.183
2003-08-29,231.111
2003-09-30,247.97
2003-10-31,252.737
2003-11-28,264.988
2003-12-31,292.035
2004-01-30,297.355
2004-02-27,316.065
2004-03-31,313.334
2004-04-30,304.094
2004-05-31,313.986
2004-06-30,320.967
2004-07-30,323.359
2004-08-31,331.776
2004-09-30,348.635
2004-10-29,367.779
2004-11-30,401.912
2004-12-31,433.987
2005-01-31,451.73
2005-02-28,468.874
2005-03-31,459.994
2005-04-29,455.034
2005-05-31,476.295
2005-06-30,506.432
2005-07-29,521.179
2005-08-31,540.384
2005-09-30,573.194
2005-10-31,543.329
2005-11-30,549.215
2005-12-30,551.478
2006-01-31,593.359
2006-02-28,615.796
2006-03-31,654.634
2006-04-28,694.687
2006-05-31,679.459
2006-06-30,673.211
2006-07-31,691.049
2006-08-31,708.288
2006-09-29,737.92
2006-10-31,788.488
2006-11-30,845.44
2006-12-29,873.263
2007-01-31,879.888
2007-02-28,897.96
2007-03-30,947.866
2007-04-30,944.853
2007-05-31,1000.0
2007-06-29,966.501
2007-07-31,956.94
2007-08-31,926.872
2007-09-28,936.921
2007-10-31,1017.961
2007-11-30,995.402
2007-12-31,941.057
2008-01-31,828.189
2008-02-29,868.865
2008-03-31,926.395
2008-04-30,940.855
2008-05-30,948.191
2008-06-30,832.712
2008-07-31,777.307
2008-08-29,769.45
2008-09-30,677.306
2008-10-31,516.799
2008-11-28,491.801
2008-12-31,539.299
2009-01-30,487.593
2009-02-27,439.132
2009-03-31,442.321
2009-04-30,516.37
2009-05-29,582.783
2009-06-30,562.63
2009-07-31,599.663
2009-08-31,623.048
2009-09-30,656.486
2009-10-30,602.997
2009-11-30,624.213
2009-12-31,622.279
2010-01-29,574.806
2010-02-26,535.142
2010-03-31,561.496
2010-04-30,509.649
2010-05-31,414.816
2010-06-30,393.867
2010-07-30,479.931
2010-08-31,457.144
2010-09-30,512.567
2010-10-29,549.544
2010-11-30,459.904
2010-12-31,497.183
2011-01-31,542.308
2011-02-28,545.184
2011-03-31,564.442
2011-04-29,614.786
2011-05-31,587.732
2011-06-30,585.11
2011-07-29,573.823
2011-08-31,547.487
2011-09-30,488.303
2011-10-31,534.768
2011-11-30,502.066
2011-12-30,493.361
2012-01-31,517.365
2012-02-29,537.231
2012-03-30,514.696
2012-04-30,502.893
2012-05-31,412.408
2012-06-29,464.928
2012-07-31,487.011
2012-08-31,498.927
2012-09-28,533.83
2012-10-31,556.609
2012-11-30,533.322
2012-12-31,564.142
2013-01-31,604.889
2013-02-28,616.225
2013-03-29,613.089
2013-04-30,662.715
2013-05-31,657.088
2013-06-28,622.877
2013-07-31,693.484
2013-08-30,673.286
2013-09-30,750.011
2013-10-31,812.115
2013-11-29,820.09
2013-12-31,875.079
2014-01-31,876.506
2014-02-28,954.095
2014-03-31,922.368
2014-04-30,925.424
2014-05-30,940.47
2014-06-30,931.13
2014-07-31,847.622
2014-08-29,855.336
2014-09-30,799.199
2014-10-31,782.376
2014-11-28,805.373
2014-12-31,761.628
2015-01-30,728.831
2015-02-27,790.006
2015-03-31,808.525
2015-04-30,822.685
2015-05-29,803.212
2015-06-30,785.572
2015-07-31,798.377
2015-08-31,770.81
2015-09-30,740.022
2015-10-30,783.503
2015-11-30,767.302
2015-12-31,744.64
2016-01-29,703.301
2016-02-29,685.356
2016-03-31,749.114
2016-04-29,793.249
2016-05-31,761.965
2016-06-30,691.848
2016-07-29,736.941
2016-08-31,726.158
2016-09-30,726.891
2016-10-31,704.918
2016-11-30,652.67
2016-12-30,691.336
2017-01-31,739.017
2017-02-28,728.819
2017-03-31,799.461
2017-04-28,792.277
2017-05-31,824.751
2017-06-30,803.888
2017-07-31,773.907
2017-08-31,749.414
2017-09-29,727.024
2017-10-31,746.105
2017-11-30,689.602
2017-12-29,697.309
2018-01-31,767.394
2018-02-28,654.756
2018-03-30,672.805
2018-04-30,670.727
2018-05-31,699.364
2018-06-29,709.632
2018-07-31,697.054
2018-08-31,683.455
2018-09-28,669.484
2018-10-31,639.589
2018-11-30,650.98
2018-12-31,612.83
2019-01-31,613.103
2019-02-28,628.12
2019-03-29,641.879
2019-04-30,655.562
2019-05-31,615.723
2019-06-28,682.485
2019-07-31,710.399
2019-08-30,715.325
2019-09-30,698.805
2019-10-31,764.501
2019-11-29,795.149
2019-12-31,820.414
2020-01-31,845.994
2020-02-28,816.56
2020-03-31,808.636
2020-04-30,862.547
2020-05-29,885.912
2020-06-30,932.635
2020-07-31,1240.091
2020-08-31,1416.058
2020-09-30,1428.688
2020-10-30,1495.4
2020-11-30,1889.103
2020-12-31,2136.307
2021-01-29,2172.487
2021-02-26,1972.618
2021-03-31,2046.482
2021-04-30,1911.904
2021-05-31,1733.465
2021-06-30,1762.081
2021-07-30,1470.363
2021-08-31,1564.01
2021-09-30,1346.565
2021-10-29,1430.687
2021-11-30,1397.498
2021-12-31,1264.29
2022-01-31,1129.459
2022-02-28,1228.575
2022-03-31,937.874
2022-04-29,853.056
2022-05-31,1015.178
2022-06-30,954.894
2022-07-29,926.743
2022-08-31,931.738
2022-09-30,852.338
2022-10-31,920.086
2022-11-30,998.599
2022-12-30,1011.014
2023-01-31,1098.939
2023-02-28,1046.788
2023-03-31,1007.772
2023-04-28,964.536
2023-05-31,926.066
2023-06-30,987.757
2023-07-31,997.184
2023-08-31,939.197
2023-09-29,856.042
2023-10-31,805.512
2023-11-30,946.767
2023-12-29,1093.65
2024-01-31,768.078
2024-02-29,583.855
2024-03-29,640.626
2024-04-30,657.679
2024-05-31,720.406
2024-06-28,599.288
2024-07-31,715.774
2024-08-30,789.033
2024-09-30,811.832
2024-10-31,791.263
2024-11-29,647.398
2024-12-31,673.9
2025-01-31,613.526
2025-02-28,785.737
2025-03-31,629.987
2025-04-30,670.731
2025-05-30,764.823
2025-06-30,821.067
2025-07-31,878.662
2025-08-29,924.209
2025-09-30,958.587
