Date,SPAIN MID GROWTH Mid Cap
2001-01-01,221.622
2001-01-02,226.257
2001-01-03,227.139
2001-01-04,233.429
2001-01-05,234.979
2001-01-08,232.064
2001-01-09,227.399
2001-01-10,225.937
2001-01-11,233.959
2001-01-12,237.529
2001-01-15,235.398
2001-01-16,233.344
2001-01-17,235.934
2001-01-18,238.438
2001-01-19,235.343
2001-01-22,236.373
2001-01-23,241.198
2001-01-24,239.764
2001-01-25,241.313
2001-01-26,242.157
2001-01-29,240.396
2001-01-30,246.55
2001-01-31,247.011
2001-02-01,251.523
2001-02-02,242.605
2001-02-05,241.383
2001-02-06,239.566
2001-02-07,239.568
2001-02-08,241.991
2001-02-09,243.015
2001-02-12,250.679
2001-02-13,245.802
2001-02-14,239.141
2001-02-15,236.05
2001-02-16,233.997
2001-02-19,236.552
2001-02-20,231.059
2001-02-21,228.18
2001-02-22,224.954
2001-02-23,222.502
2001-02-26,224.079
2001-02-27,228.071
2001-02-28,228.047
2001-03-01,227.455
2001-03-02,231.752
2001-03-05,232.994
2001-03-06,240.141
2001-03-07,238.879
2001-03-08,236.653
2001-03-09,235.955
2001-03-12,229.629
2001-03-13,224.935
2001-03-14,220.324
2001-03-15,219.043
2001-03-16,213.829
2001-03-19,212.984
2001-03-20,217.567
2001-03-21,206.61
2001-03-22,191.477
2001-03-23,201.791
2001-03-26,206.119
2001-03-27,204.472
2001-03-28,200.642
2001-03-29,197.218
2001-03-30,198.51
2001-04-02,197.804
2001-04-03,190.294
2001-04-04,197.269
2001-04-05,200.452
2001-04-06,199.449
2001-04-09,203.023
2001-04-10,202.023
2001-04-11,203.067
2001-04-12,204.595
2001-04-13,204.595
2001-04-16,202.5
2001-04-17,202.574
2001-04-18,205.911
2001-04-19,209.582
2001-04-20,209.197
2001-04-23,206.181
2001-04-24,210.695
2001-04-25,212.063
2001-04-26,214.365
2001-04-27,213.251
2001-04-30,214.982
2001-05-01,216.122
2001-05-02,218.169
2001-05-03,217.028
2001-05-04,216.241
2001-05-07,215.76
2001-05-08,215.561
2001-05-09,215.6
2001-05-10,218.02
2001-05-11,216.588
2001-05-14,213.305
2001-05-15,212.211
2001-05-16,211.05
2001-05-17,212.756
2001-05-18,212.06
2001-05-21,212.077
2001-05-22,208.229
2001-05-23,207.77
2001-05-24,207.223
2001-05-25,205.556
2001-05-28,207.635
2001-05-29,206.353
2001-05-30,206.138
2001-05-31,204.958
2001-06-01,202.775
2001-06-04,205.25
2001-06-05,208.271
2001-06-06,207.347
2001-06-07,208.935
2001-06-08,210.111
2001-06-11,209.757
2001-06-12,207.895
2001-06-13,208.067
2001-06-14,209.331
2001-06-15,208.693
2001-06-18,204.321
2001-06-19,204.109
2001-06-20,202.585
2001-06-21,203.036
2001-06-22,200.997
2001-06-25,203.922
2001-06-26,201.744
2001-06-27,205.031
2001-06-28,202.108
2001-06-29,201.285
2001-07-02,201.241
2001-07-03,199.439
2001-07-04,199.678
2001-07-05,196.073
2001-07-06,194.376
2001-07-09,194.872
2001-07-10,197.692
2001-07-11,194.428
2001-07-12,188.827
2001-07-13,189.947
2001-07-16,189.999
2001-07-17,192.667
2001-07-18,193.875
2001-07-19,194.859
2001-07-20,194.976
2001-07-23,196.259
2001-07-24,198.75
2001-07-25,194.37
2001-07-26,195.269
2001-07-27,195.576
2001-07-30,199.903
2001-07-31,199.114
2001-08-01,202.194
2001-08-02,206.031
2001-08-03,208.179
2001-08-06,208.47
2001-08-07,205.763
2001-08-08,204.069
2001-08-09,205.005
2001-08-10,207.087
2001-08-13,209.257
2001-08-14,209.484
2001-08-15,212.682
2001-08-16,211.526
2001-08-17,209.973
2001-08-20,209.409
2001-08-21,210.361
2001-08-22,212.672
2001-08-23,210.58
2001-08-24,213.664
2001-08-27,212.175
2001-08-28,209.633
2001-08-29,211.221
2001-08-30,207.45
2001-08-31,208.86
2001-09-03,204.792
2001-09-04,201.039
2001-09-05,197.344
2001-09-06,195.332
2001-09-07,194.377
2001-09-10,189.926
2001-09-11,177.083
2001-09-12,174.813
2001-09-13,173.156
2001-09-14,166.37
2001-09-17,162.459
2001-09-18,162.319
2001-09-19,163.419
