Date,SPAIN MID GROWTH Mid Cap
2001-01-01,216.473
2001-01-02,221.134
2001-01-03,221.996
2001-01-04,228.144
2001-01-05,229.659
2001-01-08,226.809
2001-01-09,222.262
2001-01-10,220.833
2001-01-11,228.674
2001-01-12,232.163
2001-01-15,230.118
2001-01-16,228.113
2001-01-17,230.645
2001-01-18,233.093
2001-01-19,230.067
2001-01-22,231.074
2001-01-23,235.791
2001-01-24,234.389
2001-01-25,236.01
2001-01-26,236.835
2001-01-29,235.113
2001-01-30,241.132
2001-01-31,241.582
2001-02-01,245.995
2001-02-02,237.273
2001-02-05,236.078
2001-02-06,234.301
2001-02-07,234.303
2001-02-08,236.672
2001-02-09,237.674
2001-02-12,245.17
2001-02-13,240.4
2001-02-14,233.885
2001-02-15,230.862
2001-02-16,228.854
2001-02-19,231.353
2001-02-20,225.981
2001-02-21,223.165
2001-02-22,220.01
2001-02-23,217.612
2001-02-26,219.154
2001-02-27,223.059
2001-02-28,223.035
2001-03-01,222.456
2001-03-02,226.659
2001-03-05,227.874
2001-03-06,234.863
2001-03-07,233.628
2001-03-08,231.452
2001-03-09,230.769
2001-03-12,224.582
2001-03-13,219.992
2001-03-14,215.481
2001-03-15,214.229
2001-03-16,209.13
2001-03-19,208.303
2001-03-20,212.785
2001-03-21,202.069
2001-03-22,187.269
2001-03-23,197.356
2001-03-26,201.589
2001-03-27,199.978
2001-03-28,196.232
2001-03-29,192.884
2001-03-30,194.148
2001-04-02,193.457
2001-04-03,186.112
2001-04-04,192.934
2001-04-05,196.047
2001-04-06,195.065
2001-04-09,198.561
2001-04-10,197.583
2001-04-11,198.604
2001-04-12,200.099
2001-04-13,200.099
2001-04-16,198.05
2001-04-17,198.122
2001-04-18,201.386
2001-04-19,204.976
2001-04-20,204.6
2001-04-23,201.65
2001-04-24,206.064
2001-04-25,207.403
2001-04-26,209.654
2001-04-27,208.564
2001-04-30,210.257
2001-05-01,211.372
2001-05-02,213.374
2001-05-03,212.292
2001-05-04,211.522
2001-05-07,211.052
2001-05-08,210.857
2001-05-09,210.896
2001-05-10,213.263
2001-05-11,211.862
2001-05-14,208.65
2001-05-15,207.581
2001-05-16,206.445
2001-05-17,208.114
2001-05-18,207.433
2001-05-21,207.457
2001-05-22,203.693
2001-05-23,203.244
2001-05-24,202.709
2001-05-25,201.078
2001-05-28,203.112
2001-05-29,201.858
2001-05-30,201.647
2001-05-31,200.498
2001-06-01,198.361
2001-06-04,200.783
2001-06-05,203.738
2001-06-06,202.834
2001-06-07,204.388
2001-06-08,205.538
2001-06-11,205.192
2001-06-12,203.394
2001-06-13,203.562
2001-06-14,204.799
2001-06-15,204.174
2001-06-18,199.897
2001-06-19,199.69
2001-06-20,198.199
2001-06-21,198.64
2001-06-22,196.645
2001-06-25,199.575
2001-06-26,197.443
2001-06-27,200.661
2001-06-28,197.8
2001-06-29,196.994
2001-07-02,197.019
2001-07-03,195.263
2001-07-04,195.518
2001-07-05,191.989
2001-07-06,190.327
2001-07-09,190.818
2001-07-10,193.589
2001-07-11,190.392
2001-07-12,184.908
2001-07-13,186.005
2001-07-16,186.055
2001-07-17,188.668
2001-07-18,189.851
2001-07-19,190.815
2001-07-20,190.929
2001-07-23,192.185
2001-07-24,194.625
2001-07-25,190.336
2001-07-26,191.216
2001-07-27,191.517
2001-07-30,195.754
2001-07-31,194.981
2001-08-01,197.997
2001-08-02,201.755
2001-08-03,203.858
2001-08-06,204.143
2001-08-07,201.492
2001-08-08,199.834
2001-08-09,200.75
2001-08-10,202.789
2001-08-13,204.914
2001-08-14,205.136
2001-08-15,208.268
2001-08-16,207.136
2001-08-17,205.615
2001-08-20,205.063
2001-08-21,205.995
2001-08-22,208.258
2001-08-23,206.209
2001-08-24,209.229
2001-08-27,207.771
2001-08-28,205.282
2001-08-29,206.837
2001-08-30,203.144
2001-08-31,204.525
2001-09-03,200.541
2001-09-04,196.866
2001-09-05,193.248
2001-09-06,191.278
2001-09-07,190.343
2001-09-10,185.984
2001-09-11,173.407
2001-09-12,171.184
2001-09-13,169.562
2001-09-14,162.917
2001-09-17,159.087
2001-09-18,158.95
2001-09-19,160.027
2001-09-20,152.054
2001-09-21,145.024
2001-09-24,151.076
2001-09-25,157.386
2001-09-26,161.331
2001-09-27,163.548
2001-09-28,165.831
2001-10-01,163.546
2001-10-02,166.532
2001-10-03,168.313
2001-10-04,169.89
