Date,ITALY SMALL GROWTH Small Cap
1994-05-31,361.587
1994-06-30,345.74
1994-07-29,346.035
1994-08-31,342.523
1994-09-30,346.504
1994-10-31,330.107
1994-11-30,312.583
1994-12-30,314.055
1995-01-31,325.63
1995-02-28,300.712
1995-03-31,279.657
1995-04-28,285.845
1995-05-31,294.44
1995-06-30,290.294
1995-07-31,302.368
1995-08-31,298.951
1995-09-29,296.491
1995-10-31,289.492
1995-11-30,274.686
1995-12-29,281.235
1996-01-31,285.055
1996-02-29,306.486
1996-03-29,304.953
1996-04-30,304.465
1996-05-31,322.093
1996-06-28,321.875
1996-07-31,301.573
1996-08-30,296.583
1996-09-30,294.611
1996-10-31,276.645
1996-11-29,297.471
1996-12-31,302.225
1997-01-31,306.262
1997-02-28,291.144
1997-03-31,301.699
1997-04-30,291.559
1997-05-30,293.323
1997-06-30,299.086
1997-07-31,311.467
1997-08-29,313.307
1997-09-30,398.641
1997-10-31,397.499
1997-11-28,381.805
1997-12-31,405.181
1998-01-30,448.96
1998-02-27,482.105
1998-03-31,635.17
1998-04-30,611.408
1998-05-29,651.143
1998-06-30,588.137
1998-07-31,601.195
1998-08-31,509.887
1998-09-30,473.326
1998-10-30,513.211
1998-11-30,563.625
1998-12-31,572.591
1999-01-29,544.921
1999-02-26,532.382
1999-03-31,532.759
1999-04-30,549.411
1999-05-31,535.604
1999-06-30,545.042
1999-07-30,557.351
1999-08-31,564.751
1999-09-30,587.65
1999-10-29,581.288
1999-11-30,553.226
1999-12-31,619.025
2000-01-31,598.597
2000-02-29,766.738
2000-03-31,702.22
2000-04-28,664.113
2000-05-31,680.379
2000-06-30,691.852
2000-07-31,675.303
2000-08-31,684.372
2000-09-29,656.431
2000-10-31,614.97
2000-11-30,607.223
2000-12-29,610.565
2001-01-31,619.615
2001-02-28,568.614
2001-03-30,509.162
2001-04-30,520.83
2001-05-31,488.916
2001-06-29,450.401
2001-07-31,426.24
2001-08-31,431.758
2001-09-28,343.516
2001-10-31,365.585
2001-11-30,388.4
2001-12-31,387.485
2002-01-31,374.673
2002-02-28,371.415
2002-03-29,404.969
2002-04-30,416.692
2002-05-31,426.731
2002-06-28,408.142
2002-07-31,364.604
2002-08-30,370.109
2002-09-30,319.341
2002-10-31,340.846
2002-11-29,363.454
2002-12-31,364.322
2003-01-31,361.853
2003-02-28,362.262
2003-03-31,359.359
2003-04-30,398.357
2003-05-30,426.192
2003-06-30,431.602
2003-07-31,438.076
2003-08-29,442.281
2003-09-30,468.863
2003-10-31,485.794
2003-11-28,515.103
2003-12-31,531.187
2004-01-30,518.596
2004-02-27,529.37
2004-03-31,519.174
2004-04-30,513.8
2004-05-31,518.619
2004-06-30,532.279
2004-07-30,514.641
2004-08-31,514.174
2004-09-30,535.772
2004-10-29,567.064
2004-11-30,601.249
2004-12-31,637.414
2005-01-31,635.925
2005-02-28,660.868
2005-03-31,644.94
2005-04-29,630.613
2005-05-31,632.387
2005-06-30,636.499
2005-07-29,671.506
2005-08-31,673.351
2005-09-30,684.878
2005-10-31,639.491
2005-11-30,633.748
2005-12-30,643.258
2006-01-31,696.182
2006-02-28,713.305
2006-03-31,755.788
2006-04-28,799.9
2006-05-31,762.831
2006-06-30,745.033
2006-07-31,740.516
2006-08-31,746.33
2006-09-29,753.399
2006-10-31,806.732
2006-11-30,858.656
2006-12-29,889.265
2007-01-31,913.998
2007-02-28,916.01
2007-03-30,963.304
2007-04-30,1015.372
2007-05-31,1000.0
2007-06-29,950.771
2007-07-31,926.884
2007-08-31,889.285
2007-09-28,884.917
2007-10-31,931.924
2007-11-30,817.619
2007-12-31,769.274
2008-01-31,664.469
2008-02-29,696.644
2008-03-31,684.938
2008-04-30,704.543
2008-05-30,707.387
2008-06-30,649.104
2008-07-31,604.077
2008-08-29,601.855
2008-09-30,480.702
2008-10-31,361.841
2008-11-28,330.799
2008-12-31,362.223
2009-01-30,321.309
2009-02-27,305.943
2009-03-31,330.102
2009-04-30,383.056
2009-05-29,449.883
2009-06-30,441.783
2009-07-31,478.203
2009-08-31,505.495
2009-09-30,542.351
2009-10-30,522.863
2009-11-30,528.432
2009-12-31,522.563
2010-01-29,501.549
2010-02-26,479.284
2010-03-31,516.636
2010-04-30,496.763
2010-05-31,431.588
2010-06-30,420.133
2010-07-30,460.626
2010-08-31,437.617
2010-09-30,506.427
2010-10-29,542.261
2010-11-30,481.391
2010-12-31,532.041
2011-01-31,552.96
2011-02-28,552.042
2011-03-31,598.849
2011-04-29,655.051
2011-05-31,618.836
2011-06-30,613.001
2011-07-29,583.42
2011-08-31,529.903
2011-09-30,475.142
2011-10-31,512.62
2011-11-30,462.178
2011-12-30,432.471
2012-01-31,462.323
2012-02-29,505.462
2012-03-30,511.033
2012-04-30,503.733
2012-05-31,445.096
2012-06-29,473.716
2012-07-31,460.989
2012-08-31,491.894
2012-09-28,525.188
2012-10-31,554.197
2012-11-30,561.028
2012-12-31,590.923
2013-01-31,657.988
2013-02-28,639.794
2013-03-29,637.005
2013-04-30,680.67
2013-05-31,695.372
2013-06-28,690.252
2013-07-31,776.849
2013-08-30,771.368
2013-09-30,817.023
2013-10-31,876.588
2013-11-29,901.364
2013-12-31,919.744
2014-01-31,905.113
2014-02-28,998.462
2014-03-31,994.307
2014-04-30,970.179
2014-05-30,937.222
2014-06-30,888.671
2014-07-31,832.936
2014-08-29,837.095
2014-09-30,789.417
2014-10-31,735.447
2014-11-28,780.024
2014-12-31,750.437
2015-01-30,791.831
2015-02-27,845.258
2015-03-31,888.152
2015-04-30,947.383
2015-05-29,948.517
2015-06-30,942.216
2015-07-31,980.977
2015-08-31,917.321
2015-09-30,883.15
2015-10-30,935.675
2015-11-30,923.35
2015-12-31,939.367
2016-01-29,850.924
2016-02-29,827.939
2016-03-31,918.295
2016-04-29,935.524
2016-05-31,934.57
2016-06-30,836.402
2016-07-29,869.52
2016-08-31,867.612
2016-09-30,871.264
2016-10-31,842.668
2016-11-30,792.542
2016-12-30,875.463
2017-01-31,905.847
2017-02-28,920.407
2017-03-31,1016.422
2017-04-28,1088.008
2017-05-31,1157.153
2017-06-30,1119.896
2017-07-31,1207.892
2017-08-31,1218.137
2017-09-29,1259.331
2017-10-31,1268.467
2017-11-30,1245.392
2017-12-29,1258.862
2018-01-31,1382.643
2018-02-28,1294.192
2018-03-30,1313.491
2018-04-30,1371.286
2018-05-31,1289.234
2018-06-29,1336.36
2018-07-31,1357.933
2018-08-31,1308.152
2018-09-28,1339.793
2018-10-31,1127.972
2018-11-30,1126.328
2018-12-31,1068.252
2019-01-31,1152.906
2019-02-28,1222.025
2019-03-29,1227.92
2019-04-30,1256.108
2019-05-31,1131.559
2019-06-28,1212.496
2019-07-31,1170.82
2019-08-30,1134.202
2019-09-30,1156.87
2019-10-31,1183.061
2019-11-29,1286.707
2019-12-31,1285.749
2020-01-31,1222.968
2020-02-28,1144.637
2020-03-31,924.32
2020-04-30,1031.221
2020-05-29,1124.342
2020-06-30,1141.67
2020-07-31,1272.18
2020-08-31,1347.924
2020-09-30,1338.597
2020-10-30,1269.765
2020-11-30,1480.862
2020-12-31,1588.334
2021-01-29,1545.31
2021-02-26,1626.225
2021-03-31,1701.585
2021-04-30,1803.042
2021-05-31,1956.643
2021-06-30,1920.483
2021-07-30,1979.561
2021-08-31,2099.357
2021-09-30,1938.831
2021-10-29,2051.52
2021-11-30,1905.193
2021-12-31,2026.129
2022-01-31,1812.454
2022-02-28,1696.997
2022-03-31,1631.625
2022-04-29,1478.528
2022-05-31,1524.429
2022-06-30,1324.758
2022-07-29,1419.106
2022-08-31,1312.758
2022-09-30,1174.112
2022-10-31,1277.194
2022-11-30,1419.732
2022-12-30,1451.125
2023-01-31,1586.475
2023-02-28,1587.567
2023-03-31,1621.754
2023-04-28,1625.511
2023-05-31,1529.724
2023-06-30,1606.287
2023-07-31,1605.568
2023-08-31,1541.317
2023-09-29,1386.813
2023-10-31,1331.65
2023-11-30,1525.036
2023-12-29,1647.285
2024-01-31,1638.057
2024-02-29,1668.286
2024-03-29,1741.372
2024-04-30,1672.356
2024-05-31,1776.033
2024-06-28,1734.871
2024-07-31,1710.109
2024-08-30,1761.641
2024-09-30,1753.015
2024-10-31,1680.938
2024-11-29,1700.608
2024-12-31,1696.449
2025-01-31,1821.129
2025-02-28,1813.262
2025-03-31,1804.333
2025-04-30,1910.142
2025-05-30,2119.804
2025-06-30,2206.02
2025-07-31,2125.966
2025-08-29,2212.164
2025-09-30,2218.557
2025-10-31,2220.936
2025-11-28,2240.247
2025-12-31,2317.202
2026-01-30,2374.058
