Date,ITALY SMALL GROWTH Small Cap
2001-01-01,610.565
2001-01-02,602.583
2001-01-03,582.85
2001-01-04,591.331
2001-01-05,588.837
2001-01-08,576.731
2001-01-09,572.027
2001-01-10,574.384
2001-01-11,586.997
2001-01-12,599.451
2001-01-15,594.247
2001-01-16,590.551
2001-01-17,602.921
2001-01-18,612.936
2001-01-19,614.329
2001-01-22,615.278
2001-01-23,614.749
2001-01-24,610.295
2001-01-25,605.284
2001-01-26,603.513
2001-01-29,605.951
2001-01-30,612.733
2001-01-31,619.615
2001-02-01,620.585
2001-02-02,612.842
2001-02-05,609.767
2001-02-06,608.539
2001-02-07,604.202
2001-02-08,597.465
2001-02-09,596.219
2001-02-12,602.017
2001-02-13,597.37
2001-02-14,585.806
2001-02-15,578.629
2001-02-16,580.76
2001-02-19,578.96
2001-02-20,570.536
2001-02-21,568.293
2001-02-22,567.581
2001-02-23,563.473
2001-02-26,568.711
2001-02-27,572.66
2001-02-28,568.614
2001-03-01,564.214
2001-03-02,559.632
2001-03-05,553.14
2001-03-06,566.533
2001-03-07,563.804
2001-03-08,565.838
2001-03-09,559.563
2001-03-12,541.697
2001-03-13,531.776
2001-03-14,519.597
2001-03-15,518.831
2001-03-16,511.068
2001-03-19,510.935
2001-03-20,521.732
2001-03-21,510.77
2001-03-22,490.608
2001-03-23,500.81
2001-03-26,507.092
2001-03-27,513.875
2001-03-28,505.091
2001-03-29,503.064
2001-03-30,509.162
2001-04-02,507.399
2001-04-03,500.091
2001-04-04,507.644
2001-04-05,509.16
2001-04-06,511.03
2001-04-09,511.002
2001-04-10,503.42
2001-04-11,502.692
2001-04-12,511.698
2001-04-13,511.698
2001-04-16,506.458
2001-04-17,504.817
2001-04-18,507.707
2001-04-19,518.63
2001-04-20,524.52
2001-04-23,516.384
2001-04-24,517.945
2001-04-25,520.924
2001-04-26,524.66
2001-04-27,519.862
2001-04-30,520.83
2001-05-01,523.591
2001-05-02,526.033
2001-05-03,522.276
2001-05-04,522.583
2001-05-07,522.819
2001-05-08,516.332
2001-05-09,513.829
2001-05-10,514.509
2001-05-11,508.978
2001-05-14,507.023
2001-05-15,509.168
2001-05-16,508.689
2001-05-17,510.164
2001-05-18,508.654
2001-05-21,509.76
2001-05-22,507.492
2001-05-23,503.293
2001-05-24,501.992
2001-05-25,502.893
2001-05-28,505.594
2001-05-29,498.775
2001-05-30,493.124
2001-05-31,488.916
2001-06-01,488.889
2001-06-04,486.275
2001-06-05,487.888
2001-06-06,487.391
2001-06-07,490.059
2001-06-08,490.694
2001-06-11,483.622
2001-06-12,481.329
2001-06-13,484.87
2001-06-14,483.151
2001-06-15,480.923
2001-06-18,474.345
2001-06-19,474.314
2001-06-20,466.115
2001-06-21,466.068
2001-06-22,464.444
2001-06-25,463.876
2001-06-26,455.459
2001-06-27,452.444
2001-06-28,445.762
2001-06-29,450.401
2001-07-02,451.079
2001-07-03,450.291
2001-07-04,448.582
2001-07-05,441.758
2001-07-06,437.43
2001-07-09,437.428
2001-07-10,440.489
2001-07-11,438.147
2001-07-12,435.956
2001-07-13,435.535
2001-07-16,436.869
2001-07-17,429.369
2001-07-18,433.672
2001-07-19,430.48
2001-07-20,428.136
2001-07-23,424.985
2001-07-24,424.658
2001-07-25,425.408
2001-07-26,423.815
2001-07-27,424.163
2001-07-30,425.066
2001-07-31,426.24
2001-08-01,436.357
2001-08-02,442.903
2001-08-03,443.107
2001-08-06,441.144
2001-08-07,441.626
2001-08-08,439.172
2001-08-09,439.407
2001-08-10,440.934
2001-08-13,441.955
2001-08-14,441.968
2001-08-15,448.715
2001-08-16,447.362
2001-08-17,444.414
2001-08-20,440.169
2001-08-21,440.791
2001-08-22,443.46
2001-08-23,439.96
2001-08-24,441.773
2001-08-27,441.329
2001-08-28,439.735
2001-08-29,438.907
2001-08-30,433.592
2001-08-31,431.758
2001-09-03,425.758
2001-09-04,415.601
2001-09-05,404.409
2001-09-06,395.955
2001-09-07,391.818
2001-09-10,380.297
2001-09-11,363.735
2001-09-12,359.292
2001-09-13,358.936
2001-09-14,345.55
2001-09-17,335.587
2001-09-18,333.731
2001-09-19,338.862
2001-09-20,327.417
2001-09-21,303.556
2001-09-24,314.565
2001-09-25,326.257
2001-09-26,334.095
2001-09-27,334.405
2001-09-28,343.516
2001-10-01,341.501
2001-10-02,344.008
2001-10-03,346.152
2001-10-04,354.655
2001-10-05,355.918
2001-10-08,354.577
2001-10-09,358.001
2001-10-10,362.57
2001-10-11,367.603
2001-10-12,365.791
2001-10-15,362.138
2001-10-16,367.075
2001-10-17,371.196
2001-10-18,366.409
2001-10-19,364.127
2001-10-22,365.882
2001-10-23,368.555
2001-10-24,370.203
2001-10-25,366.573
2001-10-26,369.276
2001-10-29,373.643
2001-10-30,363.281
2001-10-31,365.585
2001-11-01,368.03
2001-11-02,367.096
2001-11-05,368.368
2001-11-06,365.994
2001-11-07,367.109
2001-11-08,365.332
2001-11-09,363.749
2001-11-12,356.649
2001-11-13,356.972
2001-11-14,359.283
2001-11-15,362.065
2001-11-16,368.103
2001-11-19,378.094
2001-11-20,378.339
2001-11-21,375.641
2001-11-22,380.086
2001-11-23,381.982
2001-11-26,388.829
2001-11-27,383.859
2001-11-28,383.076
2001-11-29,383.896
2001-11-30,388.4
2001-12-03,384.774
2001-12-04,388.733
2001-12-05,393.507
2001-12-06,395.152
2001-12-07,395.369
2001-12-10,391.314
2001-12-11,392.479
2001-12-12,392.056
2001-12-13,386.375
2001-12-14,388.016
2001-12-17,392.206
2001-12-18,389.817
2001-12-19,386.312
2001-12-20,382.663
2001-12-21,378.606
2001-12-24,374.829
2001-12-25,374.829
2001-12-26,375.149
2001-12-27,384.054
2001-12-28,383.742
2001-12-31,387.485
2002-01-01,387.485
2002-01-02,393.435
2002-01-03,396.225
2002-01-04,393.892
2002-01-07,391.869
2002-01-08,389.968
2002-01-09,390.375
2002-01-10,390.668
2002-01-11,388.731
2002-01-14,384.25
2002-01-15,383.297
2002-01-16,377.374
2002-01-17,377.606
2002-01-18,379.014
2002-01-21,376.925
2002-01-22,377.06
2002-01-23,377.314
2002-01-24,377.224
2002-01-25,371.89
2002-01-28,372.182
2002-01-29,371.678
2002-01-30,371.923
2002-01-31,374.673
2002-02-01,376.383
2002-02-04,377.154
2002-02-05,373.783
2002-02-06,371.472
2002-02-07,375.189
2002-02-08,376.129
2002-02-11,379.409
2002-02-12,378.262
2002-02-13,375.544
2002-02-14,374.42
2002-02-15,374.939
2002-02-18,373.255
2002-02-19,368.529
2002-02-20,364.724
2002-02-21,366.432
2002-02-22,368.455
2002-02-25,366.714
2002-02-26,366.02
2002-02-27,370.14
2002-02-28,371.415
2002-03-01,375.199
2002-03-04,382.932
2002-03-05,382.956
2002-03-06,388.643
2002-03-07,394.477
2002-03-08,395.616
2002-03-11,395.55
2002-03-12,389.837
2002-03-13,393.319
2002-03-14,397.827
2002-03-15,397.045
2002-03-18,397.903
2002-03-19,401.696
2002-03-20,401.098
2002-03-21,400.519
2002-03-22,400.89
2002-03-25,400.978
2002-03-26,400.691
2002-03-27,402.627
2002-03-28,404.969
2002-03-29,404.969
2002-04-01,408.288
2002-04-02,407.547
2002-04-03,406.701
2002-04-04,404.086
2002-04-05,405.317
2002-04-08,397.608
2002-04-09,402.096
2002-04-10,405.324
2002-04-11,406.865
2002-04-12,405.912
2002-04-15,405.592
2002-04-16,409.586
2002-04-17,412.916
2002-04-18,413.562
