Date,BELGIUM MID GROWTH Mid Cap
1994-05-31,461.4
1994-06-30,453.694
1994-07-29,470.952
1994-08-31,495.154
1994-09-30,471.711
1994-10-31,485.75
1994-11-30,468.803
1994-12-30,478.373
1995-01-31,464.918
1995-02-28,489.708
1995-03-31,511.561
1995-04-28,573.388
1995-05-31,605.218
1995-06-30,619.542
1995-07-31,643.265
1995-08-31,609.067
1995-09-29,632.37
1995-10-31,616.546
1995-11-30,620.468
1995-12-29,674.393
1996-01-31,735.24
1996-02-29,779.75
1996-03-29,783.457
1996-04-30,804.23
1996-05-31,837.311
1996-06-28,858.847
1996-07-31,857.359
1996-08-30,891.23
1996-09-30,884.473
1996-10-31,907.189
1996-11-29,957.436
1996-12-31,961.961
1997-01-31,931.056
1997-02-28,949.634
1997-03-31,948.328
1997-04-30,931.177
1997-05-30,961.687
1997-06-30,1108.952
1997-07-31,1105.313
1997-08-29,1045.021
1997-09-30,1106.998
1997-10-31,1045.552
1997-11-28,1014.445
1997-12-31,1006.159
1998-01-30,1056.999
1998-02-27,1157.48
1998-03-31,1257.541
1998-04-30,1283.59
1998-05-29,1292.36
1998-06-30,1427.768
1998-07-31,1345.134
1998-08-31,1236.441
1998-09-30,1269.91
1998-10-30,1352.65
1998-11-30,1392.702
1998-12-31,1456.147
1999-01-29,1414.919
1999-02-26,1320.325
1999-03-31,1183.43
1999-04-30,1197.917
1999-05-31,1156.589
1999-06-30,1103.252
1999-07-30,1063.594
1999-08-31,1085.483
1999-09-30,1007.78
1999-10-29,975.339
1999-11-30,947.574
1999-12-31,1062.8
2000-01-31,887.175
2000-02-29,977.075
2000-03-31,1002.708
2000-04-28,888.037
2000-05-31,882.943
2000-06-30,902.478
2000-07-31,783.164
2000-08-31,837.838
2000-09-29,604.303
2000-10-31,519.176
2000-11-30,495.592
2000-12-29,527.438
2001-01-31,520.595
2001-02-28,480.75
2001-03-30,408.447
2001-04-30,390.497
2001-05-31,355.292
2001-06-29,384.465
2001-07-31,420.384
2001-08-31,460.421
2001-09-28,445.595
2001-10-31,433.227
2001-11-30,440.431
2001-12-31,444.914
2002-01-31,440.514
2002-02-28,431.026
2002-03-29,434.585
2002-04-30,429.318
2002-05-31,441.643
2002-06-28,429.689
2002-07-31,404.282
2002-08-30,334.344
2002-09-30,337.959
2002-10-31,285.774
2002-11-29,319.328
2002-12-31,368.703
2003-01-31,347.374
2003-02-28,267.728
2003-03-31,253.932
2003-04-30,324.138
2003-05-30,378.249
2003-06-30,357.183
2003-07-31,339.109
2003-08-29,354.801
2003-09-30,381.145
2003-10-31,394.26
2003-11-28,403.97
2003-12-31,475.572
2004-01-30,501.61
2004-02-27,466.741
2004-03-31,484.729
2004-04-30,504.742
2004-05-31,591.192
2004-06-30,614.754
2004-07-30,610.582
2004-08-31,627.923
2004-09-30,691.834
2004-10-29,714.511
2004-11-30,735.903
2004-12-31,757.166
2005-01-31,750.708
2005-02-28,794.849
2005-03-31,758.365
2005-04-29,744.918
2005-05-31,709.978
2005-06-30,727.491
2005-07-29,757.118
2005-08-31,781.867
2005-09-30,777.999
2005-10-31,738.109
2005-11-30,744.447
2005-12-30,729.319
2006-01-31,740.284
2006-02-28,717.956
2006-03-31,743.445
2006-04-28,785.803
2006-05-31,797.879
2006-06-30,806.942
2006-07-31,844.059
2006-08-31,861.547
2006-09-29,878.749
2006-10-31,890.304
2006-11-30,921.679
2006-12-29,990.394
2007-01-31,984.438
2007-02-28,968.737
2007-03-30,944.563
2007-04-30,994.852
2007-05-31,1000.0
2007-06-29,976.645
2007-07-31,976.867
2007-08-31,971.479
2007-09-28,994.972
2007-10-31,1019.005
2007-11-30,990.741
2007-12-31,1030.022
2008-01-31,950.921
2008-02-29,1003.126
2008-03-31,1033.723
2008-04-30,1063.205
2008-05-30,1047.789
2008-06-30,986.7
2008-07-31,949.522
2008-08-29,915.588
2008-09-30,740.931
2008-10-31,510.423
2008-11-28,444.07
2008-12-31,448.038
2009-01-30,463.753
2009-02-27,452.825
2009-03-31,455.634
2009-04-30,448.816
2009-05-29,467.914
2009-06-30,452.987
2009-07-31,464.223
2009-08-31,499.497
2009-09-30,533.773
2009-10-30,542.195
2009-11-30,573.831
2009-12-31,556.85
2010-01-29,535.331
