Date,SWITZERLAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,439.295
2001-01-02,442.793
2001-01-03,444.792
2001-01-04,444.165
2001-01-05,446.912
2001-01-08,448.112
2001-01-09,444.587
2001-01-10,441.843
2001-01-11,442.254
2001-01-12,440.906
2001-01-15,439.158
2001-01-16,439.737
2001-01-17,438.535
2001-01-18,447.826
2001-01-19,440.712
2001-01-22,438.387
2001-01-23,439.728
2001-01-24,434.495
2001-01-25,436.874
2001-01-26,437.41
2001-01-29,437.616
2001-01-30,439.4
2001-01-31,441.762
2001-02-01,446.036
2001-02-02,441.562
2001-02-05,446.92
2001-02-06,444.821
2001-02-07,444.914
2001-02-08,439.795
2001-02-09,441.824
2001-02-12,443.75
2001-02-13,439.721
2001-02-14,438.852
2001-02-15,433.543
2001-02-16,435.87
2001-02-19,437.703
2001-02-20,433.191
2001-02-21,434.178
2001-02-22,430.485
2001-02-23,430.424
2001-02-26,431.266
2001-02-27,434.658
2001-02-28,434.354
2001-03-01,434.9
2001-03-02,437.103
2001-03-05,435.349
2001-03-06,438.138
2001-03-07,437.92
2001-03-08,438.313
2001-03-09,437.467
2001-03-12,433.424
2001-03-13,425.969
2001-03-14,417.156
2001-03-15,417.139
2001-03-16,410.886
2001-03-19,406.385
2001-03-20,408.535
2001-03-21,399.827
2001-03-22,383.842
2001-03-23,392.553
2001-03-26,397.823
2001-03-27,400.589
2001-03-28,398.109
2001-03-29,396.786
2001-03-30,400.277
2001-04-02,397.574
2001-04-03,393.986
2001-04-04,397.428
2001-04-05,399.979
2001-04-06,400.285
2001-04-09,400.608
2001-04-10,399.849
2001-04-11,398.048
2001-04-12,402.803
2001-04-13,402.803
2001-04-16,398.705
2001-04-17,396.557
2001-04-18,390.944
2001-04-19,397.471
2001-04-20,401.879
2001-04-23,399.81
2001-04-24,398.646
2001-04-25,398.101
2001-04-26,399.849
2001-04-27,397.41
2001-04-30,396.655
2001-05-01,397.836
2001-05-02,398.408
2001-05-03,397.96
2001-05-04,397.676
2001-05-07,396.912
2001-05-08,396.033
2001-05-09,394.899
2001-05-10,394.562
2001-05-11,393.563
2001-05-14,392.823
2001-05-15,396.686
2001-05-16,401.082
2001-05-17,402.881
2001-05-18,401.339
2001-05-21,400.593
2001-05-22,397.171
2001-05-23,394.119
2001-05-24,393.144
2001-05-25,390.796
2001-05-28,390.16
2001-05-29,388.809
2001-05-30,388.746
2001-05-31,386.048
2001-06-01,386.725
2001-06-04,387.609
2001-06-05,391.169
2001-06-06,389.933
2001-06-07,392.05
2001-06-08,389.525
2001-06-11,386.064
2001-06-12,385.075
2001-06-13,385.898
2001-06-14,386.643
2001-06-15,387.365
2001-06-18,384.381
2001-06-19,381.631
2001-06-20,375.563
2001-06-21,376.516
2001-06-22,376.157
2001-06-25,378.879
2001-06-26,376.622
2001-06-27,375.68
2001-06-28,372.5
2001-06-29,374.385
2001-07-02,373.376
2001-07-03,371.444
2001-07-04,370.554
2001-07-05,365.402
2001-07-06,366.366
2001-07-09,367.24
2001-07-10,368.07
2001-07-11,367.598
2001-07-12,367.111
2001-07-13,364.98
2001-07-16,364.793
2001-07-17,362.426
2001-07-18,373.921
2001-07-19,376.991
2001-07-20,376.236
2001-07-23,373.122
2001-07-24,372.553
2001-07-25,371.984
2001-07-26,370.179
2001-07-27,368.833
2001-07-30,371.348
2001-07-31,371.487
2001-08-01,375.455
2001-08-02,378.048
2001-08-03,378.941
2001-08-06,375.632
2001-08-07,375.093
2001-08-08,373.583
2001-08-09,374.648
2001-08-10,375.781
2001-08-13,378.86
2001-08-14,378.256
2001-08-15,381.993
2001-08-16,379.621
2001-08-17,379.585
2001-08-20,376.137
2001-08-21,375.771
2001-08-22,377.033
2001-08-23,373.458
2001-08-24,374.619
2001-08-27,372.899
2001-08-28,370.388
2001-08-29,367.989
2001-08-30,370.659
2001-08-31,369.223
2001-09-03,363.172
2001-09-04,357.515
2001-09-05,354.682
2001-09-06,353.732
2001-09-07,354.995
2001-09-10,349.422
2001-09-11,339.238
2001-09-12,339.914
2001-09-13,341.333
2001-09-14,339.385
2001-09-17,339.868
2001-09-18,337.36
2001-09-19,337.607
2001-09-20,324.085
2001-09-21,312.056
2001-09-24,313.206
2001-09-25,318.512
2001-09-26,318.122
2001-09-27,312.789
2001-09-28,315.427
2001-10-01,314.757
2001-10-02,311.983
2001-10-03,308.007
2001-10-04,308.294
2001-10-05,310.852
2001-10-08,310.055
2001-10-09,310.478
2001-10-10,308.607
2001-10-11,311.801
2001-10-12,312.757
2001-10-15,313.764
2001-10-16,316.183
2001-10-17,320.382
2001-10-18,320.447
2001-10-19,316.749
2001-10-22,314.462
2001-10-23,317.619
2001-10-24,319.538
2001-10-25,320.668
2001-10-26,323.379
2001-10-29,325.026
2001-10-30,323.74
2001-10-31,322.189
2001-11-01,323.823
2001-11-02,323.814
2001-11-05,322.963
2001-11-06,321.937
2001-11-07,324.176
2001-11-08,324.772
2001-11-09,326.043
2001-11-12,326.617
2001-11-13,324.273
2001-11-14,325.997
2001-11-15,330.973
2001-11-16,336.503
2001-11-19,339.156
2001-11-20,339.744
2001-11-21,336.201
2001-11-22,339.405
2001-11-23,336.369
2001-11-26,336.894
2001-11-27,336.873
2001-11-28,336.725
2001-11-29,333.435
2001-11-30,335.107
2001-12-03,332.843
2001-12-04,334.601
2001-12-05,334.423
2001-12-06,336.732
2001-12-07,337.727
2001-12-10,331.324
2001-12-11,330.007
2001-12-12,333.394
2001-12-13,329.244
2001-12-14,332.433
2001-12-17,337.411
2001-12-18,335.373
2001-12-19,331.214
2001-12-20,331.642
2001-12-21,332.216
2001-12-24,325.083
2001-12-25,325.083
2001-12-26,325.016
2001-12-27,332.058
2001-12-28,333.579
2001-12-31,337.294
2002-01-01,337.294
2002-01-02,341.881
2002-01-03,341.541
2002-01-04,344.083
2002-01-07,344.672
2002-01-08,342.634
2002-01-09,342.132
2002-01-10,341.085
2002-01-11,342.057
2002-01-14,340.808
2002-01-15,339.226
2002-01-16,336.368
2002-01-17,336.702
2002-01-18,339.244
2002-01-21,339.029
2002-01-22,338.667
2002-01-23,339.86
2002-01-24,339.388
2002-01-25,334.398
2002-01-28,333.137
2002-01-29,331.682
2002-01-30,327.954
2002-01-31,330.524
2002-02-01,328.304
2002-02-04,328.64
2002-02-05,328.564
2002-02-06,326.014
2002-02-07,325.136
2002-02-08,327.009
2002-02-11,329.141
2002-02-12,327.075
2002-02-13,324.765
2002-02-14,327.623
2002-02-15,329.312
2002-02-18,327.707
2002-02-19,326.614
2002-02-20,324.966
2002-02-21,327.118
2002-02-22,327.354
2002-02-25,327.295
2002-02-26,326.696
2002-02-27,326.821
2002-02-28,329.252
2002-03-01,331.032
2002-03-04,336.037
2002-03-05,335.838
2002-03-06,340.161
2002-03-07,347.577
2002-03-08,349.002
2002-03-11,347.647
2002-03-12,345.28
2002-03-13,347.508
2002-03-14,351.748
2002-03-15,352.34
2002-03-18,354.95
2002-03-19,354.208
2002-03-20,355.049
2002-03-21,353.374
2002-03-22,355.355
2002-03-25,355.292
2002-03-26,355.236
2002-03-27,355.02
2002-03-28,356.942
2002-03-29,356.942
2002-04-01,361.075
2002-04-02,363.701
2002-04-03,367.282
2002-04-04,366.285
2002-04-05,365.031
2002-04-08,361.101
2002-04-09,363.646
2002-04-10,364.74
2002-04-11,367.564
2002-04-12,364.26
2002-04-15,364.74
2002-04-16,367.64
2002-04-17,371.355
2002-04-18,374.838
2002-04-19,374.841
2002-04-22,373.887
2002-04-23,371.379
2002-04-24,372.375
2002-04-25,371.665
2002-04-26,371.513
2002-04-29,373.392
2002-04-30,375.201
2002-05-01,378.837
2002-05-02,377.618
2002-05-03,383.32
2002-05-06,383.49
2002-05-07,380.62
2002-05-08,382.775
2002-05-09,383.47
2002-05-10,385.113
2002-05-13,384.769
2002-05-14,381.086
2002-05-15,385.224
2002-05-16,387.564
2002-05-17,392.999
2002-05-20,393.363
2002-05-21,392.041
2002-05-22,395.522
2002-05-23,391.321
2002-05-24,391.709
2002-05-27,390.845
2002-05-28,392.873
2002-05-29,392.433
2002-05-30,395.623
2002-05-31,397.612
2002-06-03,398.127
2002-06-04,396.447
2002-06-05,393.615
2002-06-06,392.64
