Date,SWITZERLAND SMID VALUE SMID (Small+Mid Cap)
2001-01-01,455.467
2001-01-02,459.093
2001-01-03,461.166
2001-01-04,460.516
2001-01-05,463.364
2001-01-08,464.609
2001-01-09,460.953
2001-01-10,458.108
2001-01-11,458.535
2001-01-12,457.137
2001-01-15,455.325
2001-01-16,455.926
2001-01-17,454.679
2001-01-18,464.312
2001-01-19,456.936
2001-01-22,454.525
2001-01-23,455.916
2001-01-24,450.49
2001-01-25,452.957
2001-01-26,453.512
2001-01-29,453.726
2001-01-30,455.576
2001-01-31,458.024
2001-02-01,462.456
2001-02-02,457.817
2001-02-05,463.372
2001-02-06,461.196
2001-02-07,461.292
2001-02-08,455.986
2001-02-09,458.089
2001-02-12,460.086
2001-02-13,455.909
2001-02-14,455.007
2001-02-15,449.503
2001-02-16,451.916
2001-02-19,453.816
2001-02-20,449.138
2001-02-21,450.161
2001-02-22,446.332
2001-02-23,446.269
2001-02-26,447.142
2001-02-27,450.659
2001-02-28,450.344
2001-03-01,450.91
2001-03-02,453.195
2001-03-05,451.375
2001-03-06,454.268
2001-03-07,454.041
2001-03-08,454.449
2001-03-09,453.572
2001-03-12,449.38
2001-03-13,441.65
2001-03-14,432.513
2001-03-15,432.495
2001-03-16,426.012
2001-03-19,421.345
2001-03-20,423.508
2001-03-21,414.48
2001-03-22,397.91
2001-03-23,406.94
2001-03-26,412.404
2001-03-27,415.271
2001-03-28,412.533
2001-03-29,411.163
2001-03-30,414.78
2001-04-02,411.979
2001-04-03,408.261
2001-04-04,411.694
2001-04-05,414.337
2001-04-06,414.654
2001-04-09,414.989
2001-04-10,414.202
2001-04-11,412.337
2001-04-12,417.206
2001-04-13,417.206
2001-04-16,412.963
2001-04-17,410.737
2001-04-18,404.924
2001-04-19,411.684
2001-04-20,416.249
2001-04-23,414.107
2001-04-24,412.901
2001-04-25,412.337
2001-04-26,414.054
2001-04-27,411.307
2001-04-30,410.526
2001-05-01,411.748
2001-05-02,412.264
2001-05-03,411.744
2001-05-04,411.45
2001-05-07,410.659
2001-05-08,409.704
2001-05-09,408.562
2001-05-10,408.187
2001-05-11,407.154
2001-05-14,406.381
2001-05-15,410.249
2001-05-16,414.434
2001-05-17,416.065
2001-05-18,414.36
2001-05-21,413.454
2001-05-22,409.915
2001-05-23,406.632
2001-05-24,405.626
2001-05-25,403.166
2001-05-28,402.487
2001-05-29,401.093
2001-05-30,401.028
2001-05-31,398.244
2001-06-01,398.943
2001-06-04,399.855
2001-06-05,403.528
2001-06-06,402.205
2001-06-07,404.352
2001-06-08,401.749
2001-06-11,398.179
2001-06-12,397.159
2001-06-13,397.955
2001-06-14,398.697
2001-06-15,399.422
2001-06-18,396.346
2001-06-19,393.51
2001-06-20,387.253
2001-06-21,388.235
2001-06-22,387.865
2001-06-25,390.672
2001-06-26,388.248
2001-06-27,387.277
2001-06-28,384.0
2001-06-29,385.942
2001-07-02,384.903
2001-07-03,382.911
2001-07-04,381.993
2001-07-05,376.682
2001-07-06,377.676
2001-07-09,378.577
2001-07-10,379.432
2001-07-11,378.946
2001-07-12,378.444
2001-07-13,376.247
2001-07-16,376.055
2001-07-17,373.615
2001-07-18,385.464
2001-07-19,388.629
2001-07-20,387.851
2001-07-23,384.641
2001-07-24,384.054
2001-07-25,383.467
2001-07-26,381.607
2001-07-27,380.219
2001-07-30,382.811
2001-07-31,382.955
2001-08-01,387.045
2001-08-02,389.718
2001-08-03,390.639
2001-08-06,387.228
2001-08-07,386.672
2001-08-08,385.116
2001-08-09,386.214
