Date,HONG KONG SMALL VALUE Small Cap
2001-01-01,233.355
2001-01-02,233.832
2001-01-03,231.522
2001-01-04,239.862
2001-01-05,243.641
2001-01-08,247.599
2001-01-09,246.124
2001-01-10,243.127
2001-01-11,238.557
2001-01-12,243.385
2001-01-15,243.704
2001-01-16,242.685
2001-01-17,239.118
2001-01-18,242.418
2001-01-19,246.614
2001-01-22,247.474
2001-01-23,249.045
2001-01-24,248.998
2001-01-25,248.999
2001-01-26,248.996
2001-01-29,249.565
2001-01-30,247.751
2001-01-31,248.366
2001-02-01,247.152
2001-02-02,248.99
2001-02-05,249.241
2001-02-06,251.799
2001-02-07,252.081
2001-02-08,248.585
2001-02-09,250.735
2001-02-12,251.285
2001-02-13,253.444
2001-02-14,253.377
2001-02-15,252.758
2001-02-16,252.669
2001-02-19,254.109
2001-02-20,255.099
2001-02-21,254.154
2001-02-22,252.987
2001-02-23,255.576
2001-02-26,257.946
2001-02-27,255.97
2001-02-28,252.73
2001-03-01,248.25
2001-03-02,246.697
2001-03-05,243.802
2001-03-06,248.262
2001-03-07,245.941
2001-03-08,246.257
2001-03-09,246.534
2001-03-12,238.323
2001-03-13,235.187
2001-03-14,233.696
2001-03-15,233.853
2001-03-16,235.771
2001-03-19,236.307
2001-03-20,232.605
2001-03-21,232.218
2001-03-22,225.451
2001-03-23,225.969
2001-03-26,229.901
2001-03-27,228.233
2001-03-28,228.567
2001-03-29,226.027
2001-03-30,227.157
2001-04-02,227.691
2001-04-03,225.751
2001-04-04,224.94
2001-04-05,224.936
2001-04-06,225.889
2001-04-09,224.475
2001-04-10,226.339
2001-04-11,228.649
2001-04-12,240.793
2001-04-13,240.793
2001-04-16,240.785
2001-04-17,244.694
2001-04-18,247.357
2001-04-19,252.333
2001-04-20,253.914
2001-04-23,253.825
2001-04-24,254.079
2001-04-25,253.28
2001-04-26,256.033
2001-04-27,255.75
2001-04-30,255.756
2001-05-01,255.76
2001-05-02,258.964
2001-05-03,258.946
2001-05-04,253.969
2001-05-07,255.879
2001-05-08,256.161
2001-05-09,256.782
2001-05-10,257.496
2001-05-11,260.093
2001-05-14,258.633
2001-05-15,261.275
2001-05-16,261.787
2001-05-17,263.377
2001-05-18,264.409
2001-05-21,266.974
2001-05-22,271.265
2001-05-23,274.389
2001-05-24,276.254
2001-05-25,281.632
2001-05-28,285.124
2001-05-29,283.275
2001-05-30,278.473
2001-05-31,277.037
2001-06-01,278.138
2001-06-04,280.071
2001-06-05,283.033
2001-06-06,279.087
2001-06-07,281.436
2001-06-08,282.849
2001-06-11,284.244
2001-06-12,281.416
2001-06-13,280.574
2001-06-14,275.331
2001-06-15,274.235
2001-06-18,274.021
2001-06-19,275.607
2001-06-20,273.668
2001-06-21,277.928
2001-06-22,277.913
2001-06-25,277.917
2001-06-26,277.014
2001-06-27,278.545
2001-06-28,275.91
2001-06-29,276.241
2001-07-02,276.298
2001-07-03,274.173
2001-07-04,274.392
2001-07-05,272.375
2001-07-06,272.371
2001-07-09,268.871
2001-07-10,268.907
2001-07-11,266.545
2001-07-12,268.41
2001-07-13,267.284
2001-07-16,268.314
2001-07-17,264.561
2001-07-18,264.243
2001-07-19,262.783
2001-07-20,264.036
2001-07-23,264.164
2001-07-24,263.937
2001-07-25,263.932
2001-07-26,261.313
2001-07-27,261.309
2001-07-30,260.602
2001-07-31,262.851
2001-08-01,267.708
2001-08-02,266.471
2001-08-03,266.128
2001-08-06,263.731
2001-08-07,264.67
2001-08-08,264.168
2001-08-09,263.163
2001-08-10,262.248
2001-08-13,261.801
2001-08-14,265.485
2001-08-15,267.039
2001-08-16,264.763
2001-08-17,264.801
2001-08-20,262.534
2001-08-21,262.983
2001-08-22,260.787
2001-08-23,260.721
2001-08-24,259.254
2001-08-27,260.337
2001-08-28,259.727
2001-08-29,258.698
2001-08-30,256.916
2001-08-31,254.071
2001-09-03,253.289
2001-09-04,255.633
2001-09-05,256.292
2001-09-06,256.318
2001-09-07,252.775
2001-09-10,251.181
2001-09-11,250.475
2001-09-12,234.969
2001-09-13,237.172
2001-09-14,238.371
2001-09-17,229.382
2001-09-18,227.877
2001-09-19,229.579
2001-09-20,225.759
2001-09-21,222.208
2001-09-24,224.621
2001-09-25,223.568
2001-09-26,224.296
2001-09-27,224.705
2001-09-28,227.499
2001-10-01,227.42
2001-10-02,227.413
2001-10-03,228.623
2001-10-04,234.663
2001-10-05,234.866
2001-10-08,231.471
2001-10-09,236.635
2001-10-10,236.982
2001-10-11,238.833
2001-10-12,235.597
2001-10-15,233.985
2001-10-16,234.493
2001-10-17,236.039
2001-10-18,232.427
2001-10-19,233.628
2001-10-22,237.692
2001-10-23,239.298
2001-10-24,240.184
2001-10-25,240.187
2001-10-26,241.428
2001-10-29,239.885
2001-10-30,240.742
2001-10-31,241.063
2001-11-01,242.578
2001-11-02,239.497
2001-11-05,240.76
2001-11-06,240.224
2001-11-07,239.092
2001-11-08,241.877
2001-11-09,243.632
2001-11-12,245.374
2001-11-13,245.113
2001-11-14,247.005
2001-11-15,247.634
2001-11-16,249.523
2001-11-19,252.524
2001-11-20,251.936
2001-11-21,252.012
2001-11-22,253.121
2001-11-23,255.377
2001-11-26,258.228
2001-11-27,256.089
2001-11-28,251.783
2001-11-29,251.021
2001-11-30,252.489
2001-12-03,252.347
2001-12-04,256.557
2001-12-05,261.101
2001-12-06,261.559
2001-12-07,263.49
2001-12-10,264.581
2001-12-11,264.76
2001-12-12,264.782
2001-12-13,261.08
2001-12-14,260.959
2001-12-17,259.912
2001-12-18,258.284
2001-12-19,258.358
2001-12-20,259.955
2001-12-21,256.765
2001-12-24,257.573
2001-12-25,257.474
2001-12-26,257.471
2001-12-27,257.505
2001-12-28,257.719
2001-12-31,258.468
2002-01-01,258.419
2002-01-02,261.297
2002-01-03,261.717
2002-01-04,264.261
2002-01-07,268.585
2002-01-08,267.769
2002-01-09,265.397
2002-01-10,266.053
2002-01-11,266.254
2002-01-14,263.099
2002-01-15,261.136
2002-01-16,260.694
2002-01-17,261.59
2002-01-18,261.177
2002-01-21,260.346
2002-01-22,259.039
2002-01-23,257.701
2002-01-24,256.763
2002-01-25,258.348
2002-01-28,259.411
2002-01-29,262.481
2002-01-30,259.624
2002-01-31,260.333
2002-02-01,261.663
2002-02-04,261.458
2002-02-05,259.287
2002-02-06,260.824
2002-02-07,259.718
2002-02-08,261.196
2002-02-11,263.751
2002-02-12,263.804
2002-02-13,263.807
2002-02-14,263.807
2002-02-15,265.412
2002-02-18,266.736
2002-02-19,266.3
2002-02-20,268.388
2002-02-21,269.554
2002-02-22,269.359
2002-02-25,266.55
2002-02-26,266.731
2002-02-27,266.578
2002-02-28,264.851
2002-03-01,264.964
2002-03-04,266.8
