Date,UNITED KINGDOM IMI IMI (Large+Mid+Small Cap)
1994-05-31,203.628
1994-06-30,203.876
1994-07-29,214.806
1994-08-31,227.227
1994-09-30,218.188
1994-10-31,230.626
1994-11-30,220.697
1994-12-30,221.24
1995-01-31,219.248
1995-02-28,219.932
1995-03-31,237.011
1995-04-28,241.153
1995-05-31,246.963
1995-06-30,247.322
1995-07-31,262.016
1995-08-31,257.761
1995-09-29,267.747
1995-10-31,267.985
1995-11-30,268.895
1995-12-29,276.754
1996-01-31,275.985
1996-02-29,280.009
1996-03-29,282.708
1996-04-30,290.029
1996-05-31,296.496
1996-06-28,294.511
1996-07-31,293.144
1996-08-30,310.128
1996-09-30,316.927
1996-10-31,333.382
1996-11-29,350.324
1996-12-31,364.129
1997-01-31,354.11
1997-02-28,365.277
1997-03-31,370.088
1997-04-30,374.508
1997-05-30,391.024
1997-06-30,397.477
1997-07-31,410.966
1997-08-29,406.184
1997-09-30,437.078
1997-10-31,423.811
1997-11-28,426.577
1997-12-31,440.224
1998-01-30,459.445
1998-02-27,491.584
1998-03-31,521.171
1998-04-30,523.048
1998-05-29,513.354
1998-06-30,516.363
1998-07-31,505.565
1998-08-31,464.052
1998-09-30,453.59
1998-10-30,477.83
1998-11-30,495.594
1998-12-31,509.385
1999-01-29,508.522
1999-02-26,519.857
1999-03-31,539.218
1999-04-30,563.445
1999-05-31,535.579
1999-06-30,537.636
1999-07-30,549.164
1999-08-31,549.011
1999-09-30,541.104
1999-10-29,555.273
1999-11-30,574.478
1999-12-31,613.657
2000-01-31,570.179
2000-02-29,564.252
2000-03-31,593.536
2000-04-28,561.552
2000-05-31,539.863
2000-06-30,549.3
2000-07-31,549.263
2000-08-31,561.199
2000-09-29,539.303
2000-10-31,539.01
2000-11-30,505.333
2000-12-29,541.218
2001-01-31,536.722
2001-02-28,502.003
2001-03-30,470.48
2001-04-30,501.481
2001-05-31,488.443
2001-06-29,469.999
2001-07-31,466.781
2001-08-31,463.99
2001-09-28,426.21
2001-10-31,435.988
2001-11-30,446.003
2001-12-31,457.626
2002-01-31,438.497
2002-02-28,435.203
2002-03-29,456.98
2002-04-30,460.413
2002-05-31,455.862
2002-06-28,435.429
2002-07-31,406.346
2002-08-30,403.633
2002-09-30,362.014
2002-10-31,389.113
2002-11-29,400.483
2002-12-31,391.676
2003-01-31,363.674
2003-02-28,357.715
2003-03-31,357.067
2003-04-30,395.141
2003-05-30,422.249
2003-06-30,426.119
2003-07-31,430.261
2003-08-29,428.912
2003-09-30,444.167
2003-10-31,475.706
2003-11-28,488.652
2003-12-31,524.313
2004-01-30,527.137
2004-02-27,552.262
2004-03-31,539.626
2004-04-30,533.211
2004-05-31,544.395
2004-06-30,546.122
2004-07-30,539.495
2004-08-31,542.24
2004-09-30,560.421
2004-10-29,575.143
2004-11-30,613.079
2004-12-31,634.317
2005-01-31,631.441
2005-02-28,661.293
2005-03-31,643.387
2005-04-29,636.385
2005-05-31,630.786
2005-06-30,641.372
2005-07-29,652.133
2005-08-31,672.582
2005-09-30,683.746
2005-10-31,664.467
2005-11-30,669.737
2005-12-30,690.171
2006-01-31,733.922
2006-02-28,731.365
2006-03-31,751.358
2006-04-28,795.896
2006-05-31,780.743
2006-06-30,787.46
2006-07-31,805.076
2006-08-31,825.417
2006-09-29,822.998
2006-10-31,865.138
2006-11-30,889.088
2006-12-29,913.124
2007-01-31,910.466
2007-02-28,910.156
2007-03-30,941.029
2007-04-30,983.034
2007-05-31,1000.0
2007-06-29,1008.498
2007-07-31,985.72
2007-08-31,975.496
2007-09-28,1004.171
2007-10-31,1068.82
2007-11-30,1008.745
2007-12-31,979.185
2008-01-31,892.057
2008-02-29,898.841
2008-03-31,880.133
2008-04-30,932.933
2008-05-30,928.888
2008-06-30,870.157
2008-07-31,834.572
2008-08-29,808.216
2008-09-30,685.414
2008-10-31,549.877
2008-11-28,513.257
2008-12-31,498.643
2009-01-30,469.927
2009-02-27,433.492
2009-03-31,450.436
2009-04-30,511.455
2009-05-29,580.719
2009-06-30,574.531
2009-07-31,627.736
2009-08-31,665.268
2009-09-30,683.454
2009-10-30,691.385
2009-11-30,708.526
2009-12-31,727.056
2010-01-29,695.412
2010-02-26,683.014
