Date,UNITED KINGDOM IMI IMI (Large+Mid+Small Cap)
1994-05-31,203.75
1994-06-30,203.998
1994-07-29,214.935
1994-08-31,227.363
1994-09-30,218.318
1994-10-31,230.764
1994-11-30,220.83
1994-12-30,221.373
1995-01-31,219.38
1995-02-28,220.064
1995-03-31,237.153
1995-04-28,241.298
1995-05-31,247.111
1995-06-30,247.471
1995-07-31,262.173
1995-08-31,257.916
1995-09-29,267.907
1995-10-31,268.146
1995-11-30,269.056
1995-12-29,276.92
1996-01-31,276.15
1996-02-29,280.177
1996-03-29,282.877
1996-04-30,290.203
1996-05-31,296.674
1996-06-28,294.688
1996-07-31,293.32
1996-08-30,310.314
1996-09-30,317.117
1996-10-31,333.583
1996-11-29,350.535
1996-12-31,364.348
1997-01-31,354.322
1997-02-28,365.497
1997-03-31,370.31
1997-04-30,374.733
1997-05-30,391.259
1997-06-30,397.716
1997-07-31,411.212
1997-08-29,406.428
1997-09-30,437.341
1997-10-31,424.065
1997-11-28,426.834
1997-12-31,440.489
1998-01-30,459.721
1998-02-27,491.879
1998-03-31,521.484
1998-04-30,523.362
1998-05-29,513.662
1998-06-30,516.673
1998-07-31,505.868
1998-08-31,464.331
1998-09-30,453.862
1998-10-30,478.116
1998-11-30,495.891
1998-12-31,509.691
1999-01-29,508.827
1999-02-26,520.169
1999-03-31,539.542
1999-04-30,563.784
1999-05-31,535.9
1999-06-30,537.959
1999-07-30,549.493
1999-08-31,549.34
1999-09-30,541.429
1999-10-29,555.606
1999-11-30,574.823
1999-12-31,614.025
2000-01-31,570.521
2000-02-29,564.591
2000-03-31,593.892
2000-04-28,561.889
2000-05-31,540.187
2000-06-30,549.63
2000-07-31,549.592
2000-08-31,561.536
2000-09-29,539.627
2000-10-31,539.334
2000-11-30,505.636
2000-12-29,541.542
2001-01-31,537.044
2001-02-28,502.304
2001-03-30,470.762
2001-04-30,501.782
2001-05-31,488.736
2001-06-29,470.281
2001-07-31,467.061
2001-08-31,464.268
2001-09-28,426.466
2001-10-31,436.25
2001-11-30,446.271
2001-12-31,457.901
2002-01-31,438.761
2002-02-28,435.464
2002-03-29,457.254
2002-04-30,460.689
2002-05-31,456.135
2002-06-28,435.69
2002-07-31,406.59
2002-08-30,403.875
2002-09-30,362.231
2002-10-31,389.347
2002-11-29,400.723
2002-12-31,391.911
2003-01-31,363.893
2003-02-28,357.93
2003-03-31,357.281
2003-04-30,395.378
2003-05-30,422.503
2003-06-30,426.375
2003-07-31,430.519
2003-08-29,429.169
2003-09-30,444.433
2003-10-31,475.991
2003-11-28,488.945
2003-12-31,524.628
2004-01-30,527.453
2004-02-27,552.594
2004-03-31,539.95
2004-04-30,533.531
2004-05-31,544.721
2004-06-30,546.45
2004-07-30,539.818
2004-08-31,542.565
2004-09-30,560.757
2004-10-29,575.488
2004-11-30,613.447
2004-12-31,634.697
2005-01-31,631.82
2005-02-28,661.69
2005-03-31,643.773
2005-04-29,636.766
2005-05-31,631.165
2005-06-30,641.757
2005-07-29,652.524
2005-08-31,672.986
2005-09-30,684.156
2005-10-31,664.865
2005-11-30,670.068
2005-12-30,690.512
2006-01-31,734.286
2006-02-28,731.656
2006-03-31,751.657
2006-04-28,796.213
2006-05-31,780.978
2006-06-30,787.697
2006-07-31,805.318
2006-08-31,825.583
2006-09-29,823.163
2006-10-31,865.311
2006-11-30,889.183
2006-12-29,913.222
2007-01-31,910.564
2007-02-28,910.206
2007-03-30,941.081
2007-04-30,983.088
2007-05-31,1000.0
2007-06-29,1008.498
2007-07-31,985.72
2007-08-31,975.441
2007-09-28,1004.114
2007-10-31,1068.703
2007-11-30,1008.635
2007-12-31,979.078
