Date,UNITED KINGDOM IMI IMI (Large+Mid+Small Cap)
2001-01-01,541.57
2001-01-02,538.667
2001-01-03,531.025
2001-01-04,538.618
2001-01-05,540.553
2001-01-08,537.958
2001-01-09,531.022
2001-01-10,528.985
2001-01-11,533.918
2001-01-12,532.807
2001-01-15,533.647
2001-01-16,523.916
2001-01-17,533.41
2001-01-18,535.441
2001-01-19,533.401
2001-01-22,532.293
2001-01-23,534.519
2001-01-24,533.676
2001-01-25,533.664
2001-01-26,535.272
2001-01-29,537.105
2001-01-30,539.494
2001-01-31,537.044
2001-02-01,539.946
2001-02-02,536.244
2001-02-05,539.756
2001-02-06,536.335
2001-02-07,532.035
2001-02-08,525.121
2001-02-09,522.277
2001-02-12,529.706
2001-02-13,528.385
2001-02-14,527.358
2001-02-15,524.941
2001-02-16,517.312
2001-02-19,515.462
2001-02-20,506.832
2001-02-21,506.676
2001-02-22,508.951
2001-02-23,505.418
2001-02-26,500.984
2001-02-27,503.33
2001-02-28,502.304
2001-03-01,505.41
2001-03-02,508.228
2001-03-05,511.66
2001-03-06,517.441
2001-03-07,515.217
2001-03-08,517.414
2001-03-09,510.579
2001-03-12,502.203
2001-03-13,488.3
2001-03-14,479.913
2001-03-15,486.714
2001-03-16,469.865
2001-03-19,467.303
2001-03-20,474.758
2001-03-21,466.509
2001-03-22,445.604
2001-03-23,454.709
2001-03-26,468.967
2001-03-27,481.511
2001-03-28,472.846
2001-03-29,471.93
2001-03-30,470.762
2001-04-02,469.753
2001-04-03,459.782
2001-04-04,466.479
2001-04-05,471.781
2001-04-06,473.688
2001-04-09,481.466
2001-04-10,488.18
2001-04-11,485.872
2001-04-12,486.725
2001-04-13,486.701
2001-04-16,484.679
2001-04-17,483.621
2001-04-18,490.459
2001-04-19,494.779
2001-04-20,497.677
2001-04-23,496.402
2001-04-24,493.033
2001-04-25,493.406
2001-04-26,496.723
2001-04-27,501.821
2001-04-30,501.782
2001-05-01,499.515
2001-05-02,498.78
2001-05-03,488.823
2001-05-04,498.003
2001-05-07,498.966
2001-05-08,498.104
2001-05-09,494.825
2001-05-10,500.421
2001-05-11,494.568
2001-05-14,479.358
2001-05-15,490.891
2001-05-16,496.216
2001-05-17,498.504
2001-05-18,499.904
2001-05-21,504.221
2001-05-22,504.493
2001-05-23,497.617
2001-05-24,493.591
2001-05-25,495.386
2001-05-28,495.273
2001-05-29,492.776
2001-05-30,489.651
2001-05-31,488.736
2001-06-01,488.083
2001-06-04,491.389
2001-06-05,494.747
2001-06-06,488.142
2001-06-07,489.93
2001-06-08,487.091
2001-06-11,477.989
2001-06-12,475.538
2001-06-13,479.369
2001-06-14,478.349
2001-06-15,476.662
2001-06-18,473.153
2001-06-19,473.19
2001-06-20,471.678
2001-06-21,473.984
2001-06-22,474.392
2001-06-25,474.83
2001-06-26,467.17
2001-06-27,469.927
2001-06-28,470.45
2001-06-29,470.281
2001-07-02,478.507
2001-07-03,470.583
2001-07-04,467.119
2001-07-05,460.73
2001-07-06,457.264
2001-07-09,457.565
2001-07-10,458.265
2001-07-11,453.547
2001-07-12,457.583
2001-07-13,459.572
2001-07-16,457.849
2001-07-17,451.332
2001-07-18,454.568
2001-07-19,457.481
2001-07-20,457.622
2001-07-23,455.985
2001-07-24,449.48
2001-07-25,448.128
2001-07-26,448.925
2001-07-27,456.38
2001-07-30,460.419
2001-07-31,467.061
2001-08-01,471.471
2001-08-02,474.876
2001-08-03,471.381
2001-08-06,466.28
2001-08-07,466.387
2001-08-08,460.88
