Date,HONG KONG Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,105.587
1970-02-27,113.115
1970-03-31,117.773
1970-04-30,118.334
1970-05-29,115.137
1970-06-30,120.788
1970-07-31,129.612
1970-08-31,135.158
1970-09-30,132.97
1970-10-30,129.165
1970-11-30,135.149
1970-12-31,145.362
1971-01-29,152.572
1971-02-26,145.231
1971-03-31,146.23
1971-04-30,157.685
1971-05-31,170.784
1971-06-30,207.468
1971-07-30,205.337
1971-08-31,243.702
1971-09-30,257.99
1971-10-29,251.268
1971-11-30,191.517
1971-12-31,234.68
1972-01-31,232.448
1972-02-29,241.072
1972-03-31,253.053
1972-04-28,283.063
1972-05-31,308.303
1972-06-30,324.697
1972-07-31,353.671
1972-08-31,325.922
1972-09-29,355.849
1972-10-31,457.128
1972-11-30,481.407
1972-12-29,616.171
1973-01-31,720.907
1973-02-28,1354.275
1973-03-30,1069.798
1973-04-30,618.827
1973-05-31,631.768
1973-06-29,536.04
1973-07-31,593.188
1973-08-31,509.086
1973-09-28,457.153
1973-10-31,527.766
1973-11-30,447.96
1973-12-31,375.096
1974-01-31,396.302
1974-02-28,337.266
1974-03-29,298.827
1974-04-30,268.995
1974-05-31,355.05
1974-06-28,354.567
1974-07-31,298.679
1974-08-30,231.594
1974-09-30,189.977
1974-10-31,203.043
1974-11-29,162.309
1974-12-31,162.127
1975-01-31,218.312
1975-02-28,250.029
1975-03-31,264.567
1975-04-30,299.358
1975-05-30,297.46
1975-06-30,298.734
1975-07-31,280.037
1975-08-29,274.677
1975-09-30,282.299
1975-10-31,289.599
1975-11-28,308.41
1975-12-31,342.399
1976-01-30,411.179
1976-02-27,440.02
1976-03-31,459.787
1976-04-30,429.894
1976-05-31,408.342
1976-06-30,420.533
1976-07-30,411.298
1976-08-31,423.216
1976-09-30,420.364
1976-10-29,401.431
1976-11-30,422.206
1976-12-31,482.315
1977-01-31,466.99
1977-02-28,457.792
1977-03-31,444.98
1977-04-29,469.515
1977-05-31,456.781
1977-06-30,461.306
1977-07-29,440.803
1977-08-31,451.911
1977-09-30,439.302
1977-10-31,436.273
1977-11-30,439.579
1977-12-30,427.98
1978-01-31,430.065
1978-02-28,436.565
1978-03-31,478.296
1978-04-28,480.457
1978-05-31,489.497
1978-06-30,595.585
1978-07-31,626.036
1978-08-31,733.138
1978-09-29,685.257
1978-10-31,719.078
1978-11-30,514.673
1978-12-29,507.41
1979-01-31,567.495
1979-02-28,544.374
1979-03-30,542.832
1979-04-30,540.958
1979-05-31,560.921
1979-06-29,535.84
1979-07-31,598.544
1979-08-31,589.661
1979-09-28,709.105
1979-10-31,702.733
1979-11-30,795.435
1979-12-31,933.247
1980-01-31,980.542
1980-02-29,976.691
1980-03-31,805.003
1980-04-30,928.112
1980-05-30,959.125
1980-06-30,1131.437
1980-07-31,1256.851
1980-08-29,1338.06
1980-09-30,1316.483
1980-10-31,1636.95
1980-11-28,1563.273
1980-12-31,1611.895
1981-01-30,1684.343
1981-02-27,1561.48
1981-03-31,1433.263
1981-04-30,1483.54
1981-05-29,1737.541
1981-06-30,1769.993
1981-07-31,1663.066
1981-08-31,1565.167
1981-09-30,1136.3
1981-10-30,1194.687
1981-11-30,1406.874
1981-12-31,1353.379
1982-01-29,1338.441
1982-02-26,1172.797
1982-03-31,1092.957
1982-04-30,1283.493
1982-05-31,1402.994
1982-06-30,1230.98
