Date,HONG KONG Standard (Large+Mid Cap)
1969-12-31,100.0
1970-01-30,105.523
1970-02-27,112.983
1970-03-31,117.566
1970-04-30,118.056
1970-05-29,114.798
1970-06-30,120.36
1970-07-31,129.081
1970-08-31,134.533
1970-09-30,132.281
1970-10-30,128.423
1970-11-30,134.273
1970-12-31,144.339
1971-01-29,151.418
1971-02-26,144.052
1971-03-31,144.963
1971-04-30,156.238
1971-05-31,169.136
1971-06-30,205.388
1971-07-30,203.202
1971-08-31,241.088
1971-09-30,255.143
1971-10-29,248.419
1971-11-30,189.268
1971-12-31,231.847
1972-01-31,229.565
1972-02-29,238.003
1972-03-31,249.745
1972-04-28,279.276
1972-05-31,304.09
1972-06-30,320.176
1972-07-31,348.866
1972-08-31,321.227
1972-09-29,350.636
1972-10-31,450.346
1972-11-30,474.179
1972-12-29,606.81
1973-01-31,709.849
1973-02-28,1333.303
1973-03-30,1053.116
1973-04-30,609.044
1973-05-31,621.656
1973-06-29,527.338
1973-07-31,583.43
1973-08-31,500.582
1973-09-28,449.382
1973-10-31,518.665
1973-11-30,440.09
1973-12-31,368.367
1974-01-31,389.049
1974-02-28,330.955
1974-03-29,293.083
1974-04-30,263.732
1974-05-31,347.944
1974-06-28,347.311
1974-07-31,292.392
1974-08-30,226.543
1974-09-30,185.655
1974-10-31,198.246
1974-11-29,158.29
1974-12-31,157.926
1975-01-31,212.458
1975-02-28,243.092
1975-03-31,257.066
1975-04-30,290.72
1975-05-30,288.724
1975-06-30,289.808
1975-07-31,271.563
1975-08-29,266.217
1975-09-30,273.46
1975-10-31,280.383
1975-11-28,298.438
1975-12-31,331.176
1976-01-30,397.551
1976-02-27,425.275
1976-03-31,444.211
1976-04-30,415.161
1976-05-31,394.17
1976-06-30,405.768
1976-07-30,396.684
1976-08-31,408.007
1976-09-30,405.071
1976-10-29,386.634
1976-11-30,406.445
1976-12-31,464.107
1977-01-31,449.155
1977-02-28,440.096
1977-03-31,427.567
1977-04-29,450.921
1977-05-31,438.473
1977-06-30,442.601
1977-07-29,422.706
1977-08-31,433.129
1977-09-30,420.813
1977-10-31,417.683
1977-11-30,420.617
1977-12-30,409.286
1978-01-31,411.038
1978-02-28,417.002
1978-03-31,456.594
1978-04-28,458.383
1978-05-31,466.733
1978-06-30,567.609
1978-07-31,596.356
1978-08-31,698.102
1978-09-29,652.217
1978-10-31,684.121
1978-11-30,489.365
1978-12-29,482.166
1979-01-31,538.966
1979-02-28,516.704
1979-03-30,514.937
1979-04-30,512.827
1979-05-31,531.418
1979-06-29,507.328
1979-07-31,566.373
1979-08-31,557.634
1979-09-28,670.236
1979-10-31,663.863
1979-11-30,751.071
1979-12-31,880.828
1980-01-31,925.088
1980-02-29,921.069
1980-03-31,758.757
1980-04-30,874.358
1980-05-30,903.133
1980-06-30,1064.961
1980-07-31,1182.57
1980-08-29,1258.54
1980-09-30,1237.776
1980-10-31,1538.607
1980-11-28,1468.858
1980-12-31,1514.044
1981-01-30,1581.636
1981-02-27,1465.811
1981-03-31,1344.939
1981-04-30,1391.59
1981-05-29,1629.295
1981-06-30,1659.179
1981-07-31,1558.433
1981-08-31,1464.937
1981-09-30,1062.983
1981-10-30,1117.023
1981-11-30,1314.813
1981-12-31,1264.213
1982-01-29,1250.259
1982-02-26,1095.528
1982-03-31,1020.948
1982-04-30,1198.931
1982-05-31,1310.559
1982-06-30,1149.878
1982-07-30,1070.972
1982-08-31,933.526
1982-09-30,807.964
1982-10-29,638.062
1982-11-30,605.636
1982-12-31,702.501
1983-01-31,783.965
1983-02-28,897.315
1983-03-31,857.549
1983-04-29,856.059
1983-05-31,747.46
1983-06-30,792.53
1983-07-29,868.165
1983-08-31,751.563
1983-09-30,551.578
1983-10-31,664.816
1983-11-30,658.121
1983-12-30,682.511
1984-01-31,869.158
1984-02-29,837.104
1984-03-30,805.956
1984-04-30,824.291
1984-05-31,742.076
1984-06-29,730.946
1984-07-31,653.235
1984-08-31,766.761
1984-09-28,830.628
1984-10-31,842.177
1984-11-30,936.542
1984-12-31,1003.233
1985-01-31,1152.216
1985-02-28,1160.534
1985-03-29,1161.645
1985-04-30,1281.257
1985-05-31,1353.259
1985-06-28,1339.972
1985-07-31,1436.055
1985-08-30,1409.557
1985-09-30,1303.751
1985-10-31,1433.709
1985-11-29,1482.441
1985-12-31,1521.789
1986-01-31,1488.26
1986-02-28,1501.086
1986-03-31,1453.551
1986-04-30,1646.631
1986-05-30,1608.272
1986-06-30,1567.312
1986-07-31,1690.89
1986-08-29,1753.245
1986-09-30,1897.993
1986-10-31,2138.88
1986-11-28,2218.417
1986-12-31,2375.635
1987-01-30,2397.135
1987-02-27,2725.795
1987-03-31,2595.504
1987-04-30,2509.333
1987-05-29,2818.397
1987-06-30,3081.599
1987-07-31,3381.581
1987-08-31,3532.225
1987-09-30,3814.36
1987-10-30,2157.486
1987-11-30,2094.132
1987-12-31,2278.1
1988-01-29,2344.931
1988-02-29,2395.605
1988-03-31,2539.961
1988-04-29,2602.46
1988-05-31,2531.817
1988-06-30,2739.275
1988-07-29,2782.667
1988-08-31,2556.544
1988-09-30,2578.063
1988-10-31,2778.809
1988-11-30,2869.536
1988-12-30,2918.691
1989-01-31,3329.269
1989-02-28,3300.247
1989-03-31,3307.792
1989-04-28,3458.456
1989-05-31,3064.914
1989-06-30,2513.216
1989-07-31,2851.345
1989-08-31,2763.44
1989-09-29,3107.53
1989-10-31,3087.669
1989-11-30,3115.533
1989-12-29,3163.569
1990-01-31,3068.49
1990-02-28,3317.357
1990-03-30,3393.149
1990-04-30,3369.352
1990-05-31,3625.663
1990-06-29,3779.983
1990-07-31,3981.883
1990-08-31,3532.548
1990-09-28,3144.089
1990-10-31,3420.222
1990-11-30,3412.63
1990-12-31,3453.811
1991-01-31,3717.364
1991-02-28,4093.541
1991-03-29,4346.551
1991-04-30,4233.35
1991-05-31,4417.294
1991-06-28,4404.261
1991-07-31,4820.626
1991-08-30,4827.616
1991-09-30,4763.02
1991-10-31,4839.004
1991-11-29,4980.286
1991-12-31,5164.178
1992-01-31,5644.313
1992-02-28,6109.986
1992-03-31,6112.923
1992-04-30,6597.105
1992-05-29,7556.184
1992-06-30,7662.887
1992-07-31,7318.603
1992-08-31,6991.373
1992-09-30,6942.835
1992-10-30,7824.082
1992-11-30,7237.927
1992-12-31,6831.439
1993-01-29,7123.269
1993-02-26,7856.734
1993-03-31,7883.543
1993-04-30,8486.436
1993-05-31,9217.533
1993-06-30,8889.83
1993-07-30,8725.309
1993-08-31,9361.348
1993-09-30,9556.777
1993-10-29,11777.211
1993-11-30,11611.26
1993-12-31,14803.508
1994-01-31,14248.961
1994-02-28,12757.049
1994-03-31,11383.062
1994-04-29,11431.096
1994-05-31,12221.517
1994-06-30,11231.049
1994-07-29,12127.589
1994-08-31,12815.379
1994-09-30,12269.838
1994-10-31,12362.355
1994-11-30,10860.844
1994-12-30,10525.347
1995-01-31,9288.477
1995-02-28,10713.015
1995-03-31,10986.928
1995-04-28,10676.925
1995-05-31,12083.073
1995-06-30,11888.439
1995-07-31,12129.591
1995-08-31,11728.629
1995-09-29,12430.729
1995-10-31,12457.586
1995-11-30,12491.768
1995-12-29,12900.569
1996-01-31,14563.338
1996-02-29,14400.972
1996-03-29,14414.343
1996-04-30,14447.636
1996-05-31,14881.295
1996-06-28,14536.344
1996-07-31,13874.534
1996-08-30,14328.768
1996-09-30,15306.613
1996-10-31,15950.526
1996-11-29,17256.921
1996-12-31,17167.582
1997-01-31,16798.769
1997-02-28,16771.404
1997-03-31,15659.168
1997-04-30,15915.297
1997-05-30,17926.107
1997-06-30,18843.92
1997-07-31,20021.347
1997-08-29,17396.883
1997-09-30,18498.782
1997-10-31,13159.243
1997-11-28,12983.379
1997-12-31,13169.925
1998-01-30,11335.386
1998-02-27,13580.58
1998-03-31,13299.261
1998-04-30,11892.969
1998-05-29,10270.37
1998-06-30,9726.115
1998-07-31,9005.398
1998-08-31,8403.563
1998-09-30,9784.099
1998-10-30,13035.074
1998-11-30,13013.186
1998-12-31,12785.984
1999-01-29,11935.022
1999-02-26,12053.906
1999-03-31,13635.319
1999-04-30,16676.437
1999-05-31,15340.844
1999-06-30,16808.183
1999-07-30,16267.436
1999-08-31,16416.499
1999-09-30,15760.29
1999-10-29,16585.771
1999-11-30,18739.106
1999-12-31,20396.633
2000-01-31,18847.3
2000-02-29,19955.182
2000-03-31,20492.006
2000-04-28,18574.131
2000-05-31,16454.547
2000-06-30,17734.488
2000-07-31,18938.764
2000-08-31,19110.581
2000-09-29,17548.011
2000-10-31,16373.125
2000-11-30,15799.226
2000-12-29,17389.815
2001-01-31,17896.762
2001-02-28,17487.909
2001-03-30,15645.684
2001-04-30,15640.878
2001-05-31,15463.859
2001-06-29,14637.044
2001-07-31,14605.574
2001-08-31,13600.921
2001-09-28,11501.02
2001-10-31,11900.493
2001-11-30,13466.647
2001-12-31,14152.904
2002-01-31,13901.91
2002-02-28,13361.321
2002-03-29,14171.528
2002-04-30,14975.638
2002-05-31,14361.395
2002-06-28,13492.75
2002-07-31,12936.709
2002-08-30,12304.72
2002-09-30,11426.862
2002-10-31,11838.156
2002-11-29,12578.779
2002-12-31,11635.64
2003-01-31,11701.624
2003-02-28,11559.834
2003-03-31,10961.895
2003-04-30,10946.931
2003-05-30,11880.183
2003-06-30,12040.072
2003-07-31,12806.182
2003-08-29,14380.308
2003-09-30,15185.157
2003-10-31,15836.713
2003-11-28,15750.787
2003-12-31,16069.006
2004-01-30,17635.267
2004-02-27,18205.495
2004-03-31,17117.498
2004-04-30,16286.97
2004-05-31,16349.603
2004-06-30,16346.536
2004-07-30,16567.083
2004-08-31,17744.715
2004-09-30,18050.283
2004-10-29,17989.087
2004-11-30,19627.084
2004-12-31,20082.439
2005-01-31,19249.442
2005-02-28,19893.247
2005-03-31,19235.75
2005-04-29,20049.115
2005-05-31,20078.883
2005-06-30,20789.966
2005-07-29,21982.713
2005-08-31,21752.837
2005-09-30,22439.354
2005-10-31,20977.105
2005-11-30,21563.463
2005-12-30,21769.486
2006-01-31,22955.021
2006-02-28,22995.957
2006-03-31,23313.732
2006-04-28,24622.79
2006-05-31,23236.106
2006-06-30,23298.29
2006-07-31,23703.093
2006-08-31,24541.801
2006-09-29,24775.213
2006-10-31,25239.075
2006-11-30,26694.004
2006-12-29,28376.695
2007-01-31,28831.297
2007-02-28,28089.858
2007-03-30,28528.348
2007-04-30,29187.815
2007-05-31,29752.714
2007-06-29,30174.697
2007-07-31,32281.339
2007-08-31,32436.286
2007-09-28,37399.157
2007-10-31,41504.526
2007-11-30,39994.283
2007-12-31,40068.867
2008-01-31,35401.894
2008-02-29,34613.001
2008-03-31,32499.195
