Date,HONG KONG Standard (Large+Mid Cap)
2001-01-01,17389.815
2001-01-02,17134.833
2001-01-03,16772.265
2001-01-04,17563.066
2001-01-05,17783.563
2001-01-08,17588.399
2001-01-09,17588.492
2001-01-10,17535.097
2001-01-11,17131.49
2001-01-12,17348.989
2001-01-15,17197.102
2001-01-16,17211.444
2001-01-17,17157.384
2001-01-18,17415.528
2001-01-19,18056.092
2001-01-22,18309.705
2001-01-23,18103.83
2001-01-24,18103.946
2001-01-25,18104.062
2001-01-26,18103.83
2001-01-29,17911.849
2001-01-30,17603.006
2001-01-31,17896.762
2001-02-01,18087.719
2001-02-02,17903.43
2001-02-05,17632.813
2001-02-06,17627.376
2001-02-07,17763.448
2001-02-08,17562.154
2001-02-09,17568.822
2001-02-12,17440.866
2001-02-13,17671.8
2001-02-14,17723.799
2001-02-15,17551.897
2001-02-16,17494.015
2001-02-19,17558.033
2001-02-20,17549.982
2001-02-21,17537.514
2001-02-22,17391.232
2001-02-23,17494.853
2001-02-26,17587.791
2001-02-27,17436.974
2001-02-28,17487.909
2001-03-01,17044.785
2001-03-02,16969.773
2001-03-05,17123.121
2001-03-06,17416.223
2001-03-07,17287.987
2001-03-08,17207.077
2001-03-09,17100.502
2001-03-12,16483.592
2001-03-13,16117.298
2001-03-14,15996.372
2001-03-15,16345.56
2001-03-16,16240.54
2001-03-19,16421.096
2001-03-20,16108.032
2001-03-21,15837.755
2001-03-22,15308.312
2001-03-23,15551.426
2001-03-26,15886.957
2001-03-27,15706.873
2001-03-28,15730.635
2001-03-29,15544.305
2001-03-30,15645.684
2001-04-02,15609.716
2001-04-03,15523.418
2001-04-04,15047.212
2001-04-05,15046.923
2001-04-06,15121.765
2001-04-09,14793.038
2001-04-10,14687.072
2001-04-11,15156.201
2001-04-12,15477.179
2001-04-13,15477.179
2001-04-16,15476.683
2001-04-17,15161.634
2001-04-18,15488.838
2001-04-19,16084.372
2001-04-20,16001.503
2001-04-23,15854.817
2001-04-24,15730.081
2001-04-25,15597.249
2001-04-26,15586.253
2001-04-27,15640.477
2001-04-30,15640.878
2001-05-01,15641.079
2001-05-02,15900.833
2001-05-03,15910.306
2001-05-04,15631.224
2001-05-07,15860.028
2001-05-08,15856.965
2001-05-09,15850.013
2001-05-10,15953.083
2001-05-11,16048.865
2001-05-14,15680.191
2001-05-15,15751.622
2001-05-16,15888.332
2001-05-17,16067.978
2001-05-18,15838.674
2001-05-21,16066.564
2001-05-22,16219.283
2001-05-23,16227.982
2001-05-24,16101.114
2001-05-25,15980.058
2001-05-28,15981.342
2001-05-29,15917.394
2001-05-30,15742.5
2001-05-31,15463.859
2001-06-01,15447.409
2001-06-04,15582.024
2001-06-05,15835.967
2001-06-06,15916.91
2001-06-07,16026.933
2001-06-08,16054.275
2001-06-11,15790.112
2001-06-12,15582.825
2001-06-13,15452.778
2001-06-14,15134.663
2001-06-15,14891.515
2001-06-18,14899.654
2001-06-19,15023.22
2001-06-20,14818.775
2001-06-21,14925.311
2001-06-22,14766.207
2001-06-25,14766.396
2001-06-26,14620.256
2001-06-27,14620.951
2001-06-28,14465.733
2001-06-29,14637.044
2001-07-02,14637.326
2001-07-03,14729.973
2001-07-04,14960.216
2001-07-05,14772.44
2001-07-06,14772.25
2001-07-09,14432.629
2001-07-10,14594.512
2001-07-11,14565.733
2001-07-12,14673.062
2001-07-13,14593.355
2001-07-16,14616.161
2001-07-17,14578.434
2001-07-18,14591.04
2001-07-19,14482.812
2001-07-20,14547.9
2001-07-23,14527.091
2001-07-24,14350.082
2001-07-25,14349.806
2001-07-26,14140.317
2001-07-27,14261.979
2001-07-30,14200.32
2001-07-31,14605.574
2001-08-01,14755.158
2001-08-02,14637.737
2001-08-03,14385.986
2001-08-06,14289.937
2001-08-07,14161.963
2001-08-08,13952.312
2001-08-09,13608.545
2001-08-10,13775.606
2001-08-13,13577.65
2001-08-14,13826.471
2001-08-15,13914.192
2001-08-16,13866.156
2001-08-17,14069.617
2001-08-20,13922.948
2001-08-21,13773.745
2001-08-22,13737.614
2001-08-23,13860.675
2001-08-24,13778.604
2001-08-27,13896.683
2001-08-28,13841.762
2001-08-29,13804.186
2001-08-30,13784.675
2001-08-31,13600.921
2001-09-03,13576.491
2001-09-04,13658.067
2001-09-05,13487.818
2001-09-06,13086.932
2001-09-07,12747.831
2001-09-10,12740.87
2001-09-11,12782.256
2001-09-12,11605.04
2001-09-13,11781.433
2001-09-14,11692.345
2001-09-17,11192.797
2001-09-18,11020.254
2001-09-19,11217.554
2001-09-20,10952.772
2001-09-21,10503.054
2001-09-24,10786.04
2001-09-25,10925.67
2001-09-26,10898.427
2001-09-27,11305.915
2001-09-28,11501.02
2001-10-01,11502.273
2001-10-02,11501.904
2001-10-03,11579.11
2001-10-04,11964.829
2001-10-05,12108.292
2001-10-08,11795.236
2001-10-09,12206.516
2001-10-10,12118.715
2001-10-11,12278.165
2001-10-12,12012.847
2001-10-15,11970.735
2001-10-16,11961.476
2001-10-17,12262.176
2001-10-18,11858.415
2001-10-19,11759.255
2001-10-22,11776.127
2001-10-23,12079.676
2001-10-24,12048.873
2001-10-25,12049.027
2001-10-26,12235.717
2001-10-29,11929.01
2001-10-30,11841.578
2001-10-31,11900.493
2001-11-01,11918.766
2001-11-02,11902.985
2001-11-05,12197.374
2001-11-06,12115.999
2001-11-07,12002.874
2001-11-08,12383.416
2001-11-09,12582.395
2001-11-12,12600.92
2001-11-13,12632.38
2001-11-14,13020.467
2001-11-15,13346.74
2001-11-16,13412.03
2001-11-19,13459.59
2001-11-20,13399.383
2001-11-21,13364.206
2001-11-22,13337.256
2001-11-23,13410.17
2001-11-26,13524.572
2001-11-27,13374.163
2001-11-28,13120.16
2001-11-29,13240.054
2001-11-30,13466.647
2001-12-03,13415.952
2001-12-04,13787.863
2001-12-05,14223.678
2001-12-06,14171.246
2001-12-07,14346.503
2001-12-10,14365.028
2001-12-11,14180.936
2001-12-12,14364.995
2001-12-13,14045.4
2001-12-14,13987.387
2001-12-17,13997.401
2001-12-18,14047.834
2001-12-19,14216.977
2001-12-20,14307.804
2001-12-21,13836.423
2001-12-24,13881.9
2001-12-25,13881.9
2001-12-26,13881.722
2001-12-27,14061.42
2001-12-28,14142.498
2001-12-31,14152.904
2002-01-01,14152.904
2002-01-02,14132.957
2002-01-03,14173.522
2002-01-04,14504.269
2002-01-07,14849.153
2002-01-08,14788.447
2002-01-09,14632.018
2002-01-10,14503.058
2002-01-11,14307.572
2002-01-14,14345.089
2002-01-15,14160.449
2002-01-16,14070.532
2002-01-17,14146.17
2002-01-18,14070.679
2002-01-21,14241.769
2002-01-22,14051.326
2002-01-23,14013.917
2002-01-24,13973.878
2002-01-25,14042.864
2002-01-28,14060.068
2002-01-29,14285.061
2002-01-30,13951.924
2002-01-31,13901.91
2002-02-01,13746.129
2002-02-04,13832.628
2002-02-05,13687.563
2002-02-06,13726.626
2002-02-07,13536.743
2002-02-08,13599.797
2002-02-11,13958.985
2002-02-12,13958.806
2002-02-13,13958.985
2002-02-14,13958.985
2002-02-15,14042.274
2002-02-18,14150.201
2002-02-19,13884.003
2002-02-20,13925.891
2002-02-21,13972.654
2002-02-22,13775.444
2002-02-25,13520.902
2002-02-26,13449.977
2002-02-27,13566.289
2002-02-28,13361.321
2002-03-01,13328.553
2002-03-04,13678.721
2002-03-05,14029.862
2002-03-06,13979.819
2002-03-07,14153.247
2002-03-08,14186.999
2002-03-11,14277.75
2002-03-12,14240.013
2002-03-13,14190.105
2002-03-14,14236.597
2002-03-15,14205.593
2002-03-18,14234.362
2002-03-19,14226.941
2002-03-20,14101.038
2002-03-21,13847.893
2002-03-22,13895.206
2002-03-25,13938.828
2002-03-26,13881.849
2002-03-27,14148.264
2002-03-28,14171.528
2002-03-29,14171.528
2002-04-01,14171.709
2002-04-02,13911.721
2002-04-03,13845.835
2002-04-04,13877.121
2002-04-05,13877.121
2002-04-08,13749.924
2002-04-09,13742.798
2002-04-10,13634.609
2002-04-11,13786.008
2002-04-12,13788.106
