Date,ACWI SMALL GROWTH Small Cap
2001-01-01,491.299
2001-01-02,477.595
2001-01-03,486.815
2001-01-04,484.051
2001-01-05,475.241
2001-01-08,470.309
2001-01-09,469.088
2001-01-10,474.22
2001-01-11,482.407
2001-01-12,487.74
2001-01-15,487.78
2001-01-16,491.319
2001-01-17,495.133
2001-01-18,500.771
2001-01-19,501.32
2001-01-22,501.415
2001-01-23,507.778
2001-01-24,507.805
2001-01-25,506.081
2001-01-26,504.168
2001-01-29,509.645
2001-01-30,513.527
2001-01-31,515.023
2001-02-01,515.858
2001-02-02,509.589
2001-02-05,506.401
2001-02-06,508.763
2001-02-07,505.1
2001-02-08,500.976
2001-02-09,496.698
2001-02-12,499.871
2001-02-13,497.577
2001-02-14,496.673
2001-02-15,499.983
2001-02-16,493.773
2001-02-19,492.459
2001-02-20,486.006
2001-02-21,477.518
2001-02-22,471.067
2001-02-23,470.28
2001-02-26,477.912
2001-02-27,473.262
2001-02-28,467.152
2001-03-01,464.23
2001-03-02,463.725
2001-03-05,462.519
2001-03-06,469.667
2001-03-07,471.522
2001-03-08,469.393
2001-03-09,462.862
2001-03-12,447.605
2001-03-13,443.465
2001-03-14,435.517
2001-03-15,433.8
2001-03-16,424.921
2001-03-19,427.981
2001-03-20,426.479
2001-03-21,419.962
2001-03-22,412.104
2001-03-23,422.948
2001-03-26,429.435
2001-03-27,432.948
2001-03-28,426.625
2001-03-29,421.713
2001-03-30,424.421
2001-04-02,415.642
2001-04-03,404.749
2001-04-04,403.983
2001-04-05,417.107
2001-04-06,413.828
2001-04-09,415.165
2001-04-10,422.157
2001-04-11,423.703
2001-04-12,430.524
2001-04-13,430.795
2001-04-16,427.245
2001-04-17,428.329
2001-04-18,441.138
2001-04-19,449.749
2001-04-20,448.523
2001-04-23,443.439
2001-04-24,442.927
2001-04-25,448.502
2001-04-26,453.366
2001-04-27,455.268
2001-04-30,458.903
2001-05-01,464.351
2001-05-02,468.323
2001-05-03,464.958
2001-05-04,467.89
2001-05-07,467.215
2001-05-08,466.306
2001-05-09,464.622
2001-05-10,464.911
2001-05-11,462.486
2001-05-14,459.27
2001-05-15,461.364
2001-05-16,465.7
2001-05-17,473.305
2001-05-18,474.169
2001-05-21,482.043
2001-05-22,483.273
2001-05-23,478.702
2001-05-24,479.32
2001-05-25,478.768
2001-05-28,478.393
2001-05-29,472.971
2001-05-30,464.425
2001-05-31,465.183
2001-06-01,467.116
2001-06-04,468.926
2001-06-05,473.216
2001-06-06,471.197
2001-06-07,473.654
2001-06-08,472.553
2001-06-11,467.044
2001-06-12,464.045
2001-06-13,464.388
2001-06-14,457.515
2001-06-15,454.045
2001-06-18,448.137
2001-06-19,445.496
2001-06-20,444.768
2001-06-21,446.193
2001-06-22,444.141
2001-06-25,444.108
2001-06-26,444.752
2001-06-27,445.682
