Date,ACWI SMALL GROWTH Small Cap
1994-05-31,348.994
1994-06-30,352.872
1994-07-29,354.282
1994-08-31,364.917
1994-09-30,359.592
1994-10-31,365.563
1994-11-30,344.28
1994-12-30,349.886
1995-01-31,338.241
1995-02-28,338.394
1995-03-31,351.069
1995-04-28,355.563
1995-05-31,351.671
1995-06-30,357.942
1995-07-31,380.685
1995-08-31,377.428
1995-09-29,381.9
1995-10-31,368.291
1995-11-30,375.764
1995-12-29,387.258
1996-01-31,387.9
1996-02-29,396.98
1996-03-29,406.956
1996-04-30,434.23
1996-05-31,439.801
1996-06-28,429.362
1996-07-31,396.665
1996-08-30,406.558
1996-09-30,414.289
1996-10-31,404.407
1996-11-29,408.388
1996-12-31,403.59
1997-01-31,403.044
1997-02-28,392.979
1997-03-31,375.641
1997-04-30,368.261
1997-05-30,406.983
1997-06-30,421.613
1997-07-31,426.894
1997-08-29,423.524
1997-09-30,439.966
1997-10-31,416.395
1997-11-28,398.182
1997-12-31,389.306
1998-01-30,395.493
1998-02-27,428.175
1998-03-31,447.204
1998-04-30,452.827
1998-05-29,436.598
1998-06-30,430.123
1998-07-31,413.548
1998-08-31,337.765
1998-09-30,344.741
1998-10-30,364.097
1998-11-30,388.032
1998-12-31,408.841
1999-01-29,419.143
1999-02-26,399.979
1999-03-31,417.803
1999-04-30,446.267
1999-05-31,441.384
1999-06-30,475.021
1999-07-30,481.724
1999-08-31,488.358
1999-09-30,498.967
1999-10-29,511.161
1999-11-30,548.525
1999-12-31,603.904
2000-01-31,609.359
2000-02-29,693.74
2000-03-31,674.332
2000-04-28,599.793
2000-05-31,571.049
2000-06-30,625.86
2000-07-31,585.54
2000-08-31,623.105
2000-09-29,585.575
2000-10-31,536.562
2000-11-30,475.239
2000-12-29,491.303
2001-01-31,515.023
2001-02-28,467.152
2001-03-30,424.421
2001-04-30,458.903
2001-05-31,465.183
2001-06-29,456.018
2001-07-31,429.895
2001-08-31,415.377
2001-09-28,353.697
2001-10-31,380.283
2001-11-30,405.575
2001-12-31,418.348
2002-01-31,412.549
2002-02-28,401.728
2002-03-29,429.328
2002-04-30,429.284
2002-05-31,426.236
2002-06-28,394.94
2002-07-31,353.496
2002-08-30,350.743
