Date,KOKUSAI INDEX (WORLD ex JP) MID GROWTH Mid Cap
2001-01-01,631.596
2001-01-02,600.166
2001-01-03,617.925
2001-01-04,612.202
2001-01-05,593.706
2001-01-08,585.76
2001-01-09,589.884
2001-01-10,604.484
2001-01-11,623.172
2001-01-12,630.628
2001-01-15,629.135
2001-01-16,625.147
2001-01-17,635.541
2001-01-18,642.785
2001-01-19,642.914
2001-01-22,642.594
2001-01-23,655.446
2001-01-24,655.2
2001-01-25,648.425
2001-01-26,650.994
2001-01-29,660.155
2001-01-30,663.017
2001-01-31,661.884
2001-02-01,660.53
2001-02-02,644.888
2001-02-05,641.416
2001-02-06,647.281
2001-02-07,638.075
2001-02-08,631.957
2001-02-09,623.555
2001-02-12,624.255
2001-02-13,616.286
2001-02-14,616.301
2001-02-15,622.823
2001-02-16,610.824
2001-02-19,609.931
2001-02-20,594.007
2001-02-21,585.05
2001-02-22,576.957
2001-02-23,576.949
2001-02-26,589.657
2001-02-27,580.511
2001-02-28,570.173
2001-03-01,566.453
2001-03-02,563.568
2001-03-05,561.833
2001-03-06,574.181
2001-03-07,576.355
2001-03-08,568.494
2001-03-09,553.537
2001-03-12,528.714
2001-03-13,527.941
2001-03-14,517.759
2001-03-15,513.65
2001-03-16,498.517
2001-03-19,507.849
2001-03-20,502.331
2001-03-21,488.426
2001-03-22,477.99
2001-03-23,494.596
2001-03-26,505.275
2001-03-27,512.318
2001-03-28,496.471
2001-03-29,490.403
2001-03-30,494.642
2001-04-02,482.156
2001-04-03,460.24
2001-04-04,460.254
2001-04-05,484.669
2001-04-06,478.744
2001-04-09,484.883
2001-04-10,502.001
2001-04-11,504.043
2001-04-12,517.164
2001-04-13,517.164
2001-04-16,511.373
2001-04-17,514.331
2001-04-18,540.067
2001-04-19,555.093
2001-04-20,552.663
2001-04-23,536.055
2001-04-24,531.295
2001-04-25,540.822
2001-04-26,546.821
2001-04-27,553.115
2001-04-30,562.511
2001-05-01,567.192
2001-05-02,572.889
2001-05-03,559.876
2001-05-04,566.182
2001-05-07,562.753
2001-05-08,563.23
2001-05-09,557.793
2001-05-10,556.399
2001-05-11,551.198
2001-05-14,545.418
2001-05-15,547.115
2001-05-16,561.383
2001-05-17,571.86
2001-05-18,572.441
2001-05-21,588.471
2001-05-22,590.627
2001-05-23,576.495
2001-05-24,579.093
2001-05-25,577.205
2001-05-28,577.875
2001-05-29,564.46
2001-05-30,549.427
2001-05-31,553.643
2001-06-01,558.904
2001-06-04,560.613
2001-06-05,572.987
2001-06-06,568.014
2001-06-07,572.248
2001-06-08,566.053
2001-06-11,553.619
2001-06-12,550.983
2001-06-13,547.669
2001-06-14,533.716
2001-06-15,532.786
2001-06-18,525.294
2001-06-19,525.163
2001-06-20,528.565
2001-06-21,530.984
2001-06-22,526.095
2001-06-25,526.883
2001-06-26,525.971
2001-06-27,526.73
2001-06-28,532.164
2001-06-29,541.003
2001-07-02,538.092
2001-07-03,533.957
2001-07-04,532.32
2001-07-05,522.139
2001-07-06,509.131
2001-07-09,509.436
2001-07-10,504.236
2001-07-11,501.437
2001-07-12,512.437
2001-07-13,514.018
2001-07-16,505.311
2001-07-17,507.67
2001-07-18,505.143
2001-07-19,508.74
2001-07-20,507.913
2001-07-23,502.262
2001-07-24,495.006
2001-07-25,499.215
2001-07-26,506.278
2001-07-27,512.151
2001-07-30,511.765
2001-07-31,513.277
2001-08-01,518.239
2001-08-02,520.63
2001-08-03,517.946
2001-08-06,512.505
2001-08-07,509.015
2001-08-08,499.455
2001-08-09,497.552
2001-08-10,496.822
2001-08-13,501.654
2001-08-14,501.387
2001-08-15,498.323
2001-08-16,494.366
2001-08-17,487.431
2001-08-20,485.85
2001-08-21,481.104
2001-08-22,486.566
2001-08-23,485.094
2001-08-24,494.652
2001-08-27,495.531
2001-08-28,488.22
2001-08-29,485.399
2001-08-30,477.163
2001-08-31,477.385
2001-09-03,475.186
2001-09-04,471.177
2001-09-05,463.432
2001-09-06,453.555
2001-09-07,448.986
2001-09-10,445.149
2001-09-11,437.478
2001-09-12,435.533
2001-09-13,436.217
2001-09-14,431.021
2001-09-17,410.975
2001-09-18,400.784
2001-09-19,395.702
2001-09-20,382.74
2001-09-21,372.618
2001-09-24,385.367
2001-09-25,389.673
2001-09-26,386.776
2001-09-27,390.237
2001-09-28,399.22
2001-10-01,393.032
2001-10-02,395.871
2001-10-03,408.078
2001-10-04,415.025
2001-10-05,415.381
2001-10-08,414.608
2001-10-09,414.546
2001-10-10,424.9
2001-10-11,437.402
2001-10-12,437.195
2001-10-15,435.042
2001-10-16,439.987
2001-10-17,433.174
2001-10-18,427.779
2001-10-19,429.613
2001-10-22,433.907
2001-10-23,437.061
2001-10-24,440.984
2001-10-25,447.881
2001-10-26,450.203
2001-10-29,440.813
2001-10-30,431.052
2001-10-31,434.707
2001-11-01,441.634
2001-11-02,441.786
2001-11-05,449.708
2001-11-06,455.004
2001-11-07,456.563
2001-11-08,454.485
2001-11-09,454.904
2001-11-12,453.534
2001-11-13,462.726
2001-11-14,465.222
2001-11-15,465.935
2001-11-16,468.607
2001-11-19,475.041
2001-11-20,467.266
2001-11-21,463.606
2001-11-22,465.055
2001-11-23,468.464
2001-11-26,475.484
2001-11-27,475.508
2001-11-28,466.908
2001-11-29,470.432
2001-11-30,471.775
2001-12-03,466.769
2001-12-04,476.833
2001-12-05,493.422
2001-12-06,494.888
2001-12-07,489.153
2001-12-10,481.926
2001-12-11,483.874
2001-12-12,483.037
2001-12-13,473.777
2001-12-14,474.123
2001-12-17,480.555
2001-12-18,484.161
2001-12-19,480.235
2001-12-20,472.662
2001-12-21,475.303
2001-12-24,475.18
2001-12-25,475.177
