Date,KOKUSAI INDEX (WORLD ex JP) MID GROWTH Mid Cap
2001-01-01,623.768
2001-01-02,592.735
2001-01-03,610.274
2001-01-04,604.622
2001-01-05,586.355
2001-01-08,578.508
2001-01-09,582.581
2001-01-10,597.001
2001-01-11,615.458
2001-01-12,622.821
2001-01-15,621.347
2001-01-16,617.409
2001-01-17,627.674
2001-01-18,634.829
2001-01-19,634.957
2001-01-22,634.644
2001-01-23,647.337
2001-01-24,647.093
2001-01-25,640.407
2001-01-26,642.945
2001-01-29,651.993
2001-01-30,654.819
2001-01-31,653.7
2001-02-01,652.365
2001-02-02,636.916
2001-02-05,633.487
2001-02-06,639.28
2001-02-07,630.187
2001-02-08,624.146
2001-02-09,615.847
2001-02-12,616.538
2001-02-13,608.667
2001-02-14,608.684
2001-02-15,615.126
2001-02-16,603.275
2001-02-19,602.393
2001-02-20,586.668
2001-02-21,577.821
2001-02-22,569.829
2001-02-23,569.821
2001-02-26,582.373
2001-02-27,573.34
2001-02-28,563.139
2001-03-01,559.464
2001-03-02,556.616
2001-03-05,554.912
2001-03-06,567.115
2001-03-07,569.27
2001-03-08,561.506
2001-03-09,546.737
2001-03-12,522.22
2001-03-13,521.457
2001-03-14,511.403
2001-03-15,507.347
2001-03-16,492.399
2001-03-19,501.616
2001-03-20,496.173
2001-03-21,482.443
2001-03-22,472.134
2001-03-23,488.541
2001-03-26,499.094
2001-03-27,506.05
2001-03-28,490.403
2001-03-29,484.412
2001-03-30,488.6
2001-04-02,476.269
2001-04-03,454.621
2001-04-04,454.635
2001-04-05,478.753
2001-04-06,472.9
2001-04-09,478.965
2001-04-10,495.874
2001-04-11,497.895
2001-04-12,510.859
2001-04-13,510.859
2001-04-16,505.138
2001-04-17,508.063
2001-04-18,533.486
2001-04-19,548.335
2001-04-20,545.935
2001-04-23,529.539
2001-04-24,524.838
2001-04-25,534.251
2001-04-26,540.185
2001-04-27,546.408
2001-04-30,555.692
2001-05-01,560.324
2001-05-02,565.957
2001-05-03,553.107
2001-05-04,559.351
2001-05-07,555.968
2001-05-08,556.439
2001-05-09,551.068
2001-05-10,549.69
2001-05-11,544.554
2001-05-14,538.868
2001-05-15,540.547
2001-05-16,554.648
2001-05-17,565.0
2001-05-18,565.574
2001-05-21,581.448
2001-05-22,583.6
2001-05-23,569.643
2001-05-24,572.212
2001-05-25,570.347
2001-05-28,571.011
2001-05-29,557.759
2001-05-30,542.909
2001-05-31,547.082
2001-06-01,552.286
2001-06-04,553.979
2001-06-05,566.209
2001-06-06,561.295
2001-06-07,565.487
2001-06-08,559.368
2001-06-11,547.082
2001-06-12,544.48
2001-06-13,541.209
2001-06-14,527.426
2001-06-15,526.507
2001-06-18,519.111
2001-06-19,518.981
2001-06-20,522.344
2001-06-21,524.735
2001-06-22,519.903
2001-06-25,520.686
2001-06-26,519.784
2001-06-27,520.552
2001-06-28,525.926
2001-06-29,534.663
2001-07-02,531.791
2001-07-03,527.705
2001-07-04,526.088
2001-07-05,516.027
2001-07-06,503.171
2001-07-09,503.473
2001-07-10,498.339
2001-07-11,495.572
2001-07-12,506.443
2001-07-13,508.007
2001-07-16,499.401
2001-07-17,501.733
2001-07-18,499.258
2001-07-19,502.814
2001-07-20,501.999
2001-07-23,496.413
2001-07-24,489.243
2001-07-25,493.403
2001-07-26,500.383
2001-07-27,506.188
2001-07-30,505.807
2001-07-31,507.301
2001-08-01,512.206
2001-08-02,514.568
2001-08-03,511.917
2001-08-06,506.54
2001-08-07,503.09
2001-08-08,493.641
2001-08-09,491.763
2001-08-10,491.041
2001-08-13,495.817
2001-08-14,495.553
2001-08-15,492.525
2001-08-16,488.614
2001-08-17,481.761
2001-08-20,480.203
2001-08-21,475.513
2001-08-22,480.912
2001-08-23,479.457
2001-08-24,488.905
2001-08-27,489.773
2001-08-28,482.551
2001-08-29,479.763
2001-08-30,471.623
2001-08-31,471.842
2001-09-03,469.673
2001-09-04,465.711
2001-09-05,458.056
2001-09-06,448.294
2001-09-07,443.778
2001-09-10,439.986
2001-09-11,432.404
2001-09-12,430.481
2001-09-13,431.167
2001-09-14,426.03
2001-09-17,406.218
2001-09-18,396.146
2001-09-19,391.122
2001-09-20,378.311
2001-09-21,368.307
2001-09-24,380.91
2001-09-25,385.166
2001-09-26,382.305
2001-09-27,385.727
2001-09-28,394.606
2001-10-01,388.489
2001-10-02,391.296
2001-10-03,403.362
2001-10-04,410.229
2001-10-05,410.581
2001-10-08,409.821
2001-10-09,409.76
2001-10-10,419.994
2001-10-11,432.352
2001-10-12,432.147
2001-10-15,430.019
2001-10-16,434.907
2001-10-17,428.173
2001-10-18,422.84
2001-10-19,424.653
2001-10-22,428.898
2001-10-23,432.015
2001-10-24,435.894
2001-10-25,442.717
2001-10-26,445.012
2001-10-29,435.73
2001-10-30,426.082
2001-10-31,429.694
2001-11-01,436.541
2001-11-02,436.692
2001-11-05,444.524
2001-11-06,449.759
2001-11-07,451.302
2001-11-08,449.249
2001-11-09,449.662
2001-11-12,448.31
2001-11-13,457.396
2001-11-14,459.863
2001-11-15,460.568
2001-11-16,463.211
2001-11-19,469.574
2001-11-20,461.889
2001-11-21,458.271
2001-11-22,459.704
2001-11-23,463.074
2001-11-26,470.013
2001-11-27,470.041
2001-11-28,461.543
2001-11-29,465.026
2001-11-30,466.353
2001-12-03,461.405
2001-12-04,471.354
